Topic,Words,Frequency,Timestamp
-1,"deve, democracia, Brasil, critica, direitos",159,2007
0,"Brasil, direitos, democracia, CPMF, deve",259,2007
1,"constitucionais, transparência, justiça, Brasil, Estado",73,2007
2,"social, Amapá, justiça, Estado, justiça social",40,2007
3,"realidade social, maioridade penal, maioridade, penal, lidar violência",2,2007
4,"aposentados pensionistas, pensionistas, constitucionais, CPMF, pública",37,2007
5,"cargo, Governo, Governo Federal, Federal, não",39,2007
6,"CPMF, saúde, Estado, urgência, social",41,2007
7,"conhecimento, desenvolvimento, inércia Congresso, promover desenvolvimento, Congresso",21,2007
8,"oportunidades iguais, iguais, prorrogação, oportunidades, avanço democracia",19,2007
9,"CPMF, critica, desordem, constitucionais, Estado",37,2007
10,"Constituinte exclusiva, percentual mínimo, instrumentos legais, Movimento, proteção meio",21,2007
11,"saúde, saúde pública, partidária, DRU, ensino",22,2007
12,"rasgar Bandeira Brasil, Bandeira Brasil, rasgar Bandeira, garantir não haja, significa desobedecer ato grave",2,2007
13,"integração, escolas técnicas, apoia integração, educação, penal",13,2007
14,"Amazonas, significa, inspiração, independência Poderes, independência",22,2007
15,"liberdade culto, liberdade, soberania nacional, espírito democrático, espírito",16,2007
16,"Conselho Ética, Ética, Conselho, voto, interpretações",5,2007
17,"desigualdade, tributária, governo deve, reforma, reformas estruturais reforma",7,2007
18,"Armadas, Forças Armadas, Forças, gênero, igualdade gênero",4,2007
19,"segurança jurídica desenvolvimento, jurídica desenvolvimento, República democracia, esses problemas, vigência",9,2007
20,"CPMF, recursos, recursos CPMF, distribuição, Municípios",12,2007
21,"sindicais, centrais, moradia, Presidente, direito",10,2007
22,"cultural povo, patrimônio cultural, cultural, patrimônio, sociedade",14,2007
23,"devem, utilizadas, CPMF, prerrogativas, não devem",5,2007
24,"Constituinte foi, Constituinte, educacionais, ditadura, fórum",3,2007
25,"TCU, VII, Congresso, comprometimento, Congresso Nacional",5,2007
26,"cumprir responsabilidades, região amazônica, amazônica, Brasileira, Municípios",9,2007
27,"imposto, descentralização, recriação, cheque, inalienável",8,2007
28,"Estado, lei complementar, democracia, Armadas, Forças Armadas",14,2007
29,"democracia representativa, representativa, desacordo princípios democráticos, deve revisto, democracia representativa significa",2,2007
31,"SUS, Fundep, população mais pobre, mais pobre, pobre",4,2007
32,"saúde, educação, legitimidade, Saúde, SUS",13,2007
33,"recursos, obrigatórios, benefícios, saúde, medicamentos",7,2007
35,"político apoia, trabalho livre iniciativa, pluralismo político, valores sociais trabalho, sociais trabalho",8,2007
36,"saúde educação, liberdade, prioridades, pressão, documento",9,2007
38,"obediência, soluções, reforma, melhorar, pública",7,2007
39,"paz, política preços, direitos, constitucional, crise",2,2007
40,"DRU, garantir financiamento, prefeitos, proposta, Governo",5,2007
41,"privado, ensino, espírito democrático, reconhece importância, mudanças políticas econômicas",7,2007
42,"soberano, licença maternidade, maternidade, autoritários, mudar",3,2007
43,"renovação, acerca, rasgar bandeira, direitos cidadania, conscientização",8,2007
44,"tributária, prorrogação, improbidade, carga tributária, tributária excessiva",11,2007
45,"normativa, lacuna, regulação, mais carente, preencher lacuna",2,2007
46,"grupos vulneráveis, direito cidadão, dever Estado, Legislativo, pessoas deficiência",4,2007
47,"deve, condição, constitucional, financiamento, democrático",1,2007
48,"processo impeachment, impeachment, processo, Justiça, República",1,2007
49,"carga tributária, possamos, saúde, tributária, direito saúde",8,2007
50,"saúde pública, saúde, pública, financiamento adequado, saúde pública Brasil",8,2007
51,"democracia soberania, cidadania significa ela deve, políticas institucionais, soberania, estejam conformidade",1,2007
52,"promover desenvolvimento regional, desenvolvimento regional reduzir desigualdades, desenvolvimento regional reduzir, promover desenvolvimento regional reduzir, regional reduzir",1,2007
56,"assinaturas, Supremo, minorias, essencial democracia, prerrogativa",11,2007
57,"nas leis, orçamento, públicas defende, atuação parlamentares, povo nas",1,2007
58,"opõem, direitos pessoa, Estatuto Idoso, direitos, povos indígenas",5,2007
-1,"não, direitos, Senado, Congresso, Brasil",156,2008
0,"significa, direitos, deve, Brasil, política",228,2008
1,"não, deve, direitos, Amazônia, critica",93,2008
2,"direitos, garantir, deve, defende, critica",67,2008
3,"constituições, participativa, saúde, livre, mundo",2,2008
4,"espionagem, princípios, escolas, social, tratamento igualitário",22,2008
5,"significa, Federal, Governo Federal, Governo, democracia",41,2008
6,"direitos, deve, Brasil, defesa, social",54,2008
7,"conhecimento, municípios, legislação ambiental, interesses, desigualdades",20,2008
8,"aumentar carga, aumentar carga tributária, instrumento controle, político partidária, proposta criação",13,2008
9,"direitos, deficiência, democracia, país, critica",30,2008
10,"investimentos privados, democracia, medidas, garantir, alternância poder",23,2008
11,"fortalecimento, construção sociedade justa, segura, ambiental, sociedade justa",20,2008
