Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2277,-1_critica_defende_sugere_Brasil,"['critica', 'defende', 'sugere', 'Brasil', 'Senado', 'política', 'PEC', 'aprovação', 'governo', 'direitos', 'visa', 'constitucionais', 'Federal', 'reforma', 'Congresso', 'democracia', 'princípios', 'políticas', 'Nacional', 'país']","['Senado', 'política', 'aprovação', 'governo', 'direitos', 'constitucionais', 'projeto', 'reforma', 'democracia', 'lei', 'princípios', 'políticas', 'desenvolvimento', 'país', 'necessidade', 'forma', 'importância', 'pública', 'medidas', 'constitucional']","['Por causa disso, o orador defende a Proposta de Emenda à Constituição (PEC) que visa fixar o mandato dos ministros do Supremo Tribunal Federal, como uma forma de limitar seu poder e evitar a insegurança jurídica causada por decisões arbitrárias.', 'Por causa disso, o orador sugere que a atuação do Supremo Tribunal Federal deve ser reformada para que os ministros tenham mandato e um processo de escolha diferente, alinhando-se melhor com os princípios constitucionais.', 'Por causa disso, o orador sugere que o Senado Federal deve estar atento às mudanças feitas na Câmara dos Deputados para garantir a preservação da diversidade ambiental do Brasil, especialmente em relação ao Projeto de Lei de Conversão nº 5, de 2009, que altera a MPV nº 452/2008.']"
0,2452,0_critica_defende_deve_PEC,"['critica', 'defende', 'deve', 'PEC', 'aprovação', 'democracia', 'Senado', 'política', 'Brasil', 'direitos', 'reforma', 'sugere', 'necessidade', 'constitucionais', 'Federal', 'desenvolvimento', 'princípios', 'governo', 'visa', 'Nacional']","['aprovação', 'democracia', 'Senado', 'política', 'direitos', 'reforma', 'projeto', 'social', 'necessidade', 'constitucionais', 'desenvolvimento', 'princípios', 'lei', 'governo', 'importância', 'proposta', 'transparência', 'processo', 'educação', 'pública']","['Por causa disso, o orador defende que o Senado deve proteger a Constituição e não permitir que ações que a traiam sejam registradas nos Anais da Casa.', 'Por causa disso, o orador critica a atuação do Supremo Tribunal Federal e defende a aprovação da PEC 8 como uma resposta necessária para proteger as prerrogativas do Congresso Nacional.', 'Por causa disso, o orador critica o açodamento na votação da resolução que pode confrontar uma decisão do Supremo Tribunal Federal, sugerindo que a resolução deve ser discutida com mais cautela e transparência.']"
1,413,1_critica_defende_democracia_sugere,"['critica', 'defende', 'democracia', 'sugere', 'Projeto Lei', 'garantir', 'governo', 'Federal', 'aprovação', 'necessidade', 'importância', 'Senado', 'Congresso', 'Brasil', 'princípios', 'constitucionais', 'política', 'Nacional', 'proteger', 'Lei Complementar']","['democracia', 'governo', 'medidas', 'aprovação', 'necessidade', 'criação', 'importância', 'Senado', 'princípios', 'lei', 'constitucionais', 'política', 'Estado', 'direito', 'atuação', 'educação', 'postura', 'atual', 'direitos', 'justiça']","['Por causa disso, o orador se opõe ao Projeto de Lei Anticrime, argumentando que ele representa uma ameaça à cidadania e não aborda questões cruciais como a sonegação fiscal, sugerindo que o projeto é mais uma peça de marketing do que uma solução efetiva para a criminalidade.', 'Por causa disso, o orador critica a postura do Governo Federal, especialmente do Partido dos Trabalhadores e do Presidente Lula, por usarem medidas provisórias de forma autoritária e em desacordo com os princípios constitucionais, o que compromete a probidade administrativa e a governança democrática.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei Complementar 175, de 2024, que visa aprimorar a regulamentação das emendas parlamentares à Lei Orçamentária Anual, promovendo maior transparência e eficiência no processo orçamentário.']"
2,395,2_defende_critica_pública_Brasil,"['defende', 'critica', 'pública', 'Brasil', 'princípios', 'necessidade', 'sugere', 'legislação', 'medidas provisórias', 'provisórias', 'Senado', 'argumentando', 'constitucionais', 'justiça', 'princípios constitucionais', 'direitos', 'governo', 'brasileiro', 'democracia', 'Congresso']","['pública', 'princípios', 'necessidade', 'medidas', 'legislação', 'provisórias', 'Senado', 'constitucionais', 'projeto', 'justiça', 'direitos', 'segurança', 'governo', 'brasileiro', 'democracia', 'Congresso', 'proteção', 'humanos', 'país', 'papel']","['Por causa disso, o orador defende que o Congresso Nacional deve reafirmar suas competências e evitar que o Supremo Tribunal Federal tome decisões que deveriam ser discutidas e decididas pelo Legislativo, como a descriminalização do porte de drogas ilícitas para uso pessoal.', 'Por causa disso, o orador critica o Governo por sua responsabilidade no uso excessivo de medidas provisórias, sugerindo que isso causa desorganização no processo legislativo.', 'Por causa disso, o orador apoia a decisão do Presidente do Congresso de devolver medidas provisórias que não respeitam o princípio da moralidade, como a que concedia anistia fiscal a entidades filantrópicas com contas rejeitadas, e critica o uso excessivo de medidas provisórias pelo Executivo.']"
3,385,3_defende_critica_política_democracia,"['defende', 'critica', 'política', 'democracia', 'aprovação', 'constitucionais', 'Congresso', 'Senado', 'impeachment', 'Congresso Nacional', 'Nacional', 'Lula', 'contra', 'deve', 'Dilma', 'necessidade', 'brasileira', 'Ministro', 'crise', 'proteger']","['política', 'democracia', 'aprovação', 'país', 'constitucionais', 'Congresso', 'Senado', 'impeachment', 'importância', 'necessidade', 'sociais', 'brasileira', 'Ministro', 'crise', 'princípios', 'projeto', 'recursos', 'Estado', 'segurança', 'desenvolvimento']","['Por causa disso, o orador apoia a aprovação das dez medidas anticorrupção propostas pelo Ministério Público Federal e destaca a necessidade de o Congresso Nacional agir para combater a corrupção.', 'Por causa disso, o orador acredita que o impeachment da Presidenta Dilma Rousseff, sem comprovação de crime de responsabilidade, representa uma violação da democracia e da soberania popular, e que deve ser rejeitado pelo Senado.', 'Por causa disso, o orador critica o processo de impeachment da Presidenta Dilma Rousseff, considerando-o um golpe parlamentar que viola a Constituição de 1988.']"
4,379,4_defende_critica_garantir_constitucionais,"['defende', 'critica', 'garantir', 'constitucionais', 'propõe', 'política', 'segurança', 'Brasil', 'direitos', 'sugere', 'projeto lei', 'PEC', 'princípios constitucionais', 'Senado', 'aprovação', 'democracia', 'brasileira', 'políticas', 'país', 'princípios']","['projeto', 'constitucionais', 'forma', 'política', 'segurança', 'relação', 'direitos', 'desenvolvimento', 'importância', 'aprovação', 'democracia', 'brasileira', 'políticas', 'país', 'princípios', 'lei', 'Estado', 'proposta', 'ações', 'pública']","['Por causa disso, o orador apoia o projeto de lei sobre inteligência artificial, que visa proteger a sociedade brasileira sem restringir as liberdades de informação, alinhando-se aos princípios constitucionais.', 'Por causa disso, o orador apoia a decisão do Supremo Tribunal Federal e da Procuradoria-Geral da República de interromper a tramitação do projeto de lei que busca restringir direitos de alguns partidos políticos, considerando-o inconstitucional.', 'Por causa disso, o orador critica a atuação do Supremo Tribunal Federal e defende uma revisão das políticas de demarcação de terras para garantir o desenvolvimento econômico e a segurança jurídica no campo.']"
5,321,5_política_critica_defende_promover,"['política', 'critica', 'defende', 'promover', 'sugere', 'Congresso', 'Nacional', 'contra', 'direitos', 'deve', 'Senado', 'democracia', 'impeachment', 'propostas', 'Congresso Nacional', 'reforma', 'proteger', 'justiça', 'garantir', 'Brasil']","['política', 'Congresso', 'medidas', 'direitos', 'desenvolvimento', 'Senado', 'democracia', 'impeachment', 'propostas', 'reforma', 'recursos', 'justiça', 'importância', 'constitucionais', 'professores', 'aprovação', 'proposta', 'lei', 'sociedade', 'processo']","['Por causa disso, o orador se opõe à proposta de emenda constitucional que limita os gastos sociais ao patamar da inflação do ano anterior e defende a rejeição dessa proposta pelo Congresso Nacional.', 'Por causa disso, o orador se posiciona contra o impeachment da Presidenta Dilma Rousseff, considerando-o um golpe contra a democracia e a Constituição, e defende a mobilização popular para proteger a ordem democrática.', 'Por causa disso, o orador se opõe à PEC da austeridade, que limita os gastos sociais, e defende a rejeição dessa proposta no Congresso Nacional para proteger os direitos sociais garantidos pela Constituição de 1988.']"
6,317,6_proposta_critica_contra_defende,"['proposta', 'critica', 'contra', 'defende', 'constitucionais', 'Brasil', 'deve', 'democracia', 'representa', 'Federal', 'direitos', 'Senado', 'sugere', 'aprovação', 'nacional', 'desenvolvimento', 'argumentando', 'constitucional', 'projeto lei', 'República']","['proposta', 'constitucionais', 'projeto', 'social', 'democracia', 'direitos', 'Senado', 'aprovação', 'nacional', 'desenvolvimento', 'constitucional', 'Estado', 'transparência', 'política', 'princípios', 'compromisso', 'importância', 'responsabilidade', 'forma', 'justiça']","['Por causa disso, o orador se opõe à PEC 55, argumentando que ela representa uma política neoliberal que transforma o Estado brasileiro em um Estado mínimo, prejudicando a proteção social e os serviços públicos.', 'Por causa disso, o orador se opõe à aprovação da PEC 55, argumentando que ela representa um retrocesso democrático e econômico para o Brasil, ao limitar gastos públicos essenciais.', 'Por causa disso, o orador critica a proposta de emenda à Constituição que estava na Câmara dos Deputados, que agravava a pena contra a corrupção, e lamenta a proposta enviada para a Câmara que incluía medidas como o teste de integridade.']"
7,314,7_direitos_defende_critica_aprovação,"['direitos', 'defende', 'critica', 'aprovação', 'pública', 'política', 'social', 'Brasil', 'PEC', 'Senado', 'apoia aprovação', 'constitucionais', 'necessidade', 'importância', 'sugere', 'governo', 'democracia', 'saúde', 'projeto', 'PLS']","['direitos', 'aprovação', 'pública', 'forma', 'política', 'social', 'desenvolvimento', 'Senado', 'recursos', 'constitucionais', 'necessidade', 'importância', 'governo', 'democracia', 'processo', 'saúde', 'proposta', 'continuidade', 'decisão', 'lei']","['Por causa disso, o orador considera que a decisão do Supremo Tribunal Federal foi uma vitória para a democracia brasileira, reafirmando a importância da Constituição como guardiã da estabilidade política e da independência dos poderes.', 'Por causa disso, o orador critica a atuação do Supremo Tribunal Federal por interferir em questões que, segundo ele, deveriam ser decididas pelo Congresso Nacional, como a demarcação de terras indígenas e outras pautas polêmicas.', 'Por causa disso, o orador critica a decisão do Supremo Tribunal Federal de 2009, que eliminou a exigência do diploma de jornalismo, e defende a aprovação da PEC nº 33/2009 para restaurar essa exigência, como forma de proteger a democracia e a qualidade da informação.']"
8,298,8_impeachment_Presidente_Dilma_critica,"['impeachment', 'Presidente', 'Dilma', 'critica', 'processo impeachment', 'necessário', 'Presidente Dilma', 'Brasil', 'Dilma Rousseff', 'Rousseff', 'governo', 'defende', 'Presidente Dilma Rousseff', 'democracia', 'constitucionais', 'impeachment Presidente Dilma Rousseff', 'impeachment Presidente Dilma', 'contra', 'sugere', 'impeachment Presidente']","['impeachment', 'Presidente', 'processo', 'necessário', 'importância', 'governo', 'saúde', 'democracia', 'constitucionais', 'golpe', 'políticas', 'direitos', 'necessidade', 'política', 'princípios', 'papel', 'sociais', 'Senado', 'social', 'país']","['Por causa disso, o orador apoia a condução do processo de impeachment da Presidente Dilma Rousseff, enfatizando a importância de respeitar as instituições e os procedimentos constitucionais.', 'Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, argumentando que o governo do PT é indecente e incompetente, e que a permanência no poder seria para continuar um projeto criminoso de poder.', 'Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, argumentando que é necessário para evitar o retrocesso político e econômico do país.']"
