Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3316,-1_significa_direitos_deve_significa ela,"['significa', 'direitos', 'deve', 'significa ela', 'não', 'há', 'constitucionais', 'significa há', 'democracia', 'significa qualquer', 'garantir', 'Brasil', 'princípios', 'país', 'devem', 'constitucionais significa', 'justiça', 'políticas', 'país significa', 'democracia significa']","['direitos', 'constitucionais', 'democracia', 'princípios', 'fundamental', 'atual', 'país', 'justiça', 'políticas', 'Estado', 'social', 'base', 'constitucional', 'política', 'processo', 'sociais', 'forma', 'tentativa', 'governo', 'públicas']","['Isso significa que ela serve como base para políticas que promovem igualdade e justiça.', 'isso significa que ela serve como base para condenar atitudes discriminatórias e preconceituosas.', 'Isso significa que ela estabelece princípios que devem ser seguidos para garantir a equidade e a justiça no país.']"
0,1765,0_significa_direitos_não_constitucionais,"['significa', 'direitos', 'não', 'constitucionais', 'significa ela', 'significa qualquer', 'democracia', 'significa há', 'princípios', 'garantir', 'devem', 'princípios constitucionais', 'políticas', 'país', 'política', 'base', 'constitucionais significa', 'Brasil', 'país significa', 'constitucional']","['direitos', 'constitucionais', 'democracia', 'princípios', 'processo', 'políticas', 'país', 'política', 'base', 'constitucional', 'social', 'fundamental', 'justiça', 'direito', 'mudanças', 'Estado', 'atual', 'ações', 'fundamentais', 'legislação']","['Isso significa que o processo de impeachment pode abalar a estabilidade constitucional e política do país.', 'isso significa que ela serve como base para políticas públicas que visam garantir esses direitos.', 'Isso significa que qualquer tentativa de obstruir o processo de impeachment é um desrespeito aos princípios constitucionais.']"
1,1082,1_significa_há_constitucionais_significa há,"['significa', 'há', 'constitucionais', 'significa há', 'significa ela', 'deve', 'direitos', 'políticas', 'princípios', 'democracia', 'constitucionais significa', 'proteção', 'significa qualquer', 'Brasil', 'garantir', 'papel', 'justiça', 'princípios constitucionais', 'devem', 'política']","['constitucionais', 'direitos', 'políticas', 'princípios', 'social', 'democracia', 'proteção', 'atual', 'papel', 'justiça', 'política', 'processo', 'fundamental', 'trabalhadores', 'forma', 'Estado', 'país', 'legal', 'normas', 'públicas']","['Isso significa que há uma necessidade urgente de políticas mais eficazes para proteger as fronteiras do país.', 'isso significa que ela deve ser respeitada e não pode ser alterada de forma a prejudicar esses direitos.', 'isso significa que há uma falha na implementação dos princípios constitucionais de autonomia dos Municípios.']"
2,548,2_significa_significa ela_deve_direitos,"['significa', 'significa ela', 'deve', 'direitos', 'constitucionais', 'há', 'país', 'devem', 'país significa', 'não', 'democracia', 'significa há', 'significa ações', 'constitucional', 'decisões', 'igualdade', 'Brasil', 'democrático', 'significa qualquer', 'significa vista']","['direitos', 'ações', 'constitucionais', 'país', 'democracia', 'constitucional', 'decisões', 'manutenção', 'processo', 'democrático', 'atual', 'fiscalização', 'governo', 'democrática', 'legal', 'base', 'Estado', 'respeito', 'recursos', 'legislação']","['Isso significa que as ações e decisões políticas devem estar alinhadas com os princípios constitucionais, como a justiça, igualdade e não discriminação', 'Isso significa que o Senado tem um papel crucial na manutenção do equilíbrio entre os Poderes.', 'isso significa que o Senado tem um papel crucial na manutenção do equilíbrio entre os Poderes.']"
3,501,3_significa_constitucionais_significa ela_proteção,"['significa', 'constitucionais', 'significa ela', 'proteção', 'políticas', 'país', 'constitucionais significa', 'contra', 'base', 'direitos', 'democracia', 'Brasil', 'devem', 'política', 'princípios', 'significa qualquer', 'Executivo', 'princípios constitucionais', 'garantir', 'país significa']","['constitucionais', 'processo', 'proteção', 'políticas', 'país', 'base', 'direitos', 'atual', 'democracia', 'política', 'princípios', 'Executivo', 'papel', 'desenvolvimento', 'fundamental', 'sociais', 'legal', 'Estado', 'direito', 'governo']","['isso significa que as ações dos senadores devem estar alinhadas com os princípios constitucionais.', 'Isso significa que ela serve como base para a promoção e defesa desses direitos no Brasil.', 'Isso significa que a Constituição de 1988 teve um papel crucial na proteção dos direitos sociais e na melhoria das condições de vida das pessoas mais pobres.']"
4,470,4_significa_não_significa qualquer_deve,"['significa', 'não', 'significa qualquer', 'deve', 'constitucionais', 'direitos', 'significa ela', 'Estado', 'políticas', 'devem', 'significa há', 'princípios', 'sociais', 'forma', 'governo', 'respeitada', 'social', 'políticos', 'democracia', 'política']","['constitucionais', 'direitos', 'processo', 'Estado', 'políticas', 'princípios', 'sociais', 'forma', 'governo', 'social', 'políticos', 'democracia', 'política', 'acesso', 'desenvolvimento', 'atual', 'soberania', 'político', 'indígenas', 'áreas']","['isso significa que o Governo Federal está falhando em cumprir os preceitos constitucionais que garantiriam o desenvolvimento do Estado.', 'isso significa que o Governo Federal está agindo contra o espírito da Constituição ao não transferir as terras para o Estado.', 'Isso significa que qualquer mudança de governo deve ocorrer dentro dos limites constitucionais e respeitar a vontade popular expressa nas eleições.']"
5,318,5_significa_garantir_base_significa há,"['significa', 'garantir', 'base', 'significa há', 'política', 'direitos', 'segurança', 'atual', 'constitucionais', 'sociais', 'deve', 'devem', 'manifestações', 'significa atual', 'forma', 'princípios', 'nacional', 'estabilidade', 'Estado', 'avanços']","['base', 'política', 'direitos', 'segurança', 'atual', 'constitucionais', 'sociais', 'manifestações', 'papel', 'forma', 'princípios', 'nacional', 'estabilidade', 'Estado', 'avanços', 'decisões', 'normas', 'fundamentais', 'políticas', 'social']","['isso significa que decisões estão sendo tomadas com base em informações e laudos fraudulentos, sem o devido respeito aos direitos dos não indígenas e à soberania nacional.', 'isso significa que ela serve como base para ações afirmativas e políticas de inclusão.', 'isso significa que ela serve como base para ações humanitárias e sociais.']"
6,313,6_significa_deve_direitos_significa há,"['significa', 'deve', 'direitos', 'significa há', 'significa ela', 'usada', 'brasileiro', 'constitucionais', 'papel', 'respeitada', 'significa qualquer', 'essencial', 'democracia', 'governo', 'brasileiro significa', 'princípios', 'pode usada', 'proteção', 'significa pode', 'políticas']","['direitos', 'brasileiro', 'constitucionais', 'papel', 'essencial', 'desenvolvimento', 'democracia', 'violação', 'governo', 'princípios', 'proteção', 'políticas', 'manutenção', 'fundamental', 'Estado', 'justiça', 'promoção', 'país', 'leis', 'vida']","['isso significa que a Constituição de 1988 é vista como um avanço significativo na proteção dos direitos e na promoção da justiça social.', 'Isso significa que qualquer desvio desses princípios compromete a integridade das instituições democráticas.', 'isso significa que ela representa um avanço significativo na proteção dos direitos civis e sociais.']"
7,293,7_significa_social_direitos_significa ela,"['significa', 'social', 'direitos', 'significa ela', 'estar', 'garantir', 'democracia significa', 'significa há', 'devem', 'constitucionais', 'jurídica', 'social significa', 'fiscal', 'democracia', 'legal', 'promover', 'cidadãos', 'justiça', 'proteção', 'responsabilidade']","['social', 'direitos', 'constitucionais', 'jurídica', 'fiscal', 'democracia', 'legal', 'cidadãos', 'justiça', 'proteção', 'responsabilidade', 'fundamental', 'atual', 'instrumento', 'insegurança', 'base', 'sistema', 'trabalho', 'recursos', 'povo']","['Isso significa que a Constituição deve ser respeitada e implementada para garantir o bem-estar social.', 'isso significa que ela serve como base para políticas de erradicação do trabalho escravo e promoção do bem-estar social.', 'isso significa que a Constituição de 1988 é vista como um avanço significativo na proteção dos direitos sociais e na construção do Estado de bem-estar social no Brasil.']"
8,285,8_significa_significa há_direitos_significa ela,"['significa', 'significa há', 'direitos', 'significa ela', 'garantir', 'políticas', 'ameaça', 'social', 'proteger', 'devem', 'sociedade', 'defesa', 'interesses', 'constitucionais', 'governo', 'democracia significa', 'significa atual', 'significa qualquer', 'significa orienta', 'significa há ameaça democracia']","['direitos', 'base', 'políticas', 'ameaça', 'atual', 'social', 'sociedade', 'defesa', 'interesses', 'constitucionais', 'governo', 'Senado', 'democracia', 'cidadãos', 'necessidade', 'Estado', 'proteção', 'leis', 'medidas', 'povo']","['isso significa que as ações do governo e de outras instituições devem estar alinhadas com os princípios constitucionais, especialmente no que diz respeito à soberania nacional e ao controle dos recursos naturais', 'Isso significa que as ações políticas devem estar alinhadas com os princípios constitucionais.', 'isso significa que há uma ameaça à democracia e à representatividade do povo.']"
