Topic,Words,Frequency,Timestamp
-1,"significa, deve, significa há, há, significa ela",264,2007
0,"significa, país significa, significa ela, país, constitucionais",131,2007
1,"deve, significa há, usada, constitucionais, Estado",91,2007
2,"marco importante garantia direitos, TCU, há reconhecimento formal, importante garantia direitos, marco importante garantia",21,2007
3,"setor, mínimo, significa distribuição, direito significa, saúde significa",36,2007
4,"educação, áreas, acesso, significa Estado, Estado",21,2007
5,"significa Regimento, significa Regimento Interno, justiça social equidade, significa há déficit, Regimento Interno Senado",23,2007
6,"fiscalização, desenvolvimento, essencial, significa desvinculação, melhorar eficiência",28,2007
7,"instrumento, aplicados, entre Estado, desenvolvimento educacional país, significa vista instrumento justiça",15,2007
8,"CPMF, significa há falha, há falha, falha, significa há falha implementação",34,2007
9,"nacional significa, uso, nacional, perpetuação, alteração constitucional",22,2007
10,"estrutura constitucional, estrutura, progresso país significa, constitucional não atende adequadamente, progresso país",24,2007
11,"violar direitos, significa mudanças necessárias, garantir direito, reduza esses direitos, mudanças necessárias",8,2007
12,"ético, cidadania direitos Brasil significa, vista marco cidadania, cidadania direitos Brasil, marco cidadania",15,2007
13,"está agindo forma inconstitucional, agindo forma inconstitucional, forma inconstitucional, governo está agindo forma, significa governo está agindo",12,2007
14,"legitima, terra, eleitos significa, Brasil possui, significa Brasil possui",13,2007
15,"forma atual não atende, forma atual não, significa forma atual não, ensino, significa forma atual",3,2007
16,"Congresso tem papel, garantir recursos, significa Congresso tem papel, significa fornece mecanismos, implementação prática",15,2007
17,"mecanismos, corrigido significa, significa ela mecanismos, ela mecanismos, inaceitável deve",6,2007
18,"progresso país significa, mudar, progresso país, estabilidade progresso, essa liberdade",11,2007
19,"inadequada, significa atual, segurança, entre entes federados, entes federados",9,2007
20,"desatualizada, vigente, CPIs, significa legislação atual, legislação atual",5,2007
22,"educação pública, equitativa, representação, melhorar, pública significa",2,2007
23,"autonomia, imoral, desobedecer ato grave, significa desobedecer ato grave, significa desrespeito pode levar",10,2007
24,"constitucionais podem não, uso medidas, uso medidas provisórias, competências constitucionais, sem regulamentação",9,2007
25,"contexto, debate, significa há espaço, há espaço, voto",3,2007
26,"distribuição equitativa, distribuição equitativa recursos, equitativa recursos entre, recursos entre entes federativos, recursos entre entes",4,2007
27,"democráticos, significa desobedecer ato grave, podem prejudicar, respaldo constitucional, justos",14,2007
28,"recursos não, má gestão, protegem, déficit, ela serve base criação",3,2007
29,"realidade social, políticas saúde, distribuição responsabilidades, atualização, equilibrado significa",5,2007
30,"cada poder deve, significa cada poder, significa cada poder deve, cada poder, significa Municípios enfrentam",8,2007
31,"mandato significa, governo significa há, implementadas significa, significa deve respeitada utilizada, necessidade novas",12,2007
32,"documento protege, significa vista documento, vista documento, promove direitos, jurídicas significa",9,2007
33,"há déficit, significa há déficit, nação significa, déficit, sistema democrático",8,2007
34,"significa ações políticas devem, ações políticas devem, significa ações políticas, ações políticas, políticas devem",1,2007
36,"representantes eleitos, respeitar essa, sistema eleitoral, têm dever, defender",7,2007
37,"significa busca equilibrar, busca equilibrar, Federação, equilibrar, representação",8,2007
38,"políticas desenvolvimento, desenvolvimento sustentável, significa serve base políticas, sustentável, serve base políticas",4,2007
39,"intenções, significa pode utilizada, civil, governo está falhando cumprir, sociedade civil",6,2007
40,"promove justiça social, promove justiça, significa teve papel, direitos trabalhistas significa, teve papel",2,2007
41,"promover desenvolvimento regional, ela pode usada promover, significa ela pode usada, ela pode usada, pode usada promover",3,2007
42,"deve refletir, base legal proteção, significa mudanças constitucionais necessárias, proteção direitos indígenas, ela oferece base legal",7,2007
43,"acordos, relação direitos, significa governo tem, governo tem, tem obrigação",2,2007
44,"significa atual interpretação, atual interpretação, entidades, Estados Municípios, interpretação",5,2007
45,"Brasil deve, significa equilíbrio entre poderes, traição, enfrenta dificuldades, política externa",7,2007
46,"necessidades locais, melhor atender necessidades, melhor atender, descentralização, locais",3,2007
47,"regulamentação pode, pode prejudicar, setores, prejudicar, regulamentação",4,2007
48,"Rio, Rio Janeiro, competitividade, deveria significa, significa não está",8,2007
49,"correta, garantir acesso, bem comum, significa aplicação correta, justiça social proteção direitos",11,2007
50,"pilar, significa vista avanço significativo, vista avanço significativo, mesmo tempos crise, uso inadequado",17,2007
51,"ou interpretação, estabilidade econômica, Venezuela, estabelecida, programas sociais",5,2007
52,"mudanças legislação, devem cuidadosamente, legislação penal, forma eficaz significa, governo deve respeitar",4,2007
53,"funções legislativas, Executivo está, significa Executivo está, significa Executivo, legislativas",2,2007
54,"União prejudicando, recursos União prejudicando, significa mudanças constitucionais necessárias, significa há concentração, mudanças constitucionais necessárias",6,2007
