Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3135,-1_direitos_documento_deve_democracia,"['direitos', 'documento', 'deve', 'democracia', 'marco', 'desrespeitada', 'protege', 'fundamentais', 'Brasil', 'garantir', 'importante', 'precisa', 'direitos fundamentais', 'protege direitos', 'sociais', 'Estado', 'respeitada', 'documento protege', 'está sendo desrespeitada', 'marco importante']","['direitos', 'documento', 'instrumento', 'democracia', 'marco', 'fundamentais', 'importante', 'direito', 'sociais', 'social', 'Estado', 'atual', 'justiça', 'democrático', 'brasileira', 'governo', 'proteção', 'trabalhadores', 'desenvolvimento', 'cidadania']","['a Constituição é uma garantia dos direitos humanos e do Estado democrático de direito.', 'a Constituição é um instrumento que garante o respeito ao Estado democrático de direito.', 'A Constituição é um documento que enriquece a democracia.']"
0,2509,0_direitos_documento_desrespeitada_importante,"['direitos', 'documento', 'desrespeitada', 'importante', 'protege', 'democracia', 'respeitada', 'fundamentais', 'Brasil', 'justiça', 'garantir', 'marco importante', 'precisa', 'respeitado', 'documento deve', 'democrático', 'está sendo desrespeitada', 'sendo desrespeitada', 'social', 'direitos fundamentais']","['direitos', 'documento', 'marco', 'instrumento', 'importante', 'democracia', 'fundamentais', 'justiça', 'atual', 'relação', 'democrático', 'social', 'direito', 'Estado', 'trabalhadores', 'igualdade', 'essencial', 'pilar', 'saúde', 'regional']","['a Constituição é um documento que deve ser respeitado e engrandecido.', 'a Constituição está sendo gradualmente rompida pelo Estado democrático de direito.', 'A Constituição está sendo esbulhada.']"
1,750,1_documento_deve_democracia_direitos,"['documento', 'deve', 'democracia', 'direitos', 'marco', 'Brasil', 'respeitada', 'desrespeitada', 'social', 'deve respeitada', 'Estado', 'fundamental', 'precisa', 'respeitado', 'deve respeitado', 'pilar', 'documento deve respeitado', 'impeachment', 'protege', 'democrático']","['documento', 'democracia', 'direitos', 'marco', 'social', 'clara', 'Estado', 'fundamental', 'avanço', 'instrumento', 'pilar', 'impeachment', 'democrático', 'atual', 'indígenas', 'direito', 'importante', 'proteção', 'anos', 'Estados']","['a Constituição está sendo desrespeitada.', 'a Constituição está sendo flagrantemente desrespeitada.', 'a Constituição é um documento que deve ser respeitado e seguido no processo de impeachment.']"
2,621,2_está sendo desrespeitada_sendo desrespeitada_brasileira_desrespeitada,"['está sendo desrespeitada', 'sendo desrespeitada', 'brasileira', 'desrespeitada', 'Brasil', 'precisa', 'direitos', 'documento', 'sociedade', 'Estado', 'garantir', 'democracia', 'pilar', 'medidas', 'fundamentais', 'medidas provisórias', 'provisórias', 'justiça', 'proteção', 'não está sendo']","['marco', 'instrumento', 'brasileira', 'direitos', 'documento', 'sociedade', 'Estado', 'democracia', 'pilar', 'importante', 'medidas', 'fundamentais', 'provisórias', 'social', 'justiça', 'proteção', 'redução', 'conquista', 'públicas', 'governo']","['a Constituição estabelece um sistema de responsabilidades que não está sendo cumprido adequadamente.', 'a Constituição está sendo desrespeitada pelo Supremo Tribunal Federal.', 'a Constituição está sendo desrespeitada em favor de interesses externos, como os da Fifa.']"
3,500,3_documento_direitos_deve_democracia,"['documento', 'direitos', 'deve', 'democracia', 'importante', 'sociais', 'protege', 'públicos', 'essencial', 'marco importante', 'Federal', 'garantir', 'parlamentar', 'brasileiro', 'direitos sociais', 'precisa', 'documento deve', 'deve respeitado', 'respeitado', 'governo']","['documento', 'direitos', 'instrumento', 'democracia', 'importante', 'marco', 'sociais', 'públicos', 'essencial', 'parlamentar', 'brasileiro', 'relação', 'governo', 'proteção', 'forma', 'regionais', 'recursos', 'participação', 'papel', 'processo']","['a Constituição é um documento que deve ser respeitado e defendido.', 'a Constituição de 1988 é um marco importante que deve ser valorizado.', 'A Constituição é um documento que deve ser respeitado para proteger a democracia.']"
4,379,4_documento_necessidades_direito_direitos,"['documento', 'necessidades', 'direito', 'direitos', 'deve', 'democracia', 'desrespeitada', 'instrumento', 'sendo desrespeitada', 'país', 'responsabilidades', 'está sendo desrespeitada', 'desenvolvimento', 'fundamental', 'federados', 'tem falhas', 'pilar', 'Estado', 'orienta políticas', 'sociais']","['documento', 'necessidades', 'direitos', 'democracia', 'relação', 'instrumento', 'país', 'marco', 'responsabilidades', 'desenvolvimento', 'fundamental', 'pilar', 'sociais', 'entes', 'falhas', 'importantes', 'políticas', 'provisórias', 'Executivo', 'Judiciário']","['a Constituição deve ser reformada para atender melhor às necessidades dos municípios.', 'A Constituição está sendo desrespeitada.', 'a Constituição é um instrumento que pode ser utilizado para promover a justiça social e a igualdade de oportunidades.']"
5,364,5_direitos_fundamentais_documento_igualdade,"['direitos', 'fundamentais', 'documento', 'igualdade', 'direitos fundamentais', 'democracia', 'educação', 'documento deve', 'social', 'protege', 'respeitada', 'justiça', 'política', 'deve obedecida', 'obrigações', 'obedecida', 'documento direitos fundamentais', 'Estados', 'desrespeitada', 'desrespeitada decisões']","['direitos', 'fundamentais', 'documento', 'igualdade', 'instrumento', 'democracia', 'educação', 'marco', 'civis', 'social', 'justiça', 'direito', 'política', 'obrigações', 'equilíbrio', 'Estados', 'lei', 'pessoas', 'sociais', 'ditadura']","['A Constituição é um documento que estabelece direitos fundamentais.', 'a Constituição é um documento que assegura direitos fundamentais e a segurança jurídica.', 'a Constituição é um documento que garante direitos fundamentais, como o duplo grau de jurisdição.']"
6,348,6_documento_protege_desrespeitada_igualdade,"['documento', 'protege', 'desrespeitada', 'igualdade', 'documento protege', 'desenvolvimento', 'marco importante', 'direitos', 'direitos fundamentais', 'atualizada refletir', 'política', 'está sendo desrespeitada', 'sendo desrespeitada', 'precisa', 'democracia', 'governo', 'não permite', 'responsável', 'respeitada', 'fundamentais trabalhadores']","['documento', 'importante', 'igualdade', 'desenvolvimento', 'direitos', 'política', 'democracia', 'governo', 'responsável', 'trabalhadores', 'base', 'fundamentais', 'nacional', 'administração', 'cidadã', 'liberdade', 'mínimo', 'instrumento', 'marco', 'nacionais']","['a Constituição é um documento que protege direitos fundamentais dos trabalhadores.', 'a Constituição está sendo desrespeitada pelo uso inadequado de medidas provisórias.', 'a Constituição está sendo desrespeitada pelo uso inadequado de medidas provisórias.']"
7,333,7_documento_democracia_protege_documento protege,"['documento', 'democracia', 'protege', 'documento protege', 'pilar', 'pilar democracia', 'justiça', 'políticas', 'Brasil', 'legislativa', 'marco importante', 'liberdade religiosa', 'direitos', 'responsabilidade', 'consagra', 'transparência', 'essencial', 'territorial', 'religiosa', 'Defensoria Pública']","['documento', 'democracia', 'importante', 'marco', 'pilar', 'justiça', 'políticas', 'social', 'legislativa', 'instrumento', 'direitos', 'responsabilidade', 'lei', 'transparência', 'essencial', 'territorial', 'religiosa', 'democrática', 'Estado', 'liberdade']","['a Constituição é um documento que protege os direitos dos trabalhadores.', 'a Constituição é um documento que protege a liberdade religiosa e a laicidade do Estado.', 'a Constituição de 1988 é um marco importante na história democrática do Brasil.']"
8,235,8_direitos fundamentais_política_estabilidade_fundamentais,"['direitos fundamentais', 'política', 'estabilidade', 'fundamentais', 'combate corrupção', 'direitos fundamentais cidadãos', 'país', 'fundamentais cidadãos', 'direitos', 'marco', 'indígenas', 'pilar', 'fiscal', 'combate', 'Estados instrumento', 'desrespeitada', 'garantir', 'precisa', 'corrupção', 'ainda não foram']","['política', 'estabilidade', 'instrumento', 'fundamentais', 'país', 'direitos', 'relação', 'marco', 'indígenas', 'pilar', 'fiscal', 'quilombolas', 'combate', 'processo', 'corrupção', 'direito', 'democracia', 'especial', 'brasileiro', 'povos']","['a Constituição é um documento que assegura direitos fundamentais aos cidadãos.', 'a Constituição é um documento que protege os direitos fundamentais dos cidadãos.', 'a Constituição é um documento que garante direitos fundamentais aos cidadãos, incluindo o direito à saúde.']"
