Topic,Words,Frequency,Timestamp
-1,"instrumento, documento, precisa, integração, transparência",213,2007
0,"precisa, fundamentais, direitos fundamentais, direitos, documento",231,2007
1,"informação, democracia liberdade, fundamental democracia, pilar fundamental democracia, Roraima",54,2007
2,"símbolo, usada argumento, justiça, sendo plenamente aplicada, investimento educação",50,2007
3,"destinação recursos, TCU, Congresso Nacional documento, Nacional documento, direitos importantes trabalhadores",20,2007
4,"regulatório importante, financiamento saúde pública, marco regulatório importante, promover justiça social igualdade, igualdade oportunidades",23,2007
5,"importante instrumento, prazos, públicos documento, equilíbrio entre poderes, deve respeitada evitar",20,2007
6,"sistema, melhorar, desrespeitada uso inadequado medidas, inadequado medidas provisórias, inadequado medidas",29,2007
7,"relação financiamento, responsabilidade social, momentos crise, instrumento promover justiça social, importante democratização",24,2007
8,"estatal, ainda não foram, cultural, povo brasileiro instrumento, setores",12,2007
9,"violada durante, transformar, efetividade, insuficiente garantir, família",15,2007
10,"reduzir desigualdades, reduzir, instrumento promover, desigualdades sociais, pode instrumento",1,2007
11,"gastos públicos, essencial fiscalização, garantir educação, federal, gastos",12,2007
12,"mal interpretada, direito todos, Estado documento, dever Estado, distribuição receitas",9,2007
13,"luta contra discriminação, financiamento saúde pública, pública documento deve, representação política, respeitada documento",17,2007
14,"violência, mudança, igualdade direitos, marco importante história democrática, importante história democrática",8,2007
15,"implementar, CPMF, desrespeitado, instrumento pode, representatividade",9,2007
16,"adequadamente, Brasil não está, Brasil não está sendo, federalismo, Brasil não",6,2007
17,"TCU, destinação recursos, saúde precisa, maior transparência, confere legitimidade",11,2007
18,"serviços, Brasileira, serviços públicos, água, municipal",16,2007
19,"saúde pública, documento direitos fundamentais direito, fundamentais justiça, foi avanço significativo direitos, importante saúde pública",10,2007
20,"sendo usurpada, garantir autonomia, lei complementar, eficácia, época",10,2007
21,"não suficiente resolver problemas, CPMF, ordem jurídica, não suficiente resolver, suficiente resolver problemas",7,2007
22,"precisa aprimorada garantir, apoio, documento busca garantir, garantir maior, aprimorada garantir",8,2007
24,"estruturais, redução desigualdades sociais, sociais não, campo, está sendo efetivamente aplicada",10,2007
25,"espírito democrático, marco redemocratização Brasil, representa avanço democrático, período, impostos",14,2007
26,"precisa reformada atender, necessidades contemporâneas, reformada atender, permite participação, participação direta",7,2007
27,"contra abusos, abusos, Governo, educação, documento protege",2,2007
28,"garantir ordem, deve respeitado garantir, respeitado garantir, promove democratização, Presidente Senado",12,2007
29,"aplicação recursos públicos, democracia soberania, espírito democrático, base democracia, aplicação recursos",7,2007
30,"economia, reconhecimento direitos, individuais coletivos, coletivos, deveres",3,2007
31,"funcionamento Senado, impõe responsabilidade, consciência, documento protege direitos povos, CPMF",14,2007
32,"devido processo legal, processo legal, país instrumento, devido processo, instrumento essencial democracia",2,2007
33,"marco importante defesa direitos, importante defesa direitos, marco importante defesa, guia fundamental, importante defesa",6,2007
34,"proporcionou, Administração, Administração Pública, protege autonomia, Pública",5,2007
35,"documento deve seguido, deve seguido, Manaus, documento deve, deve",5,2007
36,"verdade, responsabilidade social, marco importante história Brasil, independência Poderes, importante história Brasil",7,2007
37,"precisa regulamentado, documento precisa regulamentado, cooperação entre, mencionada diretamente termos, documento busca garantir",10,2007
38,"contra trabalho, instrumento importante, importante luta contra, CPMF, escravo",3,2007
39,"Estado democrático direito, democrático direito, Estado democrático, democrático, Estado",2,2007
40,"avaliativa discurso, forma avaliativa discurso, mencionada forma avaliativa discurso, discurso, documento limites claros",4,2007
41,"promove desenvolvimento, princípios devem, instrumento promove, impessoalidade, Administração",7,2007
42,"conquista democrática, distribuição receitas entre, entre União, distribuição receitas, Estado marco",6,2007
43,"equilíbrio entre Poderes, foi avanço, equilíbrio entre, Emenda Constitucional, Constitucional",2,2007
44,"instrumento essencial proteção direitos, direitos pessoas deficiência, essencial proteção direitos, direitos pessoas, instrumento essencial proteção",8,2007
45,"documento deve respeitado seguido, deve respeitado seguido, respeitado seguido, documento deve respeitado, deve respeitado",5,2007
46,"interpretada Supremo Tribunal, interpretada Supremo, casos, administrativa, impunidade",3,2007
47,"nas eleições, desigualdade, baluarte democracia, atual permite, eleições",9,2007
48,"tem lacunas, lacunas precisam preenchidas, lacunas precisam, precisam preenchidas, fornece base",7,2007
49,"foi violada durante, violada durante, militar, Governo, violada",3,2007
50,"fiscal país, inadequadas, oferece mecanismos, fundamental manutenção, cargos",10,2007
51,"utilizado promover justiça social, pode utilizado promover justiça, utilizado promover justiça, salvaguarda, propriedade",3,2007
52,"gratuita, cidadão, assegurar, Defensoria, Defensoria Pública",5,2007
53,"desenvolvimento social, teve impacto, impacto, social instrumento, governo documento",5,2007
54,"marco importante promoção, promoção igualdade, igualdade gênero, igualdade, marco importante",4,2007
55,"Parlamento, exige, controle, contexto, evitar",2,2007
56,"documento promove inclusão, democracia cidadania, fundamental defesa, promove inclusão, símbolo democracia",5,2007
57,"juros, limite, social marco, entes federativos, federativos",2,2007
58,"atividades, Saúde, representa avanço democrático, descentralização, avanço democrático",5,2007
59,"deveriam, aqueles deveriam, sábio, progresso social, deveriam defendê",4,2007
60,"pode obstáculo, liberdade direitos, modernização, sistema político, brasileira documento",3,2007
61,"pilar fundamental democracia, pilar fundamental, fundamental democracia, pilar, democracia",1,2007
62,"documento deve respeitado preservado, deve respeitado preservado, respeitado preservado, preservado, documento deve respeitado",2,2007
63,"violência, ordem democrática, democrática, democracia está sendo, responsabilidade fiscal",4,2007
65,"governo, resolver, define, limites, equilíbrio",2,2007
66,"precisa emendada melhorar, emendada melhorar, controle, precisa emendada, melhorar",2,2007
67,"pública, renda básica, suficiente proteger, decretos, educação pública",1,2007
68,"normativo, guia, respeitada, ditadura, pilar essencial",1,2007
69,"reforma agrária, precisa modificada, agrária, instituir, prisão",4,2007
70,"Presidente Lula, Lula, mandato, Presidente, atender demandas",2,2007
71,"tributárias, complementada reformas, precisa complementada reformas, atender melhor, precisa complementada",2,2007
72,"refletir melhor, transparência responsabilidade, precisa alterada, Senado, responsabilidade",3,2007
74,"projetos lei, condições, projetos, emendas, sociais",2,2007
75,"complexidade, insegurança jurídica, insegurança, julgamento, frequentemente desrespeitada",4,2007
76,"importante precisa, precisa respeitada, marco importante, precisa, importante",1,2007
-1,"povos indígenas, povos, direitos povos indígenas, direitos, direitos povos",209,2008
0,"direitos, documento, Governo, marco, importante",222,2008
1,"vista instrumento, precisa alterada, estabilidade, fundamental estabilidade, estabilidade jurídica",34,2008
2,"documento importante, define claramente, responsabilidades, País, importante",47,2008
3,"sábio, deve defendida contra, marco importante defesa direitos, novos direitos, Direitos",27,2008
4,"medidas provisórias, provisórias, medidas, documento deve garantir, interpretado forma",38,2008
5,"legal, plenamente realizados, documento ainda precisa, precisa regulamentação, responsabilidade social",32,2008
6,"significativas, Brasil foi, ética, uso, desrespeitada uso inadequado medidas",41,2008
7,"municípios, estabilidade, crianças, liberdade religiosa, relação eliminação desigualdades regionais",30,2008
8,"conquistas importantes, chamada cidadã, CPI, realidade, desrespeitada quando",7,2008
9,"contra abusos Executivo, contra racismo, luta contra racismo, abusos Executivo, governo precisa",13,2008
10,"Estado Direito, democracia Estado, Direito, fundamental democracia, fundamental",2,2008
11,"garantir harmonia entre, Senado documento deve, harmonia entre poderes, territoriais, quilombolas",18,2008
12,"desrespeitada uso, medidas provisórias, provisórias, medidas, provisórias instrumento",15,2008
13,"proteção contra abusos, precisa alterada permitir, instrumento proteção contra, maior transparência, proteção direitos trabalhistas",15,2008
14,"marco importante desenvolvimento, importante desenvolvimento, tem lacunas, regulatório importante, marco regulatório importante",13,2008
15,"crimes hediondos, cumprido garantir, documento deve cumprido, precisa alterada permitir, responsabilidade social",11,2008
16,"cidadã marco, compromissos, maturidade, cidadã, cidadã documento",17,2008
17,"impõe responsabilidade, indígena, reforma agrária, agrária, forma igualitária",19,2008
18,"provisórias documento deve, princípios devem, medidas provisórias documento deve, construir, reduzir desigualdades",14,2008
19,"documento não, excessivo, excessivo medidas provisórias, excessivo medidas, uso excessivo medidas provisórias",15,2008
20,"sistema tributário, fundamentais democracia, documento deve interpretado, políticos documento, documento protege direitos povos",14,2008
21,"práticas autoritárias, saúde foi, equilíbrio poderes, garantir equilíbrio, garantir independência",10,2008
22,"Brasil vista, prática política, assegurar direitos, marco redemocratização Brasil, direitos fundamentais não",5,2008
23,"paz, princípios, participação popular, Municípios, justiça",1,2008
24,"social documento deve, alternância poder, documento deve defendido respeitado, deve defendido respeitado, essencial fiscalização",16,2008
25,"deve respeitada cumprida, respeitada cumprida, desrespeitada uso excessivo, desrespeitada uso excessivo medidas, excessivo medidas",6,2008
26,"falhas precisam corrigidas, falhas precisam, documento deve respeitado todos, deve respeitado todos, precisam corrigidas",6,2008
27,"relação financiamento, desrespeitada diz respeito, desrespeitada diz, Previdência, prerrogativa",6,2008
28,"crédito, respeitado seguido especialmente relação, protege direitos sociais trabalhadores, federalismo, entre entes federados",8,2008
29,"novos estados, necessidades contemporâneas, diversidade, deveria proteger, contemporâneas",10,2008
30,"avanço significativo proteção, proteção direitos sociais, lei complementar, significativo proteção direitos, significativo proteção",6,2008
31,"procedimentos legislativos, reforma tributária, tributárias, distribuição receitas, injustiça",4,2008
32,"deveria respeitado, históricos, documento deveria respeitado, democráticas Brasil, documento precisa respeitado",7,2008
33,"desrespeitada diz, favorecem, interesses econômicos, desrespeitada diz respeito, harmonia independência",18,2008
34,"foi plenamente cumprida, não foi plenamente cumprida, salário mínimo, cumprida diz respeito, cumprida diz",6,2008
35,"proteção direitos idosos, respeitada evitar, inconstitucionais, direitos idosos, retrocesso",10,2008
36,"constitucionais, desrespeitada pelos, projetos, mas não, saúde pública",6,2008
37,"relação financiamento, provisória, edição medidas, critérios, medida provisória",13,2008
38,"especialmente questões, sendo desrespeitada atual, está sendo desrespeitada atual, ambientais, civilizatório",5,2008
39,"garantir direitos sociais, saúde pública Brasil, pública Brasil, saúde, visa",1,2008
41,"especialmente questões, reflete valores, integração regional, valores democráticos, deve respeitado seguido especialmente",7,2008
42,"suficiente, não foi suficiente resolver, foi suficiente resolver, garantir educação, não suficiente garantir",5,2008
43,"direitos fundamentais crianças, fundamentais crianças, documento direitos sociais fundamentais, crianças adolescentes documento, adolescentes documento",3,2008
44,"utilizada justificar, precisa emendada, utilizada, emendada, justificar",3,2008
45,"marco importante cidadania, importante cidadania, inclusão, cidadania, marco importante",2,2008
46,"fundamental garantir direitos, soberania nacional, fundamental garantir, liberdades, garantir direitos",4,2008
