Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,4206,-1_não_Ministro_direitos_fui,"['não', 'Ministro', 'direitos', 'fui', 'Federal', 'nossa', 'discurso', 'Brasil', 'nós', 'quem', 'democracia', 'Nação', 'constitucional', 'País', 'essa', 'mas', 'Estado', 'Presidente', 'porque', 'brasileira']","['todo', 'Ministro', 'direitos', 'discurso', 'direito', 'democracia', 'Nação', 'constitucional', 'País', 'Estado', 'importância', 'Presidente', 'brasileira', 'constitucionais', 'defesa', 'necessidade', 'anos', 'República', 'lei', 'política']","['Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro Mercadante. Eu fui ao Ministro da Receita Federal, e ele me disse: ""Eu vou fazer uma carta ao senhor"". E me fez uma carta, dizendo que o Sistema S pode arrecadar impostos diretamente dos contribuintes. Aqui está a carta da Receita Federal, sem nenhum respaldo legal. Sem nenhum respaldo legal!', 'Queria fazer esse esclarecimento para que, exatamente, não pairem dúvidas, primeiro, sobre o compromisso democrático do PMDB; segundo, sobre o compromisso constitucional e de respeito às leis do PMDB; terceiro, sobre o nosso respeito e o nosso cumprimento daquilo que o Congresso Nacional definir, que o Supremo Tribunal definir, porque nós estamos sob o império das leis e da democracia, e o direito de um acaba quando começa o direito do outro.', 'Implícito: ""Eu, sinceramente, tenho coragem de subir a esta tribuna para dizer que, infelizmente, o uso das Forças Armadas, numa situação como essa, não vai resolver o problema, porque elas não são feitas para isso.""""Eu, às vezes, fico me perguntando e já, já vou falar. Ouvindo V. Exª, fica parecendo, com as ações do Governo Temer, que o problema do Brasil é o povo brasileiro, são os pobres. O problema do Brasil não é o povo brasileiro, não são os pobres. O problema do Brasil é essa política econômica, é essa política de austeridade fiscal, é o Estado mínimo do mínimo.""']"
0,1900,0_não_Federal_discurso_direitos,"['não', 'Federal', 'discurso', 'direitos', 'País', 'constitucional', 'democracia', 'nossa', 'Brasil', 'nós', 'direito', 'mas', 'Estado', 'brasileira', 'Supremo', 'Presidente', 'Não', 'menciona', 'aqui', 'há']","['discurso', 'direitos', 'País', 'constitucional', 'democracia', 'importância', 'direito', 'Estado', 'brasileira', 'Presidente', 'anos', 'constitucionais', 'necessidade', 'lei', 'Congresso', 'social', 'sociedade', 'processo', 'saúde', 'Senado']","['Implícito: O discurso destaca a importância de fazer justiça a esses heróis nacionais, o que sugere uma avaliação positiva da Constituição como instrumento de justiça social.', 'É sabido que temos vinculação de recurso na área de educação, 25% dos recursos orçamentários são destinados obrigatoriamente aos gastos com educação nos Estados e Municípios - na União Federal, um pouco menos. Na saúde, é a mesma coisa. Depois que se vinculou a receita, se deu um salto nas políticas de saúde e nas políticas de educação no nosso País. É o que pretendemos que aconteça na área de segurança pública.', 'É prerrogativa nossa estar ou não estar ao lado do cidadão, porque, se se dissesse que a CPMF é fulcral para a saúde, é fulcral para os objetivos para os quais ela foi criada... Ela foi criada, anos atrás, num momento de crise do Brasil, para melhorar a saúde, mas não melhorou em coisa nenhuma, pois as filas do SUS continuam por aí. O Brasil mudou, exibe recordes mensais de arrecadação, adquiriu condições e musculatura para que o Governo cumpra com a palavra, porque foi o Governo quem disse que, identificado o aumento da carga tributária, iria tomar providências para diminuir a carga tributária. Que o Governo cumpra sua palavra e concorde conosco, que fique ao lado do cidadão e encerre a cobrança da CPMF, já que ela não cumpriu com seu objetivo. A saúde não melhorou em nada. Se não melhorou, vamos dar um alento ao País.diminuindo a carga tributária, para que os operadores da economia se encorajem em investir. “Ah, o País quebra!” Senador Marconi Perillo, V. Exª não estava na audiência com o Ministro Mantega, o Ministro Temporão e o Ministro Paulo Bernardo. Tive oportunidade de dizer: “Eu não quero, Ministros, jogar com a perspectiva da arrecadação de 2008. Quero fazer a constatação do que está acontecendo em 2007, os dados que já despontaram”. Quanto é que será a arrecadação da CPMF em 2007? Será de R$36 bilhões. Vamos ver se a União poderia prescindir desses R$36 bilhões. V. Exª sabe, tanto quanto eu, que recebemos - isto está escrito e comprovo na hora que quiserem - medidas provisórias que trouxeram para esta Casa propostas de crédito extraordinário, ou seja, excesso de arrecadação, arrecadação não prevista, de R$19 bilhões. Então, já chegou aqui proposta de crédito extraordinário com o excesso de arrecadação não previsto pelo Governo. Ele podia abrir mão de R$19 bilhões da CPMF que colocou para fazer A, B, C, D, qualquer coisa, menos saúde. Então, há R$19 bilhões de excesso de arrecadação comprovados. Já chegou aqui diploma legislativo, o Governo está propondo, pelo excesso de arrecadação, novas destinações para os R$19 bilhões. Despesa discricionária são as despesas fora pagamento de pessoal e encargos. É todo o resto: investimentos, despesa para os Poderes. Mostrei para eles - olhando para eles e debatendo com eles - a seqüência 2004, 2005, 2006, 2007, quanto se empenhou em relação ao que se previa no Orçamento. Empenharam-se, em média, 87%. Se empenharmos 90% das despesas discricionárias de 2007, teremos ainda uma economia de R$11 bilhões. Não precisa haver arrecadação de R$11 bilhões, porque a despesa não acontecerá. Então, podia-se agregar à dispensa da CPMF mais R$11 bilhões. Dezenove com onze são R$30 bilhões. Olhei para o Ministro Mantega e disse: “Ministro Mantega, V. Exª sabe que, na hora em que a CPMF deixar de ser cobrada ou se tivesse deixado de ser cobrada em 2007, a taxa de juros automaticamente cairia, porque se V. Exª, por exemplo, empresta dinheiro ao Governo, compra CDB, o Governo remunera a 11,25% porque aí está embutido o que o emprestador recebe e tem de pagar - tem de pagar - CPMF”. Então, a taxa de juros poderia cair automaticamente 0,93%. A dívida interna do Brasil está R$1,2 trilhão. E 0,9% de R$1,2 trilhão daria, mais ou menos, R$11 bilhões. Que fique a metade, R$5,5 bilhões, de usura. Trinta bilhões de reais com R$5,5 bilhões são R$35,5 bilhões, ou seja, já chegou ao valor da CPMF. O Brasil não quebra coisa nenhuma! E já poderia, em 2007, ter aberto mão da CPMF sem haver absolutamente nenhum sobressalto na economia. E nós, que temos a obrigação de caminhar e defender o interesse do cidadão, temos de fechar questão, como fizemos, o meu Partido há dois meses e o Partido de V. Exª, ontem, em uma atitude histórica, corajosa, que se colocou ao lado do povo, como o povo do Brasil esperava.']"
1,1074,1_não_discurso_Brasil_Estado,"['não', 'discurso', 'Brasil', 'Estado', 'democracia', 'direitos', 'Federal', 'critica', 'constitucionais', 'nós', 'Presidente', 'País', 'social', 'brasileira', 'República', 'constitucional', 'democrático', 'nossa', 'menciona', 'Senado']","['discurso', 'direito', 'Estado', 'mais', 'forma', 'democracia', 'direitos', 'constitucionais', 'Presidente', 'País', 'social', 'importância', 'brasileira', 'constitucional', 'democrático', 'Senado', 'menção', 'recursos', 'princípios', 'Estados']","['Implícito: O discurso enfatiza a importância de proteger a ordem constitucional e o Estado democrático de direito contra crimes graves.', 'Acho que o Presidente da República, quando mandou os PLNs para cá, mandou porque a forma como foi explicada a rubrica de cada item e quanto foi definido para cada um é exatamente o programa do Governo. Quem encaminhou o orçamento do Executivo para cá foi o Governo. (...) Agora, 6% de tudo que a gente arrecada já são despesas obrigatórias – não há como o Governo não fazer. Agora, 6% em educação. No caso, os Estados inclusive também têm essa obrigação... Aliás, a União, 18% em educação; os Estados, 25%; em saúde, 15%, 12%. Há fundo disso, fundo daquilo.', 'a Constituição de 1988, ao estruturar nosso País como um Estado social e democrático de direito, trouxe significativos avanços em relação ao papel estatal e a promoção de políticas públicas de viés social, sem perder de vista o caráter fundamental dos direitos individuais, especialmente os de liberdade.']"
2,632,2_não_direitos_País_Federal,"['não', 'direitos', 'País', 'Federal', 'nossa', 'nós', 'Presidente', 'Estado', 'discurso', 'Brasil', 'brasileiro', 'porque', 'educação', 'Senado', 'princípios', 'aqui', 'nosso', 'critica', 'democracia', 'respeito']","['direitos', 'direito', 'Presidente', 'Estado', 'discurso', 'brasileiro', 'educação', 'Senado', 'princípios', 'democracia', 'respeito', 'defesa', 'brasileira', 'saúde', 'importância', 'constitucional', 'sociais', 'Congresso', 'povo', 'democrático']","['Esse é o País que não respeita a Constituição, porque lá está estabelecido que temos que ter o desenvolvimento regional que possa tratar todos os brasileiros como de um mesmo País, e assim não é feito.', 'Ao fazer isso – e dessa forma –, a PEC, sem dúvida nenhuma, rompe o pacto social da Constituição de 1988, e por isso é uma PEC. Isso ficou muito claro na palavra do representante do Governo, do Ministério da Fazenda, que esteve presente aqui na CAE e na CCJ. Ele conclui as suas referências sobre a situação da economia brasileira dizendo exatamente que a primeira consequência da Constituição de 1988 foi a hiperinflação no Brasil, deixando claro o seu desconforto com a chamada Carta Magna, com a chamada Constituição Cidadã, a Constituição de Ulysses Guimarães. Foi essa Constituição que nós aqui juramos honrar, essa Constituição que deu garantias e direitos ao povo brasileiro – um desses direitos foi justamente o salário mínimo do aposentado, que teve tanta importância social na distribuição de renda deste País.', 'Implícito: O exemplo vem de cima. Por exemplo, essa polarização que toma conta do país, essa leniência com o crime que nós estamos vendo neste Governo, dizendo que o furto, o crime pequeno – como é que é? – tem que ser... O SR. IZALCI LUCAS – Relativizado. O SR. PRESIDENTE – Não, humanizado. Veja que uma jornalista chegou ao ponto, num debate de esporte... O senhor soube que o Fortaleza – a delegação do clube – sofreu um atentado, mas o desdobramento disso foi na última manifestação, independentemente de se você concorda ou não com o grupo político que foi se manifestar agora, dia 25, lá na Avenida Paulista, um evento que não teve nada de quebradeira, que foi organizadíssimo; ninguém com faixa. Eu nunca vi isto: ninguém com cartaz. Olha a que ponto nós chegamos: o medo, o receio das pessoas. Ali foi um protesto gigantesco, silencioso. Você não leva aquilo, porque o Brasil está tão de cabeça para baixo, com a insegurança jurídica tão grande, que ninguém sabe o que se pode fazer neste país. Tem Parlamentar que usa a sua tribuna aí, Izalci, que fica medindo palavras. Colegas meus já me disseram: ""Rapaz, eu não sei se eu devo dizer isso ou aquilo, porque hoje em dia, no Brasil, não se respeita nem o direito constitucional da livre manifestação, da livre opinião de um Parlamentar, que é lá previsto, no art. 53, se eu não me engano"".']"
3,598,3_nossa_discurso_importância_Estado,"['nossa', 'discurso', 'importância', 'Estado', 'Federal', 'País', 'direitos', 'discurso enfatiza', 'Brasil', 'constitucionais', 'democracia', 'social', 'discurso enfatiza importância', 'porque', 'enfatiza importância', 'brasileira', 'princípios', 'necessidade', 'democrático', 'Presidente']","['discurso', 'importância', 'Estado', 'País', 'direitos', 'constitucionais', 'direito', 'democracia', 'processo', 'lei', 'social', 'brasileira', 'princípios', 'necessidade', 'democrático', 'Presidente', 'constitucional', 'povo', 'mesmo', 'papel']","['Mas há um fato que esta Casa, que a Casa vizinha e que a sociedade brasileira inteira protagonizaram, que desembocou naquela que foi chamada por Ulysses Guimarães de Constituição cidadã. Ali se deu a inclusão de milhões de brasileiros pelo direito: o direito às liberdades individuais conquistadas com vida, conquistadas com luta, nas ruas, por dezenas de gerações ao longo da história da humanidade, de brasileiros ou não, mas que deram a sua vida para garantir as liberdades religiosas, culturais, a condição de gênero, que não é definida pelo sexo, mas é definida ao longo da existência de cada indivíduo. É fundamental que a gente assegure o direito às liberdades individuais como uma premissa para a construção de um processo civilizatório. E esta Casa não pode se dobrar a iniciativas que ferem as liberdades individuais.', 'Implícito: a importância de cada ano pararmos para comemorarmos o aniversário da Constituição brasileira de 1988, que é a Constituição cidadã, e a importância desses atos de comemoração, de fala a respeito do quão importante é esse instrumento, que é o maior instrumento jurídico de que dispomos, em nosso País, para a garantia do Estado democrático de direito.', '""Ele fala que nós avançamos muito desde a Constituição de 1988. Portanto, o PSDB, quando governou o País, também teve contribuições importantes - a gente critica muitas questões, mas reconhece outras -, como o governo Lula e o Governo da Presidenta Dilma também, e isso, projetado à frente, dá condições ao Brasil de ser um dos poucos países a ter desenvolvimento sustentado, e nós vamos conseguir ter. Ele falava em dois pilares, Senador Aloysio, em relação às nossas conquistas: a responsabilidade fiscal, que nós tratamos com seriedade e não fomos, também, condescendentes com a inflação - e eu acho que nós estamos nesse caminho ainda - e a inclusão social, porque sem a inclusão social é impossível que a gente tenha desenvolvimento sustentável.""']"
4,492,4_orçamento_Parlamentar_colocamos_não tinha,"['orçamento', 'Parlamentar', 'colocamos', 'não tinha', 'produzir', 'nós fizemos', 'pobre', 'trabalhar', 'não', 'nós', 'Paim', 'fizemos', 'políticas públicas', 'poder', 'tinha', 'Paulo Paim', 'públicas', 'políticas', 'nosso', 'País']","['orçamento', 'pobre', 'trabalhador', 'oportunidade', 'públicas', 'políticas', 'País', 'direitos', 'Presidente', 'Senado', 'mais', 'discurso', 'democracia', 'reforma', 'Estado', 'povo', 'social', 'oposição', 'brasileira', 'grandes']","['E não venham com a falácia de dizer que a Constituição não está sendo mexida. De fato, a Constituição não está sendo mexida, mas a Constituição garante o direito para o trabalhador empregado, com carteira de trabalho assinada. E esses e essas os senhores estão transformando em prestadores de serviço – prestadores de serviço! –, precarizando.', '""...é um escândalo o que está sendo revelado, e este Senado, a Presidência, não pode se omitir, que nos deixe investigar, porque o constrangimento é necessário, sim, a esses que abusam do poder...""', 'Hoje quero falar de um País que, em um instante de três anos [...] retirando da Constituição, das leis, do orçamento e das obrigações do Estado, mais de 90% dos brasileiros.']"
5,411,5_democracia_nossa_aqui_nosso,"['democracia', 'nossa', 'aqui', 'nosso', 'mas', 'País', 'discurso', 'social', 'constitucional', 'Estado', 'democrático', 'nós', 'brasileira', 'hoje', 'direitos', 'Presidente', 'Federal', 'Nacional', 'Rio', 'ordem']","['democracia', 'País', 'discurso', 'social', 'constitucional', 'Estado', 'democrático', 'importante', 'brasileira', 'direitos', 'Presidente', 'anos', 'ordem', 'importância', 'processo', 'defesa', 'conquista', 'pública', 'sociedade', 'vista']","['Implícito: ""a escravidão, infelizmente, ainda é uma marca presente em nosso País. E é presente principalmente, Senador Paulo Rocha, quando a gente vê a aprovação de uma reforma trabalhista como essa, que vai penalizar os mais pobres, que rasga a Constituição. Não há mais direito ao salário mínimo. O trabalhador passa a receber agora por hora, sem seguro-desemprego, sem direito à aposentadoria. É a marca desta sociedade escravocrata que ainda está presente em nosso País nestes dias.""', 'Eu tenho o direito de me defender. O Estado brasileiro precisa me dar isso. O produtor é desmoralizado na Internet, com o seu nome já grifado como uma pessoa que pratica trabalho escravo. Se ele produzir álcool, ele não pode vender para a Petrobras. Se ele produzir grãos, as traders estão proibidas in off de comprar, pelo Ministério Público. Os frigoríficos não compram carne desse produtor. Ele está um homem aniquilado - aniquilado! -, porque, infelizmente, nós temos Justiça no Brasil, só não temos Justiça célere. É ainda um aprimoramento que nós precisamos ter.', 'Não venho aqui apenas defender a Presidenta Dilma - todos me conhecem pela defesa que faço da Presidenta, do seu Governo, do projeto deste Governo -, mas defender a nossa Constituição, assim como muitas vezes a defendi no plenário desta Casa, mesmo quando a opinião pública exigia, ou quis exigir, de nós posturas diferentes. E é importante defender a nossa Constituição, é importante defender a legalidade, a institucionalidade, porque ela é uma para todos, para os bons e para os maus; porque também podemos ter aqui situações em que injustiças vão ser cometidas, e, aí, nós não vamos poder mais recorrer à Constituição, porque já abrimos mão, de uma vez, para satisfazer a interesses que necessariamente não encontravam base ou respaldo na legalidade.']"
6,329,6_Senado_não_Federal_nós,"['Senado', 'não', 'Federal', 'nós', 'sugere', 'direitos', 'discurso', 'sociais', 'importância', 'esse', 'nossa', 'critica', 'direito', 'Brasil', 'Constituinte', 'Senado Federal', 'Presidente', 'regulamentação', 'Estado', 'brasileira']","['Senado', 'direitos', 'discurso', 'sociais', 'importância', 'direito', 'Presidente', 'regulamentação', 'Estado', 'iguais', 'brasileira', 'lei', 'medida', 'avaliação', 'constitucional', 'projeto', 'mulheres', 'democracia', 'prática', 'menção']","['No que diz respeito à igualdade, dizemos que nós nascemos iguais em direitos - isso está garantido na lei -, mas trata-se de botar em prática isso, trata-se de realmente dar condição ao próximo, ao vizinho, ao conhecido, de ser tratado como igual e de ter oportunidades iguais de trabalho, oportunidades iguais na escola, na saúde - coisas que estão também na nossa lei, mas que não são sempre praticadas.', 'Não considerem a hipótese de estar defendendo um terceiro mandato. Sabem os Srs. Senadores, as Srªs Senadoras que a minha disposição de apoiar a Ministra Dilma Rousseff tem, inclusive, a ver com o fato de ela ter considerado muito interessante e apoiado a ideia daquilo que já é lei.', '""Mas, parece-me, que V. Exª, nesta manhã, se antecipou em colher as assinaturas dos Líderes para entregá-las à Mesa. Esta é uma decisão simples de ser tomada, exige maioria simples em plenário, concordância das Lideranças, portanto, todos nós já podemos definir essa questão na próxima semana. Então, caso o Senador Eduardo Suplicy não tenha ainda recolhido as assinaturas dos Líderes, tenho aqui, pronto para ser apresentado um pedido de urgência para votarmos o projeto de resolução do Senado. Imagino que o Senador Paulo Paim possa apresentar, já na semana que vem, também o pedido de urgência para a aprovação da PEC, para que, finalmente, o Congresso Nacional tenha o voto aberto e a Nação conheça, com transparência e clareza, a posição de cada Senador.""']"
7,318,7_não_educação_Brasil_discurso,"['não', 'educação', 'Brasil', 'discurso', 'constitucional', 'Presidente', 'mas', 'nossa', 'menciona', 'Estado', 'legislação', 'nosso', 'democrático', 'ações', 'essa', 'Federal', 'direitos', 'trabalho', 'aqui', 'não pode']","['povo', 'educação', 'discurso', 'constitucional', 'Presidente', 'Estado', 'legislação', 'democrático', 'ações', 'direitos', 'processo', 'trabalho', 'atos', 'lei', 'saúde', 'pública', 'atual', 'nacional', 'constitucionais', 'só']","['A transposição é um direito histórico dos servidores que ajudaram a construir o Estado e foi aprovada pelo Congresso Nacional, pela Câmara e pelo Senado, promulgada pelo Presidente Michel Temer - que hoje é Vice-Presidente da República -, quando ainda era Presidente da Câmara dos Deputados, pelo Presidente Sarney, aqui, como Presidente do Congresso Nacional, e foi sancionada pelo Presidente Lula há mais de dois anos.', 'Eles estão dizendo que vão permanecer apenas os direitos dos trabalhadores e das trabalhadoras contidos na Constituição. E eu digo o seguinte a eles: até esses já foram extintos – até esses! E aprovamos por quê? Então, não dá para eles tratarem a população como se no Brasil só houvesse gente idiota, como só houvesse gente que não conhecesse dos seus direitos. É fato: o direito ao décimo terceiro está lá na Constituição Federal – está lá na Constituição Federal! –; o direito à aposentadoria, ao descanso semanal remunerado, à licença-maternidade, está tudo lá na Constituição. Esses não foram mexidos; agora, foram retirados do trabalhador.', 'Hoje, o povo não está entendendo como é que a gente não sabia desses atos secretos. O senhor não sabia, eu não sabia, mas o povo não aceita essa desculpa de que não sabíamos. Não aceita. Aí, a gente diz: nós não somos da Mesa. O povo não aceita isso. Temos de reconhecer que, de uma forma ou de outra, nós cometemos atos de omissão: entregamos a administração ao grupo que compõe a Mesa e fomos fazer o nosso trabalho do dia a dia, as nossas ações de Senador individual e não de Senador parte de um conjunto de 81 Senadores.']"
8,316,8_não_direitos_Estado_Brasil,"['não', 'direitos', 'Estado', 'Brasil', 'nós', 'Presidente', 'liberdade', 'direito', 'sem', 'justiça', 'temos', 'menciona', 'constitucional', 'discurso enfatiza', 'Federal', 'discurso', 'discurso enfatiza importância', 'democracia', 'enfatiza importância', 'critica']","['direitos', 'Estado', 'importância', 'Presidente', 'liberdade', 'direito', 'justiça', 'constitucional', 'marco', 'discurso', 'democracia', 'forma', 'condições', 'vista', 'constitucionais', 'País', 'dia', 'menção', 'política', 'necessidade']","['E o marco aqui celebrado, por iniciativa do Senador Jorge Kajuru, tendo a sua posse como esse marco de redemocratização, foi, na sequência, consolidado por uma iniciativa do Presidente Sarney de instituição e de convocação de uma Assembleia Constituinte, que veio a culminar, Ministro Carlos Velloso, com a Constituição Cidadã, promulgada em 5 de outubro de 1988 e que trazia aquilo tudo por que se ansiava ao longo de décadas no Brasil: as liberdades públicas, os direitos fundamentais, os direitos sociais, as garantias de cidadania.', 'Nós não aceitaremos nada além da manutenção da Constituição democrática deste País. Eu fui Constituinte. Agora no dia 5 de outubro faz 30 anos que a Constituição do Brasil foi promulgada. Nós temos o dever... E todos que chegam aqui juram a sua manutenção e seguir essa Constituição.', 'Implícito: O discurso enfatiza a importância de garantir direitos fundamentais, como o direito de ir e vir, e a necessidade de justiça distributiva, que são princípios constitucionais.']"
