Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2258,-1_direito_não_vida_deve,"['direito', 'não', 'vida', 'deve', 'Federal', 'vida direito', 'direito vida direito', 'direito vida', 'defende', 'direitos', 'Estado', 'garantir', 'constitucional', 'Presidente', 'Senado', 'Brasil', 'responsabilidade', 'discutir', 'constitucionais', 'sem']","['direito', 'vida', 'direitos', 'Estado', 'constitucional', 'processo', 'Presidente', 'Senado', 'responsabilidade', 'melhor', 'constitucionais', 'lei', 'importância', 'saúde', 'princípios', 'crime', 'União', 'pública', 'educação', 'liberdade']","['A Constituição estabelece que o Congresso Nacional deve se manifestar sobre o veto do Presidente e, se o veto for derrubado, o Presidente da República tem 48 horas para promulgar a decisão.. Isso implica que, se o Presidente da República não promulgar a decisão dentro do prazo, o Presidente do Senado deve fazê-lo.. Por causa disso, o orador reforça a importância de seguir o procedimento constitucional para a promulgação de leis, garantindo que o Congresso Nacional exerça seu poder de forma plena e respeite o processo legislativo estabelecido.. O art. 66 da Constituição é muito claro, e esta Casa tem a obrigação de honrar a Constituição que todos nós juramos. No seu § 5º, ela diz: feito o veto, o Congresso Nacional se manifestará sobre o veto do Presidente... Aí, vem o § 7º, da Constituição, no seu art. 66, que diz: se a lei não foi promulgada dentro de quarenta e oito horas pelo Presidente da República, nos termos dos casos dos §§ 3º e 5º, o Presidente do Senado a promulgará.', 'a Constituição de 1988 garante o direito à vida.. Isso implica que o Estado tem a obrigação de proteger a vida de seus cidadãos.. Por causa disso, o orador expressa sua confiança na continuidade da democracia e na proteção dos direitos fundamentais, como o direito à vida, garantido pela Constituição de 1988.. sou muito adepto do art. 5º da Constituição de 88, que garante o direito à vida. E se o leio ao pé da letra, imagino que não morrerei nunca.', 'a Constituição garante o direito à vida.. Isso implica que o Estado deve permitir tratamentos alternativos que possam salvar vidas.. Por causa disso, o orador apela ao Supremo Tribunal Federal para que permita o uso da fosfoetanolamina, respeitando o direito à vida garantido pela Constituição.. Eu queria fazer um pedido especial ao Supremo Tribunal Federal, a todos os Ministros: aproveitem a oportunidade, deem essa oportunidade para o povo brasileiro, como está na Constituição, para que cada cidadão tenha o direito à vida.']"
0,2726,0_respeitado_não_Federal_deve,"['respeitado', 'não', 'Federal', 'deve', 'direitos', 'direito', 'defende', 'Estado', 'constitucional', 'Senado', 'constitucionais', 'garantir', 'Congresso', 'Presidente', 'Nacional', 'República', 'devem', 'Brasil', 'Congresso Nacional', 'critica']","['direitos', 'direito', 'Estado', 'constitucional', 'Senado', 'constitucionais', 'Presidente', 'lei', 'saúde', 'Estados', 'processo', 'União', 'importância', 'educação', 'responsabilidade', 'recursos', 'necessidade', 'pública', 'princípios', 'forma']","['a responsabilidade do Presidente da República é garantir o Estado democrático de direito, conforme previsto no art. 1º da Constituição Federal.. isso implica que o Presidente deve tomar medidas efetivas para proteger as instituições políticas do país.. Por causa disso, o orador critica a inércia do Presidente da República em relação ao escândalo do mensalão, sugerindo que ele violou seu juramento de defender a Constituição, o que justificaria a proposição de impeachment por crime de responsabilidade.. A responsabilidade maior do Presidente da República é garantir o que está previsto no art. 1º da Constituição Federal: o Estado democrático de direito e a denúncia do escândalo do mensalão atingia o âmago do funcionamento das instituições políticas do nosso País.', 'a Constituição de 1988 estabelece os eixos principais do Estado Social, incluindo saúde, educação e direitos dos trabalhadores.. isso implica que o Estado deve garantir esses direitos fundamentais aos cidadãos.. Por causa disso, o orador critica a Medida Provisória nº 873, que ataca a autonomia sindical, e a desvinculação de receitas para educação, defendendo que qualquer proposta deve respeitar os princípios estabelecidos na Constituição de 1988.. O Estado Social que nós queremos construir está exatamente baseado na Constituição de 1988. Lá, com a nossa luta, com a mobilização da sociedade, nós colocamos os eixos principais do Estado Social – está lá! – na questão da saúde, da educação, nas questões básicas da vida de um povo, na questão dos trabalhadores.', 'a Constituição estabelece que o Estado deve respeitar e garantir os direitos fundamentais, como saúde, educação e segurança.. Isso implica que o Estado tem a obrigação de priorizar e gerir adequadamente esses setores para assegurar o bem-estar da população.. Por causa disso, o orador enfatiza a necessidade de o Estado cumprir suas funções essenciais, como saúde, educação e segurança, conforme estabelecido pela Constituição, para garantir a cidadania plena aos brasileiros.. Sr. Presidente, digo aqui: é necessário cuidar das obrigações essenciais do Estado. Educação, segurança e saúde são as metas primordiais de um Estado organizado, de um Estado que gosta da sua população, de um Estado que vê os direitos humanos como coisa necessária, de um Estado que respeita o art. 5º da Constituição, de um Estado que respeita os arts. 4º e 6º da Constituição.']"
1,614,1_deve_Federal_direitos_garantir,"['deve', 'Federal', 'direitos', 'garantir', 'direito', 'defende', 'constitucional', 'Estado', 'responsabilidade', 'Presidente', 'importância', 'impeachment', 'União', 'Brasil', 'Senado', 'Nacional', 'medidas', 'necessidade', 'República', 'critica']","['direitos', 'direito', 'constitucional', 'Estado', 'saúde', 'responsabilidade', 'lei', 'Presidente', 'importância', 'impeachment', 'recursos', 'União', 'medidas', 'necessidade', 'Congresso', 'terras', 'crime', 'indígenas', 'constitucionais', 'governo']","['a Constituição permite que o Executivo adote medidas para moralizar o serviço público através de decretos.. Isso implica que a Presidente pode implementar critérios da Lei da Ficha Limpa para cargos de confiança no serviço público.. Por causa disso, o orador defende que a Presidenta da República adote os critérios da Lei da Ficha Limpa para cargos de confiança no Executivo, por meio de decreto, como forma de moralizar o serviço público.. A decisão feita pela Presidência da República diz respeito ao Governo Federal. Ela não pode, por decreto, dar uma norma para as prefeituras e para os governos dos Estados. Tem um projeto de emenda constitucional do Senador Pedro Taques, que nós assinamos e que vai ser ótimo quando aprovado, mas não sei quanto tempo vai levar.', 'a Constituição prevê o impeachment como um caminho legítimo para a resolução de crises políticas.. Isso implica que o processo de impeachment é uma ferramenta constitucional para lidar com crimes de responsabilidade.. Por causa disso, o orador sugere que o Congresso Nacional deve considerar seriamente a possibilidade de impeachment da Presidente Dilma Rousseff, conforme previsto na Constituição, devido às alegações de crime de responsabilidade.. No art. 85 da Constituição, fala-se claramente em crime de responsabilidade, quando se desrespeita a lei orçamentária, e a lei orçamentária foi desrespeitada, conforme o parecer técnico do Tribunal de Contas.', 'a Lei de Responsabilidade Fiscal tem uma estatura e uma largura, e que violá-la constitui crime de responsabilidade. isso implica que qualquer desrespeito à Lei de Responsabilidade Fiscal pode ser considerado um crime de responsabilidade, justificando ações legais contra o infrator. Por causa disso, o orador defende que o Brasil voltou à institucionalidade e ao Estado democrático de direito, o que implica um retorno ao respeito às normas constitucionais e às instituições.. A Lei de Responsabilidade Fiscal tem uma estatura e uma largura. Quando um Prefeito manda para a Casa, para os Vereadores, para a Câmara, o Orçamento do município, lá no menor município do seu Estado – não falo de Açailândia, que não é o menor... Mas eu tenho um tio que mora lá, então vou falar de Açailândia. São R$600. Depois, na véspera da eleição, aumentou-se e deixou permanente até dezembro. Com a PEC da Transição, esta Casa, o Congresso Nacional teve a responsabilidade de votar, Sr. Presidente Girão, que foi a PEC da Transição, no final do ano. Antes mesmo de começar o Governo, de forma democrática – por isso se instalou a transição, com conselhos, com sociedade civil, ouvindo, identificando os problemas e os desafios – já começaram todos os Ministros com as suas pastas definidas, através de metas prioritárias, que foram entregues pela transição no excelente trabalho que o Vice-Presidente da República Alckmin entregou ao Presidente Lula e ao Governo que se iniciou.']"
2,600,2_não_Federal_deve_constitucionais,"['não', 'Federal', 'deve', 'constitucionais', 'Estado', 'defende', 'Senado', 'direitos', 'direito', 'Brasil', 'garantir', 'importância', 'princípios', 'ou', 'Estados', 'saúde', 'União', 'constitucional', 'devem', 'política']","['constitucionais', 'Senado', 'direitos', 'direito', 'importância', 'princípios', 'forma', 'Estados', 'saúde', 'União', 'constitucional', 'política', 'processo', 'necessidade', 'recursos', 'Presidente', 'Municípios', 'lei', 'brasileira', 'legislação']","['a Constituição estabelece que a saúde é um direito de cidadania e um dever do Estado, e que deve haver vinculação de gastos com saúde e educação a um percentual específico da arrecadação.. isso implica que o Estado tem a obrigação de destinar recursos mínimos para saúde e educação, garantindo esses direitos aos cidadãos.. Por causa disso, o orador se opõe à Proposta de Emenda à Constituição que busca desvincular os recursos da saúde e da educação, argumentando que tal medida representa um retrocesso histórico e compromete direitos fundamentais garantidos pela Constituição de 1988.. Na área da saúde, nós na Constituição de 1988 criamos a ideia de que a saúde é um direito de cidadania e um dever do Estado. E foi uma luta enorme aqui do Ministro Jatene e depois do Ministro José Serra para conseguirem vincular o gasto da saúde a uma parcela da arrecadação dos Estados, da União e dos Municípios, o que virou a Emenda Constitucional 29.', 'a erradicação da pobreza e a redução das desigualdades sociais e regionais são objetivos fundamentais da República Federativa do Brasil.. isso implica que o governo tem a responsabilidade de implementar políticas para atingir esses objetivos.. Por causa disso, o orador defende a aprovação do Projeto de Lei nº 66, de 1999, que visa instituir uma linha oficial de pobreza e estabelecer metas para a erradicação da pobreza, alinhando-se aos objetivos fundamentais da Constituição.. O art. 3o de nossa Constituição - aqui relembro - diz: Art. 3o Constituem objetivos fundamentais da República Federativa do Brasil: I - construir uma sociedade livre, justa e solidária; II - garantir o desenvolvimento nacional; III - [enfatizamos este inciso] erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais; IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.', 'o art. 5º da Constituição reza que todos somos iguais perante a lei.. Isso implica que não deve haver distinção de tratamento legal entre os cidadãos, independentemente de sua posição ou cargo.. Por causa disso, o orador defende a aprovação do projeto que acaba com o foro privilegiado na Câmara dos Deputados, para que todos sejam iguais perante a lei, conforme o art. 5º da Constituição.. E, quando nós assistimos a um espetáculo triste, de um ex-Presidente da República preso nas ruas do País e levado à prisão, nós concluímos que é possível, sim, caminharmos celeremente para a consagração de uma nova Justiça no Brasil. Basta a Câmara dos Deputados aprovar um projeto que já passou por aqui, durante anos aqui debatido, passou pela CCJ, pelo Plenário do Senado Federal, foi à Câmara dos Deputados, passou pela CCJ da Câmara da Câmara dos Deputados, foi à uma comissão especial, foi debatido e aprovado, também por unanimidade, sem alterações, e está pronto para a Ordem do Dia daquela Casa. Por que não inclui-lo prioritariamente na Ordem do Dia? Independentemente do desejo de algumas Lideranças, nós estamos tendo, na Câmara, uma ação de Parlamentares visando à obtenção de assinaturas num requerimento de urgência para incluir na Ordem do Dia o projeto que acaba com o foro privilegiado. Será, sim, um salto civilizatório – já repetimos esta frase aqui no Senado inúmeras vezes –, porque nós escaparemos desse estágio de retrocesso, de atraso em matéria de justiça no País para um novo tempo, em que o art. 5º da Constituição, que reza que todos somos iguais perante a lei, haverá de ser respeitado. N3o se compreende mais esta contradie7e3o histf3rica no Texto Constitucional: o art. 5ba diz que todos somos iguais perante a lei, mas he1 um dispositivo que coloca mais de 55 mil autoridades brasileiras num pedestal, como se fossem seres superiores, imunes e0 ae7e3o da Justie7a comum, privilegiados para um julgamento que muitas vezes ne3o ocorre, je1 que a prescrie7e3o e9 o caminho e o re9u ganha, obviamente, os benefedcios da impunidade.']"
3,464,3_não_Federal_deve_defende,"['não', 'Federal', 'deve', 'defende', 'direito', 'constitucionais', 'Tribunal', 'garantir', 'Supremo', 'Presidente', 'direitos', 'Supremo Tribunal Federal', 'Tribunal Federal', 'Supremo Tribunal', 'constitucional', 'República', 'Municípios', 'saúde', 'devem', 'União']","['direito', 'constitucionais', 'Presidente', 'direitos', 'constitucional', 'processo', 'Municípios', 'lei', 'saúde', 'União', 'responsabilidade', 'Estados', 'importância', 'forma', 'necessidade', 'decisão', 'Estado', 'social', 'políticas', 'atuação']","['o Fundo Constitucional foi criado em 2002 para contemplar o que vinha sendo pago a vida toda pelo Governo Federal para cobrir as despesas do Distrito Federal. isso implica que o Governo Federal tem a responsabilidade de garantir o financiamento das despesas do Distrito Federal, incluindo a segurança pública e outras necessidades essenciais. Por causa disso, o orador defende que o Distrito Federal deve ter a mesma autonomia fiscal que os demais estados, para evitar a perda de empresas devido à guerra fiscal.. O nosso Fundo Constitucional foi criado em 2002. Mas, de qualquer forma, antes dele, quem pagava todas as despesas do DF era o Governo Federal. Então, nós não podemos esquecer, exatamente por já ter 60 anos Brasília, de que aqui tem que ter um tratamento diferenciado. Aqui estão as representações internacionais, aqui estão os Poderes, e a Segurança Pública tem o papel fundamental de preservar, de manter a nossa cidade de uma forma segura, do País.', 'a Constituição estabelece a presunção de inocência até o trânsito em julgado.. Isso implica que um cidadão não pode ser considerado culpado até que todas as possibilidades de recurso sejam esgotadas.. Por causa disso, o orador argumenta que a decisão do Supremo Tribunal Federal sobre a aplicação da Lei da Ficha Limpa nas eleições é fundamental para garantir a moralidade e a ética na política brasileira, conforme os princípios constitucionais.. Mas está lá na Constituição que ninguém pode ser condenado, pode ser considerado réu antes de o crime ser julgado, porque tem que haver presunção de inocência.', 'a Constituição de 1988 vincula recursos fixos no Orçamento da União para determinadas áreas.. isso implica que o governo não pode alegar falta de recursos para essas áreas.. Por causa disso, o orador critica a decisão do Supremo Tribunal Federal de não aplicar a Lei da Ficha Limpa para as eleições de 2010, argumentando que tal decisão vai contra os princípios constitucionais de moralidade e probidade.. Houve um momento em que meu voto foi o único contrário, mas não arredei um minuto, porque foi uma luta histórica do povo brasileiro, na Constituição de 1988, quando conseguimos vincular recursos fixos no Orçamento da União, para que não existisse desculpa por parte do Governo.']"
4,400,4_Estado_não_deve_Federal,"['Estado', 'não', 'deve', 'Federal', 'defende', 'Brasil', 'Municípios', 'direitos', 'República', 'garantir', 'Estados', 'Presidente', 'direito', 'necessidade', 'Senado', 'Tribunal', 'Nacional', 'constitucional', 'política', 'devem']","['Estado', 'direitos', 'República', 'Estados', 'Presidente', 'direito', 'necessidade', 'Senado', 'constitucional', 'importância', 'política', 'constitucionais', 'governo', 'recursos', 'educação', 'criação', 'desenvolvimento', 'sociedade', 'liberdade', 'forma']","['A Constituição reconhece aos índios sua organização social, costumes, línguas, crenças e tradições, e os direitos originários sobre terras que tradicionalmente ocupam, competindo à União demarcá-las, proteger e fazer respeitar todos os seus bens.. Isso implica que a União tem a responsabilidade de demarcar e proteger as terras indígenas.. Por causa disso, o orador destaca a importância de garantir a demarcação das terras indígenas e a proteção dos direitos indígenas, conforme estabelecido pela Constituição de 1988, para assegurar a justiça e o reconhecimento histórico das contribuições indígenas ao país.. ""A Constituição aprovada em 1988, em seu artigo 231, veio a contemplar concepções dessa corrente política que sempre lutou em defesa dos índios - da qual sempre fizeram parte os comunistas. \'São reconhecidos aos índios sua organização social, costumes, línguas, crenças e tradições, e os direitos originários sobre terras que tradicionalmente ocupam, competindo à União demarcá-las, proteger e fazer respeitar todos os seus bens\'.""', 'a Constituição assegura à criança e ao adolescente, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária.. isso implica que é responsabilidade da família, da sociedade e do Estado proteger esses direitos.. Por causa disso, o orador destaca a necessidade de garantir a efetiva proteção dos direitos das crianças e adolescentes, conforme estabelecido pela Constituição, e reforçar as políticas públicas voltadas para essa proteção.. ""É dever da família, da sociedade e do Estado assegurar à criança e ao adolescente, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, além de colocá-los a salvo de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão"", assegura o artigo 227 da Constituição Cidadã de 1988.', 'a Constituição estabelece que é dever da família, da sociedade e do Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, além de colocá-los a salvo de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão.. isso implica que é responsabilidade de todos os setores da sociedade garantir a proteção e os direitos das crianças e adolescentes.. Por causa disso, o orador defende a necessidade de políticas públicas e investimentos que garantam os direitos das crianças e adolescentes, conforme estabelecido na Constituição.. Na nossa Constituição Federal de 1988, é também definido o direito das crianças e dos adolescentes, estabelecendo no seu art. 227 que: Art. 227 É dever da família, da sociedade e do Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, além de colocá-los a salvo de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão.']"
5,398,5_Federal_deve_direitos_constitucionais,"['Federal', 'deve', 'direitos', 'constitucionais', 'defende', 'público', 'Estado', 'educação', 'Congresso', 'direito', 'Presidente', 'Senado', 'Brasil', 'devem', 'República', 'importância', 'garantir', 'impeachment', 'medidas', 'Nacional']","['direitos', 'lei', 'constitucionais', 'público', 'Estado', 'educação', 'direito', 'Presidente', 'Senado', 'importância', 'impeachment', 'medidas', 'processo', 'constitucional', 'aprovação', 'brasileira', 'saúde', 'democracia', 'forma', 'Judiciário']","['a Constituição exige que haja claramente configurado crime de responsabilidade para justificar o impeachment.. Isso implica que o processo de impeachment deve ter uma base jurídica sólida e não apenas política.. Por causa disso, o orador argumenta que o processo de impeachment contra a Presidente Dilma Rousseff não possui base jurídica sólida, sugerindo que a decisão é mais política do que jurídica.. Portanto, Sr. Presidente, onde identificar o pressuposto jurídico que exige, claramente, a vinculação da Presidente da República a esses atos; que exige, ainda, que haja claramente configurado crime de responsabilidade; ou que ainda aponte uma grave lesão de natureza jurídica que possa ter atentado à Constituição da República?', ""a Constituição prevê o direito do Congresso de dizer 'sim' ou 'não' em relação a decisões do Supremo Tribunal Federal.. Isso implica que o Congresso tem autonomia para aceitar ou rejeitar decisões judiciais em certas circunstâncias.. Por causa disso, o orador defende que o Senado deveria ter respeitado a decisão do Supremo Tribunal Federal em relação ao caso do Senador Aécio Neves, considerando a gravidade dos fatos e a importância do respeito entre os Poderes.. Além disso, é muito negativo esse choque que fizemos com o Supremo, embora previsto na Constituição que temos o direito, sim, de dizer 'sim' ou 'não,' mas dizer 'não' nesse momento, nessa circunstância, em que não foi um crime político, não foi um crime de opinião."", 'a Constituição estabelece que a autorização para processar a Presidente da República deve ser comunicada ao Senado Federal nos termos do art. 51, inciso I.. isso implica que a comunicação é uma etapa formal necessária, mas não pode anular um ato já concluído.. Por causa disso, o orador defende que o processo de impeachment deve seguir estritamente a Constituição Federal, os acórdãos do Supremo Tribunal Federal e a legislação vigente, como a Lei nº 10.079, de 1950.. Em seu expediente, o Deputado Waldir Maranhão, Senador Perrella, teceu várias considerações sobre a forma como se deu a manifestação pelos Deputados Federais, bem como o instrumento formal por meio do qual a autorização para processar a Presidente da República foi comunicada ao Senado Federal, nos termos do art. 51, inciso I, da Constituição Federal.']"
6,328,6_impeachment_processo_deve_Presidente,"['impeachment', 'processo', 'deve', 'Presidente', 'Federal', 'defende', 'processo impeachment', 'constitucional', 'constitucionais', 'Estado', 'Senado', 'devem', 'educação', 'Estados', 'direitos', 'responsabilidade', 'Supremo', 'República', 'critica', 'Nacional']","['impeachment', 'processo', 'Presidente', 'constitucional', 'constitucionais', 'Estado', 'Senado', 'direito', 'educação', 'Estados', 'direitos', 'responsabilidade', 'República', 'lei', 'importância', 'crime', 'projeto', 'dever', 'inconstitucional', 'medidas']","['a Constituição prevê o impeachment como uma solução constitucional.. Isso implica que o processo de impeachment é legítimo e não uma medida de exceção.. Por causa disso, o orador defende que o processo de impeachment da Presidente Dilma Rousseff é uma solução constitucional e não uma medida de exceção, sendo necessário para enfrentar a crise política e econômica do país.. O impeachment não é uma medida de exceção; é uma solução constitucional, cujos passos têm sido hoje formulados ou aceitos pelo Supremo Tribunal Federal.', 'a Constituição legitima o processo de impeachment.. isso implica que o processo de impeachment é uma ação democrática e constitucionalmente válida.. Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, argumentando que ele está em conformidade com a Constituição e é uma resposta necessária aos crimes de responsabilidade fiscal cometidos.. O que é que está em discussão aqui no Senado? Tecnicamente, o cumprimento da Constituição; o acompanhamento pelo Supremo Tribunal Federal de um rito chamado impeachment... Portanto, é algo legítimo que faz parte do elenco de ações democráticas do nosso País.', 'o processo de impeachment da Presidente Dilma é legítimo, democrático, constitucional e legal. isso implica que o impeachment não é um golpe. Por causa disso, o orador defende que o processo de impeachment da Presidente Dilma Rousseff é legítimo, democrático e constitucional, e que deve ser levado adiante para decidir o futuro do País.. estamos agora tendo que decidir o futuro do País através de um processo de impeachment legítimo, democrático, constitucional e legal. Não há golpe. Nunca houve golpe.']"
7,264,7_Congresso_deve_Federal_defende,"['Congresso', 'deve', 'Federal', 'defende', 'constitucionais', 'garantir', 'Estado', 'direitos', 'Senado', 'medidas', 'República', 'Congresso Nacional', 'critica', 'trabalhadores', 'urgência', 'medidas provisórias', 'provisórias', 'Nacional', 'Presidente', 'constitucional']","['lei', 'constitucionais', 'Estado', 'direitos', 'leis', 'Senado', 'medidas', 'importância', 'criação', 'trabalhadores', 'urgência', 'provisórias', 'Presidente', 'constitucional', 'necessidade', 'forma', 'mandato', 'Estados', 'princípios', 'relevância']","['o Congresso Nacional tem a obrigação de regulamentar uma sequência de artigos da Constituição que tratam de diversos assuntos. isso implica que o Congresso deve agir para evitar que o Supremo Tribunal Federal tome decisões em áreas que seriam de competência do Legislativo. Por causa disso, o orador critica a inércia do Congresso Nacional em regulamentar artigos da Constituição, o que leva o Supremo Tribunal Federal a agir em seu lugar.. Como bem disse o Senador Flexa, o Congresso Nacional não teve ainda a lembrança de regulamentar uma sequência de artigos da Constituição, que trata dos mais diversos assuntos, inclusive esse trazido agora pelo Senador Flexa. O Supremo faz, e aí reclamam, porque ele fez: ""Está invadindo a competência do Poder Legislativo."" Não! Não está invadindo. Ele está fazendo, porque o Congresso não faz. O Congresso não tem cumprido com suas obrigações.', 'a Constituição estabelece que o Presidente deve respeitar as decisões do Congresso Nacional.. Isso implica que o uso de medidas provisórias para reverter decisões já tomadas pelo Congresso é inadequado.. Por causa disso, o orador defende a rejeição sumária das Medidas Provisórias 1.135 e 1.136, que tentam adiar a entrada em vigor de leis já aprovadas pelo Congresso Nacional, contrariando a decisão legislativa.. Já que o Presidente Bolsonaro sempre fala em quatro linhas da Constituição – eu acho que ele só conhece quatro linhas, infelizmente; é por isso que tem centenas de pedidos de impeachment por aí –, vamos usar aqui uma metáfora futebolista adequada nesse caso: isso aqui é como se fosse o terceiro tempo de um jogo. Esse tipo de discussão já houve, e ele já foi derrotado três, quatro, cinco vezes, inclusive os vetos. Não é possível a gente admitir que, inconformado com a decisão do Congresso Nacional, o Presidente passe a emitir medidas provisórias repetindo assuntos que já foram tratados nesta Casa e na Casa adjacente.', 'a Constituição estabelece objetivos fundamentais para a República Federativa do Brasil, incluindo a construção de uma sociedade livre, justa e solidária, a garantia do desenvolvimento nacional, a erradicação da pobreza e da marginalização e a redução das desigualdades sociais e regionais, além da promoção do bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.. Isso implica que o Estado tem a responsabilidade de promover a igualdade de oportunidades e combater a desigualdade social e racial.. Por causa disso, o orador destaca a importância de políticas públicas que promovam a igualdade de oportunidades, especialmente na educação, como forma de cumprir os objetivos constitucionais de erradicar a pobreza e reduzir as desigualdades sociais e regionais.. Acho que posso afirmar que V. Exª foi, é e continuará sendo, por muito tempo ainda, um mensageiro de boas novas, de boas práticas, [...] o projeto que V. Exª implantou aqui com relação à educação no trânsito: de colocar a mão para a frente, preferência para quem anda a pé; preferência para a vida, [...] o art. 3º, cujo item III tem muita coisa a ver com parte do pronunciamento de V. Exª. Ele diz o seguinte: Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil: I – construir uma sociedade livre, justa e solidária; II – garantir o desenvolvimento nacional; III – erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais; IV – promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.']"
8,263,8_não_deve_defende_constitucional,"['não', 'deve', 'defende', 'constitucional', 'Federal', 'garantir', 'direitos', 'direito', 'impeachment', 'Presidente', 'Estado', 'Nacional', 'Estados', 'constitucionais', 'devem', 'União', 'Municípios', 'políticas', 'Brasil', 'Congresso']","['constitucional', 'recursos', 'direitos', 'direito', 'impeachment', 'Presidente', 'Estado', 'Estados', 'constitucionais', 'saúde', 'União', 'lei', 'Municípios', 'golpe', 'políticas', 'legislativa', 'projeto', 'competência', 'educação', 'poder']","['a Constituição estabelece que os Municípios devem ter autonomia completa, não só política, mas também financeira.. isso implica que os Municípios deveriam ter mais recursos financeiros para cumprir suas obrigações.. Por causa disso, o orador destaca a necessidade de um novo pacto federativo e de uma reforma tributária para garantir uma distribuição mais justa dos recursos públicos entre União, Estados e Municípios, conforme previsto na Constituição.. Apesar de ter autonomia política para escolher o seu Prefeito, o seu Vice-Prefeito e os seus Vereadores, essa autonomia política não corresponde àquilo que a Constituição reza, que os Municípios devem ter autonomia completa, não só política, mas também financeira.', 'a CPMF, constitucionalmente, acaba no dia 31 de dezembro.. Isso implica que a continuidade da CPMF após essa data requereria uma nova aprovação legislativa.. Por causa disso, o orador defende que a CPMF deve ser extinta, pois a Constituição prevê que a CPMF acaba no dia 31 de dezembro, e não há justificativa suficiente para sua recriação.. V. Exª construiu, como já disse, uma explicação muito ampla da conveniência de extinguirmos esse imposto de uma vez por todas. V. Exª não se colocou contra Governo ou contra posições, mas a favor do Brasil. Lamento muito que eu não tenha podido votar a favor do seu relatório, porque fui retirado da CCJ justamente no momento em que V. Exª ia ler o relatório, mas pode estar certa de que, sem nenhuma modificação, estarei aqui no plenário votando a favor do seu relatório. Tenho certeza que os Senadores não vão deixar passar essa oportunidade de tirar dos ombros dos brasileiros todo esse encargo injusto que é a CPMF. E é bom que se diga muitas vezes aqui, porque o Governo e os seus defensores espalham que o pobre que não mexe com cheque não paga CPMF, como eu já disse várias vezes em pronunciamento, que o pobre do Bolsa-Família paga CPMF quando compra o pãozinho, o leite, o arroz e o feijão. E quem paga CPMF no cheque paga de novo quando compra esses produtos. Então, temos que começar uma reforma tributária acabando com esse imposto. O Governo está dizendo que vai isentar 35 milhões de brasileiros. Por que ele não isenta logo todos os brasileiros? E, aí, cada brasileiro que tiver que pagar CPMF fica com seu dinheiro para usar com a sua família, para a dona de casa comprar os alimentos e pagar a escola dos seus filhos. Quero, portanto, parabenizar V. Exª pela coragem, pela mulher corajosa que é, e dizer que, na votação em plenário, estaremos ao seu lado para defender o fim desse imposto injusto e mentiroso.', 'a Constituição estabelece limites e normas para a responsabilidade fiscal e o financiamento de campanhas eleitorais.. isso implica que o descumprimento dessas normas pode ser considerado um golpe ou atalho para o poder.. Por causa disso, o orador defende que as instituições, como o Tribunal de Contas da União e o Tribunal Superior Eleitoral, devem cumprir seu papel constitucional de fiscalização e julgamento, especialmente em relação às contas do governo e ao uso de recursos ilícitos em campanhas eleitorais.. Ao contrário, temos e teremos sempre como nosso limite e nosso norte a Constituição, que ajudamos a escrever e que assinamos com enorme orgulho. Eu disse recentemente e repito: golpe ou atalho para se chegar ao Poder - para repetir a expressão da Senhora Presidente da República - é permitir que a Lei de Responsabilidade Fiscal, por exemplo, seja descumprida com objetivo eminentemente eleitoral.']"
