Topic,Words,Frequency,Timestamp
-1,"não, deve, direito, Estado, Federal",174,2007
0,"saúde, Federal, deve, Estado, defende",257,2007
1,"Forças, Forças Armadas, Armadas, fronteiras, desenvolvimento região",22,2007
2,"Ministério, Senado, voto secreto, deve, secreto",55,2007
3,"DRU, voto, mandato, Defensoria Pública, cidadãos",24,2007
4,"promover desenvolvimento, territórios, Senado já, cumprir dispositivo constitucional, desigualdades regionais",4,2007
5,"educação, Estado, qualidade, segurança, advogado",31,2007
6,"organizada, contribuições, sociedade, politicamente, CPMF",18,2007
7,"hierarquia, medidas provisórias, provisórias, medidas, saúde assistência previdência",22,2007
8,"CPMF, idade mínima, paga, mínima, entre regiões",13,2007
9,"polícias, tratamento jurídico, jurídico diferenciado, tratamento jurídico diferenciado, projeto emenda",12,2007
10,"fronteiras, brasileira, sistema eleitoral, soberania, financiamento saúde pública",20,2007
11,"relevante interesse, interesse nacional, relevante, investimento público, interesse",3,2007
12,"Estado Amapá, criação Estado Amapá, deve, Estado, prazos",17,2007
13,"CPMF, cobrança, regulamentação Federal, estados municípios implica, falta regulamentação",8,2007
14,"legislações, integração, garantir desenvolvimento, estabilidade institucional, países",6,2007
15,"América Sul, países, venezuelana, habeas corpus, corpus",7,2007
16,"Armadas, Forças Armadas, hierarquia disciplina, polícias militares, redivisão territorial",19,2007
17,"legislar questões, CPMF, direito terra, questões específicas, legislar",11,2007
18,"Governo, iniciativa privada, Governo Estado, propriedades, privada",7,2007
19,"sistema político, mediante lei, cargos eletivos, ocupantes cargos, propõe emenda constitucional",5,2007
20,"cursos, integração, países, renúncia, participação trabalhadores",13,2007
21,"Estado laico, sistema, sistema saúde, penais, mandamento constitucional",14,2007
24,"FGTS, saúde pública, parceria, saúde, urgência relevância",11,2007
25,"contrato, empresa, jurídica direito, direito público, pessoa jurídica",3,2007
27,"defesa Pátria, Armadas, Forças Armadas, narcotráfico, constitucional transparência",11,2007
28,"razoável, celeridade, CPIs, duração, discriminação",7,2007
29,"Defensoria Pública União, Pública União, Defensoria Pública, Defensoria, mais pobre",2,2007
31,"CPMF, Fundos Participação, Participação Estados Municípios, prorrogação CPMF, base cálculo",3,2007
32,"requisitos constitucionais, CPIs, requisitos, governista, instalação CPI",11,2007
33,"reservas indígenas, reservas, permitindo participação, diretos, voto analfabetos",8,2007
34,"direito moradia, rol direitos sociais, rol direitos, dever Estado garantido, Estado garantido mediante",3,2007
35,"membros Mesa, desigualdades, idade mínima, República eliminar, República eliminar desigualdades",7,2007
36,"medidas provisórias Executivo, provisórias Executivo, reforma agrária, social propriedade, agrária",5,2007
37,"fidelidade partidária, Amapá, vereadores, partidária, paz",12,2007
38,"CPMF, gratuidade, universalidade, assistência saúde, Grande Sul",10,2007
39,"vinculações orçamentárias, vinculações, orçamentárias, fidelidade partidária, acesso Justiça",11,2007
40,"rasgar bandeira, desobediência, voto secreto, bandeira, secreto",3,2007
41,"unificado, dever constitucional garantir, salário mínimo, tem dever constitucional, série direitos",5,2007
42,"fiscalização, TCU, cláusulas, pesquisa, Brasileira",6,2007
43,"licença maternidade, maternidade, indígenas respeitando, critérios urgência relevância, critérios urgência",9,2007
44,"autoridades, urbano, desigualdades regionais sociais, regionais sociais, empregado empregador",11,2007
45,"controle externo, externo, gastos saúde, financeira orçamentária, fiscalização",5,2007
46,"cooperativas, relação Estado, incentivo, regime jurídico, vetos presidenciais",3,2007
47,"infrator, códigos, requerimento, educação, condenação",9,2007
48,"direito, deficientes, transformação, direitos, Estado",1,2007
49,"aposentados pensionistas, pensionistas, ações serviços, manter valor real, manter valor",9,2007
50,"CPMF, dezembro, vigência, até dezembro, Financeira",1,2007
51,"agências, tortura, cidadania todos, degradante, todos direitos",5,2007
52,"contribuições, déficit, Previdência, Social, deliberativas",8,2007
53,"povo, Ministério Público, federações, brasileiro, Público",2,2007
54,"impeachment, processo, processo impeachment, Presidente, base",1,2007
55,"regime jurídico, anos, financiamento, deve feita lei complementar, feita lei complementar",8,2007
56,"dotações, Executivo, discriminação, garantindo recursos, Mesa Senado Federal",6,2007
57,"renovação, geográficos, limites geográficos, União Municípios, provisórias sem",7,2007
58,"José Sarney, todo País, foi promulgada, Amazonas, direitos garantias individuais",4,2007
59,"suplentes, legislação eleitoral, legitimidade, assumem, garantida defende",3,2007
60,"constitucionais implica qualquer, mas deve, permitam, preocupação possibilidade, deve transparente",2,2007
61,"direito penal, legislar direito, União legislar direito, privativamente União, privativamente União legislar",2,2007
62,"trabalho escravo, escravo, CPMF, reforma tributária, incluir medidas",4,2007
63,"Estado democrático direito, democrático direito, Estado democrático, constitui Estado democrático direito, constitui Estado democrático",3,2007
64,"creches pré escolas, pré escolas, creches pré, escolas, pré",7,2007
65,"reforma agrária, agrária, urgência, salário mínimo, Governo",10,2007
66,"mandato, TSE, cassação mandato, perda mandato, partidária",3,2007
67,"publicação, participação feminina, livre manifestação pensamento, feminina, censura ou",4,2007
