Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3268,-1_deve_não_devem_direitos,"['deve', 'não', 'devem', 'direitos', 'Estado', 'implica Estado', 'implica qualquer', 'garantir', 'direito', 'constitucionais', 'constitucional', 'respeitar', 'governo', 'cidadãos', 'Senado', 'Estado deve', 'implica Estado deve', 'Brasil', 'podem', 'responsabilidade']","['direitos', 'Estado', 'direito', 'constitucionais', 'constitucional', 'processo', 'governo', 'cidadãos', 'Senado', 'responsabilidade', 'inconstitucional', 'recursos', 'legislação', 'obrigação', 'forma', 'políticas', 'princípios', 'legal', 'lei', 'social']","['Isso implica que o Estado tem a obrigação de garantir esse direito aos cidadãos.', 'isso implica que o Estado tem a obrigação de destinar recursos mínimos para saúde e educação, garantindo esses direitos aos cidadãos.', 'Isso implica que a maçonaria deve registrar seus regimentos, regulamentos e constituição em cartório.']"
0,1562,0_não_deve_devem_implica qualquer,"['não', 'deve', 'devem', 'implica qualquer', 'direitos', 'Estado', 'constitucional', 'direito', 'garantir', 'implica Estado', 'implica há', 'políticas', 'constitucionais', 'respeitar', 'podem', 'governo', 'responsabilidade', 'têm', 'Congresso', 'implica governo']","['direitos', 'Estado', 'constitucional', 'políticas', 'constitucionais', 'governo', 'responsabilidade', 'processo', 'Congresso', 'inconstitucional', 'Estados', 'legal', 'obrigação', 'forma', 'cidadãos', 'recursos', 'público', 'União', 'poder', 'Municípios']","['Isso implica que o Estado deve garantir a soberania e a segurança nacional através de órgãos como o GSI.', 'Isso implica que o Congresso Nacional tem a prerrogativa de legislar sobre a demarcação de terras indígenas.', 'Isso implica que o Estado deve garantir acesso efetivo à saúde para todos os cidadãos.']"
1,368,1_não_direitos_decisões_devem,"['não', 'direitos', 'decisões', 'devem', 'governo', 'Estado', 'respeitar', 'implica qualquer', 'Congresso', 'constitucionais', 'constitucional', 'garantir', 'Federal', 'implica Estado', 'política', 'implica decisões', 'deve garantir', 'cidadãos', 'implica governo', 'constitucionais implica']","['direitos', 'decisões', 'governo', 'Estado', 'constitucionais', 'processo', 'constitucional', 'política', 'cidadãos', 'pessoas', 'sociais', 'responsabilidade', 'educação', 'vontade', 'violação', 'judiciais', 'leis', 'democrática', 'políticas', 'jurídica']","['isso implica que o Estado deve garantir o acesso à água para todos os cidadãos.', 'Isso implica que o Estado deve garantir o acesso à educação de qualidade para todos os cidadãos.', 'Isso implica que o Supremo Tribunal Federal não deve legislar ou tomar decisões contrárias à vontade expressa do Congresso.']"
2,340,2_Estado_implica Estado_cidadãos_público,"['Estado', 'implica Estado', 'cidadãos', 'público', 'direitos', 'princípios', 'devem', 'Estado tem', 'Estado deve', 'deve seguir', 'senadores', 'princípios constitucionais', 'público implica', 'implica Estado deve', 'respeitar', 'implica governo', 'governo', 'implica decisões', 'constitucional', 'implica Estado tem']","['Estado', 'cidadãos', 'público', 'direitos', 'princípios', 'decisões', 'senadores', 'governo', 'constitucional', 'Mesa', 'poder', 'sistema', 'constitucionais', 'inconstitucional', 'Senado', 'população', 'dever', 'obrigação', 'recursos', 'medidas']","['isso implica que qualquer alteração nesse benefício deve respeitar o vínculo com o salário mínimo.', 'Isso implica que o Estado deve garantir o acesso à saúde para todas as pessoas, incluindo aquelas com Transtorno do Espectro Autista.', 'isso implica que o Estado tem a responsabilidade de garantir o acesso à saúde para todos os cidadãos.']"
3,323,3_Estado_direitos_sociais implica_ações,"['Estado', 'direitos', 'sociais implica', 'ações', 'poder', 'devem', 'legislação', 'sociais', 'cidadãos', 'implica Estado', 'recursos', 'saúde', 'responsabilidade', 'direito', 'propor', 'acesso', 'tem responsabilidade', 'Federal', 'questões', 'Estados']","['Estado', 'direitos', 'poder', 'legislação', 'sociais', 'cidadãos', 'recursos', 'saúde', 'responsabilidade', 'direito', 'acesso', 'questões', 'Estados', 'União', 'proteção', 'básica', 'econômica', 'serviços', 'educação', 'país']","['isso implica que o Estado deve garantir esses direitos e recursos para a população.', 'Isso implica que o Tribunal de Contas da União não tem poder de decisão final sobre as contas da Presidente, apenas o Congresso Nacional tem essa competência.', 'Isso implica que o Parlamento tem o poder de propor e aprovar mudanças significativas na distribuição de recursos entre União, Estados e Municípios.']"
4,288,4_impeachment deve_deve_implica processo impeachment deve_processo impeachment deve,"['impeachment deve', 'deve', 'implica processo impeachment deve', 'processo impeachment deve', 'impeachment', 'implica processo impeachment', 'devem', 'implica processo', 'processo impeachment', 'garantir', 'Estado', 'implica qualquer', 'processo impeachment deve seguir', 'implica Estado', 'impeachment deve seguir', 'constitucionais', 'fundamentais', 'direitos', 'Governo', 'política']","['impeachment', 'Estado', 'constitucionais', 'processo', 'direito', 'fundamentais', 'direitos', 'meios', 'política', 'obrigação', 'inconstitucional', 'educação', 'lei', 'Executivo', 'interesses', 'Senado', 'saúde', 'federativos', 'acesso', 'decisão']","['isso implica que o processo de impeachment deve seguir um procedimento rigoroso e justo.', 'isso implica que o processo de impeachment deve seguir os princípios da ampla defesa, do contraditório e do devido processo legal.', 'Isso implica que o processo de impeachment deve ter fundamentos jurídicos além dos políticos.']"
5,284,5_não_direitos_podem_constitucional,"['não', 'direitos', 'podem', 'constitucional', 'devem', 'Presidente', 'Congresso', 'trabalhadores', 'não podem', 'deveria', 'pode considerada inconstitucional', 'evitar', 'considerada inconstitucional', 'políticas', 'Congresso Nacional', 'implica Congresso', 'constitucional implica Estado', 'pode considerada', 'constitucionais', 'proteção']","['direitos', 'constitucional', 'forma', 'Presidente', 'trabalhadores', 'políticas', 'direito', 'constitucionais', 'proteção', 'saúde', 'Senado', 'mudanças', 'Estado', 'processo', 'papel', 'inconstitucional', 'ações', 'obrigação', 'Executivo', 'fundamentais']","['isso implica que Amapá e Roraima têm os mesmos direitos e deveres que os outros Estados da Federação.', 'isso implica que o Presidente do Supremo Tribunal Federal não tem poder para iniciar inquéritos de ofício ou realizar atos processuais sem a atuação do Ministério Público.', 'isso implica que o Congresso deveria ter deliberado sobre essa matéria para evitar que o Supremo Tribunal Federal precise intervir.']"
6,282,6_têm_Senado_têm direito_direito,"['têm', 'Senado', 'têm direito', 'direito', 'tem papel crucial', 'papel crucial', 'crucial', 'pacificamente', 'tem papel', 'deve', 'Federal', 'governo', 'constitucionais implica', 'implica Senado', 'Brasil', 'constitucionais', 'constitucional', 'direitos', 'responsabilidade criar', 'tem responsabilidade criar']","['papel', 'Senado', 'direito', 'crucial', 'governo', 'constitucionais', 'constitucional', 'direitos', 'tributos', 'fundamental', 'prisão', 'democracia', 'Estado', 'Estados', 'medidas', 'tributárias', 'União', 'princípios', 'obrigação', 'normas']","['Isso implica que os senadores têm o direito de expressar suas opiniões livremente sem censura.', 'isso implica que o Senado tem um papel crucial na definição de parâmetros fiscais do país.', 'isso implica que o Congresso Nacional tem um papel crucial na aprovação de projetos nucleares no Brasil.']"
7,272,7_constitucional_constitucionais implica_não_obrigação,"['constitucional', 'constitucionais implica', 'não', 'obrigação', 'constitucionais', 'direito', 'devem', 'princípios', 'há obrigação', 'implica qualquer', 'Estado', 'garantir', 'constitucional implica', 'cidadãos', 'não pode', 'acesso', 'direitos', 'implica há obrigação', 'implica Congresso', 'Congresso']","['constitucional', 'obrigação', 'constitucionais', 'direito', 'princípios', 'Estado', 'cidadãos', 'processo', 'acesso', 'direitos', 'saúde', 'legal', 'provisórias', 'brasileiros', 'fundamentais', 'municípios', 'medidas', 'responsabilidade', 'limites', 'forma']","['Isso implica que há uma obrigação legal para proteger e promover os direitos dos idosos.', 'Isso implica que todas as leis e portarias devem respeitar esses princípios constitucionais.', 'isso implica que o Congresso Nacional tem a autoridade para legislar sobre inelegibilidades e que as leis devem respeitar os princípios constitucionais de igualdade e não perpetuidade das penas.']"
8,263,8_responsabilidade_constitucional_estar_deve,"['responsabilidade', 'constitucional', 'estar', 'deve', 'devem', 'não', 'Estado', 'políticas', 'implica Estado', 'União', 'essa', 'impeachment', 'implica qualquer', 'direitos', 'senadores', 'Estados', 'distribuição', 'legal', 'tem responsabilidade', 'cidadãos']","['responsabilidade', 'constitucional', 'Estado', 'políticas', 'União', 'impeachment', 'direitos', 'senadores', 'Estados', 'distribuição', 'legal', 'cidadãos', 'processo', 'sistema', 'ações', 'leis', 'ilegítimo', 'terras', 'papel', 'constitucionais']","['Isso implica que o Estado tem a responsabilidade de garantir a segurança pública e não deve delegar essa função a indivíduos armados.', 'isso implica que o Estado tem a responsabilidade de criar e implementar políticas públicas que garantam o bem-estar dos idosos.', 'isso implica que as ações do governo e das instituições devem estar em conformidade com os princípios constitucionais.']"
9,240,9_deve_Estado_constitucionais implica_responsabilidade,"['deve', 'Estado', 'constitucionais implica', 'responsabilidade', 'saúde', 'garantir', 'implica Estado', 'constitucionais', 'constitucional', 'implica qualquer', 'direito', 'garantia', 'direitos', 'deve garantir', 'políticas', 'devem', 'limites', 'não', 'provas', 'implica Estado deve garantir']","['Estado', 'responsabilidade', 'saúde', 'lei', 'constitucionais', 'constitucional', 'direito', 'garantia', 'direitos', 'políticas', 'mesmo', 'limites', 'forma', 'provas', 'obrigação', 'medidas', 'processo', 'Senado', 'recursos', 'legislação']","['Isso implica que o Estado tem a responsabilidade de garantir o acesso à educação para todas as crianças e adolescentes', 'Isso implica que o Estado deve garantir acesso universal à saúde e implementar políticas eficazes para reduzir riscos de doenças.', 'isso implica que o Estado tem a responsabilidade de garantir o acesso universal e igualitário à saúde.']"
10,231,10_deve_implica Estado_Estado_saúde,"['deve', 'implica Estado', 'Estado', 'saúde', 'têm direito', 'evitar', 'condições', 'implica Estado deve', 'Estado deve', 'inconstitucionais implica', 'fiscal', 'inconstitucionais', 'STF', 'garantir acesso', 'legislação', 'Estados', 'não deve', 'respeitar', 'responsabilidade', 'medidas']","['Estado', 'saúde', 'condições', 'fiscal', 'forma', 'inconstitucionais', 'legislação', 'Estados', 'responsabilidade', 'medidas', 'autorização', 'cidadãos', 'igualdade', 'constitucional', 'acesso', 'Senado', 'papel', 'distribuição', 'parte', 'universal']","['isso implica que o Estado deve garantir acesso universal e gratuito à saúde, incorporando o princípio da integralidade no SUS.', 'Isso implica que o Estado tem a responsabilidade de garantir acesso à saúde para toda a população.', 'isso implica que o Estado tem a responsabilidade de garantir o acesso à saúde para todos os cidadãos.']"
11,224,11_Brasil_implica Brasil_não_constitucional,"['Brasil', 'implica Brasil', 'não', 'constitucional', 'Senado', 'papel', 'implica qualquer', 'deveria', 'fundamental', 'governo', 'constitucional implica', 'devem', 'implica Senado', 'direitos fundamentais', 'aprovado', 'constitucionais', 'papel fundamental', 'não deveria', 'emenda constitucional', 'Presidente']","['constitucional', 'Senado', 'papel', 'ações', 'fundamental', 'lei', 'governo', 'constitucionais', 'proteção', 'fiscalização', 'Presidente', 'meio', 'direitos', 'Estado', 'fundamentais', 'política', 'controle', 'emenda', 'democracia', 'territorial']","['Isso implica que o Brasil tem um compromisso legal com a proteção dos direitos das crianças, incluindo o direito à proteção à vida e à saúde, mediante a efetivação de políticas sociais públicas que permitam o nascimento e o desenvolvimento sadio e harmonioso, em condições dignas de existência.', 'Isso implica que a Constituição teve um papel fundamental na reorganização territorial do Brasil.', 'Isso implica que a Constituição teve um papel fundamental na reorganização territorial e política do Brasil, permitindo a criação de novos estados.']"
12,207,12_obrigação_Estado_deve_legal,"['obrigação', 'Estado', 'deve', 'legal', 'tem obrigação', 'constitucional', 'poder', 'devem', 'constitucionais implica', 'impeachment', 'senadores', 'implica Estado', 'constitucionais', 'proteção', 'governo', 'deve atuar', 'base legal', 'violação implica', 'responsabilidade', 'fiscalizar']","['obrigação', 'Estado', 'legal', 'constitucional', 'poder', 'impeachment', 'senadores', 'constitucionais', 'proteção', 'governo', 'forma', 'base', 'responsabilidade', 'direito', 'público', 'direitos', 'União', 'Senado', 'recursos', 'terras']","['isso implica que o Estado tem a obrigação de assegurar uma educação de qualidade para todos.', 'isso implica que os senadores têm o direito de fiscalizar o Executivo e obter informações necessárias para o desempenho de suas funções.', 'isso implica que o Estado tem a obrigação de assegurar a segurança pública como um direito fundamental.']"
13,184,13_direitos_responsabilidade_deve_têm,"['direitos', 'responsabilidade', 'deve', 'têm', 'devem', 'constitucional', 'decidir', 'distribuição', 'esses', 'decisão', 'garantir', 'voto', 'esses direitos', 'Estado', 'integridade', 'Congresso', 'realizadas', 'alterações', 'implica Congresso', 'constitucional implica']","['direitos', 'responsabilidade', 'constitucional', 'distribuição', 'decisão', 'voto', 'Estado', 'integridade', 'alterações', 'leis', 'royalties', 'reajuste', 'servidores', 'crime', 'aposentadorias', 'proposta', 'provenientes', 'ausência', 'específicos', 'cidadãos']","['isso implica que há uma base legal para a distribuição de royalties provenientes da exploração desses recursos.', 'isso implica que os senadores têm a responsabilidade de agir contra atos que consideram inconstitucionais ou ilegais por parte do Governo.', 'isso implica que o Supremo Tribunal Federal não deve legislar ou invadir competências do Poder Legislativo']"
14,179,14_princípios_respeitar_deve_Brasil,"['princípios', 'respeitar', 'deve', 'Brasil', 'constitucionais', 'princípios constitucionais', 'princípios constitucionais implica', 'devem', 'ações', 'recursos', 'Fiscal', 'implica Brasil', 'Estado', 'tem obrigação proteger', 'obrigação proteger', 'desenvolvimento', 'Ministério Público', 'responsabilidade', 'constitucionais implica', 'Ministério']","['princípios', 'constitucionais', 'ações', 'forma', 'recursos', 'direito', 'Estado', 'desenvolvimento', 'tentativa', 'responsabilidade', 'Estados', 'governo', 'indígenas', 'políticas', 'pesquisa', 'decisões', 'direitos', 'processo', 'constitucional', 'medidas']","['isso implica que o Governo Federal deve respeitar os direitos dos cidadãos, incluindo políticas públicas adequadas.', 'isso implica que o governo federal deve respeitar essa divisão e não reter mais recursos do que o estipulado.', 'isso implica que o governo federal deve respeitar essa divisão e não criar artifícios para concentrar mais recursos do que o estabelecido.']"
15,176,15_Estado_parlamentares_cidadãos implica_preservação ambiental,"['Estado', 'parlamentares', 'cidadãos implica', 'preservação ambiental', 'deve', 'implica parlamentares', 'implica Estado', 'garantir', 'cidadãos', 'determinação constitucional', 'não', 'implica governo', 'determinação', 'preservação', 'garantir esses', 'governo', 'devem', 'mas', 'Congresso', 'constitucional']","['Estado', 'parlamentares', 'cidadãos', 'determinação', 'educacionais', 'preservação', 'governo', 'acessíveis', 'saúde', 'constitucional', 'serviços', 'processo', 'constitucionais', 'responsabilidade', 'Judiciário', 'liberdade', 'ambiental', 'obrigação', 'recursos', 'direitos']","['Isso implica que o Estado tem a obrigação de fornecer serviços de saúde adequados e acessíveis a todos.', 'isso implica que o Estado tem a responsabilidade de garantir esses direitos aos cidadãos.', 'isso implica que o Estado tem a obrigação de fornecer serviços de saúde acessíveis a todos os cidadãos.']"
16,167,16_implica Estado_Estado_não_cidadãos,"['implica Estado', 'Estado', 'não', 'cidadãos', 'proteger', 'implica qualquer', 'implica qualquer tentativa', 'constitucionais', 'tem obrigação', 'devem', 'implica Estado tem obrigação', 'Estado tem obrigação', 'democracia', 'deve', 'Brasil implica', 'independentemente', 'cidadãos implica', 'acordo normas constitucionais', 'implica Estado tem', 'Estado tem']","['Estado', 'cidadãos', 'constitucionais', 'tentativa', 'democracia', 'forma', 'obrigação', 'inconstitucional', 'direitos', 'social', 'segurança', 'contribuição', 'setores', 'emendas', 'atendimento', 'constitucional', 'seguridade', 'acordo', 'pessoas', 'ações']","['isso implica que o Judiciário está agindo além de suas atribuições constitucionais, afetando a democracia e a segurança jurídica no Brasil', 'isso implica que a Zona Franca de Manaus tem um respaldo constitucional que justifica sua continuidade e a necessidade de prorrogação dos incentivos fiscais.', 'isso implica que o Estado tem a obrigação de garantir esse atendimento a todos os cidadãos.']"
17,163,17_cidadãos_implica cidadãos têm_implica cidadãos_cidadãos têm,"['cidadãos', 'implica cidadãos têm', 'implica cidadãos', 'cidadãos têm', 'implica cidadãos têm direito', 'têm', 'deve', 'cidadãos têm direito', 'pública', 'Congresso', 'nas', 'não pode', 'processo legislativo implica', 'legislativo implica', 'têm direito', 'fornecer', 'participar', 'pública qualidade', 'presidente', 'Congresso Nacional']","['cidadãos', 'processo', 'pública', 'exercício', 'direito', 'presidente', 'qualidade', 'mandato', 'Presidente', 'nível', 'ações', 'constitucional', 'legais', 'responsabilidade', 'saúde', 'base', 'direitos', 'Estado', 'governo', 'União']","['isso implica que o projeto de lei em questão está dentro da competência legislativa da União.', 'isso implica que os cidadãos têm o direito de participar diretamente do processo legislativo.', 'isso implica que os cidadãos têm o direito de questionar ações governamentais que considerem ilegais ou abusivas.']"
18,157,18_não_decreto_direitos_impeachment,"['não', 'decreto', 'direitos', 'impeachment', 'salário', 'Estado', 'devem', 'mas', 'princípios', 'Nacional', 'estrutura', 'constitucionais', 'implica há necessidade', 'implica qualquer', 'esses direitos', 'constitucionais implica qualquer', 'princípios constitucionais', 'Congresso Nacional', 'têm', 'Congresso']","['decreto', 'processo', 'direitos', 'golpe', 'impeachment', 'salário', 'Estado', 'princípios', 'estrutura', 'constitucionais', 'leis', 'Congresso', 'política', 'responsabilidade', 'conformidade', 'urgente', 'inconstitucional', 'legítimo', 'constitucional', 'políticas']","['isso implica que qualquer decreto que altere o orçamento sem essa autorização é inconstitucional.', 'isso implica que mudanças significativas na estrutura do Estado ou em direitos podem ser feitas através do processo legislativo adequado.', 'isso implica que qualquer decreto de crédito suplementar emitido sem essa autorização é ilegal.']"
