Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3732,-1_deve_direitos_Federal_Estado,"['deve', 'direitos', 'Federal', 'Estado', 'Senado', 'União', 'permite', 'saúde', 'República', 'devem', 'Estados', 'Presidente', 'liberdade', 'impeachment', 'Municípios', 'Brasil', 'brasileira', 'responsabilidade', 'fundamentais', 'pública']","['direito', 'direitos', 'Estado', 'lei', 'Senado', 'União', 'processo', 'saúde', 'República', 'Estados', 'Presidente', 'liberdade', 'impeachment', 'social', 'Municípios', 'brasileira', 'responsabilidade', 'fundamentais', 'recursos', 'pública']","['a Constituição estabelece que, quando o Presidente da República comete um crime de responsabilidade, é julgado pelo Congresso.', 'a Constituição do Brasil condiciona que todos são iguais perante a lei.', 'A Constituição estabelece que todos são iguais perante a lei, sem distinção de qualquer natureza, e que é dever do Estado garantir direitos como educação, saúde e segurança.']"
0,1741,0_direitos_não_Federal_Presidente,"['direitos', 'não', 'Federal', 'Presidente', 'Estado', 'Nacional', 'República', 'permite', 'Congresso Nacional', 'Congresso', 'pública', 'União', 'constitucional', 'Presidente República', 'saúde', 'Senado', 'respeitada', 'trabalhadores', 'Brasil', 'Estados']","['direitos', 'direito', 'Estado', 'lei', 'pública', 'social', 'União', 'constitucional', 'saúde', 'recursos', 'Senado', 'trabalhadores', 'Estados', 'liberdade', 'iguais', 'princípio', 'política', 'anos', 'emenda', 'Municípios']","['a Constituição estabelece que o Ministério Público é essencial à função jurisdicional do Estado e que a ele incumbe a defesa da ordem jurídica, do regime democrático e dos interesses sociais e individuais.', 'a Constituição estabelece que cabe ao Congresso Nacional sustar atos normativos do Poder Executivo que exorbitem do poder regulamentar ou dos limites de delegação legislativa.', 'A Constituição estabelece a competência privativa do Congresso Nacional para sustar os atos normativos do Poder Executivo que exorbitem do poder regulamentar ou dos limites de delegação legislativa.']"
1,448,1_direitos_sociais_parlamentares_princípios,"['direitos', 'sociais', 'parlamentares', 'princípios', 'Estado', 'direito', 'Municípios', 'democrático', 'permite', 'papel', 'liberdade', 'Estados', 'saúde', 'impessoalidade', 'publicidade eficiência', 'direitos sociais', 'emendas', 'Presidente', 'legalidade', 'moralidade']","['direitos', 'sociais', 'parlamentares', 'princípios', 'Estado', 'direito', 'Municípios', 'democrático', 'papel', 'liberdade', 'dever', 'trabalho', 'Estados', 'saúde', 'impessoalidade', 'processo', 'emendas', 'Presidente', 'legalidade', 'moralidade']","['a Constituição estabelece que é dever da família, da sociedade e do Estado assegurar à criança e ao adolescente, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, além de colocá-los a salvo de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão.', 'a Constituição consagra um sistema de princípios para a administração pública, incluindo legalidade, impessoalidade, moralidade, publicidade e eficiência.', 'a saúde é um direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doenças e de outros agravos e ao acesso universal e igualitário às ações e aos serviços para sua promoção, proteção e recuperação.']"
2,404,2_Nacional_direitos_Congresso_Federal,"['Nacional', 'direitos', 'Congresso', 'Federal', 'não', 'Congresso Nacional', 'responsabilidade', 'indígenas', 'direito', 'impeachment', 'crimes', 'salários', 'conforme', 'Estado', 'projetos', 'invioláveis', 'partidos políticos', 'privada', 'País', 'projetos lei']","['lei', 'direitos', 'responsabilidade', 'indígenas', 'direito', 'meio', 'impeachment', 'leis', 'crimes', 'salários', 'Estado', 'projetos', 'invioláveis', 'privada', 'pessoas', 'País', 'operações', 'Senado', 'ambiente', 'social']","['a Constituição estabelece que o País tem três Poderes: Executivo, Legislativo e Judiciário, que são independentes e harmônicos entre si, e que esses Poderes vêm das urnas, do povo, da soberania popular, do voto', 'a Constituição estabelece que todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente.', 'a Constituição estabelece que todo poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente.']"
3,365,3_sociais_direito_direitos_nova,"['sociais', 'direito', 'direitos', 'nova', 'Estados', 'educação', 'Estado', 'Amapá', 'públicos', 'dever Estado', 'saúde', 'Federal', 'Presidente', 'direito todos', 'voto', 'direito todos dever Estado', 'direito todos dever', 'todos dever', 'todos dever Estado', 'deve']","['sociais', 'direito', 'direitos', 'nova', 'Estados', 'dever', 'educação', 'Estado', 'públicos', 'caminho', 'saúde', 'Presidente', 'voto', 'servidores', 'União', 'previdenciários', 'indígenas', 'anos', 'principais', 'organização']","['a saúde é um direito de todos e um dever do Estado, e que os impostos devem ter caráter pessoal e serem graduados segundo a capacidade econômica do contribuinte.', 'a Constituição de 1988 consagra ideais igualitários e estabelece que a saúde é um direito de todos e dever do Estado.', 'a saúde é um direito de todos e dever do Estado.']"
4,354,4_Brasil_educação_fundamentais_direitos,"['Brasil', 'educação', 'fundamentais', 'direitos', 'deve', 'Estado', 'República', 'públicas', 'poderes', 'governo', 'Distrito', 'Distrito Federal', 'devem', 'direito', 'social', 'direitos fundamentais', 'criação', 'princípios', 'sociais', 'trabalho']","['educação', 'fundamentais', 'direitos', 'Estado', 'públicas', 'poderes', 'governo', 'direito', 'social', 'popular', 'criação', 'princípios', 'exercício', 'sociais', 'gastos', 'trabalho', 'igualdade', 'União', 'povo', 'tipo']","['a Constituição estabelece objetivos fundamentais como construir uma sociedade livre, justa e solidária, erradicar a pobreza e a marginalização, reduzir as desigualdades sociais e regionais, e promover o bem de todos sem discriminação.', 'a Constituição estabelece que é dever da família, da sociedade e do Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, além de colocá-los a salvo de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão.', 'a Constituição estabelece que é objetivo fundamental da República Federativa do Brasil erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais.']"
5,351,5_direitos_Federal_devem_Presidente República,"['direitos', 'Federal', 'devem', 'Presidente República', 'República', 'Senado', 'responsabilidade', 'Presidente', 'crime', 'provisórias', 'medidas provisórias', 'eleitorais', 'públicas', 'educação', 'medidas', 'medidas provisórias casos', 'provisórias casos', 'Estado', 'compensação', 'poderes']","['direitos', 'recursos', 'Senado', 'responsabilidade', 'Presidente', 'União', 'crime', 'social', 'provisórias', 'eleitorais', 'públicas', 'educação', 'medidas', 'Estado', 'compensação', 'direito', 'poderes', 'exploração', 'medida', 'meio']","['a Constituição permite a edição de medidas provisórias em casos de emergência.', 'a Constituição permite a edição de medidas provisórias em casos de urgência e relevância.', 'a Constituição estabelece que o Ministério Público é uma instituição permanente, essencial à função jurisdicional do Estado, incumbindo-lhe a defesa da ordem jurídica, do regime democrático e dos interesses sociais, individuais e indisponíveis.']"
6,241,6_permite_educação_polícia_República,"['permite', 'educação', 'polícia', 'República', 'STF', 'Governador', 'social', 'direitos', 'advogado', 'pode alterada', 'atribuição', 'provisórias', 'medidas provisórias', 'Distrito Federal', 'Distrito', 'penal', 'Federal', 'medidas', 'igualdade todos perante', 'igualdade todos perante lei']","['lei', 'educação', 'polícia', 'Governador', 'social', 'direitos', 'advogado', 'atribuição', 'provisórias', 'penal', 'medidas', 'federais', 'mandato', 'propostas', 'serviço', 'condição', 'Executivo', 'casos', 'pública', 'Judiciário']","['a Constituição garante a igualdade de todos perante a lei.', 'a Constituição define o crime de responsabilidade como atentar contra a Lei Orçamentária, ordenar ou autorizar, em desacordo com a lei, a realização de operação de crédito com qualquer um dos demais entes da Federação', 'A Constituição estabelece que uma lei complementar determinará outros casos de inelegibilidade para proteger a probidade administrativa e a moralidade no exercício do mandato.']"
7,211,7_União_Federal_política_medidas provisórias não,"['União', 'Federal', 'política', 'medidas provisórias não', 'provisórias não', 'Estados Distrito', 'Estados Distrito Federal', 'mulheres', 'provisórias', 'medidas provisórias', 'Estados', 'medidas', 'saúde', 'Municípios', 'Distrito Federal', 'Distrito', 'contra', 'constitucional', 'proposta', 'União Estados']","['União', 'política', 'mulheres', 'extraordinário', 'provisórias', 'Estados', 'medidas', 'saúde', 'País', 'Municípios', 'recursos', 'constitucional', 'proposta', 'possibilidade', 'piso', 'Presidente', 'participação', 'controle', 'direito', 'independência']","['a Constituição estabelece que a União deverá prestar assistência financeira complementar a Estados, Distrito Federal e Municípios para que o piso salarial dos agentes comunitários de saúde e de endemias seja implantado.', 'a Constituição estabelece a competência concorrente entre União, Estados e Distrito Federal para legislar em matéria ambiental.', 'a Constituição estabelece a competência concorrente da União, dos Estados e do Distrito Federal para legislar sobre proteção à infância e à juventude, e a competência privativa da União para legislar sobre Direito Penal e Direito Processual Penal']"
8,210,8_crimes_eleições_nacional_não,"['crimes', 'eleições', 'nacional', 'não', 'devem', 'não há', 'Senado', 'aprovar', 'Estado', 'nem', 'República Federativa Brasil', 'Federativa Brasil', 'República Federativa', 'Federativa', 'voto', 'após condenação', 'Brasil', 'República', 'condenação segunda instância', 'lei direito']","['crimes', 'eleições', 'nacional', 'competências', 'Plenário', 'Senado', 'Estado', 'voto', 'construção', 'leis', 'matérias', 'desenvolvimento', 'segurança', 'prisão', 'Regimento', 'abertura', 'criação', 'anos', 'tortura', 'crédito']","['a prisão após condenação em segunda instância é uma questão de segurança jurídica e que o Senado tem a prerrogativa de alterar o Código de Processo Penal para incluir essa hipótese de prisão.', 'a Constituição estabelece objetivos fundamentais para a República Federativa do Brasil, incluindo garantir o desenvolvimento nacional e erradicar a pobreza e a marginalização.', 'a Constituição estabelece objetivos fundamentais para a República Federativa do Brasil, incluindo a construção de uma sociedade livre, justa e solidária, a garantia do desenvolvimento nacional, a erradicação da pobreza e da marginalização e a redução das desigualdades sociais e regionais, além da promoção do bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.']"
