Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3144,-1_vida direito_direito vida direito_direito_direito vida,"['vida direito', 'direito vida direito', 'direito', 'direito vida', 'Federal', 'não', 'nossa', 'Presidente', 'direitos', 'Estado', 'República', 'nós', 'mas', 'País', 'brasileira', 'Brasil', 'constitucional', 'porque', 'União', 'Senado']","['direito', 'vida', 'Presidente', 'direitos', 'Estado', 'País', 'brasileira', 'lei', 'constitucional', 'Senado', 'processo', 'anos', 'pública', 'social', 'sociedade', 'democrático', 'princípio', 'hoje', 'dever', 'emenda']","['Naquela sessão histórica, afirmativa de um dever cumprido há décadas, que volta a ser cumprido a cada dia, assistimos a uma aula de brasilidade em que ficou clara a perfeita realização do ideal dos Constituintes, que, em nome do povo brasileiro, fizeram constar em nossa Carta Magna, em seu primeiro artigo, que a República Federativa do Brasil, formada pela união indissolúvel dos Estados, dos Municípios e do Distrito Federal, constitui-se em um Estado democrático de direito, e que todo poder emana do povo, que o exerce por meio de representantes eleitos.', 'Como bem disse o Senador Flexa, o Congresso Nacional não teve ainda a lembrança de regulamentar uma sequência de artigos da Constituição, que trata dos mais diversos assuntos, inclusive esse trazido agora pelo Senador Flexa. O Supremo faz, e aí reclamam, porque ele fez: ""Está invadindo a competência do Poder Legislativo."" Não! Não está invadindo. Ele está fazendo, porque o Congresso não faz. O Congresso não tem cumprido com suas obrigações.', 'É prerrogativa nossa estar ou não estar ao lado do cidadão, porque, se se dissesse que a CPMF é fulcral para a saúde, é fulcral para os objetivos para os quais ela foi criada... Ela foi criada, anos atrás, num momento de crise do Brasil, para melhorar a saúde, mas não melhorou em coisa nenhuma, pois as filas do SUS continuam por aí. O Brasil mudou, exibe recordes mensais de arrecadação, adquiriu condições e musculatura para que o Governo cumpra com a palavra, porque foi o Governo quem disse que, identificado o aumento da carga tributária, iria tomar providências para diminuir a carga tributária. Que o Governo cumpra sua palavra e concorde conosco, que fique ao lado do cidadão e encerre a cobrança da CPMF, já que ela não cumpriu com seu objetivo. A saúde não melhorou em nada. Se não melhorou, vamos dar um alento ao País.diminuindo a carga tributária, para que os operadores da economia se encorajem em investir. “Ah, o País quebra!” Senador Marconi Perillo, V. Exª não estava na audiência com o Ministro Mantega, o Ministro Temporão e o Ministro Paulo Bernardo. Tive oportunidade de dizer: “Eu não quero, Ministros, jogar com a perspectiva da arrecadação de 2008. Quero fazer a constatação do que está acontecendo em 2007, os dados que já despontaram”. Quanto é que será a arrecadação da CPMF em 2007? Será de R$36 bilhões. Vamos ver se a União poderia prescindir desses R$36 bilhões. V. Exª sabe, tanto quanto eu, que recebemos - isto está escrito e comprovo na hora que quiserem - medidas provisórias que trouxeram para esta Casa propostas de crédito extraordinário, ou seja, excesso de arrecadação, arrecadação não prevista, de R$19 bilhões. Então, já chegou aqui proposta de crédito extraordinário com o excesso de arrecadação não previsto pelo Governo. Ele podia abrir mão de R$19 bilhões da CPMF que colocou para fazer A, B, C, D, qualquer coisa, menos saúde. Então, há R$19 bilhões de excesso de arrecadação comprovados. Já chegou aqui diploma legislativo, o Governo está propondo, pelo excesso de arrecadação, novas destinações para os R$19 bilhões. Despesa discricionária são as despesas fora pagamento de pessoal e encargos. É todo o resto: investimentos, despesa para os Poderes. Mostrei para eles - olhando para eles e debatendo com eles - a seqüência 2004, 2005, 2006, 2007, quanto se empenhou em relação ao que se previa no Orçamento. Empenharam-se, em média, 87%. Se empenharmos 90% das despesas discricionárias de 2007, teremos ainda uma economia de R$11 bilhões. Não precisa haver arrecadação de R$11 bilhões, porque a despesa não acontecerá. Então, podia-se agregar à dispensa da CPMF mais R$11 bilhões. Dezenove com onze são R$30 bilhões. Olhei para o Ministro Mantega e disse: “Ministro Mantega, V. Exª sabe que, na hora em que a CPMF deixar de ser cobrada ou se tivesse deixado de ser cobrada em 2007, a taxa de juros automaticamente cairia, porque se V. Exª, por exemplo, empresta dinheiro ao Governo, compra CDB, o Governo remunera a 11,25% porque aí está embutido o que o emprestador recebe e tem de pagar - tem de pagar - CPMF”. Então, a taxa de juros poderia cair automaticamente 0,93%. A dívida interna do Brasil está R$1,2 trilhão. E 0,9% de R$1,2 trilhão daria, mais ou menos, R$11 bilhões. Que fique a metade, R$5,5 bilhões, de usura. Trinta bilhões de reais com R$5,5 bilhões são R$35,5 bilhões, ou seja, já chegou ao valor da CPMF. O Brasil não quebra coisa nenhuma! E já poderia, em 2007, ter aberto mão da CPMF sem haver absolutamente nenhum sobressalto na economia. E nós, que temos a obrigação de caminhar e defender o interesse do cidadão, temos de fechar questão, como fizemos, o meu Partido há dois meses e o Partido de V. Exª, ontem, em uma atitude histórica, corajosa, que se colocou ao lado do povo, como o povo do Brasil esperava.']"
0,1955,0_não_Federal_nossa_Presidente,"['não', 'Federal', 'nossa', 'Presidente', 'direito', 'República', 'constitucional', 'Estado', 'nós', 'Brasil', 'Senado', 'Nacional', 'foi', 'brasileira', 'direitos', 'porque', 'Supremo', 'mas', 'Congresso', 'País']","['Presidente', 'direito', 'constitucional', 'Estado', 'anos', 'brasileira', 'direitos', 'lei', 'Congresso', 'País', 'processo', 'emenda', 'crime', 'povo', 'poder', 'legislação', 'princípios', 'Executivo', 'proposta', 'Estados']","['A democracia é uma forma de governo que, entre outros princípios, se baseia na igualdade plena entre homens e mulheres. Não é outra a dicção da Constituição Federal de 1988, no art. 5º, inciso I, que eleva tal igualdade à condição de cláusula pétrea, que diz: Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: I -- homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição [...].', 'Este prazo aqui consubstanciou uma regra de jogo da Constituição. Sr. Presidente, o nosso Regimento Interno do Senado é vulnerável a acordos de Líderes – diz-se isso no Regimento Interno –, mas a Constituição não é vulnerável a acordo. Não há acordo, de quem quer que seja, acima da Constituição, e é a Constituição que define o prazo que aqui está.', '""não temos uma democracia na nossa nação! O mundo precisa saber disto: que, no Brasil, não se respeita o devido processo legal, especialmente, por aqueles que não tiveram nenhum voto, mas são os primeiros guardiões da nossa Constituição – deveriam ser –, porque são Ministros do Supremo Tribunal Federal.""']"
1,516,1_não_Federal_direito_Presidente,"['não', 'Federal', 'direito', 'Presidente', 'foi', 'nossa', 'constitucional', 'Estados', 'aqui', 'União', 'diz', 'essa', 'porque', 'Brasil', 'Congresso', 'Poder', 'direitos', 'anos', 'disse', 'Municípios']","['direito', 'lei', 'Presidente', 'constitucional', 'Estados', 'União', 'forma', 'direitos', 'anos', 'processo', 'poder', 'Estado', 'emenda', 'regra', 'povo', 'brasileira', 'acordo', 'tempo', 'País', 'sociais']","['A apreciação do PL nº 4.731, de 2023, diretamente pelo Plenário desta Casa, tem fundamento no art. 345 do Regimento Interno do Senado Federal, uma vez concedida a urgência na tramitação mediante a aprovação do Requerimento nº 530, de 2024. No aspecto constitucional, o Congresso Nacional é competente para legislar sobre o IPI, de acordo com os arts. 24, inciso I, e 153, inciso IV, da Constituição Federal.', 'Essa é uma vitória da população brasileira. É uma vitória do povo brasileiro. É uma vitória de todo o Brasil, porque, se em 1988, não tivemos condições, naquele momento, Senador Paulo Paim, de afirmar na Constituição esses direitos, nós tivemos condições de fazê-lo 25 anos depois.', 'Por isso, Sr. Presidente, que a juventude está aí – repito – nas ruas, fazendo ecoar um retumbante grito de alerta, dizendo em alto e bom som que não aceita o congelamento dos investimentos em educação durante 20 anos, dizendo que a reforma do ensino médio não pode ser imposta sem levar em consideração as diversas particularidades das juventudes, dizendo que a escola sem pensamento crítico é ditadura, como é essa escola desse chamado projeto Escola sem Partido. Mas o Governo Temer continua impassível, revelando-se, a cada dia, mais insensível, mais intolerante ao diálogo com as vozes dissonantes.Depois de 13 anos de avanços e conquistas na área da educação, norteados pelo acúmulo das conferências de educação e pelo amplo debate que resultou na aprovação do Plano Nacional da Educação, estamos testemunhando retrocessos inimagináveis, em pouquíssimos meses, retrocessos que causam uma dor no coração da gente, principalmente no coração de quem é professora, como eu, porque esses retrocessos hoje são simbolizados, por exemplo, pela entrega do Pré-Sal. É um retrocesso brutal, simbolizado pelo congelamento dos investimentos em educação, durante 20 anos, pela PEC do fim do mundo, e pela imposição – repito – de um novo modelo de ensino médio, que não atende aos desafios da educação brasileira.Quero aqui, Senador Paim, dizer que, conforme destacou o ex-ministro da Educação e atual prefeito da cidade de São Paulo, Fernando Haddad, grande Ministro... Haddad vai passar para a história, não apenas como o Ministro mais longevo, que passou mais tempo à frente da Pasta da Educação, nos governos Lula e Dilma, mas já entrou para a história como o melhor Ministro da Educação que este País já teve.Pois bem, o Ministro Fernando Haddad, com a responsabilidade, com a experiência e a sabedoria que ele tem, pelo exercício exitoso enquanto Ministro da Educação, publicou um artigo, no Jornal Folha de S.Paulo, em que ele coloca, Senador Paim, que a proposta de reformulação do ensino médio, formatada na MP nº 746, de 2016, de 22 de setembro de 2016, é um equívoco. E ele coloca, inclusive, que essa proposta, da forma como está, não vai resolver o problema do ensino médio. E ele coloca, inclusive, que a proposta de reformulação do ensino médio, formatada na MP nº 746, de 2016, é uma proposta que, na verdade, não vai resolver o problema do ensino médio. E ele coloca que, ao tornar obrigatório somente o ensino de Língua Portuguesa e de Matemática durante os três anos do ciclo, o MEC estará liberando os Estados do esforço de contratar professores de Física, Química, Biologia, História, Geografia, Filosofia, Sociologia, Artes e Educação Física. E ele coloca que, ao tornar obrigatório somente o ensino de Língua Portuguesa e de Matemática durante os três anos do ciclo, o MEC estará liberando os Estados do esforço de contratar professores de Física, Química, Biologia, História, Geografia, Filosofia, Sociologia, Artes e Educação Física.']"
2,423,2_Federal_Estado_Brasil_Senado,"['Federal', 'Estado', 'Brasil', 'Senado', 'direito', 'nossa', 'também', 'Congresso', 'Presidente', 'constitucional', 'União', 'República', 'saúde', 'País', 'brasileiro', 'direitos', 'educação', 'Não', 'Nacional', 'nós']","['Estado', 'Senado', 'direito', 'Presidente', 'constitucional', 'União', 'saúde', 'País', 'brasileiro', 'direitos', 'educação', 'processo', 'gente', 'povo', 'forma', 'brasileira', 'constitucionais', 'impeachment', 'lei', 'popular']","['A Constituição foi sábia ao colocar, logo em seu artigo 4º, o seguinte: ""A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.""', ""A Nota Informativa da Consultoria do Senado menciona o art. 4º, parágrafo único da Constituição Federal, que diz: 'A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações'."", 'Deliberou também o Supremo Tribunal Federal, também unanimemente, que a aplicação subsidiária do Regimento Interno da Câmara dos Deputados e do Senado Federal ao processamento e julgamento do impeachment não viola a reserva de lei especial imposta pelo art. 85, parágrafo único, da Constituição, desde que as normas regimentais sejam compatíveis com os preceitos legais e constitucionais pertinentes, limitando-se a disciplinar questões interna corporis.']"
3,411,3_Federal_não_Presidente_Congresso,"['Federal', 'não', 'Presidente', 'Congresso', 'Nacional', 'Congresso Nacional', 'diz', 'nossa', 'foi', 'República', 'responsabilidade', 'Senado', 'Estado', 'crime responsabilidade', 'nós', 'Estados', 'constitucional', 'mas', 'brasileira', 'Poderes']","['Presidente', 'lei', 'responsabilidade', 'Senado', 'Estado', 'constitucional', 'brasileira', 'Poderes', 'União', 'direito', 'crime', 'Senadores', 'anos', 'direitos', 'conhecimento', 'pública', 'Câmara', 'desenvolvimento', 'projeto', 'democracia']","['Os direitos dos credores da massa falida proprietária são meros direitos patrimoniais. Eles têm fundamento em uma lei também menor, uma lei ordinária, cuja aplicação não pode contrariar preceitos expressos na Constituição. O principal deles está inscrito logo no art. 1°, III, que indica a dignidade da pessoa humana como um dos fundamentos da República. Esse valor permeia toda a ordem jurídica e obriga a todos os cidadãos, inclusive os chefes de Poderes. Outro princípio constitucional foi afrontado: o da função social da propriedade.', 'Por oportuno, quero relembrar aqui o art. 3º da Constituição de 1988, de belo acabamento jurídico, que reza o seguinte sobre os objetivos fundamentais da República Federativa do Brasil: I - construir uma sociedade livre, justa e solidária; II - garantir o desenvolvimento nacional; III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais; IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.', 'O art. 3o de nossa Constituição - aqui relembro - diz: Art. 3o Constituem objetivos fundamentais da República Federativa do Brasil: I - construir uma sociedade livre, justa e solidária; II - garantir o desenvolvimento nacional; III - [enfatizamos este inciso] erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais; IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.']"
4,407,4_Federal_não_fundamentais_Municípios,"['Federal', 'não', 'fundamentais', 'Municípios', 'Presidente', 'nossa', 'diz', 'Nacional', 'direitos', 'Estados', 'princípios', 'Tribunal', 'República', 'direito', 'Estado', 'pública', 'decisão', 'nós', 'Congresso', 'Brasil']","['lei', 'fundamentais', 'Presidente', 'direitos', 'Estados', 'princípios', 'direito', 'Estado', 'pública', 'decisão', 'Carta', 'recursos', 'instituições', 'sociais', 'importante', 'democracia', 'Legislativo', 'garantia', 'União', 'política']","['defendo uma participação mais equitativa dos royalties, para que um dos objetivos fundamentais da República Federativa do Brasil, no artigo 3ª da nossa Constituição, que é “erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais”, possa ser cumprido.', 'Vejam bem o que diz a Constituição. E a aniversariante do dia fez a gentileza de imprimir para mim, aqui, o trecho da Constituição. O art. 5º da Constituição, um dos mais importantes, que trata dos direitos e garantias fundamentais, diz o seguinte, no caput: Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: LIV – ninguém será privado da liberdade ou de seus bens sem o devido processo legal; LVII – ninguém será considerado culpado até o trânsito em julgado de sentença penal condenatória;', 'De fato, entre os objetivos fundamentais da República Federativa do Brasil, tal como listados no art. 3º da nossa Carta Magna, constam os seguintes, entre aspas: ""construir uma sociedade livre, justa e solidária"" (inciso I); entre aspas: ""erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais"" (inciso III); ""promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação"" (inciso IV).']"
5,389,5_Federal_não_Estado_contra,"['Federal', 'não', 'Estado', 'contra', 'direito', 'nossa', 'União', 'também', 'Governo', 'mas', 'processo', 'pública', 'social', 'nós', 'República', 'votação', 'Presidente', 'educação', 'responsabilidade', 'porque']","['Estado', 'direito', 'União', 'processo', 'pública', 'social', 'lei', 'República', 'votação', 'Presidente', 'educação', 'responsabilidade', 'direitos', 'brasileiros', 'constitucional', 'exercício', 'forma', 'saúde', 'mínimo', 'parte']","['A nova Carta Política, então, logo em seu art. 1º, redefine a República Federativa como Estado democrático de direito e, ao longo de todo o seu texto, deixa claro que a eleição para todos os cargos que trazem consigo a atribuição de presidir ou governar, ressalvados os cargos de Prefeito de Municípios com menos de 200 mil eleitores, demanda a votação em dois turnos quando nenhum dos candidatos atinge a maioria absoluta na primeira votação.', 'O que a gente vai fazer se o povo for para a rua e ficar na rua dizendo: ""Eu não quero só impeachment da Dilma, eu quero o impeachment de todos""? Aliás, há até uma maneira prática de fazer isso. Vai haver eleição para prefeito, e se faria junto a eleição para todo mundo. E até aquela ideia que alguns defendem - eu nem sou tão simpático -, de coincidência da eleição municipal com nacional, seria feita, atendendo a um anseio do povo.Mas, tirando isso, nós temos que estar preparados para o dia seguinte ao Governo com a Dilma ou ao Governo com o Temer. Temos que estar preparados, supondo que não haverá a cassação dos dois pelo TSE. Se houver, temos que estar preparados.Implícito: O orador menciona a necessidade de casar a legitimidade do que o povo quer com a legalidade das regras, o que sugere uma referência à Constituição como norma jurídica que estabelece essas regras.', 'V. Exª construiu, como já disse, uma explicação muito ampla da conveniência de extinguirmos esse imposto de uma vez por todas. V. Exª não se colocou contra Governo ou contra posições, mas a favor do Brasil. Lamento muito que eu não tenha podido votar a favor do seu relatório, porque fui retirado da CCJ justamente no momento em que V. Exª ia ler o relatório, mas pode estar certa de que, sem nenhuma modificação, estarei aqui no plenário votando a favor do seu relatório. Tenho certeza que os Senadores não vão deixar passar essa oportunidade de tirar dos ombros dos brasileiros todo esse encargo injusto que é a CPMF. E é bom que se diga muitas vezes aqui, porque o Governo e os seus defensores espalham que o pobre que não mexe com cheque não paga CPMF, como eu já disse várias vezes em pronunciamento, que o pobre do Bolsa-Família paga CPMF quando compra o pãozinho, o leite, o arroz e o feijão. E quem paga CPMF no cheque paga de novo quando compra esses produtos. Então, temos que começar uma reforma tributária acabando com esse imposto. O Governo está dizendo que vai isentar 35 milhões de brasileiros. Por que ele não isenta logo todos os brasileiros? E, aí, cada brasileiro que tiver que pagar CPMF fica com seu dinheiro para usar com a sua família, para a dona de casa comprar os alimentos e pagar a escola dos seus filhos. Quero, portanto, parabenizar V. Exª pela coragem, pela mulher corajosa que é, e dizer que, na votação em plenário, estaremos ao seu lado para defender o fim desse imposto injusto e mentiroso.']"
6,387,6_não_Federal_Estado_nossa,"['não', 'Federal', 'Estado', 'nossa', 'todos', 'porque', 'Brasil', 'nós', 'há', 'direito', 'República', 'direitos', 'Casa', 'sim', 'Presidente', 'mas', 'povo', 'brasileira', 'Regimento', 'União']","['Estado', 'direito', 'direitos', 'Presidente', 'povo', 'brasileira', 'Regimento', 'lei', 'democracia', 'Senado', 'decisão', 'processo', 'sociedade', 'princípios', 'termos', 'leis', 'princípio', 'constitucional', 'social', 'poder']","['E, se fez o tratamento convencional e não teve resultado, por que não tentar utilizar qualquer oportunidade que tem pela frente? Por que proibir isso? A Associação Médica entrou no Supremo Tribunal Federal, e está suspensa a lei, que nós aqui autorizamos, de distribuição e produção desse medicamento, infelizmente. Eu vejo isso com preocupação, mas esses médicos que assinaram essa petição não têm amor à vida. Eles não têm a mãe deles com câncer, eles não têm uma filha com câncer. Se vocês tivessem, vocês saberiam dar valor à vida. Infelizmente, não fizeram e entraram para deixar parada a produção e distribuição. Enquanto isso, a população fica à mercê da necessidade de um tratamento de saúde melhor daquele que já tem hoje no mercado. Não vamos dispensar o que está aí, mas se tiver outro, alternativo, cada um é dono da sua vida, e a Constituição é clara: nós temos direito à vida.', 'Termino o meu pronunciamento nesta tarde lembrando, Sr. Presidente, o art. 196 da nossa Constituição, que precisa de efetividade em muitos cantos deste País, e em Sergipe não é diferente. Diz esse artigo: A saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, [para sua] proteção e [sua] recuperação.', 'Os Parlamentares são invioláveis, conforme o art. 53, em suas opiniões, palavras e votos. Como Presidente do Senado Federal, eu peço ao Supremo Tribunal Federal que, na linha do diálogo e do entendimento que eu tenho buscado manter com todos os Poderes, ele possa fazer, na via contrária, a este Senado e a este Poder. O art. 53 é claro, não há o que se discutir em relação a Deputados e Senadores. Volto a repetir: ""[...] são invioláveis, civil e penalmente, por quaisquer de suas opiniões, palavras e votos"".']"
7,333,7_Federal_não_Estado_Senado,"['Federal', 'não', 'Estado', 'Senado', 'responsabilidade', 'República', 'porque', 'Presidente', 'nós', 'competência', 'direitos', 'temos', 'constitucional', 'Sr', 'só', 'segurança', 'também', 'Estados', 'Sr Presidente', 'Poder']","['Estado', 'lei', 'Senado', 'responsabilidade', 'Presidente', 'Câmara', 'competência', 'direitos', 'atos', 'constitucional', 'segurança', 'leis', 'mais', 'Estados', 'texto', 'País', 'constitucionais', 'forma', 'termos', 'anos']","['O art. 85 da Constituição estabelece como crimes de responsabilidade do Presidente da República atos que atentem contra a Constituição Federal e especialmente contra a existência da União; o livre exercício do Poder Legislativo, do Poder Judiciário, do Ministério Público e dos Poderes constitucionais das unidades da Federação; o exercício dos direitos políticos, individuais e sociais; a segurança interna do País; a probidade na administração; a lei orçamentária; e o cumprimento das leis e das decisões judiciais.', 'A Presidente Dilma não está sendo julgada pelo que ela diz, pelo que ela pode dizer, pelo que dizem as testemunhas. Está sendo julgada pelos atos que praticou no exercício do mandato de Presidente da República e que, a nosso ver, são atos que consubstanciam, sim, o crime de responsabilidade, em afronta à Constituição, atingindo pilares básicos da Lei de Responsabilidade Fiscal e afrontando também este Poder da República, o Poder Legislativo.', 'Explique-se, Sr. Presidente, o poder constituinte originário, aquele que criou a Constituição de 1988, dispôs, em seu art. 134, o seguinte: “A Defensoria Pública é instituição essencial à função jurisdicional do Estado, incumbindo-lhe a orientação jurídica e a defesa, em todos os graus, dos necessitados, na forma do próprio art. 5º”, da Lei Fundamental.']"
8,300,8_não_Federal_nossa_só,"['não', 'Federal', 'nossa', 'só', 'Presidente', 'Brasil', 'União', 'há', 'Público', 'Tribunal', 'social', 'PEC', 'País', 'Estado', 'também', 'mas', 'constitucional', 'diz', 'direito', 'Tribunal Contas']","['anos', 'Presidente', 'União', 'processo', 'social', 'País', 'Estado', 'constitucional', 'direito', 'assistência', 'direitos', 'sigilo', 'constitucionais', 'obrigação', 'mesmo', 'democracia', 'emenda', 'Orçamento', 'igual', 'importante']","['Avalio que essa informação prestada pela Época é grave, pois a nossa Constituição é clara ao dizer, dentro do título Dos Direitos e das Garantias Fundamentais, conforme se lê no inciso X do art. 5º da nossa Constituição, que: X - são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação. Vou ler, também, o inciso XII: XII - é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal.', 'Para dar resposta a esse desafio, o Governo interino apresentou a PEC 241, de 2016, que fixa, para cada exercício, durante 20 anos, limites individualizados para despesa primária total do Poder Executivo, do Poder Judiciário, do Poder Legislativo, inclusive o Tribunal de Contas da União, do Ministério Público da União e da Defensoria Pública da União. A base inicial é a despesa primária realizada em 2016, corrigida pelo IPCA desse mesmo ano e assim sucessivamente para os exercícios subsequentes, ou seja, a proposição objetiva promover um congelamento do gasto primário em termos reais.', 'A desigualdade existente não tem amparo constitucional. Muito pelo contrário, a Constituição da República Federativa do Brasil elenca princípios e diretrizes, verdadeiras normas que não são aplicadas, quando o assunto é tratamento dispensado pela União à dívida do Estado de Alagoas. Senão, vejamos a Constituição: Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil: I - construir uma sociedade livre, justa e solidária; II - garantir o desenvolvimento nacional; III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais; IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.']"
