Topic,Words,Frequency,Timestamp
-1,"bilhões, direito, Federal, CPMF, Estado",233,2007
0,"não, Federal, Presidente, República, constitucional",200,2007
1,"requerimentos, hierarquia, Banco, paga, Constituições",31,2007
2,"Poder, penalmente inimputáveis, inimputáveis, ADCT, então Território",18,2007
3,"Federal, respeitar, perda mandato, perda, hoje",34,2007
4,"proventos qualquer natureza, arrecadação impostos renda, proventos qualquer, impostos renda, industrializados",2,2007
5,"CPMF, paga, Governo, relatório, injusto",25,2007
6,"não respeita, respeita, PIB, Estado direito, Nação",16,2007
7,"aceitar, ninguém pode, ninguém, inocente, também tem",9,2007
8,"anos, informação, criar, CPI, político",18,2007
9,"porque essa, cassação mandato, essa questão, depende, União",34,2007
10,"não existe, saúde, houver, mudanças, deliberação",17,2007
11,"ou emprego, cargo ou, admitir, emprego, provas",21,2007
12,"apresentei, final ano, quarenta, apresentei PEC, este Governo",13,2007
13,"não quer, Nacional Justiça, Congresso, Nacional, requisitos",24,2007
14,"saúde pública, receita corrente, pública, exclui, nova Federal",14,2007
15,"Plano Real, Governadores, Plano, verdade, temos nos",13,2007
16,"Partido, emana povo nome, povo nome, meu Partido, direta inconstitucionalidade",8,2007
17,"escolas, respeitado, Demóstenes Torres, essa matéria, inconstitucionais",5,2007
18,"garantido, votos, acusados, bloco, tivesse sido",14,2007
19,"pensamento, todos iguais, contrário, nós não, Direitos",16,2007
20,"dever, saúde dever Estado, saúde dever, não posso, posso",3,2007
21,"Arthur, diz crime discriminar, racional, negro, ações saúde",9,2007
22,"inúmeras, qualquer norma, pressões, assegurada nossa, condição Estado",10,2007
23,"discutir, melhor, menos quatro, ou calamidade pública, regimentos",4,2007
24,"titularidade, autoridades, Supremo Tribunal Federal, Tribunal Federal, Supremo Tribunal",14,2007
25,"contrato, empresa, Estado laico, direito público, público",19,2007
26,"vontade, Câmara não, Estado foi, todos eles, antigo",3,2007
27,"direitos, brasileira, Declaração, públicos, recursos",2,2007
28,"legislação eleitoral, qual, fidelidade partidária, causas, prevalece",8,2007
29,"votação, série direitos, demais proposições até, proposições até votação, proposições até votação final",12,2007
30,"defender, portanto, Aliás não, desvio, ter mais",4,2007
31,"direito igualdade, brasileira direito, igualdade entre, mais importante, homens",2,2007
32,"quem vai, errado, chefe, escolha, crianças",1,2007
33,"rompimento, ordem constitucional, razão, primeira, equivocada",13,2007
34,"não vem, Lula Silva, Lamentavelmente, descumprir, hierarquia",6,2007
35,"direito povo, promover desenvolvimento, vantagens, atribuiu, modificações",3,2007
36,"nosso Regimento, Regimento, nosso, orçamento, nosso povo",3,2007
37,"todos sejam, afrontando, negar, lei está, infringindo",10,2007
38,"discriminar, etnia sexo, brasileira muito, princípios igualdade, clara não",7,2007
39,"categoria, Roraima, defesa Pátria garantia, remuneratória, Pátria garantia",14,2007
40,"Gostaria, chamados, presidencialista, foi criado, vigente",2,2007
41,"Constitucionais, Bernardo Cabral, exportação, público tem, ou redução",10,2007
42,"impedidos, movimento, respeito, estão, duas décadas",3,2007
43,"lei complementar federal, complementar federal, incorporação fusão, criação incorporação fusão, fusão desmembramento",1,2007
44,"controle, doenças, constitucionalmente, cidadão brasileiro tem, cada cidadão",4,2007
45,"fundamental República, República eliminação desigualdades regionais, República eliminação desigualdades, República eliminação, princípio fundamental",6,2007
46,"conseguir, Presidente Dilma, trazer, sufrágio universal, rasgar bandeira",4,2007
47,"CPMF, votação, direitos sociais, arrecadação impostos renda, população",7,2007
48,"estadual, Governador, Brasil, Conselho Nacional, Federal",1,2007
49,"Tribunais, estabilidade, luta, Presidente Ulysses, Presidente Ulysses Guimarães",9,2007
