Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2449,-1_Não aplica_Não_defende_critica,"['Não aplica', 'Não', 'defende', 'critica', 'direitos', 'não', 'aplica Não', 'aplica Não aplica', 'menciona', 'Não aplica Não', 'Não aplica Não aplica', 'democracia', 'mas', 'Brasil', 'constitucional', 'respeito', 'aplica defende', 'Não aplica defende', 'mas não', 'Estado']","['importância', 'direitos', 'direito', 'democracia', 'constitucional', 'respeito', 'processo', 'Estado', 'clara', 'princípios', 'opinião', 'social', 'marco', 'constitucionais', 'relação', 'forma', 'fundamentais', 'emenda', 'positiva', 'papel']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
0,2952,0_aplica_defende_Não_Não aplica,"['aplica', 'defende', 'Não', 'Não aplica', 'critica', 'não', 'direitos', 'menciona', 'aplica Não aplica', 'aplica Não', 'Não aplica Não', 'Não aplica Não aplica', 'mas', 'constitucionais', 'Brasil', 'respeito', 'aplica defende', 'Estado', 'Não aplica defende', 'democracia']","['importância', 'direitos', 'direito', 'constitucionais', 'respeito', 'Estado', 'clara', 'democracia', 'opinião', 'relação', 'constitucional', 'processo', 'necessidade', 'papel', 'princípios', 'governo', 'sociais', 'lei', 'positiva', 'proteção']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
1,2386,1_Não_Não aplica_critica_defende,"['Não', 'Não aplica', 'critica', 'defende', 'não', 'direitos', 'menciona', 'mas', 'aplica Não', 'aplica Não aplica', 'exalta', 'Não aplica Não', 'Não aplica Não aplica', 'constitucionais', 'constitucional', 'Brasil', 'opinião', 'opinião clara', 'não opinião clara', 'não opinião']","['importância', 'direitos', 'constitucionais', 'constitucional', 'direito', 'clara', 'opinião', 'democracia', 'respeito', 'princípios', 'relação', 'necessidade', 'processo', 'papel', 'marco', 'Estado', 'política', 'liberdade', 'emenda', 'brasileira']","['Não se aplica', 'Não se aplica', 'O orador menciona a Constituição de 1988 ao discutir a autonomia dos Municípios e suas obrigações, mas não expressa uma opinião clara sobre a Constituição em si.']"
2,775,2_defende_aplica_Não aplica_Não,"['defende', 'aplica', 'Não aplica', 'Não', 'critica', 'menciona', 'não', 'mas', 'direitos', 'Brasil', 'Federal', 'deve', 'aplica Não aplica', 'aplica Não', 'Estado', 'opinião', 'Não aplica Não', 'Não aplica Não aplica', 'aplica defende', 'constitucional']","['importância', 'direitos', 'relação', 'clara', 'Estado', 'opinião', 'constitucional', 'marco', 'forma', 'fundamentais', 'constitucionais', 'positiva', 'cumprimento', 'governo', 'respeito', 'educação', 'necessidade', 'lei', 'medidas', 'falta']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
3,567,3_aplica_Não aplica_defende_não,"['aplica', 'Não aplica', 'defende', 'não', 'Federal', 'menciona', 'aplica defende', 'aplica Não', 'aplica Não aplica', 'Tribunal', 'Estado', 'Supremo Tribunal Federal', 'Tribunal Federal', 'Não aplica Não', 'Não aplica Não aplica', 'direitos', 'Supremo Tribunal', 'Supremo', 'Não aplica defende', 'constitucionais']","['importância', 'Estado', 'direitos', 'constitucionais', 'clara', 'democracia', 'opinião', 'direito', 'constitucional', 'democrático', 'medidas', 'decisão', 'necessidade', 'social', 'papel', 'relação', 'princípios', 'indígenas', 'positiva', 'terras']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
4,560,4_aplica_Não aplica_Não_defende,"['aplica', 'Não aplica', 'Não', 'defende', 'aplica Não aplica', 'aplica Não', 'Não aplica Não', 'Não aplica Não aplica', 'critica', 'menciona', 'não', 'constitucionais', 'respeito', 'direitos', 'mas', 'Federal', 'aplica Não aplica Não', 'Estado', 'diz respeito', 'diz']","['importância', 'constitucionais', 'respeito', 'direitos', 'processo', 'direito', 'Estado', 'princípios', 'opinião', 'clara', 'constitucional', 'criação', 'apoio', 'relação', 'papel', 'necessidade', 'saúde', 'lei', 'proteção', 'cumprimento']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
5,432,5_Não aplica_Não_aplica Não_aplica Não aplica,"['Não aplica', 'Não', 'aplica Não', 'aplica Não aplica', 'Não aplica Não', 'Não aplica Não aplica', 'direitos', 'menciona', 'não', 'positiva', 'Não aplica defende', 'aplica defende', 'opinião clara', 'opinião', 'mas', 'critica', 'não opinião', 'não opinião clara', 'não opinião clara si', 'constitucionais']","['importância', 'direitos', 'positiva', 'opinião', 'clara', 'relação', 'constitucionais', 'respeito', 'democracia', 'Estados', 'visão', 'direito', 'igualdade', 'constitucional', 'saúde', 'proteção', 'recursos', 'lei', 'princípios', 'garantia']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
6,397,6_aplica_Não aplica_direitos_critica,"['aplica', 'Não aplica', 'direitos', 'critica', 'Não aplica defende', 'aplica defende', 'aplica Não aplica', 'aplica Não', 'não', 'Não aplica Não aplica', 'Não aplica Não', 'menciona', 'democracia', 'defende importância', 'deve', 'Brasil', 'constitucionais', 'emenda', 'respeito', 'decisão']","['direitos', 'importância', 'sociais', 'direito', 'democracia', 'constitucionais', 'emenda', 'respeito', 'decisão', 'Estado', 'necessidade', 'Estados', 'responsabilidade', 'Congresso', 'preocupação', 'medidas', 'reforma', 'igualdade', 'visão', 'positiva']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
7,255,7_aplica_Não aplica_aplica Não aplica_aplica Não,"['aplica', 'Não aplica', 'aplica Não aplica', 'aplica Não', 'não', 'defende', 'Não aplica Não aplica', 'Não aplica Não', 'aplica Não aplica Não', 'direitos', 'exalta', 'legislação', 'menciona', 'constitucionais', 'Brasil', 'impeachment', 'Ele critica', 'constitucional', 'respeito', 'opinião']","['direitos', 'legislação', 'constitucionais', 'impeachment', 'importância', 'constitucional', 'respeito', 'lei', 'opinião', 'clara', 'criação', 'igualdade', 'decisão', 'petróleo', 'Governador', 'cumprimento', 'processo', 'democracia', 'proteção', 'Estado']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
8,229,8_importância_Não aplica_critica_defende,"['importância', 'Não aplica', 'critica', 'defende', 'direitos', 'menciona', 'não', 'Brasil', 'democracia', 'Não aplica Não', 'Não aplica Não aplica', 'aplica Não aplica', 'aplica Não', 'defende importância', 'mas', 'garantir', 'democrático', 'considera', 'opinião clara', 'opinião clara si']","['importância', 'direitos', 'democracia', 'direito', 'relação', 'clara', 'democrático', 'lei', 'opinião', 'jurídica', 'garantias', 'brasileira', 'trabalhadores', 'respeito', 'sociais', 'apoio', 'liberdade', 'marco', 'emenda', 'saúde']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
