Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3041,-1_aprovação_política_social_pública,"['aprovação', 'política', 'social', 'pública', 'políticas', 'direitos', 'governo', 'segurança', 'Brasil', 'propõe', 'democracia', 'desenvolvimento', 'sugerindo', 'Projeto', 'forma', 'reforma', 'medidas', 'Projeto Lei', 'recursos', 'Nacional']","['aprovação', 'política', 'social', 'pública', 'políticas', 'direitos', 'governo', 'segurança', 'saúde', 'democracia', 'justiça', 'desenvolvimento', 'reforma', 'medidas', 'país', 'recursos', 'proposta', 'medida', 'sociais', 'públicas', 'essencial', 'econômico', 'implementação', 'sociedade', 'continuidade', 'transparência', 'reformas', 'criação', 'atual', 'falta']","['Por causa disso, o orador acredita que a aprovação da PEC 64 trará benefícios significativos para a saúde pública e o desenvolvimento social do país, ao garantir um direito fundamental às mulheres e crianças.', 'Por causa disso, o orador defende a aprovação da PEC 98 como uma medida necessária para corrigir a desigualdade de gênero na política e promover a justiça social.', 'Por causa disso, o orador apoia a continuidade das reformas estruturais e a agenda econômica do Governo Federal, que incluem a privatização e concessão de serviços públicos, como forma de promover o desenvolvimento econômico e social do Brasil.']"
0,845,0_visa_PEC visa_Lei visa_Projeto Lei visa,"['visa', 'PEC visa', 'Lei visa', 'Projeto Lei visa', 'aprovação', 'apoia Projeto', 'apoia aprovação', 'lei visa', 'projeto lei visa', 'visa garantir', 'apoia Projeto Lei', 'apoia projeto', 'apoia PEC', 'apoia PEC visa', 'apoia projeto lei', 'Senado visa', 'apoia Projeto Lei visa', 'aprovação Projeto', 'promovendo', 'Brasil']","['aprovação', 'emenda', 'forma', 'Senador', 'social', 'justiça', 'desenvolvimento', 'recursos', 'maior', 'legislação', 'segurança', 'sistema', 'educação', 'direitos', 'pessoas', 'inclusão', 'econômico', 'pública', 'autoria', 'Estados', 'projetos', 'criação', 'reforma', 'qualidade', 'jurídica', 'condições', 'sociais', 'deficiência', 'brasileiro', 'país']","['Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 520, de 2021, que visa melhorar o atendimento a diabéticos nos serviços diagnósticos, e a Emenda nº 2, que enfatiza a prevenção e tratamento de complicações do diabetes.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 3.660, de 2021, que visa eliminar barreiras para pessoas com deficiência ao estabelecer validade indeterminada para laudos de deficiência permanente.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 3.383, de 2021, que visa integrar saúde e educação para melhorar a atenção psicossocial nas escolas.']"
1,792,1_Brasil_brasileira_política_brasileiro,"['Brasil', 'brasileira', 'política', 'brasileiro', 'reforma política', 'democracia brasileira', 'Brasil defende', 'desenvolvimento', 'destacando', 'Brasil deve', 'social', 'sistema', 'reforma', 'contribuição', 'Brasília', 'reforça', 'aprovação', 'expressa preocupação', 'preocupação', 'Brasil sugere']","['brasileira', 'política', 'democracia', 'brasileiro', 'desenvolvimento', 'social', 'sistema', 'essencial', 'reforma', 'país', 'contribuição', 'aprovação', 'instituições', 'preocupação', 'papel', 'político', 'história', 'defesa', 'direitos', 'sociedade', 'nacional', 'internacionais', 'pública', 'políticas', 'valores', 'partidos', 'brasileiras', 'exemplo', 'saúde', 'regiões']","['Por causa disso, o orador defende a necessidade de uma reforma política abrangente, que ele considera a ""mãe de todas as reformas"", para reequilibrar os Poderes e fortalecer a democracia brasileira.', 'Por causa disso, o orador acredita que a aprovação da PEC contribuirá para a consolidação dos partidos e a promoção da fidelidade partidária, além de ser um passo essencial para a reforma política no Brasil.', 'Por causa disso, o orador defende que a reforma política é essencial para evitar que a política se transforme num empreendimento econômico, o que seria fatal para a democracia brasileira.']"
2,551,2_celebra_democráticos_sociais_democracia,"['celebra', 'democráticos', 'sociais', 'democracia', 'Brasil', 'destacando', 'social', 'política', 'valores', 'conforme', 'conquistas', 'reforça', 'direitos sociais', 'princípios democráticos', 'estabelecido', 'desenvolvimento', 'elaboração', 'democrática', 'Roraima', 'promoção']","['direitos', 'democráticos', 'sociais', 'marco', 'democracia', 'papel', 'social', 'avanços', 'política', 'valores', 'conquistas', 'desenvolvimento', 'elaboração', 'democrática', 'promoção', 'fundamental', 'brasileira', 'justiça', 'democrático', 'reforma', 'atual', 'reformas', 'cidadania', 'políticas', 'estabilidade', 'histórica', 'construção', 'defesa', 'popular', 'progresso']","['Por causa disso, o orador celebra a Constituição de 1988 como um marco na redemocratização do Brasil e na construção da cidadania, destacando seu papel na transformação política e social do país.', 'Por causa disso, o orador celebra o papel histórico da Constituição de 1988 como um marco de liberdade e justiça social, e reforça a necessidade de o Congresso Nacional continuar sendo um espaço de defesa dos direitos e da justiça social.', 'Por causa disso, o orador expressa seu apreço pela Constituição de 1988, destacando-a como um marco de conquistas sociais e cidadania no Brasil.']"
3,509,3_impeachment_processo impeachment_processo_Dilma Rousseff,"['impeachment', 'processo impeachment', 'processo', 'Dilma Rousseff', 'Presidente Dilma Rousseff', 'Presidente Dilma', 'Presidente', 'Presidenta', 'Presidenta Dilma', 'Rousseff argumentando', 'Dilma Rousseff argumentando', 'Presidenta Dilma Rousseff', 'critica processo', 'contra democracia', 'golpe contra democracia', 'necessário', 'argumentando', 'sem', 'governo', 'legítimo']","['impeachment', 'processo', 'golpe', 'Presidente', 'democracia', 'tentativa', 'necessário', 'governo', 'país', 'legítimo', 'constitucional', 'política', 'crise', 'continuidade', 'político', 'econômica', 'ordem', 'base', 'eleições', 'forma', 'democrática', 'mecanismo', 'popular', 'legal', 'decisão', 'mandato', 'instituições', 'pedido', 'oposição', 'confiança']","['Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, acreditando que isso restabelecerá a confiança nos setores da economia e a autoestima dos brasileiros.', 'Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, argumentando que é necessário para restaurar a ordem e a confiança no governo.', 'Por causa disso, o orador critica o processo de impeachment como um golpe contra a democracia e o Estado de direito, defendendo a legitimidade do mandato da Presidente Dilma Rousseff.']"
4,410,4_sugerindo_governo_critica falta_gestão,"['sugerindo', 'governo', 'critica falta', 'gestão', 'critica atual', 'critica postura', 'Governo', 'critica gestão', 'critica governo', 'administração', 'não respeitar', 'política', 'direitos', 'governo atual', 'relação', 'está', 'interpretação', 'oposição', 'atuação', 'país critica']","['governo', 'atual', 'falta', 'gestão', 'postura', 'administração', 'ação', 'política', 'direitos', 'instituições', 'relação', 'políticas', 'interpretação', 'oposição', 'país', 'atuação', 'democrático', 'democracia', 'corrupção', 'pública', 'prática', 'saúde', 'situação', 'ações', 'mídia', 'públicas', 'proposta', 'justiça', 'imprensa', 'decisão']","['Por causa disso, o orador critica o governo atual por sua inação e incompetência, que, segundo ele, abrem espaço para discursos antidemocráticos e ameaçam a estabilidade do regime democrático.', 'Por causa disso, o orador critica a postura do governo anterior e apoia as ações do atual governo que respeitam a Constituição e fortalecem as instituições democráticas.', 'Por causa disso, o orador critica a gestão da Governadora Ana Júlia Carepa, especialmente em relação à segurança pública e à saúde no Estado do Pará, sugerindo que a administração atual é ineficaz e desrespeitosa com a população.']"
5,396,5_educação_Educação_educacionais_professores,"['educação', 'Educação', 'educacionais', 'professores', 'educacional', 'Nacional Educação', 'qualidade', 'Plano Nacional Educação', 'ensino', 'Brasil', 'escolas', 'educação Brasil', 'educação básica', 'prioridade', 'desenvolvimento', 'educação deve', 'educação pública', 'políticas', 'investimentos', 'educação qualidade']","['educação', 'educacionais', 'professores', 'educacional', 'qualidade', 'ensino', 'escolas', 'recursos', 'prioridade', 'desenvolvimento', 'país', 'investimento', 'políticas', 'básica', 'investimentos', 'saúde', 'valorização', 'nacional', 'superior', 'aprovação', 'pública', 'inclusão', 'públicas', 'piso', 'salarial', 'social', 'falta', 'inclusiva', 'forma', 'criação']","['Por causa disso, o orador sugere que a educação deve ser uma prioridade nacional, comparando a necessidade de investimento em educação com o exemplo da Coreia do Sul, que transformou seu sistema educacional em 20 anos.', 'Por causa disso, o orador apoia o Projeto de Lei do Plano Nacional de Educação, que inclui emendas para fortalecer a educação especial e o papel das APAEs, alinhando-se aos preceitos constitucionais de inclusão educacional.', 'Por causa disso, o orador critica a falta de continuidade e cumprimento das leis educacionais, como o Plano Nacional de Educação, e sugere que a educação integral deve ser uma prioridade nacional para evitar desperdícios e retrocessos.']"
6,391,6_expressa_projeto lei_proposta emenda_propõe,"['expressa', 'projeto lei', 'proposta emenda', 'propõe', 'aprovação', 'transparência', 'preocupação', 'legislação', 'apoia aprovação', 'deficiência', 'democracia', 'reforça importância', 'parlamentares', 'pessoas deficiência', 'expressa preocupação', 'busca', 'senadores', 'votação', 'liberdade', 'processo']","['direitos', 'emenda', 'Senador', 'proposta', 'aprovação', 'transparência', 'preocupação', 'legislação', 'pessoas', 'sociedade', 'deficiência', 'democracia', 'parlamentares', 'senadores', 'votação', 'liberdade', 'processo', 'direito', 'legislativo', 'medidas', 'constitucional', 'forma', 'inclusão', 'saúde', 'iniciativas', 'projetos', 'provisórias', 'respeito', 'voto', 'parlamentar']","['Por causa disso, o orador apoia a PEC do voto aberto e o Projeto de Resolução da sessão aberta, que visam aumentar a transparência e a responsabilidade dos parlamentares perante a população.', 'Por causa disso, o orador apoia a aprovação da PEC do voto aberto em todas as modalidades de votação, para garantir a transparência e a responsabilidade dos parlamentares perante seus eleitores.', 'Por causa disso, o orador expressa satisfação com a atitude do Senado em relação ao tema abordado pela proposta de emenda à Constituição, destacando sua importância para o país.']"
7,345,7_Tribunal_Supremo_Supremo Tribunal Federal_Tribunal Federal,"['Tribunal', 'Supremo', 'Supremo Tribunal Federal', 'Tribunal Federal', 'Supremo Tribunal', 'decisão Supremo Tribunal Federal', 'decisão Supremo Tribunal', 'decisão Supremo', 'atuação Supremo', 'atuação Supremo Tribunal', 'atuação Supremo Tribunal Federal', 'critica atuação', 'Congresso Nacional', 'Tribunal Federal sugerindo', 'Supremo Tribunal Federal sugerindo', 'ministros Supremo', 'ministros Supremo Tribunal Federal', 'ministros Supremo Tribunal', 'Federal defende', 'Federal sugerindo']","['decisão', 'atuação', 'ministros', 'indicação', 'decisões', 'democracia', 'mandato', 'impunidade', 'confiança', 'Presidente', 'medidas', 'defesa', 'processo', 'Legislativo', 'relação', 'mudanças', 'justiça', 'instituições', 'maior', 'políticos', 'soberania', 'respeito', 'novos', 'Corte', 'aprovação', 'terras', 'judiciais', 'importante', 'passo', 'ação']","['Por causa disso, o orador defende que o entendimento do Tribunal de Contas da União deve ser revisto, pois considera que a decisão atual afronta a Constituição Federal e uma decisão do Supremo Tribunal Federal, gerando um conflito de competência.', 'Por causa disso, o orador critica a decisão do Supremo Tribunal Federal como uma violação da Constituição e um exemplo de crise na separação dos Poderes.', 'Por causa disso, o orador apoia a decisão do Supremo Tribunal Federal que deu prosseguimento ao projeto de lei sobre os partidos políticos, entendendo que isso fortalece a democracia e a Constituição Federal.']"
8,239,8_fiscal_fiscalização_responsabilidade fiscal_Fiscal,"['fiscal', 'fiscalização', 'responsabilidade fiscal', 'Fiscal', 'Lei Responsabilidade Fiscal', 'Responsabilidade Fiscal', 'Lei Responsabilidade', 'Responsabilidade', 'responsabilidade', 'ajuste fiscal', 'política fiscal', 'justiça fiscal', 'governo', 'meta', 'falta', 'administração', 'fiscalização controle', 'gestão fiscal', 'pública', 'econômica']","['fiscal', 'fiscalização', 'responsabilidade', 'transparência', 'gestão', 'ajuste', 'controle', 'recursos', 'governo', 'meta', 'falta', 'administração', 'gastos', 'públicos', 'pública', 'econômica', 'medidas', 'papel', 'fiscais', 'medida', 'pagamento', 'corrupção', 'públicas', 'proposta', 'justiça', 'emenda', 'necessária', 'constitucional', 'órgãos', 'criação']","['Por causa disso, o orador critica o Projeto de Lei Complementar 93, de 2023, argumentando que ele desfigura a Lei de Responsabilidade Fiscal e cria condições para que o novo arcabouço fiscal seja descumprido, o que considera um retrocesso inédito.', 'Por causa disso, o orador sugere que a responsabilidade fiscal e a conduta dos gestores públicos devem ser rigorosamente avaliadas à luz da Constituição e da Lei de Responsabilidade Fiscal, especialmente em casos de atrasos e operações de crédito.', 'Por causa disso, o orador defende que a responsabilidade fiscal deve ser um princípio que transcenda partidos políticos e que o cumprimento rigoroso da Lei de Responsabilidade Fiscal é essencial para a gestão pública.']"
9,236,9_Presidente_Presidente Senado_Presidente Lula_República,"['Presidente', 'Presidente Senado', 'Presidente Lula', 'República', 'Presidente República', 'apela Presidente', 'Rodrigo', 'Presidenta', 'Presidenta Dilma', 'Presidência', 'Pacheco', 'expressa', 'liderança Presidente', 'Congresso', 'confiança', 'Presidente Dilma', 'decisão Presidente', 'presidente', 'Renan Calheiros', 'Presidente Dilma Rousseff']","['Presidente', 'liderança', 'Presidência', 'Congresso', 'confiança', 'presidente', 'decisão', 'medidas', 'política', 'iniciativa', 'Câmara', 'independência', 'democracia', 'políticas', 'Legislativo', 'presidência', 'posição', 'direitos', 'provisórias', 'aposentados', 'governo', 'diálogo', 'forma', 'país', 'crise', 'eleição', 'candidatura', 'credibilidade', 'Senador', 'mandato']","['Por causa disso, o orador apoia a iniciativa do Presidente do Senado, Rodrigo Pacheco, de impor limites ao STF e debater temas como o mandato para Ministro do Supremo e o fim da reeleição, que favorece o populismo.', 'Por causa disso, o orador expressa apoio à decisão do Presidente do Senado, Rodrigo Pacheco, de prorrogar a CPI da Covid, considerando-a coerente e independente.', 'Por causa disso, o orador apoia a liderança do Presidente do Senado, Rodrigo Pacheco, e defende a importância de respeitar a Constituição como fundamento da democracia.']"
10,234,10_principal defende_principal_defende manutenção_defende Senado deve,"['principal defende', 'principal', 'defende manutenção', 'defende Senado deve', 'defende Senado', 'principal defende manutenção', 'defende necessidade', 'democracia', 'defende importância', 'constitucionais contra', 'defende Senado deve agir', 'defende manutenção princípios constitucionais', 'defende manutenção princípios', 'manutenção princípios constitucionais', 'principal defende manutenção princípios', 'manutenção princípios', 'defende aprovação', 'política', 'liberdade', 'Senado deve agir']","['principal', 'manutenção', 'democracia', 'direitos', 'política', 'liberdade', 'forma', 'respeito', 'poderes', 'justiça', 'aprovação', 'sociedade', 'proteção', 'crise', 'expressão', 'parlamentares', 'solução', 'equilíbrio', 'regulamentação', 'criação', 'democrática', 'contrapoderes', 'vulneráveis', 'medidas', 'revisão', 'governo', 'pessoas', 'país', 'consonância', 'regime']","['por causa disso, o orador principal defende a manutenção dos princípios constitucionais contra qualquer ameaça autoritária.', 'por causa disso, o orador principal defende a manutenção dos princípios constitucionais contra qualquer ameaça.', 'por causa disso, o orador principal defende a manutenção dos princípios constitucionais contra qualquer ameaça.']"
