Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3117,-1_PEC_política_aprovação_Brasil,"['PEC', 'política', 'aprovação', 'Brasil', 'direitos', 'disso orador sugere', 'orador sugere', 'causa disso orador sugere', 'disso orador sugere que', 'orador sugere que', 'governo', 'democracia', 'disso orador defende que', 'orador defende que', 'reforma', 'pública', 'desenvolvimento', 'propõe', 'impeachment', 'segurança']","['política', 'aprovação', 'direitos', 'governo', 'social', 'democracia', 'políticas', 'reforma', 'pública', 'desenvolvimento', 'saúde', 'impeachment', 'importância', 'segurança', 'justiça', 'sociais', 'lei', 'processo', 'medidas', 'medida', 'recursos', 'econômico', 'Estado', 'reformas', 'criação', 'atual', 'essencial', 'legislação', 'sociedade', 'população']","['Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 556, de 2022, que busca assegurar o pagamento justo aos professores, reforçando a valorização do magistério e a justiça social.', 'Por causa disso, o orador se posiciona contra o Projeto de Lei nº 122, argumentando que ele pode levar a injustiças e interpretações errôneas que não estão alinhadas com os princípios constitucionais de liberdade e justiça.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 2.952, de 2022, que busca conferir status de lei à Política Nacional para a Prevenção e Controle do Câncer, fortalecendo e inovando na prevenção e no controle do câncer.']"
0,4789,0_Brasil_Constituição de_política_direitos,"['Brasil', 'Constituição de', 'política', 'direitos', 'democracia', 'sugerindo', 'sugerindo que', 'governo', 'disso orador sugere', 'orador sugere', 'causa disso orador sugere', 'disso orador sugere que', 'orador sugere que', 'Congresso', 'reforma', 'disso orador defende que', 'orador defende que', 'de Por causa disso', 'causa disso orador expressa', 'disso orador expressa']","['política', 'direitos', 'democracia', 'governo', 'importância', 'Congresso', 'reforma', 'social', 'atual', 'desenvolvimento', 'medidas', 'políticas', 'proposta', 'aprovação', 'Estado', 'lei', 'brasileira', 'justiça', 'papel', 'gestão', 'saúde', 'brasileiro', 'relação', 'instituições', 'sociedade', 'constitucional', 'direito', 'democráticos', 'democrático', 'criação']","['Por causa disso, o orador expressa preocupação com a aplicação desigual da Justiça no Brasil, sugerindo que isso atenta contra o Estado de direito e a democracia, conforme a Constituição de 1988.', 'Por causa disso, o orador celebra a Constituição de 1988 como um marco de inclusão social e cidadania, que impulsiona o desenvolvimento econômico do Brasil.', 'Por causa disso, o orador expressa preocupação com o risco à liberdade de expressão no Brasil, destacando a importância de proteger os direitos constitucionais dos cidadãos.']"
1,842,1_visa_que visa_de que visa_Projeto de Lei,"['visa', 'que visa', 'de que visa', 'Projeto de Lei', 'apoia aprovação', 'disso orador apoia aprovação', 'orador apoia aprovação', 'disso orador apoia Projeto', 'apoia Projeto', 'orador apoia Projeto', 'orador apoia Projeto de', 'apoia Projeto de', 'aprovação do', 'PEC que visa', 'orador apoia projeto', 'disso orador apoia projeto', 'apoia Projeto de Lei', 'visa garantir', 'que visa garantir', 'Lei de que visa']","['aprovação', 'lei', 'social', 'Senador', 'justiça', 'desenvolvimento', 'recursos', 'legislação', 'segurança', 'direitos', 'maior', 'sistema', 'transparência', 'pública', 'pessoas', 'econômico', 'Estados', 'maior transparência', 'projetos', 'reforma', 'autoria', 'criação', 'população', 'sociais', 'implementação', 'brasileiro', 'condições', 'deficiência', 'públicas', 'regional']","['Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 542, de 2021, que visa melhorar o ambiente escolar e os indicadores de qualidade do ensino, ao instituir uma semana dedicada à saúde mental nas escolas.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei 2.617, de 2023, que visa a ampliação do ensino em tempo integral, considerando-o constitucional, jurídico e regimentalmente adequado.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 4.380/2015, de 2021, que visa permitir a inclusão do valor referente à aquisição e à instalação de sistema de energia solar fotovoltaica no financiamento do imóvel para moradia.']"
2,396,2_educação_Educação_da educação_educacionais,"['educação', 'Educação', 'da educação', 'educacionais', 'de Educação', 'educacional', 'professores', 'Nacional de Educação', 'Plano Nacional de Educação', 'para educação', 'no Brasil', 'escolas', 'na educação', 'educação no', 'educação como', 'Brasil Por causa', 'Brasil Por causa disso', 'educação Por causa disso', 'educação Por', 'educação Por causa']","['educação', 'educacionais', 'educacional', 'professores', 'qualidade', 'ensino', 'escolas', 'recursos', 'desenvolvimento', 'aprovação', 'importância', 'políticas', 'saúde', 'investimento', 'investimentos', 'lei', 'nacional', 'pública', 'social', 'valorização', 'públicas', 'superior', 'falta', 'criação', 'implementação', 'inclusiva', 'financiamento', 'profissionais', 'metas', 'essencial']","['Por causa disso, o orador critica a falta de continuidade e cumprimento das leis educacionais, como o Plano Nacional de Educação, e sugere que a educação integral deve ser uma prioridade nacional para evitar desperdícios e retrocessos.', 'Por causa disso, o orador apoia o Projeto de Lei do Plano Nacional de Educação, que inclui emendas para fortalecer a educação especial e o papel das APAEs, alinhando-se aos preceitos constitucionais de inclusão educacional.', 'Por causa disso, o orador apoia a proposta de investir 10% do PIB em educação, como parte do Plano Nacional de Educação, para garantir uma educação de qualidade e dignidade aos professores.']"
3,329,3_Tribunal_Supremo_Supremo Tribunal_Supremo Tribunal Federal,"['Tribunal', 'Supremo', 'Supremo Tribunal', 'Supremo Tribunal Federal', 'Tribunal Federal', 'do Supremo', 'do Supremo Tribunal Federal', 'do Supremo Tribunal', 'decisão do Supremo Tribunal', 'decisão do Supremo', 'que Supremo', 'que Supremo Tribunal Federal', 'que Supremo Tribunal', 'atuação do Supremo Tribunal', 'atuação do Supremo', 'Supremo Tribunal Federal que', 'Tribunal Federal que', 'disso orador critica atuação', 'Congresso', 'critica atuação do']","['decisão', 'atuação', 'decisões', 'democracia', 'medidas', 'impunidade', 'poderes', 'justiça', 'relação', 'Ministro', 'Legislativo', 'instituições', 'indígenas', 'postura', 'respeito', 'políticos', 'direitos', 'terras', 'povos', 'judiciais', 'Estado', 'importante', 'passo', 'questão', 'lei', 'importância', 'ação', 'provisórias', 'direito', 'preocupação']","['Por causa disso, o orador critica a decisão do Supremo Tribunal Federal que pode gerar despesas imensuráveis sem a devida consideração do impacto econômico e financeiro.', 'Por causa disso, o orador apoia a decisão do Supremo Tribunal Federal que deu prosseguimento ao projeto de lei sobre os partidos políticos, entendendo que isso fortalece a democracia e a Constituição Federal.', 'Por causa disso, o orador critica a decisão do Supremo Tribunal Federal sobre as vaquejadas, sugerindo que a decisão não considerou adequadamente o valor cultural e social da prática.']"
4,325,4_impeachment_de impeachment_processo de impeachment_impeachment da,"['impeachment', 'de impeachment', 'processo de impeachment', 'impeachment da', 'Presidente Dilma Rousseff', 'Presidente Dilma', 'do processo de impeachment', 'do processo de', 'que processo', 'da Presidente Dilma Rousseff', 'da Presidente Dilma', 'impeachment como', 'impeachment da Presidente', 'impeachment da Presidente Dilma', 'de impeachment da', 'que processo de impeachment', 'de impeachment como', 'que processo de', 'democracia', 'Dilma Rousseff argumentando que']","['impeachment', 'processo', 'golpe', 'Presidente', 'democracia', 'tentativa', 'necessário', 'política', 'governo', 'crise', 'decisão', 'base', 'eleições', 'instituições', 'oposição', 'confiança', 'andamento', 'pedido', 'necessária', 'solução', 'democrático', 'políticos', 'governabilidade', 'leis', 'democráticas', 'soberania', 'inadequada', 'jurídica', 'interesses', 'fundamento']","['Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, considerando-o um mecanismo legítimo para garantir a responsabilidade política e o cumprimento da Constituição.', 'Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, argumentando que ela desrespeitou a Constituição e cometeu crimes que justificam sua remoção do cargo.', 'Por causa disso, o orador apoia o processo de impeachment da Presidente Dilma Rousseff, argumentando que é necessário para evitar o retrocesso político e econômico do país.']"
5,194,5_crimes_Penal_penal_Código Penal,"['crimes', 'Penal', 'penal', 'Código Penal', 'legislação', 'crime', 'drogas', 'maioridade penal', 'maioridade', 'do Código', 'criminalização', 'da maioridade penal', 'penas', 'criminalidade', 'crime de', 'crimes de', 'projeto de lei', 'de drogas', 'impunidade', 'crime organizado']","['crimes', 'penal', 'legislação', 'crime', 'drogas', 'maioridade', 'lei', 'criminalização', 'segurança', 'penas', 'criminalidade', 'impunidade', 'violência', 'pública', 'descriminalização', 'sociedade', 'hediondos', 'aprovação', 'justiça', 'redução', 'reforma', 'corrupção', 'atual', 'sistema', 'projetos', 'proteção', 'importância', 'criação', 'mudanças', 'menores']","['Por causa disso, o orador se opõe à PEC 171/93, que propõe a redução da maioridade penal, argumentando que ela não contribuirá para a redução da criminalidade e agravará a situação dos jovens.', 'Por causa disso, o orador apoia a priorização dos projetos de lei que visam endurecer as punições a criminosos, como a transformação de certos crimes em hediondos e a modernização do Código Penal, para enfrentar a violência no Brasil.', 'Por causa disso, o orador apoia a PEC que propõe a redução da maioridade penal, argumentando que a legislação atual é inadequada para lidar com a criminalidade juvenil.']"
6,143,6_CPI_CPIs_da CPI_uma CPI,"['CPI', 'CPIs', 'da CPI', 'uma CPI', 'de uma CPI', 'CPI da', 'CPI para', 'CPI para investigar', 'das CPIs', 'instalação da CPI', 'de uma CPI para', 'da CPI da', 'uma CPI para', 'que CPI', 'instalação de uma', 'disso orador apoia instalação', 'instalação de uma CPI', 'uma CPI para investigar', 'CPI do', 'investigação']","['CPI', 'CPIs', 'instalação', 'investigação', 'criação', 'transparência', 'governo', 'fiscalização', 'corrupção', 'gestão', 'tentativa', 'oposição', 'empresa', 'condução', 'importância', 'Congresso', 'má', 'imparcial', 'denúncias', 'Judiciário', 'má gestão', 'necessária', 'funcionamento', 'caso', 'integridade', 'nacional', 'uso', 'interesse', 'corporativos', 'interesses']","['Por causa disso, o orador apoia a instalação de uma CPI para investigar as ações de espionagem, destacando a necessidade de proteger os direitos individuais e a soberania nacional, conforme previsto na Constituição de 1988.', 'Por causa disso, o orador defende a instalação de uma CPI para investigar as denúncias contra o Ministro Palocci, mesmo sabendo que a oposição não terá o número de assinaturas necessário para sua viabilização.', 'Por causa disso, o orador apoia a instalação da CPI da Petrobras para investigar e corrigir irregularidades, promovendo a transparência e a eficiência na gestão da empresa.']"
7,122,7_Projeto_Projeto de_Projeto de Lei_Lei,"['Projeto', 'Projeto de', 'Projeto de Lei', 'Lei', 'de Lei', 'Projeto de Lei de', 'do Projeto', 'do Projeto de', 'do Projeto de Lei', 'aprovação do', 'aprovação do Projeto de', 'aprovação do Projeto', 'que Projeto de', 'que Projeto', 'que Projeto de Lei', 'causa disso orador considera', 'que aprovação', 'que aprovação do', 'disso orador considera que', 'orador considera que']","['aprovação', 'segurança', 'necessária', 'busca', 'medida', 'lei', 'legislação', 'essencial', 'direitos', 'injustiças', 'pandemia', 'pessoas', 'vida', 'justa', 'recursos', 'importante', 'nacional', 'necessidades', 'medidas', 'sociais', 'remuneração', 'retrocesso', 'Municípios', 'procedimentos', 'positivo', 'projetos', 'matéria', 'prazo', 'famílias', 'paz']","['Por causa disso, o orador considera que a aprovação do Projeto de Lei nº 4.726, de 2020, é justa e necessária para corrigir distorções tributárias e promover segurança jurídica para as cooperativas de serviços de representação comercial.', 'Por causa disso, o orador defende a aprovação do Projeto de Lei nº 2.626, de 2023, que homenageia Fernando Sabino, destacando sua contribuição à literatura e ao serviço público.', 'Por causa disso, o orador considera que a aprovação do Projeto de Lei de Conversão nº 5, de 2023, é uma medida oportuna e conveniente para garantir segurança jurídica e adequação financeira na remuneração de servidores no exterior.']"
8,110,8_terras_indígenas_de terras_terras indígenas,"['terras', 'indígenas', 'de terras', 'terras indígenas', 'de terras indígenas', 'demarcação de terras', 'demarcação de terras indígenas', 'de demarcação de terras', 'de demarcação de', 'demarcações de terras', 'demarcações de terras indígenas', 'em terras', 'para resolver', 'temporal', 'em terras indígenas', 'indígenas Por causa disso', 'indígenas Por', 'indígenas sugerindo que', 'indígenas sugerindo', 'segurança jurídica']","['terras', 'indígenas', 'demarcação', 'demarcações', 'conflitos', 'direitos', 'temporal', 'jurídica', 'marco', 'interesses', 'política', 'desenvolvimento', 'segurança', 'lei', 'mineração', 'reservas', 'indenização', 'governo', 'soberania', 'nacionais', 'ecológicas', 'exploração', 'rurais', 'questão', 'processos', 'relação', 'áreas', 'Estado', 'nacional', 'abordagem']","['Por causa disso, o orador defende que o governo deve garantir segurança jurídica e respeito às leis nacionais, especialmente em processos de demarcação de terras indígenas, para evitar conflitos e assegurar a justiça social.', 'Por causa disso, o orador critica a atuação do Governo e da FUNAI na demarcação de terras indígenas, sugerindo que a abordagem atual não protege adequadamente os direitos dos indígenas nem dos proprietários de terras.', 'Por causa disso, o orador critica a política de demarcação de terras indígenas e a falta de apoio ao desenvolvimento econômico das comunidades indígenas, sugerindo que a política atual é inadequada e prejudicial.']"
