Topic,Rotulo
-1,"políticas, atual, princípios, política, constitucionais, constitucional, proteção, forma, país, governo, sociais, desigualdades, justiça, social, fundamental, regiões, saúde, sistema, desenvolvimento, sociedade, Estado, públicas, fundamentais, essencial, transparência, papel, legislação, direito, mecanismos, recursos"
0,"necessidades, necessidade, forma, regulamentação, constitucionais, atual, legislação, demandas, sociedade, constitucional, país, princípios, Estado, Senado, aplicação, novas, sociais, urgente, falta, locais, justa, atuais, ajustes, poder, justiça, estrutura, desafios, atual estrutura, suficiente, saúde"
1,"brasileira, brasileiro, democracia, brasileiros, fundamental, marco, povo, internacionais, papel, sociedade, política, importante, significativo, humanos, essencial, avanço, proteção, direito, liberdade, relação, documento, crucial, promoção, sistema, democrático, legislação, estruturação, soberania, cidadania, consolidação"
2,"democrático, democrática, democráticas, democráticos, ordem, manutenção, regime, Estado, direito, instituições, fundamental, país, transição, princípios, tentativa, essencial, avanço, política, militar, defesa, consolidação, risco, significativo, avanços, vitória, integridade, democracia, atual, Direito, ditatorial"
3,"democracia, ameaça, liberdade, fundamental, manutenção, pilar, essencial, desrespeito, expressão, imprensa, ação, ataque, país, poder, tentativa, direito, afronta, liberdades, alternância, preservação, poderes, constitucional, justiça, Estado, individuais, transparência, estrutura, disposições, essenciais, corrupção"
4,"legal, base, legalidade, sólida, devido processo, devido, processo, implementação, ações, defesa, indígenas, marco, corrupção, proteção, igualdade, racial, país, justiça, governamentais, transparência, direito, organização, governo, medidas, humanos, deveres, histórica, práticas, democrático, racismo"
5,"política, políticas, políticos, político, estabilidade, interesses, princípios, constitucionais, decisões, sistema, atual, atual sistema, ações, atuais, atuação, objetivos, conformidade, ação, regras, específicos, pressões, forma, manipulação, atual estrutura, estrutura, respeito, renovação, governamentais, eleitoral, injustiças"
6,"pública, públicos, público, segurança, gestão, administração, transparência, serviço, saúde, agentes, interesse, serviços, recursos, responsabilidade, atual, estrutura, necessidades, financiamento, confiança, mecanismos, Estado, ética, adequado, acesso, constitucional, atual estrutura, informações, falta, prestação, desafios"
7,"marco, avanço, social, sociais, fundamental, proteção, importante, avanços, positivo, país, documento, significativos, democracia, cidadania, brasileira, trabalhadores, história, participação, mulheres, fortalecimento, ditadura, educação, garantia, política, descentralização, retrocesso, trabalhistas, modernização, vida, rurais"
8,"reformas, reforma, necessidade, urgente, previdência, necessárias, sistema, política, princípios, constitucionais, agrária, aspectos, trabalhadores, atual, espaço, transparência, governo, políticas, previdenciária, proteção, fundamentais, processo, social, econômicas, estruturais, profunda, partidos, necessária, cuidadosa, justiça"
