Topic,Rotulo
-1,"atual, constitucionais, princípios, governo, proteção, forma, políticas, ações, justiça, fundamental, população, práticas, saúde, fundamentais, recursos, legislação, Estado, papel, sociedade, ação, realidade, desenvolvimento, guia, mecanismos, base, leis, crise, necessidade, inconstitucional, alteração"
0,"democracia, violação, constitucionais, ameaça, princípios, medidas, atual, país, Estado, necessidades, legislação, fundamentais, provisórias, forma, liberdade, poder, necessidade, desrespeito, papel, ação, direito, sociedade, regulamentação, Senado, tentativa, demandas, aplicação, afronta, desvio, justiça"
1,"políticas, públicas, política, governo, pública, constitucionais, públicos, princípios, base, ações, político, atual, papel, segurança, país, fundamental, sistema, recursos, forma, conformidade, necessidades, educacionais, serviços, igualdade, crucial, regiões, federal, objetivos, fundamentais, atuais"
2,"brasileira, democracia, brasileiro, fundamental, brasileiros, marco, papel, sociedade, política, importante, significativo, proteção, direito, liberdade, relação, crucial, legislação, sistema, consolidação, soberania, constitucionais, cidadania, estruturação, interesses, sociais, participação, expressão, atual, nacional, segurança"
3,"democrático, democrática, democráticas, democráticos, ordem, manutenção, Estado, direito, fundamental, instituições, regime, país, princípios, essencial, tentativa, militar, política, papel, defesa, democracia, consolidação, risco, crucial, atual, integridade, vitória, Direito, ação, seguida, erosão"
4,"legal, base, legalidade, sólida, implementação, ações, indígenas, proteção, país, recursos, governamentais, transparência, educação, governo, organização, regiões, práticas, deveres, medidas, povos, forma, sociais, acesso, controle, movimentos, eficientes, terra, agrária, transparentes, democratização"
5,"marco, fundamental, proteção, importante, positivo, democracia, documento, brasileira, trabalhadores, história, promoção, mulheres, política, pessoas, vida, soberania, nacional, intenções, deficiência, institucional, , , , , , , , , , "
6,"reformas, reforma, necessidade, urgente, necessárias, sistema, constitucionais, princípios, política, atual, trabalhadores, aspectos, transparência, eleitoral, espaço, atuais, proteção, fundamentais, processo, avanços, social, previdenciária, sociedade, maior transparência, maior, necessidades, economia, partidos, necessária, contemporâneos"
7,"impeachment, processo, golpe, legítimo, crime, legal, democracia, constitucionais, tentativa, base, responsabilidade, normas, política, ação, ordem, previsto, legais, uso, democráticos, violação, ferramenta, processos, ameaça, Estado, ações, forma, ato, seriedade, políticas, democrático"
8,"Judiciário, judiciais, decisões, judicial, Legislativo, sistema, constitucionais, processos, princípios, integridade, prerrogativas, atuação, fundamental, necessidade, normas, eficiência, reformas, justiça, necessárias, cidadãos, população, impunidade, governamental, legalidade, decisão, acesso, proteção, pesquisa, privilegiados, candidatura"
9,"normas, constitucionais, falha, aplicação, cumprimento, implementação, parte, atuais, pública, país, seriedade, leis, justo, saúde, sistema, relação, desconsideração, déficit, legado, obstáculo, integração, tributário, autoridades, organização, financiamento, educação, , , , "
10,"cidadãos, proteção, cidadania, fundamental, fundamentais, liberdades, cidadão, Estado, acesso, saúde, violação, interesses, essenciais, constitucionais, soberania, promoção, falha, foco, pessoal, igualitário, padrão, obrigação, obrigações, responsabilidades, alteração, povo, , , , "
11,"fiscal, CPIs, controle, Senado, responsabilidade, governo, papel, públicos, público, gestão, transparência, justiça, Executivo, falha, guerra, recursos, direito, mecanismos, uso, dinheiro, poderes, instrumentos, poder, limites, atual, senadores, bases, federativos, aplicação, cidadãos"
12,"educação, educacional, saúde, financiamento, prioridade, qualidade, recursos, educacionais, básica, áreas, desenvolvimento, direito, país, constitucionais, nacional, sistema, acesso, contínuo, Estado, melhorias, mínimo, adequado, aposentadoria, obrigações, trabalho, diretrizes, dever, estável, igualdade, gestão"
13,"Congresso, responsabilidade, Executivo, papel, CPMF, decisões, constitucionais, crucial, legislativas, funções, ações, decisão, responsabilidades, soberania, legislativo, autoridade, princípios, poder, regular, processo, relevância, dever, fundamentais, diretrizes, lei, elaboração, projetos, continuidade, fundamental, emendas"
14,"mudanças, necessárias, mudança, constitucionais, eleitoral, política, sistema, orador, princípios, desafios, estrutura, forma, sociais, eleitorais, amplo, ano, regras, processo, áreas, suplentes, debate, petróleo, reforma, exploração, interesse, eleições, meio, público, vida, respeito"
15,"documento, fundamentais, cidadania, democracia, valores, inclusão, entidades, sociedade, prol, profissão, adicionais, restrições, direito, governamental, povo, ação, , , , , , , , , , , , , , "
