Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2149,-1_políticas_significa qualquer_está_princípios,"['políticas', 'significa qualquer', 'está', 'princípios', 'política', 'constitucionais', 'constitucional', 'proteção', 'forma', 'entre', 'governo', 'país significa', 'sociais', 'constitucionais significa', 'significa atual', 'busca', 'princípios constitucionais', 'contra', 'mais', 'desigualdades']","['políticas', 'atual', 'princípios', 'política', 'constitucionais', 'constitucional', 'proteção', 'forma', 'país', 'governo', 'sociais', 'desigualdades', 'justiça', 'social', 'fundamental', 'regiões', 'saúde', 'sistema', 'desenvolvimento', 'sociedade', 'Estado', 'públicas', 'fundamentais', 'essencial', 'transparência', 'papel', 'legislação', 'direito', 'mecanismos', 'recursos']","['isso significa que ela busca garantir direitos fundamentais e responsabilidades entre os cidadãos.', 'isso significa que o projeto está em conformidade com os princípios constitucionais.', 'Isso significa que o projeto está em conformidade com os princípios constitucionais']"
0,584,0_respeitada_deve respeitada_necessidades_necessidade,"['respeitada', 'deve respeitada', 'necessidades', 'necessidade', 'há necessidade', 'forma', 'significa deve', 'significa deve respeitada', 'significa há necessidade', 'regulamentação', 'constitucionais', 'legislação', 'significa ela deve', 'significa ela deve respeitada', 'ela deve respeitada', 'estão sendo', 'demandas', 'plenamente', 'significa atual', 'atender necessidades']","['necessidades', 'necessidade', 'forma', 'regulamentação', 'constitucionais', 'atual', 'legislação', 'demandas', 'sociedade', 'constitucional', 'país', 'princípios', 'Estado', 'Senado', 'aplicação', 'novas', 'sociais', 'urgente', 'falta', 'locais', 'justa', 'atuais', 'ajustes', 'poder', 'justiça', 'estrutura', 'desafios', 'atual estrutura', 'suficiente', 'saúde']","['isso significa que ela deve ser respeitada e seguida em suas diretrizes.', 'isso significa que a Constituição deve ser respeitada e aplicada de forma justa e equitativa.', 'isso significa que a Constituição deve ser respeitada e aplicada para garantir esses direitos.']"
1,562,1_Brasil_Brasil significa_brasileira_significa Brasil,"['Brasil', 'Brasil significa', 'brasileira', 'significa Brasil', 'brasileira significa', 'Brasil significa Brasil', 'democracia Brasil', 'democracia Brasil significa', 'Brasil significa ela', 'democracia brasileira', 'brasileiro significa', 'sociedade brasileira', 'democracia brasileira significa', 'Brasil significa há', 'povo brasileiro', 'brasileiros significa', 'Brasil tem', 'significa Brasil tem', 'política Brasil', 'significa ela representa']","['brasileira', 'brasileiro', 'democracia', 'brasileiros', 'fundamental', 'marco', 'povo', 'internacionais', 'papel', 'sociedade', 'política', 'importante', 'significativo', 'humanos', 'essencial', 'avanço', 'proteção', 'direito', 'liberdade', 'relação', 'documento', 'crucial', 'promoção', 'sistema', 'democrático', 'legislação', 'estruturação', 'soberania', 'cidadania', 'consolidação']","['isso significa que o Brasil tem um papel importante e influente na mediação de conflitos internacionais.', 'Isso significa que a Constituição é vista como um marco na consolidação da democracia no Brasil.', 'isso significa que o Brasil se encontra em um momento de plena democracia.']"
2,487,2_democrático_democrática_democráticas_democráticos,"['democrático', 'democrática', 'democráticas', 'democráticos', 'democrática significa', 'ordem democrática', 'democrático significa', 'democráticas significa', 'democrático direito', 'Estado democrático', 'Estado democrático direito', 'instituições democráticas', 'democrático direito significa', 'ordem democrática significa', 'Estado democrático direito significa', 'princípios democráticos', 'regime', 'manutenção ordem', 'instituições democráticas significa', 'democráticos significa']","['democrático', 'democrática', 'democráticas', 'democráticos', 'ordem', 'manutenção', 'regime', 'Estado', 'direito', 'instituições', 'fundamental', 'país', 'transição', 'princípios', 'tentativa', 'essencial', 'avanço', 'política', 'militar', 'defesa', 'consolidação', 'risco', 'significativo', 'avanços', 'vitória', 'integridade', 'democracia', 'atual', 'Direito', 'ditatorial']","['isso significa que ela é fundamental para a manutenção da ordem democrática e dos direitos dos cidadãos.', 'isso significa que ela é fundamental para a manutenção da ordem democrática e das liberdades no país.', 'isso significa que ela é fundamental para a manutenção da ordem democrática.']"
3,273,3_democracia_democracia significa_ameaça democracia_democracia significa qualquer,"['democracia', 'democracia significa', 'ameaça democracia', 'democracia significa qualquer', 'ameaça democracia significa', 'significa qualquer', 'fundamental democracia', 'fundamental', 'manutenção democracia', 'democracia significa ela', 'significa democracia', 'essencial', 'significa qualquer ameaça', 'fundamental manutenção democracia', 'liberdade imprensa', 'manutenção democracia significa', 'significa qualquer desrespeito', 'liberdade expressão', 'pilar fundamental democracia', 'significa qualquer ação']","['democracia', 'ameaça', 'liberdade', 'fundamental', 'manutenção', 'pilar', 'essencial', 'desrespeito', 'expressão', 'imprensa', 'ação', 'ataque', 'país', 'poder', 'tentativa', 'direito', 'afronta', 'liberdades', 'alternância', 'preservação', 'poderes', 'constitucional', 'justiça', 'Estado', 'individuais', 'transparência', 'estrutura', 'disposições', 'essenciais', 'corrupção']","['Isso significa que qualquer ameaça à Constituição é uma ameaça à democracia.', 'isso significa que qualquer ameaça à Constituição é uma ameaça à democracia.', 'Isso significa que qualquer ameaça à Constituição é uma ameaça à democracia.']"
4,248,4_legal_base legal_fornece base legal_fornece base,"['legal', 'base legal', 'fornece base legal', 'fornece base', 'base', 'ela fornece base', 'significa ela fornece base', 'significa fornece', 'significa fornece base legal', 'significa fornece base', 'legalidade', 'base legal sólida', 'oferece base', 'legal sólida', 'devido processo legal', 'marco legal', 'oferece base legal', 'legal significa', 'legal ações', 'fornece base legal ações']","['legal', 'base', 'legalidade', 'sólida', 'devido processo', 'devido', 'processo', 'implementação', 'ações', 'defesa', 'indígenas', 'marco', 'corrupção', 'proteção', 'igualdade', 'racial', 'país', 'justiça', 'governamentais', 'transparência', 'direito', 'organização', 'governo', 'medidas', 'humanos', 'deveres', 'histórica', 'práticas', 'democrático', 'racismo']","['isso significa que a Constituição fornece a base legal para a autonomia e organização dos Municípios.', 'Isso significa que a Constituição fornece a base legal e política para o julgamento.', 'Isso significa que ela fornece uma base legal para exigir ações contra a poluição.']"
5,245,5_política_políticas_políticos_político,"['política', 'políticas', 'políticos', 'político', 'estabilidade política', 'políticas devem', 'sistema político', 'decisões políticas', 'política significa', 'garantir estabilidade política', 'princípios constitucionais', 'interesses políticos', 'significa políticas', 'constitucionais significa', 'princípios constitucionais significa', 'políticas significa', 'políticos significa', 'política deve', 'político significa', 'respeitada garantir estabilidade política']","['política', 'políticas', 'políticos', 'político', 'estabilidade', 'interesses', 'princípios', 'constitucionais', 'decisões', 'sistema', 'atual', 'atual sistema', 'ações', 'atuais', 'atuação', 'objetivos', 'conformidade', 'ação', 'regras', 'específicos', 'pressões', 'forma', 'manipulação', 'atual estrutura', 'estrutura', 'respeito', 'renovação', 'governamentais', 'eleitoral', 'injustiças']","['isso significa que a Constituição deve ser respeitada para garantir a estabilidade política e evitar golpes.', 'isso significa que a Constituição deve ser respeitada para garantir a estabilidade política e a justiça.', 'Isso significa que ela deve ser respeitada para garantir a estabilidade política.']"
6,236,6_pública_públicos_pública significa_público,"['pública', 'públicos', 'pública significa', 'público', 'segurança pública', 'público significa', 'públicos significa', 'Pública', 'Defensoria Pública', 'gestão pública', 'administração pública', 'saúde pública', 'segurança pública significa', 'recursos públicos', 'serviço público', 'significa Defensoria Pública', 'agentes', 'gestão pública significa', 'interesse público', 'serviço público significa']","['pública', 'públicos', 'público', 'segurança', 'gestão', 'administração', 'transparência', 'serviço', 'saúde', 'agentes', 'interesse', 'serviços', 'recursos', 'responsabilidade', 'atual', 'estrutura', 'necessidades', 'financiamento', 'confiança', 'mecanismos', 'Estado', 'ética', 'adequado', 'acesso', 'constitucional', 'atual estrutura', 'informações', 'falta', 'prestação', 'desafios']","['isso significa que a atual estrutura constitucional não atende adequadamente às necessidades de segurança pública, especialmente no que diz respeito aos agentes penitenciários.', 'Isso significa que a Constituição busca assegurar a transparência e a responsabilidade na administração pública.', 'Isso significa que a atual estrutura constitucional não atende adequadamente às necessidades de segurança pública.']"
7,234,7_significa vista_significa foi_significa vista marco_vista marco,"['significa vista', 'significa foi', 'significa vista marco', 'vista marco', 'Brasil significa', 'significa trouxe', 'Brasil', 'significa vista avanço', 'social', 'significa foi fundamental', 'sociais', 'significa foi marco', 'Brasil significa vista', 'foi marco', 'proteção', 'importante', 'marco importante', 'direitos sociais', 'positivo', 'significa trouxe avanços']","['marco', 'avanço', 'social', 'sociais', 'fundamental', 'proteção', 'importante', 'avanços', 'positivo', 'país', 'documento', 'significativos', 'democracia', 'cidadania', 'brasileira', 'trabalhadores', 'história', 'participação', 'mulheres', 'fortalecimento', 'ditadura', 'educação', 'garantia', 'política', 'descentralização', 'retrocesso', 'trabalhistas', 'modernização', 'vida', 'rurais']","['isso significa que a Constituição de 1988 foi um marco importante para os direitos das mulheres no Brasil.', 'Isso significa que a Constituição de 1988 é vista como um marco positivo na história social do Brasil.', 'Isso significa que a Constituição de 1988 foi um marco de intensa participação popular e de proteção aos direitos sociais']"
8,233,8_reformas_reforma_significa reformas_significa reforma,"['reformas', 'reforma', 'significa reformas', 'significa reforma', 'significa há necessidade', 'qualquer reforma', 'necessidade', 'significa qualquer reforma', 'reformar', 'reformas propostas', 'significa reformas propostas', 'reforma deve', 'reforma política', 'há necessidade reforma', 'significa há necessidade reforma', 'necessidade reforma', 'significa há necessidade urgente', 'esses direitos significa', 'reformas devem', 'significa reformas devem']","['reformas', 'reforma', 'necessidade', 'urgente', 'previdência', 'necessárias', 'sistema', 'política', 'princípios', 'constitucionais', 'agrária', 'aspectos', 'trabalhadores', 'atual', 'espaço', 'transparência', 'governo', 'políticas', 'previdenciária', 'proteção', 'fundamentais', 'processo', 'social', 'econômicas', 'estruturais', 'profunda', 'partidos', 'necessária', 'cuidadosa', 'justiça']","['isso significa que qualquer reforma deve respeitar esses direitos e não prejudicar os mais vulneráveis.', 'isso significa que qualquer reforma deve respeitar esses direitos', 'Isso significa que qualquer reforma deve respeitar esses direitos.']"
