Topic,Words,Frequency,Timestamp
-1,"governo, garantir, Estado, políticas, constitucional",128,2007
0,"necessidades, significa há necessidade, há necessidade, necessidade, atender necessidades",42,2007
1,"Brasil, Brasil significa, brasileira, significa Brasil, brasileira significa",40,2007
2,"democráticos, democrática, democrático, democráticas, princípios democráticos",23,2007
3,"democracia, democracia significa, ameaça democracia, ameaça democracia significa, significa ela protege democracia",13,2007
4,"legal, base legal, base, legalidade, oferece base",17,2007
5,"políticas, significa políticas atuais, ações políticas, políticas atuais, constitucionais significa atual",10,2007
6,"pública, pública significa, públicos, público, segurança pública",15,2007
7,"significa foi, significa vista, foi marco importante, significa foi fundamental, significa foi marco",16,2007
8,"reforma, significa reforma, reformas, significa há necessidade, reformar",10,2007
9,"governo, significa governo, Governo, governo não, Governo Federal",20,2007
11,"normas, normas constitucionais, constitucionais, normas constitucionais significa, aplicação normas",15,2007
12,"judiciais, Judiciário, decisões judiciais, significa Judiciário, judiciais significa",9,2007
13,"cidadãos, cidadãos significa, cidadãos significa ela, todos cidadãos, direitos cidadãos",8,2007
14,"fiscal, governo significa, CPIs, dinheiro público, dinheiro público significa",11,2007
15,"educação, educação significa, educação saúde, educação saúde significa, educacional",12,2007
16,"grave, violação, desobedecer ato, significa desobedecer ato, rasgar",12,2007
17,"Congresso, significa Congresso, Congresso Nacional, significa Congresso tem, Congresso tem",12,2007
18,"significa mudanças, mudanças constitucionais, significa mudanças constitucionais, mudanças constitucionais necessárias, constitucionais necessárias",13,2007
19,"documento, vista documento, significa vista documento, documento protege, significa vista",8,2007
20,"medidas provisórias, medidas, uso medidas provisórias, uso medidas, significa uso",5,2007
21,"social, justiça social, social significa, justiça social significa, promoção justiça social",10,2007
22,"igualdade, territorial país significa, significa instituições devem seguir, social significa deve respeitada, igualdade justiça social",4,2007
23,"desenvolvimento econômico significa, econômico significa, econômico, desenvolvimento econômico, significa vista instrumento promoção",4,2007
24,"financeira, financeiras, prejudica, enfrentam dificuldades, significa Municípios enfrentam",7,2007
25,"proteger direitos, proteger, não suficiente proteger, conquistas sociais significa, garantidos significa ela",4,2007
26,"penal, municipais significa, crimes, legislação penal, descumprimento",7,2007
27,"significa equilíbrio entre, significa equilíbrio, equilíbrio entre, significa busca equilibrar, Federação significa",5,2007
28,"lacuna, há lacuna, significa há lacuna, realidade, lacunas",6,2007
29,"defendida, defendida contra, deve defendida, deve defendida contra, ela deve defendida",4,2007
30,"democracia região significa, essencial formação, importante mas, estabilidade progresso país significa, estabilidade progresso país",4,2007
31,"significa ela serve, ela serve, serve base, significa ela serve base, ela serve base",6,2007
32,"representação, significa ela participação povo, extinção Senado, assegurar continuidade, significa extinção Senado",3,2007
33,"responsabilidade, responsabilidades, tem responsabilidade, significa Estado tem responsabilidade, Estado tem responsabilidade",7,2007
34,"limites, limites constitucionais, dentro limites, dentro limites constitucionais, limites constitucionais significa",4,2007
35,"serve base políticas, base políticas, serve base, ela serve base políticas, serve base políticas públicas",10,2007
36,"recursos, distribuição recursos, recursos entre, significa há concentração, recursos entre entes",8,2007
37,"autonomia, significa autonomia, garantir autonomia, significa modelo federativo, autonomia independência",6,2007
39,"significa processo, processo legislativo, processo foi conduzido maneira, foi conduzido maneira, insuficientemente",3,2007
40,"ambiental, deve cuidadosamente, cuidadosamente, significa qualquer alteração, estrutura",1,2007
41,"políticas públicas, políticas, significa políticas públicas, significa políticas, significa políticas públicas devem",8,2007
42,"implementação, significa há falha implementação, há falha implementação, falha implementação, implementados",6,2007
43,"decisões, significa decisões, decisões legislativas, significa decisões legislativas, significa decisões STF",6,2007
44,"memória, significa pode usada fortalecer, usada fortalecer, cultural país, identidade",1,2007
45,"significa qualquer alteração enfraqueça, direitos vista prejudicial, prejudique essa, esses direitos vista prejudicial, qualquer alteração enfraqueça",2,2007
46,"crises, resposta crises, problemas educacionais, problemas educacionais significa, municípios estados",2,2007
47,"terras, terras significa, controle terras, transformação Estado, significa apesar existir",4,2007
49,"sistema freios contrapesos, contrapesos, freios contrapesos, jurídico vigente, ordenamento jurídico vigente significa",4,2007
50,"criminalidade, constitucionais lidar, significa leis penais, questões tributárias, fragilidades",6,2007
51,"tributária, tributário, arrecadação, reforma tributária, tributário significa",9,2007
52,"política, estabilidade política, crucial, desenvolvimento político, tem papel",5,2007
53,"instrumento, significa pode instrumento, pode instrumento, estratégico, vista instrumento justiça social",3,2007
54,"permanece, constante, nação, significa mesmo, mudança",1,2007
55,"flexível, significa flexível, flexível pode, significa flexível pode, significa flexível pode adaptada",3,2007
56,"protegida, protegida contra, significa ela deve protegida, ela deve protegida, respeitada pilar",2,2007
57,"interpretação, interpretações, significa atual interpretação permite, interpretação permite, foro especial",3,2007
58,"devem revistas, leis práticas, alinhar princípios constitucionais, significa leis, leis",1,2007
