Topic,Rotulo
-1,"documento, direitos, marco, instrumento, importante, relação, direito, sociais, fundamentais, proteção, Estado, soberania, federativo, desenvolvimento, saúde, pública, necessidades, democracia, nacional, equilíbrio, financiamento, corrupção, essencial, poder, brasileira, indígenas, atual, história, mudanças, pacto"
0,"democracia, pilar, fundamental, símbolo, liberdade, baluarte, essencial, defesa, cidadania, justiça, respeito, informação, ordem, poderes, jurídica, equilíbrio, práticas, lei, , , , , , , , , , , , "
1,"instrumento, justiça, essencial, sociais, direitos, necessidades, demandas, proteção, importantes, distribuição, equidade, municípios, recursos, minorias, valorização, saúde, avanços, transparência, direito, ética, vida, qualidade, , , , , , , , "
2,"significativos, avanço, avanços, significativo, sociais, direitos, sistema, constitucionais, transposição, Executivo, federativo, anteriores, aspectos, servidores, condição, obra, Estados, saúde, país, proteção, inacabada, sociedade, previdenciário, positiva, modelo, emendas, grande, limitações, pobres, País"
3,"políticas, política, políticos, públicas, político, organização, atual, sistema, interesses, policiais, crise, partidos, prática, forma, militares, guia, fins, decisões, caminho, sociais, raciais, tomada, criação, social, obstáculo, estabilidade, manifestação, justas, práticas, momentos"
4,"social, justiça, conquista, inclusão, civilizatório, equidade, solidária, sociedade, pacto, justa, conquistas, importante, documento, marco, grande, princípios, representação, avanço, impacto, controle, grande conquista, livre, popular, humanos, fundamentais, democracia, direitos, governante, essência, indígena"
5,"impeachment, processo, curso, processos, legal, forma, base, inadequada, legalidade, político, paraguaia, crime, guia, documento, vigor, instrumento, discussão, jurídica, estável, detalhes, descontentamento, debate, claro, atribuições, constitucionais, ações, proteção, , , "
6,"brasileiro, marco, história, brasileira, importante, conquista, povo, conquistas, positivo, democracia, avanço, sistema, democrática, saúde, grande, democrático, significativa, vitória, política, novo, territorial, grandes, importantes, papel, redivisão, político, maturidade, origem, federalismo, instituição"
7,"educação, educacionais, educacional, professores, investimento, importante, recursos, saúde, qualidade, investimentos, direito, vinculação, marco, áreas, diploma, superior, essenciais, pública, financiamento, dever, mínimo, garantia, gratuita, básica, evolução, direitos, suficiente, padrão, jornalismo, anos"
8,"igualdade, gênero, igualitária, lei, justiça, promoção, documento, ideal, racial, estados, social, regional, forma, inclusão, tratamento, luta, direitos, Estados, marco, eficaz, regiões, guia, importante, religiosa, minorias, representação, liberdade, atualização, oportunidade, fundamental"
9,"brasileiro, brasileiros, povo, brasileira, sociedade, federativa, brasileiras, conquista, patrimônio, emenda, cidadania, população, fundamental, cultural, futebol, símbolo, esperanças, interesses, situação, República, decisão, estrutura, exterior, ampla, princípios, Estado, importância, orçamento, direitos, elemento"
10,"democrático, democrática, Estado, direito, democráticas, democráticos, fundamental, ordem, manutenção, instituições, garantia, funcionamento, avanço, espírito, país, pilar, valores, fundamento, moderna, direitos, base, mecanismos, essencial, descentralizador, guardião, caráter, humanos, jurídica, princípios, protetora"
11,"fiscal, fiscalização, responsabilidade, controle, instrumento, Executivo, gestão, públicos, transparência, essencial, justiça, recursos, Senado, governo, país, papel, maior, Legislativo, mecanismos, documento, autoridade, gastos, marco, socioambiental, maior justiça, privados, cobrança, ações, importante, maior transparência"
12,"cidadã, cidadania, cidadãos, direitos, marco, formação, cidadão, elemento, conquista, integração, fundamentais, importante, sociais, individuais, essencial, básicas, bela, conjunturais, angular, pedra, nações, garantias, regionais, comunidade, capaz, sonho, social, moradia, solidária, pobreza"
13,"pública, públicos, segurança, público, saúde, servidores, greve, serviços, níveis, serviço, relação, cooperação, aplicação, interesse, idoneidade, respeito, direito, sistema, recursos, previdência, justa, medida, termos, integridade, situações, eficiência, Públicas, desvios, governo, efetivos"
14,"trabalhadores, proteção, trabalhistas, direitos, trabalho, domésticos, social, marco, ferramenta, importante, relações, defesa, aposentados, sociais, necessidades, importantes, fundamentais, condições, garantia, limitadora, inflexão, famílias, mercado, campo, verdadeira, momento, crucial, papel, atuais, atual"
15,"medidas, provisórias, uso, excessivo, tramitação, inadequado, urgência, edição, provisória, medida, relevância, análise, Executivo, forma, governo, clara, critérios, constitucionalidade, adequado, disposições, indevido, validade, atual, excessiva, arcabouço, autoridade, atividade, tempo, regulatório, parâmetro"
16,"documento, fundamentais, direitos, sociais, importantes, documentos, mundo, deveres, funcionamento, dignidade, conquistas, pessoas, série, sobrevivência, individuais, secretos, importante, termos, saúde, capítulo, coletivos, regras, deficiência, decisão, essencial, povos, instituições, indígenas, , "
17,"regional, desigualdades, regionais, desenvolvimento, redução, eliminação, integração, políticas, importantes, relação, República, guia, sociais, dever, obrigação, mecanismo, importante, competitividade, compromisso, documento, compromissos, nacional, governo, essencial, fundamental, , , , , "
18,"caso, totalidade, julgamento, gestores, suplentes, maioria, Senador, luz, continuidade, , , , , , , , , , , , , , , , , , , , , "
19,"legal, legalidade, moralidade, marco, devido processo, aborto, documento, devido, processo, base, justiça, símbolo, segurança, fundamentais, jurídica, dias, fundiários, promoção, pensionistas, desenvolvimento, autonomia, resolução, direitos, Congresso, pacífica, conflitos, casos, importante, fortalecimento, educação"
20,"responsabilidades, responsabilidade, claras, República, entes, Senado, responsabilização, transparência, governantes, representantes, federativos, Municípios, atos, leis, documento, política, imunidade, pública, cargos, senadores, institucionais, segurança, federal, Estado, governo, social, necessários, mecanismo, descentralização, estrutura"
21,"povos, indígenas, direitos, aposentados, vida, fundamentais, direito, sociais, desordem, concepções, documento, pensionistas, concepção, defesa, injustiças, , , , , , , , , , , , , , , "
22,"reformas, reforma, trabalhista, necessárias, política, previdência, sistema, político, proposta, atual, políticas, distorções, eleitorais, eleitoral, insuficiente, constitucionais, crise, distinção, previdenciária, agrária, afirmação, previdenciário, sustentabilidade, prejudicial, renda, trabalhadores, representação, democratização, ética, brasileiros"
23,"brasileira, pilar, democracia, baluarte, escudo, comparação, protetor, posição, única, manto, representativa, risco, , , , , , , , , , , , , , , , , , "
24,"democrático, avanço, democrática, democráticas, pacto, democráticos, política, marco, republicana, transição, resquícios, representação, estabilidade, autoritários, instituições, funcionamento, Estado, significativo, avanços, políticos, importante, cidadã, limitadora, importantes, analfabetos, única, autoritário, validade, popular, retorno"
25,"Judiciário, judiciais, decisões, judiciário, recentes, estrutura, aumento, risco, mecanismos, transparência, nomeações, altos, práticas, sistema, precedentes, brechas, jurídicas, presidente, ativismo, detrimento, eficazes, inadequadas, guia, limitações, cargos, avanço, documento, marco, ética, demandas"
26,"crimes, crime, responsabilidade, maioridade, estupro, Presidente, hediondos, relação, criminalidade, clara, clamor, presidente, penas, legislação, casos, mandato, fiscal, anos, legislativa, gravidade, término, severa, rígidas, perpétua, créditos, decreto, pena, sistemas, autorização, menores"
27,"guia, parâmetro, essencial, nação, Nação, valores, bem, organização, condução, sábia, vinculações, rígida, Senado, tanto, exceção, instituições, funcionamento, compromisso, intervenção, Estado, definição, mínimo, elaboração, construção, atuação, possível, comunitárias, fato, mundial, sessões"
28,"garantia, fundamentais, direito, direitos, garantias, individuais, vida, fundamental, saúde, coletivas, propriedade, sociais, defesa, consumidores, suficiente, ferramenta, constitucionais, advocacia, reação, prática, elementares, capítulo, forte, eficácia, segundo, moderna, partidária, segurança, livre, contexto"
29,"autonomia, municipal, Estados, Municípios, administrativa, independência, financeira, universidades, independentes, sindical, orçamentária, política, Parlamento, documento, relação, marco, autônomos, legislação, prática, funcional, suficiente, finanças, forma, penas, específica, encargos, importante, interpretação, norma, atual"
30,"ambiental, ambiente, meio, ambientais, preservação, proteção, importância, desenvolvimento, legislação, agenda, agrícola, negócios, futuras, exigência, questões, gerações, setor, sustentável, política, importante, questão, mecanismos, relação, futuras gerações, clara, compromisso, vida, preocupações, máquina, excesso"
31,"problemas, crises, suficiente, políticas, resolução, fiscais, políticos, país, atual, insuficiente, questão, instrumento, complexos, mecanismos, conflitos, ambientais, sistema, político, necessário, nacionais, sociais, federativos, convocação, indiretas, vinculações, atuais, adequadas, capaz, desigualdades, saúde"
32,"governo, atual, atual governo, controle, empréstimos, sigilo, cheque, branco, contratos, prorrogação, países, autorização, devida, precatórios, detrimento, estadual, maioria, CPMF, Senado, CPIs, gastos, questão, legislação, públicos, , , , , , "
33,"Congresso, legislativa, competência, atribuição, sessão, prerrogativas, matérias, funcionamento, exclusiva, preceitos, consonância, eficiente, iniciativa, dever, relação, deveres, atribuições, constitucionais, questões, competências, novos Municípios, postura, clara, tema, investigativas, legitimidade, morte, obstáculos, divisão, fidelidade"
34,"clara, trânsito, disposições, protetora, cristalina, determinações, prisão, rigorosa, metas, relação, interpretação, fiscais, imperativa, extraordinário, anualidade, tipificação, crianças, condutas, crédito, abertura, transparente, específica, objetivo, imprensa, natureza, atos, deveres, deficiência, saúde, direitos"
35,"cidadãos, cidadania, documento, bíblia, fundamentais, direitos, inclusão, abusos, deveres, fé, acusações, moderno, conceito, coletivos, Estado, reconhecimento, individuais, ações, legalidade, respeito, liberdade, governo, , , , , , , , "
36,"governo, atual, atual governo, forma, expansão, estatal, setores, econômicos, controle, , , , , , , , , , , , , , , , , , , , , "
37,"pilar, Estado, democrático, direito, liberalismo, baluarte, estado, , , , , , , , , , , , , , , , , , , , , , , "
38,"democrática, democrático, documento, democráticas, democráticos, ordem, participação, gestão, liberdades, processo, representatividade, direito, poder, democratização, regras, novos, claros, humana, valores, dignidade, minoria, requisitos, indicação, jurídica, maioria, impacto, relações, membros, minorias, descentralização"
39,"framework, ensure, impeachment, legal, crises, recall, CPIs, fundamental, crime, crimes, , , , , , , , , , , , , , , , , , , , "
40,"tributária, tributário, tributos, tribunais, sistema, reforma, tributárias, carga, criação, Municípios, justo, superiores, distorção, complexidade, distribuição, detrimento, arrecadação, tributação, controle, estrutura, atual, injustos, receita, emendas, econômico, fator, temporários, resposta, concentração, total"
41,"Ministro, ministros, Ministros, mínima, ações, decisões, escolha, salário, mínimo, aposentados, demissão, implícita, nomeação, previsão, idade, atual, aposentadoria, desigualdade, interesse, deveres, impunidade, forma, modelo, Justiça, público, proteção, melhor, cidadãos, Poderes, guia"
42,"igualdade, justiça, instrumento, social, gênero, promoção, essencial, racial, campo, regional, luta, oportunidades, paz, controle, transparência, fundamental, , , , , , , , , , , , , , "
43,"instrumento, democracia, essencial, popular, participação, defesa, preservação, império, direta, voto, competências, independência, lei, , , , , , , , , , , , , , , , , "
44,"limites, claros, atuação, limite, poder, Executivo, gastos, juros, despesas, documento, excessos, temporais, ordinária, competências, legislação, limitações, públicos, necessários, atribuições, exercício, medidas, local, criação, aposentadorias, federais, poderes, instituições, programas, contribuições, fundos"
45,"normas, norma, infraconstitucionais, normativa, superior, Senado, normativo, força, normativas, burocrático, complexas, intensa, folha, burocracia, aéreas, fundamentais, sistema, retirada, trabalhos, própria, complexo, pensionistas, produção, complexidade, conjunto, início, Presidente, jurídica, regra, privilégios"
46,"atual, eleições, flexibilidade, diretas, ajustes, práticas, necessários, injusto, flexível, eleitoral, situações, terrenos, inadequadas, maior transparência, reeleição, suficiente, tempos, sistema, mecanismo, situação, crise, transparência, privilégio, transparentes, maior, máquina, adaptações, complementares, transformações, abusivo"
47,"União, forma, poder, impunidade, atribuições, improbidade, formais, documento, indicação, perda, Senado, casos, mandato, administrativa, aspectos, grande, fundamental, participação, importantes, processo, , , , , , , , , , "
48,"Presidente, Presidência, presidencial, presidencialista, caso, mandato, vacância, plebiscito, julgamento, terceiro, indireta, decretos, afastamento, sistema, presidenciais, proposta, inadequada, legitimidade, atual, processo, poder, reedição, partido, ano, renúncia, fim, eleição, diretas, equilibrado, lacuna"
49,"documento, obediência, regras, sistema, , , , , , , , , , , , , , , , , , , , , , , , , , "
50,"petróleo, implementação, produtores, Estados, energia, elétrica, exploração, injusta, problemática, desafios, relação, direitos, falta, distribuição, indígenas, apenados, gás, ressocialização, regulamentação, instrumental, justa, vedação, explícita, cobrança, operações, razoável, suficientes, inicial, absurda, compensação"
51,"regional, desenvolvimento, instrumento, ambiental, regionais, desigualdades, essencial, instrumentos, proteção, econômico, progresso, necessários, ambiente, meio, externa, legais, política, estabilidade, direitos, , , , , , , , , , , "
52,"lei, projeto, leis, elaboração, projetos, Maior, questão, Carta, parâmetro, novas leis, aplicação, aprovação, avançada, novas, guia, essencial, vocação, validade, fundamental, poderes, instituições, análise, respeito, resultado, sábia, consolidação, eleitoral, obstáculo, constitucional, emendas"
53,"seguida, cautela, respeito, reflexão, desnecessários, novas exigências, interferência, pressões, exigências, externas, alternância, julgamentos, princípios, incentivos, determinações, cumprimento, externa, autoritarismo, novas, fiscais, regionais, poder, , , , , , , , "
54,"fundamentais, documento, direitos, valores, propriedade, direito, familiares, princípios, , , , , , , , , , , , , , , , , , , , , , "
55,"trabalhadores, direitos, documento, trabalhistas, vulneráveis, sociais, fundamentais, , , , , , , , , , , , , , , , , , , , , , , "
56,"documento, autoridades, prazos, partidos, casuística, fins, agentes, provisórias, determinações, medidas, fundamentais, diretrizes, públicos, forma, , , , , , , , , , , , , , , , "
57,"histórica, histórico, históricas, conquista, povo, importância, importante, marco, país, brasileiro, trabalhadores, obra, temporal, conquistas, história, coletiva, negra, figuras, reparação, países, status, garantia, reflexo, relevante, luz, domésticos, sociais, direitos, contexto, realidade"
58,"legislativo, processo, rigoroso, orçamentário, cassação, devido processo, devido, transparência, processos, emendas, lentidão, tentativa, processual, votações, mandatos, mandato, minorias, desafios, necessidade, legais, constitucionais, parlamentar, parlamentares, participação, direitos, , , , , "
59,"econômico, econômicas, econômica, econômicos, economia, desenvolvimento, comércio, obstáculo, realidades, crise, poder, tempos, eletrônico, novas, desafios, novas realidades, país, crescimento, necessidades, atuais, renda, confiável, reguladoras, agências, favor, insegurança, poderoso, avanços, distribuição, adaptação"
60,"recursos, distribuição, entes, federativos, naturais, equitativa, justa, nacionais, justa distribuição, receitas, injusta, justiça, municípios, eficaz, gestão, justos, simplificação, sábio, penais, critérios, guia, documento, clara, obstáculo, país, marco, , , , "
61,"jurídica, segurança, estabilidade, jurídico, insegurança, país, longo prazo, fundamental, prazo, instância, longo, investimentos, decisão, gás, vazio, máxima, extensão, complexidade, lei, republicanas, segunda instância, segunda, complementar, partilha, claro, necessária, setor, prisão, falta, institucional"
62,"democracia, essencial, documento, liberdade, fundamental, defesa, imprensa, proteção, liberdades, sábio, interesse, referência, ética, público, , , , , , , , , , , , , , , , "
63,"proteção, povos, indígenas, direitos, marco, importante, fundamental, humanos, , , , , , , , , , , , , , , , , , , , , , "
64,"golpe, parlamentar, militar, ilegítima, pretexto, golpismo, primeiros, golpistas, indevida, paraguaia, forma, forças, ameaça, ditadura, meio, inadequada, povos, poderes, indígenas, relação, proteção, Estado, direitos, , , , , , , "
65,"terras, demarcação, indígenas, demarcações, temporal, questões, estrangeiros, respeito, propriedade, relação, marco, marcos, margem, clara, insuficientes, forma, processo, inadequado, proteção, discussão, nacionais, injustiças, controle, importantes, atual, fundamentais, , , , "
66,"brasileira, documento, democracia, fundamental, diversidade, povo, brasileiro, tradição, brasileiros, conquistas, vanguarda, redivisão, humanos, unidade, cultural, internacional, territorial, novas, organização, modelo, trabalhistas, mecanismos, poderes, direitos, sistema, liberdade, proteção, , , "
67,"instrumento, políticas, política, governo, públicas, eficazes, cooperação, transparência, esferas, importante instrumento, estabilidade, participação, fundiária, votações, CPMF, arrecadação, tributos, prestação, grupos, contas, arbitrárias, sociais, interesse, direta, significativas, avanço, implementação, jurídico, essenciais, construção"
68,"moralidade, moralização, moral, impessoalidade, eficiência, pública, administração, política, imperativo, princípios, publicidade, transparência, administrativa, candidatos, probidade, ético, aprovação, guia, essencial, referência, públicos, instrumento, legalidade, opção, idoneidade, capítulo, consciência, critérios, órgãos, eficácia"
69,"necessidades, urgentes, atuais, emergenciais, ciência, Municípios, tecnologia, juventude, sociais, municípios, sociedade, população, esforço, preocupações, novas realidades, adaptação, contemporâneas, realidades, territorial, país, novas, emendas, mulheres, significativo, proteção, criação, soberania, leis, avanços, direitos"
70,"democrática, marco, estabilidade, democratização, democrático, progresso, resistência, avanço, transição, democráticos, dívidas, avanços, social, cidadão, consolidação, espírito, país, trabalhistas, justiça, defesa, importante, direitos, , , , , , , , "
71,"externa, política, político, brasileira, brasileiro, maior, guia, atual situação, proposta, situação, estrutura, emenda, verdadeira República, XX, século, reforma, jogo, amadurecimento, alteração, saneamento, República, sucessão, exterior, crítica, forma, efetividade, governamental, regra, verdadeira, povo"
72,"ataques, pilar, inconstitucionais, práticas, Senado, humanos, democracia, mulher, conjunto, artigos, princípios, aprovação, liberdade, eficiência, dignidade, provisórias, direitos, respeito, medidas, transparência, marco, instrumento, , , , , , , , "
73,"adolescentes, crianças, proteção, prioridade, direitos, absoluta, legislações, avançadas, mundo, relação, verdadeira revolução, revolução, fundamentais, verdadeira, documento, boa, claras, normas, responsabilidades, princípio, Estado, lei, social, princípios, necessidades, respeito, sociedade, importantes, sociais, "
74,"financeiras, financeira, financeiros, Municípios, crédito, obrigações, operações, abusivas, Estados, compensações, difíceis, externas, cidadãos, práticas, administrativa, situação, competências, econômica, confrontantes, esferas, recursos, gestores, ilegalidade, justa, justa distribuição, atual situação, instrumento, saúde, públicos, mãos"
75,"decisão, reserva, contribuição, preocupante, agronegócio, Congresso, setor, demarcação, partidos, soberania, políticos, pilar, , , , , , , , , , , , , , , , , , "
76,"importante, marco, garantia, sociais, direitos, civis, luta, morte, reconhecimento, promoção, ações, importantes, , , , , , , , , , , , , , , , , , "
77,"transição, democrática, democráticas, democratização, democráticos, conquistas, democrático, reflexo, valores, marco, brasileiro, povo, Constituições, processo, tradições, importante, avanços, plural, brasileiras, cultura, integração, regime, estabilidade, história, humanos, regional, saúde, brasileira, proteção, sociais"
78,"saúde, respeito, relação, destinação, recursos, financiamento, precatórios, adequado, direitos, estrutura, acesso, Justiça, termos, segurança, justiça, , , , , , , , , , , , , , , "
79,"políticas, política, documento, ação, direta, decisões, estabilidade, sociais, debates, único, polícias, participação, povo, militares, representatividade, funções, representação, fundamentais, guia, importante, importantes, justiça, , , , , , , , "
80,"social, justiça, instrumento, avanço, inclusão, assistência, instrumentos, redução, humana, legislação, dignidade, regionais, desigualdades, humanos, importante, importantes, brasileira, fundamental, direitos, , , , , , , , , , , "
81,"trabalhadores, trabalhistas, domésticos, direitos, proteção, avanço, significativo, ampliação, marco, rurais, importante, trabalhador, flexibilidade, relações, importantes, obstáculo, eficaz, , , , , , , , , , , , , "
82,"documento, fundamentais, insuficiente, necessidades, igualitário, proteção, atuais, igualdade, melhoria, legalidade, territórios, direitos, condições, indígenas, segurança, governamentais, funções, tratamento, pública, estrutura, humana, população, vida, prática, dignidade, ações, termos, instituições, Estados, país"
83,"nacional, soberania, unidade, símbolo, patrimônio, integridade, jurídico, coesão, continental, estratégico, exclusão, plataforma, funcional, negros, categorias, coerente, Cerrado, ordenamento, exigências, arcabouço, infraestrutura, riquezas, cidadania, respeito, profissionais, lacuna, manutenção, integração, propriedade, desenvolvimento"
84,"equilíbrio, federativo, Poderes, poderes, desequilíbrios, desequilíbrio, fundamental, preservação, eleições, Estados, contratos, tradições, justa, provas, razoável, socioeconômico, freios, federação, contrapesos, injusto, justas, valor, reeleição, econômicos, ambientais, falta, referência, institucional, necessário, fiscais"
85,"documento, abusos, golpismo, bancada, atraso, acusações, interpretações, golpe, poder, Senado, fundamentais, direitos, , , , , , , , , , , , , , , , , , "
86,"expressão, liberdade, baluarte, divergentes, opiniões, parlamentar, respeito, estrangeiras, jugo, ONGs, opinião, vida, criminosos, brechas, entendimento, perfeita, completa, ação, esperança, restrições, dispositivos, espírito, relação, parlamentares, fundamental, nacional, marco, direitos, brasileira, proteção"
87,"competências, legislativas, competência, poderes, Senado, atribuições, claras, legislativa, concorrente, tema, União, trânsito, atividades, órgãos, internacionais, relações, clara, documento, separação, organização, Executivo, marco, instrumento, importantes, Estado, importante, , , , "
88,"redemocratização, marco, modernização, importante, construção, econômica, desenvolvimento, , , , , , , , , , , , , , , , , , , , , , , "
89,"administração, pública, guia, administrativos, controle, improbidade, eficiência, administrativa, atos, compreensão, externo, princípio, público, públicos, instituições, impessoalidade, órgãos, informação, responsável, transparência, financeira, significativos, essenciais, processos, eficaz, essencial, públicas, emendas, corrupção, avanços"
90,"social, assistência, pacto, seguridade, urbana, inclusão, justiça, legado, justo, função, equidade, Estado, grande parte, mobilidade, foco, urbano, destaque, interino, mobilização, ordem, saúde, agrária, capítulo, fontes, normativa, condições, cidadania, sociedade, sustentável, lacuna"
91,"forma, Executivo, equitativa, adequada, éticas, prática, inadequada, justa, territoriais, transparente, restrições, referência, situações, legais, práticas, regulamentação, Estado, , , , , , , , , , , , , "
92,"brasileira, pilar, fundamental, democracia, liberal, independente, sólida, princípios, povo, brasileiro, , , , , , , , , , , , , , , , , , , , "
93,"popular, participação, vontade, mecanismos, retrato, destinos, reivindicações, fiel, soberania, fruto, acessível, marco, populares, juízes, eleitorais, direta, escolha, insuficiente, legitima, mudanças, importância, leis, humanos, defesa, importante, país, relação, fundamental, direitos, "
94,"democracia, documento, pluralismo, representativa, liberdade, fundamentais, pilares, expressão, individual, político, Estado, direito, direitos, independência, humanos, instituições, , , , , , , , , , , , , , "
95,"documento, fundamentais, aspectos, restritivo, riqueza, incompleta, prioridades, poderes, inclusivo, lacunas, país, efetiva, descentralização, direitos, liberdades, termos, distribuição, democracia, , , , , , , , , , , , "
96,"juízes, membros, tempo, independência, papel, funções, serviço, fundamental, atuação, advogado, municipalismo, defensor, estaduais, magistrados, investigações, defesa, sociedade, institucionais, fortalecimento, disposições, estrutura, eficaz, prática, Judiciário, interesses, poderes, clara, igualdade, atual, relação"
97,"humanos, humana, dignidade, documento, crianças, direitos, pessoa, livre exercício, proteção, profissão, livre, exercício, termos, fundamentais, princípios, justiça, fundamental, importante, , , , , , , , , , , , "
98,"brasileira, democracia, consolidação, fundamental, respeito, unidades, guardiã, escuridão, básicos, compromissos, luz, risco, guia, brasileiro, período, orçamentária, falta, elaboração, efetiva, Estado, participação, humanos, Congresso, avanço, direitos, , , , , "
99,"harmonia, Poderes, independência, poderes, independentes, guia, ordem, existência, documento, funcionamento, Senado, respeito, essencial, , , , , , , , , , , , , , , , , "
100,"situações, crises, insuficiente, extraordinárias, adequada, menores, hediondos, criminalidade, crimes, mecanismos, violência, suficiente, novas, atual, questões, morosidade, problemas, previdenciárias, graves, adicionais, eletrônico, insuficientes, reformas, atuais, comércio, novas leis, ineficaz, novas realidades, estupro, contribuições"
101,"história, marco, importante, pública, transformador, saúde, concepção, brasileira, anos, gestão, , , , , , , , , , , , , , , , , , , , "
102,"importante, marco, desenvolvimento, benéfica, regional, época, sustentável, positivo, significativo, Estado, , , , , , , , , , , , , , , , , , , , "
