Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,3091,-1_deve_documento_documento deve_precisa,"['deve', 'documento', 'documento deve', 'precisa', 'instrumento', 'respeitado', 'deve respeitado', 'importante', 'documento deve respeitado', 'foi', 'relação', 'respeitada', 'direito', 'sociais', 'forma', 'fundamentais', 'proteção', 'está sendo', 'Estado', 'federativo']","['documento', 'direitos', 'marco', 'instrumento', 'importante', 'relação', 'direito', 'sociais', 'fundamentais', 'proteção', 'Estado', 'soberania', 'federativo', 'desenvolvimento', 'saúde', 'pública', 'necessidades', 'democracia', 'nacional', 'equilíbrio', 'financiamento', 'corrupção', 'essencial', 'poder', 'brasileira', 'indígenas', 'atual', 'história', 'mudanças', 'pacto']","['a Constituição é um documento que deve ser respeitado e seguido, especialmente em relação à ética e transparência.', 'a Constituição é um documento que deve ser respeitado para garantir a democracia.', 'A Constituição é um documento que deve ser respeitado para garantir a democracia.']"
0,358,0_democracia_democracia pilar_fundamental democracia_democracia pilar democracia,"['democracia', 'democracia pilar', 'fundamental democracia', 'democracia pilar democracia', 'democracia deve', 'pilar fundamental democracia', 'democracia está', 'baluarte democracia', 'democracia marco', 'democracia está sendo', 'essencial democracia', 'democracia fundamental', 'pilar democracia deve', 'símbolo democracia', 'garantir democracia', 'Estado direito democracia', 'direito democracia', 'democracia liberdade', 'democracia direitos', 'liberdade democracia']","['democracia', 'pilar', 'fundamental', 'símbolo', 'liberdade', 'baluarte', 'essencial', 'defesa', 'cidadania', 'justiça', 'respeito', 'informação', 'ordem', 'poderes', 'jurídica', 'equilíbrio', 'práticas', 'lei', '', '', '', '', '', '', '', '', '', '', '', '']","['a Constituição é um pilar da democracia.', 'A Constituição é um pilar da democracia.', 'a Constituição é a mãe da democracia.']"
1,255,1_instrumento_instrumento pode_instrumento deve_instrumento direitos,"['instrumento', 'instrumento pode', 'instrumento deve', 'instrumento direitos', 'instrumento essencial', 'instrumento justiça', 'instrumento pode utilizado', 'instrumento deve respeitado', 'instrumento essencial proteção', 'sociais instrumento', 'justiça instrumento', 'fundamentais instrumento', 'parlamentares instrumento', 'instrumento protege', 'instrumento protege direitos', 'direitos fundamentais instrumento', 'país instrumento', 'instrumento essencial garantir', 'instrumento essencial proteção direitos', 'instrumento direitos fundamentais']","['instrumento', 'justiça', 'essencial', 'sociais', 'direitos', 'necessidades', 'demandas', 'proteção', 'importantes', 'distribuição', 'equidade', 'municípios', 'recursos', 'minorias', 'valorização', 'saúde', 'avanços', 'transparência', 'direito', 'ética', 'vida', 'qualidade', '', '', '', '', '', '', '', '']","['a Constituição é um instrumento que pode ser utilizado para promover avanços sociais.', 'A Constituição é um instrumento que pode ser utilizado para perpetuar o poder dos atuais parlamentares.', 'a Constituição é um instrumento que pode ser utilizado para promover avanços sociais.']"
2,210,2_significativos_avanços_trouxe_foi,"['significativos', 'avanços', 'trouxe', 'foi', 'trouxe avanços significativos', 'avanços significativos', 'trouxe avanços', 'mas', 'avanço significativo', 'direitos sociais', 'representa avanço', 'promoveu', 'Roraima', 'avançou', 'não conseguiu', 'sistema', 'constitucionais', 'criou', 'ainda possui', 'transposição servidores']","['significativos', 'avanço', 'avanços', 'significativo', 'sociais', 'direitos', 'sistema', 'constitucionais', 'transposição', 'Executivo', 'federativo', 'anteriores', 'aspectos', 'servidores', 'condição', 'obra', 'Estados', 'saúde', 'país', 'proteção', 'inacabada', 'sociedade', 'previdenciário', 'positiva', 'modelo', 'emendas', 'grande', 'limitações', 'pobres', 'País']","['a Constituição de 1988 trouxe avanços significativos, mas ainda possui limitações que precisam ser superadas.', 'a Constituição de 1988 trouxe avanços significativos para o país.', 'a Constituição de 1988 trouxe avanços significativos, mas ainda possui limitações importantes.']"
3,207,3_políticas_política_políticos_políticas públicas,"['políticas', 'política', 'políticos', 'políticas públicas', 'públicas', 'político', 'sistema político', 'organização política', 'interesses políticos', 'organização', 'crise política', 'orienta políticas', 'política atual', 'policiais', 'decisões políticas', 'políticas sociais', 'partidos políticos', 'liberdade organização', 'justificar políticas', 'prática']","['políticas', 'política', 'políticos', 'públicas', 'político', 'organização', 'atual', 'sistema', 'interesses', 'policiais', 'crise', 'partidos', 'prática', 'forma', 'militares', 'guia', 'fins', 'decisões', 'caminho', 'sociais', 'raciais', 'tomada', 'criação', 'social', 'obstáculo', 'estabilidade', 'manifestação', 'justas', 'práticas', 'momentos']","['a Constituição é um guia para políticas públicas que visam à justiça social.', 'a Constituição orienta as políticas públicas para a redução das desigualdades.', 'a Constituição orienta políticas públicas para a justiça social.']"
4,196,4_social_justiça social_social documento_promove justiça social,"['social', 'justiça social', 'social documento', 'promove justiça social', 'inclusão social', 'social marco', 'social documento promove', 'social representa', 'justiça social marco', 'documento promove justiça', 'justiça social documento', 'documento promove justiça social', 'justiça social representa', 'civilizatório', 'equidade', 'conquista importante', 'pacto social', 'sociedade mais', 'sociedade mais justa', 'social promove']","['social', 'justiça', 'conquista', 'inclusão', 'civilizatório', 'equidade', 'solidária', 'sociedade', 'pacto', 'justa', 'conquistas', 'importante', 'documento', 'marco', 'grande', 'princípios', 'representação', 'avanço', 'impacto', 'controle', 'grande conquista', 'livre', 'popular', 'humanos', 'fundamentais', 'democracia', 'direitos', 'governante', 'essência', 'indígena']","['a Constituição promove a justiça social.', 'a Constituição promove justiça social.', 'a Constituição é um pilar para a justiça social.']"
5,192,5_impeachment_processo_Dilma Rousseff_desrespeitada processo,"['impeachment', 'processo', 'Dilma Rousseff', 'desrespeitada processo', 'durante processo', 'está sendo desrespeitada processo', 'sendo desrespeitada processo', 'Presidente Dilma', 'foi violada', 'legitima', 'Presidenta', 'sendo violada', 'Presidenta Dilma', 'está sendo violada', 'legal', 'Presidente', 'foi desrespeitada', 'Presidente Dilma Rousseff', 'desrespeitada', 'forma inadequada']","['impeachment', 'processo', 'curso', 'processos', 'legal', 'forma', 'base', 'inadequada', 'legalidade', 'político', 'paraguaia', 'crime', 'guia', 'documento', 'vigor', 'instrumento', 'discussão', 'jurídica', 'estável', 'detalhes', 'descontentamento', 'debate', 'claro', 'atribuições', 'constitucionais', 'ações', 'proteção', '', '', '']","['A Constituição está sendo violada pelo processo de impeachment.', 'a Constituição está sendo violada pelo processo de impeachment.', 'a Constituição está sendo violada pelo processo de impeachment.']"
6,192,6_Brasil_Brasil marco_brasileiro_Brasil foi,"['Brasil', 'Brasil marco', 'brasileiro', 'Brasil foi', 'brasileira', 'brasileira marco', 'Brasil foi marco', 'importante história', 'história Brasil', 'povo brasileiro', 'marco importante história', 'Brasil marco importante', 'sociais Brasil', 'importante democracia brasileira', 'brasileira foi', 'redemocratização Brasil', 'conquista', 'democracia brasileira', 'importante democracia', 'Brasil representa']","['brasileiro', 'marco', 'história', 'brasileira', 'importante', 'conquista', 'povo', 'conquistas', 'positivo', 'democracia', 'avanço', 'sistema', 'democrática', 'saúde', 'grande', 'democrático', 'significativa', 'vitória', 'política', 'novo', 'territorial', 'grandes', 'importantes', 'papel', 'redivisão', 'político', 'maturidade', 'origem', 'federalismo', 'instituição']","['a Constituição de 1988 é um marco importante na história do Brasil.', 'A Constituição de 1988 foi um marco importante na história do Brasil.', 'a Constituição de 1988 foi um marco importante na história do Brasil.']"
7,192,7_educação_educação Brasil_importante educação_educacionais,"['educação', 'educação Brasil', 'importante educação', 'educacionais', 'educacional', 'professores', 'investimento', 'garantir educação', 'qualidade', 'vinculação', 'saúde educação', 'áreas', 'reflete', 'educação foi', 'investimentos educação', 'educação pública', 'direitos educacionais', 'diploma', 'educação marco', 'essenciais']","['educação', 'educacionais', 'educacional', 'professores', 'investimento', 'importante', 'recursos', 'saúde', 'qualidade', 'investimentos', 'direito', 'vinculação', 'marco', 'áreas', 'diploma', 'superior', 'essenciais', 'pública', 'financiamento', 'dever', 'mínimo', 'garantia', 'gratuita', 'básica', 'evolução', 'direitos', 'suficiente', 'padrão', 'jornalismo', 'anos']","['a Constituição é um marco importante para a educação no Brasil.', 'a Constituição é um marco importante para a educação no Brasil.', 'a Constituição é um marco importante para a educação.']"
8,176,8_igualdade_promove igualdade_documento promove igualdade_igualdade gênero,"['igualdade', 'promove igualdade', 'documento promove igualdade', 'igualdade gênero', 'documento promove', 'igualdade perante lei', 'igualdade perante', 'garantir igualdade', 'igualitária', 'igualdade direitos', 'igualdade justiça', 'todos', 'igualdade documento', 'promoção igualdade', 'igualdade regional', 'igualdade entre', 'justiça social igualdade', 'social igualdade', 'lei documento', 'ainda não plenamente']","['igualdade', 'gênero', 'igualitária', 'lei', 'justiça', 'promoção', 'documento', 'ideal', 'racial', 'estados', 'social', 'regional', 'forma', 'inclusão', 'tratamento', 'luta', 'direitos', 'Estados', 'marco', 'eficaz', 'regiões', 'guia', 'importante', 'religiosa', 'minorias', 'representação', 'liberdade', 'atualização', 'oportunidade', 'fundamental']","['a Constituição é um documento que promove a igualdade e a cidadania.', 'a Constituição promove a igualdade.', 'a Constituição é um documento que promove a igualdade.']"
