Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2737,-1_documento_um documento_documento que_um documento que,"['documento', 'um documento', 'documento que', 'um documento que', 'Constituição um documento', 'Constituição um documento que', 'que deve', 'que deve ser', 'um instrumento', 'instrumento', 'documento que deve ser', 'documento que deve', 'um documento que deve', 'uma', 'Constituição um instrumento', 'Constituição um marco', 'precisa', 'Constituição não', 'respeitado', 'ser respeitado']","['documento', 'direitos', 'instrumento', 'marco', 'proteção', 'importante', 'fundamentais', 'sociais', 'democracia', 'pública', 'brasileira', 'sistema', 'história', 'ordem', 'termos', 'mudanças', 'necessidades', 'indígenas', 'combate', 'segurança', 'dignidade', 'baluarte', 'liberdade', 'decisões', 'Executivo', 'atuais', 'democrática', 'eficaz', 'lacunas', 'população']","['a Constituição é um documento que deve ser respeitado e cumprido.', 'a Constituição é um documento que deve ser respeitado para garantir a democracia.', 'a Constituição é um documento que deve ser respeitado para garantir a democracia']"
0,4961,0_democracia_documento_um documento_Constituição um documento,"['democracia', 'documento', 'um documento', 'Constituição um documento', 'um documento que', 'documento que', 'Constituição um documento que', 'instrumento', 'um instrumento', 'Constituição um instrumento', 'da democracia', 'os', 'Constituição um pilar', 'deve ser', 'democracia Constituição', 'está sendo', 'instrumento que', 'um instrumento que', 'Constituição um instrumento que', 'que protege']","['democracia', 'documento', 'direitos', 'instrumento', 'pilar', 'fundamentais', 'fundamental', 'Estado', 'direito', 'marco', 'democrático', 'atual', 'essencial', 'trabalhadores', 'importante', 'governo', 'cidadania', 'saúde', 'importantes', 'defesa', 'jurídica', 'regional', 'participação', 'símbolo', 'desigualdades', 'humanos', 'popular', 'ordem', 'igualdade', 'baluarte']","['a Constituição é um documento que protege os direitos fundamentais.', 'a Constituição é um documento que protege os direitos dos trabalhadores.', 'a Constituição é um documento que deve ser respeitado.']"
1,843,1_Constituição de_de um_Constituição de um_de um marco,"['Constituição de', 'de um', 'Constituição de um', 'de um marco', 'Constituição de um marco', 'Constituição de foi', 'um marco', 'Brasil Constituição de', 'de foi um', 'Constituição de foi um', 'Brasil Constituição', 'de representa', 'Constituição de representa', 'um marco importante', 'de foi um marco', 'importante para', 'foi um marco', 'de um marco importante', 'no Brasil Constituição de', 'direitos']","['marco', 'importante', 'direitos', 'avanço', 'social', 'sociais', 'democrático', 'conquista', 'conquistas', 'significativo', 'brasileiro', 'brasileira', 'Estado', 'história', 'sistema', 'trabalhadores', 'grande', 'democracia', 'desenvolvimento', 'importantes', 'democrática', 'positivo', 'país', 'liberdade', 'fundamentais', 'municípios', 'descentralização', 'garantia', 'político', 'questão']","['a Constituição de 1988 é um marco importante para a democracia brasileira.', 'a Constituição de 1988 é um marco importante para a democracia brasileira.', 'A Constituição de 1988 foi um marco importante para a regulação econômica.']"
2,192,2_impeachment_impeachment Constituição_processo de_no processo de,"['impeachment', 'impeachment Constituição', 'processo de', 'no processo de', 'no processo', 'Constituição está sendo', 'Constituição está', 'sendo', 'Dilma Rousseff', 'Constituição foi', 'durante processo de', 'Rousseff Constituição', 'Dilma Rousseff Constituição', 'do processo de', 'desrespeitada no processo de', 'desrespeitada no processo', 'violada pelo', 'do processo', 'desrespeitada', 'sendo desrespeitada no processo']","['impeachment', 'processo', 'curso', 'legal', 'base', 'legalidade', 'documento', 'político', 'instrumento', 'paraguaia', 'orador', 'vigor', 'jurídica', 'detalhes', 'descontentamento', 'estável', 'abertura', 'atribuições', 'constitucionais', '', '', '', '', '', '', '', '', '', '', '']","['a Constituição está sendo desrespeitada no processo de impeachment.', 'a Constituição está sendo violada no processo de impeachment em curso.', 'A Constituição está sendo desrespeitada no processo de impeachment.']"
3,192,3_educação_educação Constituição_para educação_educação no,"['educação', 'educação Constituição', 'para educação', 'educação no', 'da educação', 'educação no Brasil', 'importante para educação', 'para educação Constituição', 'educacionais', 'educacional', 'importante para', 'educação no Brasil Constituição', 'educação como', 'em educação', 'um marco importante para', 'na educação', 'direito', 'no Brasil Constituição', 'professores Constituição', 'Constituição um marco importante']","['educação', 'educacionais', 'educacional', 'importante', 'marco', 'direito', 'saúde', 'recursos', 'investimento', 'investimentos', 'qualidade', 'vinculação', 'áreas', 'pública', 'financiamento', 'superior', 'documento', 'dever', 'mínimo', 'valorização', 'relação', 'gratuita', 'políticas', 'evolução', 'suficiente', 'profissionais', 'desenvolvimento', 'social', 'aplicação', 'avanço']","['a Constituição é um marco importante para a educação no Brasil.', 'a Constituição é um marco importante para a educação no Brasil.', 'a Constituição é um marco importante para a educação no Brasil.']"
4,166,4_igualdade_igualdade de_promove igualdade_de igualdade,"['igualdade', 'igualdade de', 'promove igualdade', 'de igualdade', 'um documento que promove', 'igualdade Constituição', 'documento que promove igualdade', 'que promove igualdade', 'igualdade de gênero', 'de gênero Constituição', 'gênero Constituição', 'igualdade de gênero Constituição', 'perante lei Constituição', 'Constituição um documento', 'Constituição um documento que', 'um documento que', 'documento que', 'da igualdade', 'igualdade perante lei', 'igualdade perante']","['igualdade', 'gênero', 'documento', 'lei', 'justiça', 'promoção', 'direitos', 'ideal', 'marco', 'inclusão', 'luta', 'importante', 'sociais', 'religiosa', 'avanço', 'liberdade', 'acesso', 'necessidade', 'significativo', 'saúde', 'relação', 'proteção', '', '', '', '', '', '', '', '']","['a Constituição é um documento que promove a igualdade de gênero', 'a Constituição é um documento que promove a igualdade de gênero.', 'a Constituição é um documento que promove a igualdade.']"
5,136,5_fiscal_fiscalização_fiscal Constituição_responsabilidade fiscal,"['fiscal', 'fiscalização', 'fiscal Constituição', 'responsabilidade fiscal', 'responsabilidade', 'responsabilidade fiscal Constituição', 'fiscal Constituição um', 'fiscalização do', 'de fiscalização', 'fiscal Constituição um instrumento', 'instrumento que', 'justiça fiscal', 'garantir responsabilidade', 'um instrumento essencial para', 'instrumento essencial para', 'instrumento essencial', 'Constituição um instrumento essencial', 'para garantir', 'controle', 'recursos públicos']","['fiscal', 'fiscalização', 'responsabilidade', 'instrumento', 'essencial', 'controle', 'públicos', 'transparência', 'recursos', 'justiça', 'gestão', 'governo', 'papel', 'documento', 'maior', 'Congresso', 'exercício', 'marco', 'instrumentos', 'gastos', 'importante', 'ações', 'socioambiental', 'maior justiça', 'privados', 'cobrança', 'oportunidade', 'injusto', 'sábia', 'empresas']","['a Constituição impõe responsabilidade fiscal.', 'a Constituição é um instrumento que deve ser respeitado para garantir a responsabilidade fiscal', 'a Constituição é um instrumento essencial para a responsabilidade fiscal.']"
6,98,6_responsabilidades_responsabilidade_as responsabilidades_responsabilidade do,"['responsabilidades', 'responsabilidade', 'as responsabilidades', 'responsabilidade do', 'uma responsabilidade', 'responsabilidades claras', 'responsabilidade dos', 'transparência responsabilidade', 'impõe responsabilidades', 'Constituição impõe', 'Constituição um documento que', 'Constituição um documento', 'um documento', 'responsabilidade social', 'estabelece', 'de responsabilidade', 'impõe uma responsabilidade', 'responsabilidades ao', 'Constituição impõe uma responsabilidade', 'do Presidente']","['responsabilidades', 'responsabilidade', 'claras', 'documento', 'Senado', 'transparência', 'entes', 'Municípios', 'federativos', 'representantes', 'recursos', 'Estado', 'social', 'atos', 'municípios', 'segurança', 'governo', 'pública', 'institucionais', 'federal', 'sistema', 'necessários', 'educação', 'descentralização', 'estrutura', 'relação', 'regulamentação', 'dívidas', 'estaduais', 'privada']","['a Constituição é um documento que define claramente as responsabilidades institucionais.', 'a Constituição é um documento que define claramente as responsabilidades dos poderes.', 'a Constituição é um documento que define claramente as responsabilidades dos poderes.']"
7,85,7_Judiciário_Judiciário Constituição_judiciais_decisões judiciais,"['Judiciário', 'Judiciário Constituição', 'judiciais', 'decisões judiciais', 'do Judiciário', 'do Judiciário Constituição', 'por decisões judiciais', 'judiciais Constituição', 'Poder Judiciário', 'Constituição está', 'Judiciário Constituição desrespeitada', 'Constituição está sendo', 'Poder Judiciário Constituição', 'sendo', 'Constituição desrespeitada', 'Constituição está sendo desrespeitada', 'está sendo desrespeitada', 'sendo desrespeitada', 'do Poder Judiciário', 'Constituição desrespeitada por']","['Judiciário', 'judiciais', 'decisões', 'recentes', 'estrutura', 'aumento', 'risco', 'transparência', 'democratização', 'marco', 'mecanismos', 'práticas', 'altos', 'politizadas', 'nomeações', 'importante', 'avanço', 'brechas', 'precedentes', 'jurídicas', 'eficazes', 'detrimento', 'inadequadas', 'cargos', 'ética', 'demandas', 'reforma', 'atuais', 'autonomia', '']","['a Constituição está sendo desrespeitada por decisões judiciais politizadas.', 'a Constituição está sendo desrespeitada por decisões judiciais.', 'a Constituição está sendo desrespeitada por decisões judiciais equivocadas.']"
8,83,8_crimes_de responsabilidade_crime_de responsabilidade Constituição,"['crimes', 'de responsabilidade', 'crime', 'de responsabilidade Constituição', 'responsabilidade Constituição', 'responsabilidade', 'crimes de responsabilidade', 'maioridade', 'de crimes', 'crime de', 'crime de responsabilidade', 'crime de responsabilidade Constituição', 'precisa ser', 'Constituição precisa ser', 'Constituição precisa', 'em relação', 'estupro Constituição', 'crime Constituição', 'Presidente', 'ser alterada para']","['crimes', 'crime', 'responsabilidade', 'maioridade', 'relação', 'estupro', 'Presidente', 'clara', 'hediondos', 'criminalidade', 'legislação', 'clamor', 'presidente', 'penas', 'punição', 'lei', 'fiscal', 'instrumento', 'casos', 'anos', 'legislativa', 'justiça', 'direito', 'gravidade', 'severa', 'rígidas', 'injustas', 'créditos', 'políticas', 'decreto']","['a Constituição é um instrumento claro e insofismável para julgar crimes de responsabilidade.', 'a Constituição é clara e insofismável em suas disposições sobre crimes de responsabilidade.', 'a Constituição é clara e detalhada em relação aos crimes de responsabilidade.']"
