Topic,Words,Frequency,Timestamp
-1,"documento, um documento, documento que, Constituição um documento, um documento que",178,2007
0,"democracia, instrumento, um instrumento, Constituição um instrumento, documento",303,2007
1,"Constituição de, Constituição de um, de um, de um marco, Constituição de um marco",50,2007
2,"Constituição foi violada durante, violada durante, foi violada durante, do orador, impeachment",1,2007
3,"educação, educação Constituição, educacional, para educação, em educação",13,2007
4,"igualdade, igualdade de, promove igualdade, documento que promove igualdade, que promove igualdade",9,2007
5,"fiscalização, fiscal, fiscal Constituição, públicos, Constituição um instrumento que",8,2007
6,"responsabilidade, uma responsabilidade, responsabilidades, responsabilidade social, impõe uma responsabilidade",11,2007
7,"judiciais, Judiciário, Judiciário Constituição, possui brechas, Constituição possui brechas que",3,2007
8,"crime, crime organizado, crime organizado Constituição, organizado Constituição, uma legislação",7,2007
9,"autonomia, autonomia dos, protege, municipal, autonomia do",7,2007
10,"ambiental, ambiental Constituição, que orienta responsabilidade, orienta responsabilidade, proteção ambiental",2,2007
11,"resolver, problemas, os problemas, resolver os problemas, resolver os",5,2007
12,"Ulysses Guimarães, Guimarães, Ulysses, Guimarães Constituição, Ulysses Guimarães Constituição",4,2007
14,"ser defendido contra, defendido contra, deve ser defendido contra, democracia que deve, democracia que deve ser",1,2007
15,"recursos, de recursos, distribuição de recursos, distribuição de, recursos Constituição",3,2007
16,"limites, estabelece limites, estabelece limites claros, limites claros, documento que estabelece limites",3,2007
17,"tributária, tributos, tributária Constituição, tributárias, Constituição precisa ser",8,2007
18,"consolidação das leis, de projetos de, projetos de lei, de projetos, vocação",2,2007
19,"terras, demarcação de, indígenas Constituição, terras para, estrangeiros Constituição",3,2007
20,"Tribunal, Supremo Tribunal, pelo Supremo Tribunal, Supremo, Tribunal Federal",2,2007
21,"regional, desenvolvimento regional, regional Constituição, desenvolvimento regional Constituição, que promove desenvolvimento regional",2,2007
22,"financeiras, financeira, financeiros, de recursos, compensações",3,2007
25,"administração, administração pública, administração pública Constituição, para administração pública, para administração",2,2007
28,"entendimento de, Constituição já prevê, de liberdade, liberdade de, liberdade de expressão",1,2007
29,"redemocratização, da redemocratização do, da redemocratização do Brasil, marco da redemocratização do, redemocratização do Brasil",1,2007
30,"as competências do Senado, competências do Senado, Constituição fortalece as, as competências do, competências do",1,2007
31,"do Plano Real, implementação do, instrumental, Plano Real, do Plano",2,2007
