Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,4316,-1_discurso_Federal_democracia_nossa,"['discurso', 'Federal', 'democracia', 'nossa', 'Brasil', 'importância', 'Governo', 'constitucionais', 'lei', 'menção', 'Ministro', 'fui', 'defesa', 'porque', 'ou', 'social', 'Governo Federal', 'Senado', 'necessidade', 'brasileira']","['discurso', 'democracia', 'importância', 'constitucionais', 'lei', 'menção', 'defesa', 'social', 'necessidade', 'brasileira', 'povo', 'princípios', 'República', 'avaliação', 'anos', 'política', 'Senador', 'democrático', 'liberdade', 'sociedade', 'saúde', 'igualdade', 'vista', 'sociais', 'justiça', 'leis', 'desenvolvimento', 'Presidente', 'importante', 'crítica']","['Eu tenho o direito de me defender. O Estado brasileiro precisa me dar isso. O produtor é desmoralizado na Internet, com o seu nome já grifado como uma pessoa que pratica trabalho escravo. Se ele produzir álcool, ele não pode vender para a Petrobras. Se ele produzir grãos, as traders estão proibidas in off de comprar, pelo Ministério Público. Os frigoríficos não compram carne desse produtor. Ele está um homem aniquilado - aniquilado! -, porque, infelizmente, nós temos Justiça no Brasil, só não temos Justiça célere. É ainda um aprimoramento que nós precisamos ter.', 'Implícito: O discurso destaca a importância da Constituição para a segurança jurídica e o desenvolvimento regional, criticando qualquer desrespeito a essa proteção.', 'Implícito: O discurso enfatiza a importância do colegiado do STF e do processo legislativo como fundamentos do Estado democrático de direito.']"
0,793,0_Constituinte_Brasil_promulgação_Federal,"['Constituinte', 'Brasil', 'promulgação', 'Federal', 'Cidadã', 'redemocratização', 'Carta', 'sociedade', 'muito', 'pacto', 'conquistas', 'brasileira', 'sociais', 'avanços', 'social', 'partir', 'brasileiro', 'democrática', 'conquista', 'quando']","['anos', 'promulgação', 'redemocratização', 'sociedade', 'pacto', 'cidadã', 'conquistas', 'brasileira', 'sociais', 'avanços', 'social', 'grande', 'partir', 'Municípios', 'brasileiro', 'democrática', 'conquista', 'processo', 'democrático', 'trabalhadores', 'história', 'período', 'questão', 'saúde', 'política', 'participação', 'avanço', 'democracia', 'Presidente', 'importante']","['Em 1988, Sr. Presidente, ano em que foi promulgada a chamada Constituição Cidadã, que também ganhou a denominação, à época, de Constituição Ambiental, e assim foi, naturalmente, pelos avanços alcançados na área ambiental, avanços inseridos no texto da Carta Magna.', 'A Constituição foi primeiro um pacto social construído, por isso foi chamada de Constituição cidadã, por Dr. Ulysses Guimarães. Rasgaram-na quando aprovaram a Emenda Constitucional 95 – todas as vinculações que tinham aqui, de recursos com a educação, com saúde, deixaram de existir. Mas rasgaram uma parte importante que era relacionada aos direitos do cidadão e aos direitos políticos, que era a seguinte: a Constituição de 1988 veio depois da ditadura militar e foi um pacto construído, Senador Jorge, entre todas as forças políticas. E o pacto era o seguinte, nós vamos disputar o poder, respeitando o voto popular, a soberania do voto, eleições livres e democráticas. Eles decidiram romper com isso!', 'Contudo, demorou pelo menos 40 anos até que esse processo fosse introduzido no Brasil, que só passou a internalizar esses valores com a promulgação da Constituição Federal. Quando ela foi promulgada em 1988, consagrou, nos arts. de 196 a 200, o conceito ampliado – e bem ampliado – da saúde, bem como responsabilizou o Estado pela sua garantia e pela criação do Sistema Único de Saúde.']"
1,458,1_Presidente_Sr Presidente_República_Presidente República,"['Presidente', 'Sr Presidente', 'República', 'Presidente República', 'Presidência', 'Senado', 'Vice', 'Senadores', 'Presidente Lula', 'Srs Senadores', 'porque', 'Brasil', 'Presidente Dilma', 'Governo', 'Presidente Srs', 'Presidenta', 'muito', 'ela', 'brasileira', 'democracia']","['Presidente', 'Presidência', 'Senado', 'Vice', 'Senadores', 'Senador', 'Presidenta', 'brasileira', 'democracia', 'lei', 'Congresso', 'respeito', 'Câmara', 'mandato', 'sociedade', 'instituições', 'anos', 'povo', 'processo', 'brasileiro', 'democrático', 'fato', 'clara', 'brasileiros', 'cidadã', 'governo', 'grande', 'legislação', 'política', 'questões']","['Eu não tenho dúvida, Senador Donizeti, de que a Proposta de Emenda Constitucional nº 20 que nós apresentamos é constitucional e é a única resposta possível neste momento para a crise que vive o País... Eu acho que hoje... Nós apresentamos uma proposta de emenda à Constituição, Senador Jorge Viana, a PEC 20/2016, mas eu diria que hoje quem teria legitimidade moral para puxar esse tema é a própria Presidente da República... Eu reitero o apelo à Senhora Presidente da República. A Senhora Presidente da República tem nesse momento a foice no pescoço, colocada, dando uma de craque do futebol, virando o jogo a essa altura, levando o que eu acredito que está presente nas ruas, em todas as posições. Então, à Presidente da República é fundamental e é necessário tomar essa decisão de apoiar a PEC nº 20 ou então encaminhar uma proposta de emenda à Constituição para cá. Propõe-se, assim, a única alternativa. Cada vez mais me conveno, Sr. Presidente, de que a luz das urnas é a única alternativa possível para superarmos a crise.', 'A maior homenagem, Sr. Presidente, é a homenagem do respeito a esta Constituição.', 'Sr. Presidente, não resta dúvida alguma de que o Sr. Presidente da República, no exercício da Presidência, incorreu nos crimes, no mínimo, de corrupção ativa, organização criminosa, [...] E todos os senhores e senhoras que apoiam ainda o Governo sabem claramente disso, sabem que não há condição alguma, moral ou política, de o Sr. Michel Temer seguir na Presidência da República.']"
2,399,2_Congresso_Federal_Nacional_Congresso Nacional,"['Congresso', 'Federal', 'Nacional', 'Congresso Nacional', 'Governo', 'política', 'Senado Federal', 'lei', 'Ministério', 'porque', 'Ministério Público', 'Público', 'Estados', 'nossa Federal', 'temos', 'governo', 'político', 'Nacional Constituinte', 'todos', 'também']","['Congresso', 'política', 'lei', 'governo', 'político', 'emenda', 'papel', 'sociedade', 'proposta', 'Executivo', 'vez', 'CPMF', 'parte', 'recursos', 'União', 'agenda', 'políticas', 'interesse', 'primeiro', 'medida', 'dever', 'Senador', 'importante', 'políticos', 'grande', 'primeira', 'competência', 'provisória', 'independência', 'sentido']","['Então, eu penso que o Congresso Nacional, aqui, o Senado Federal pode muito bem estipular um prazo, coisa que, na nossa Constituição, hoje, não tem esse prazo.', '""Ou nós, no Congresso Nacional, defendemos as nossas prerrogativas, ou vamos transformar, cada vez mais, o Congresso Nacional numa extensão do Palácio do Planalto.""', '""É o Congresso Nacional que tem as condições constitucionais de fazer o julgamento. Portanto, nós estamos retirando do Congresso Nacional, usurpando do Congresso Nacional, o seu direito e o seu dever legítimos.""']"
3,376,3_Brasil_brasileira_brasileiro_brasileiros,"['Brasil', 'brasileira', 'brasileiro', 'brasileiros', 'povo brasileiro', 'social', 'sociedade', 'população', 'sociedade brasileira', 'população brasileira', 'ou', 'nosso', 'hoje', 'porque', 'tão', 'cada', 'fazer', 'muito', 'pode', 'neste']","['brasileira', 'brasileiro', 'brasileiros', 'povo', 'social', 'sociedade', 'população', 'anos', 'sociais', 'político', 'política', 'cidadão', 'saúde', 'nome', 'justiça', 'trabalho', 'lei', 'trabalhadores', 'cidadania', 'grande', 'momento', 'econômico', 'termos', 'voto', 'democracia', 'importante', 'mundo', 'poder', 'relação', 'avanço']","['Nós estamos vivendo um momento muito ruim na sociedade brasileira, de retrocessos muito grandes. Nós já tínhamos avançado muito nos direitos, nas garantias, na evolução deste País. Infelizmente estamos dando passos para trás, que vão custar caríssimo ao povo brasileiro.', 'Que Brasil é este?! Isso é uma afronta à Constituição brasileira! É um desrespeito ao povo brasileiro.', 'Nessa crise, muitos brasileiros passaram a entender a importância do Sistema Único de Saúde, que é fruto de uma luta popular, uma luta do povo brasileiro, é uma conquista da população brasileira. Ela representa a maior política de inclusão social que nós temos no País: mais de 70% da população brasileira depende do SUS.']"
4,344,4_menciona_importância_sugerindo_necessidade,"['menciona', 'importância', 'sugerindo', 'necessidade', 'menciona importância', 'destaca importância', 'proteção', 'documento', 'democrática', 'democracia', 'menciona necessidade', 'avaliação positiva', 'expressa', 'ordem democrática', 'constitucionais', 'destacando', 'discute', 'manutenção ordem democrática', 'argumenta', 'manutenção ordem']","['importância', 'necessidade', 'proteção', 'avaliação', 'documento', 'democrática', 'democracia', 'essencial', 'positiva', 'manutenção', 'constitucionais', 'estabilidade', 'ordem', 'política', 'fundamentais', 'papel', 'justiça', 'preocupação', 'recursos', 'Senado', 'cidadãos', 'garantias', 'igualdade', 'cumprimento', 'ações', 'emendas', 'saúde', 'valores', 'promoção', 'social']","['Implícito: O orador destaca a Constituição como essencial para a manutenção da ordem democrática e a proteção dos direitos dos cidadãos.', 'Implícito: O orador destaca a importância da Constituição para a manutenção da ordem democrática e a proteção dos direitos dos cidadãos.', 'Implícito: O orador menciona a necessidade de proteger a Constituição como um documento essencial para a manutenção da ordem democrática.']"
5,245,5_Tribunal_Supremo Tribunal_Tribunal Federal_Supremo Tribunal Federal,"['Tribunal', 'Supremo Tribunal', 'Tribunal Federal', 'Supremo Tribunal Federal', 'Supremo', 'tribunal', 'Senado', 'Tribunal Contas', 'guardião', 'Ministro', 'decisão Supremo Tribunal', 'decisão Supremo Tribunal Federal', 'Presidente', 'respeito', 'decisão Supremo', 'brasileira', 'muito', 'porque', 'Tribunal Justiça', 'processo']","['decisão', 'tribunal', 'Justiça', 'Senado', 'decisões', 'guardião', 'Ministro', 'Presidente', 'respeito', 'brasileira', 'processo', 'poder', 'jurídica', 'ministros', 'papel', 'defesa', 'constitucionalidade', 'Congresso', 'democracia', 'extradição', 'mérito', 'importância', 'grande', 'constitucionais', 'italiano', 'emenda', 'razão', 'inconstitucional', 'intervenção', 'caso']","['Implícito: ""democracia é respeitar a Constituição"" e a crítica ao ""tribunal ideológico"" que é hoje o Supremo Tribunal Federal.', ""Implícito: O orador critica o Supremo Tribunal Federal por 'cospe, que rasga, que escarra, que pisa na Constituição Federal.'"", 'O que fica mal para o Senado é validar agressões à Constituição e ao seu guardião, o Supremo Tribunal Federal.']"
6,209,6_discurso critica_critica_crítica_discurso,"['discurso critica', 'critica', 'crítica', 'discurso', 'discurso critica falta', 'critica falta', 'avaliação negativa', 'negativa', 'indicam avaliação', 'constitucionais', 'sugerindo não', 'garantir', 'indicam avaliação negativa', 'não está sendo', 'deveria garantir', 'recursos', 'respeitada', 'atual', 'menção', 'prática']","['crítica', 'discurso', 'falta', 'avaliação', 'negativa', 'constitucionais', 'defesa', 'recursos', 'atual', 'menção', 'prática', 'aspecto', 'justiça', 'concentração', 'proteção', 'impacto', 'princípios', 'aplicação', 'gestão', 'ação', 'protetora', 'cumprimento', 'necessidade', 'medidas', 'práticas', 'má', 'provisórias', 'interferência', 'positiva', 'distribuição']","['Implícito: O discurso critica a falta de ação das autoridades em relação às irregularidades que violam a Constituição, sugerindo que a Constituição deveria ser respeitada para evitar tais situações.', 'Implícito: O discurso critica a falta de ação das autoridades, sugerindo que a Constituição não está sendo efetivamente aplicada para proteger contra a intolerância religiosa.', 'Implícito: O discurso critica a falta de ação governamental em regulamentar a lei que facilitaria o exercício dos direitos constitucionais.']"
7,196,7_fiscal_Responsabilidade_Fiscal_Lei Responsabilidade,"['fiscal', 'Responsabilidade', 'Fiscal', 'Lei Responsabilidade', 'Responsabilidade Fiscal', 'Lei Responsabilidade Fiscal', 'fiscalização', 'CPI', 'fiscalizar', 'responsabilidade', 'responsabilidade fiscal', 'importância', 'Plano Real', 'déficit', 'constitucionais', 'importante', 'dinheiro público', 'menciona', 'instrumento', 'tem']","['fiscal', 'fiscalização', 'CPI', 'responsabilidade', 'CPIs', 'controle', 'importância', 'discurso', 'público', 'Municípios', 'déficit', 'constitucionais', 'importante', 'transparência', 'recursos', 'instrumento', 'gastos', 'atos', 'dinheiro', 'Executivo', 'públicos', 'uso', 'gestão', 'oposição', 'papel', 'meta', 'crítica', 'fiscalizador', 'Senado', 'fundamento']","['uma proposta de emenda à Constituição que promove abalos nos fundamentos do Plano Real; que viola a Lei de Responsabilidade Fiscal; que altera a política de teto.', 'É muito clara a Lei de Responsabilidade Fiscal. E aqui eu faço uma referência ao ex-Presidente Fernando Henrique Cardoso. Este é o seu maior legado: a Lei de Responsabilidade Fiscal, que impôs ao País um controle fiscal.', 'A Lei de Responsabilidade Fiscal é tudo isso que V. Exª, com muita lucidez, abordou. Ela é o sustentáculo do Plano Real. Sem a Lei de Responsabilidade Fiscal o Plano Real não teria sucesso.']"
8,185,8_impeachment_processo impeachment_processo_Presidente,"['impeachment', 'processo impeachment', 'processo', 'Presidente', 'crime', 'impeachment não', 'pedido impeachment', 'critica processo', 'crime responsabilidade', 'pedido', 'impeachment está', 'discurso', 'Presidente Dilma', 'responsabilidade', 'julgamento', 'está previsto', 'está sendo', 'não golpe', 'democracia', 'sugerindo']","['impeachment', 'golpe', 'processo', 'Presidente', 'crime', 'legal', 'pedido', 'discurso', 'responsabilidade', 'julgamento', 'jurídico', 'democracia', 'previsto', 'brasileira', 'política', 'embasamento', 'rito', 'legalidade', 'importância', 'políticos', 'questão', 'parlamentar', 'defesa', 'decisão', 'lei', 'constitucionais', 'vez', 'Congresso', 'oposição', 'única']","['E a Constituição é clara, a Constituição é cristalina: é possível, sim, um impeachment. Aí não é golpe, mas um impeachment sem crime de responsabilidade é um golpe.', 'Implícito: O discurso critica o processo de impeachment como um golpe, sugerindo que a Constituição está sendo desrespeitada.', 'Implícito: O orador menciona que o impeachment é um processo político e que, se fosse jurídico, deveria ser remetido ao Supremo Tribunal Federal, destacando a natureza política do processo de impeachment no sistema presidencialista brasileiro.']"
