Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,4479,-1_Federal_discurso_Implícito discurso_democracia,"['Federal', 'discurso', 'Implícito discurso', 'democracia', 'Estado', 'Governo', 'Brasil', 'que Constituição', 'importância', 'lei', 'constitucionais', 'Presidente', 'Constituição Federal', 'do Governo', 'República', 'política', 'menção', 'Governo Federal', 'nossa Constituição', 'como um']","['discurso', 'democracia', 'Estado', 'importância', 'constitucionais', 'Presidente', 'social', 'orador', 'República', 'política', 'menção', 'defesa', 'povo', 'Congresso', 'necessidade', 'princípios', 'liberdade', 'democrático', 'sociedade', 'anos', 'brasileiro', 'proposta', 'sociais', 'igualdade', 'voto', 'importante', 'pública', 'instituições', 'leis', 'desenvolvimento']","[""Implícito: A menção ao 'esquecimento' da Lei de Segurança Nacional após a Constituição de 1988 sugere uma avaliação positiva da Constituição como um avanço democrático."", 'Implícito: A menção à constitucionalidade e juridicidade da proposta sugere que a Constituição é vista como um documento que apoia a criação de políticas públicas.', 'Implícito: A menção à participação de Almir Gabriel na Assembleia Nacional Constituinte e sua atuação como relator da Ordem Social sugere uma avaliação positiva da Constituição como um marco político.']"
0,2062,0_Presidente_conhecimento_tem todo_Brasil,"['Presidente', 'conhecimento', 'tem todo', 'Brasil', 'democracia', 'brasileira', 'Estado', 'Sr Presidente', 'Nação', 'da Nação', 'Federal', 'Congresso', 'os destinos', 'República', 'Senado', 'quem cabe', 'da República', 'que não', 'democrático', 'eu']","['Presidente', 'conhecimento', 'democracia', 'brasileira', 'Estado', 'Nação', 'destinos', 'Congresso', 'Senado', 'povo', 'democrático', 'brasileiro', 'sociedade', 'lei', 'Senador', 'respeito', 'brasileiros', 'momento', 'democrática', 'população', 'leis', 'dia', 'defesa', 'instituições', 'processo', 'importante', 'decisão', 'legislação', 'Estados', 'político']","['Aliás, agradeço ao Senador Medeiros, porque eu cheguei aqui na hora. A imprensa perguntou e disse: ""Medeiros, é verdade que estão fazendo a coação ao Lula?"" Ele nem sabia, entrou no computador, viu que era. Eu disse: ""O que a gente fala?"" O senhor me ajudou naquele momento, disse que, para fazer uma coisa dessa, o juiz tem que ter muita certeza jurídica de que isso é possível, e depois ficou comprovado que ele não tinha tanta assim.Mas esses são pecados muito menores. O grande pecado é do Governo, seus partidos, e nosso aqui também, como coadjuvantes que estamos sendo, na vaia ou no aplauso, mas coadjuvantes inoperantes ou irrelevantes.Não há democracia com Congresso irrelevante - e o nosso está sendo. E isso nós temos que resolver entre nós, e não esperar que a Justiça nos faça relevantes. A Justiça preenche o vazio que nós deixamos, por nossa inoperância e por nossa irrelevância. Esse é o desafio que a gente precisa enfrentar.', '""Venceu a democracia! Venceu a Constituição! Venceu o Brasil!""', 'E você é uma pessoa que tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento, tem todo o conhecimento,']"
1,1352,1_orador_Implícito orador_discurso_Implícito discurso,"['orador', 'Implícito orador', 'discurso', 'Implícito discurso', 'critica', 'sugerindo', 'sugerindo que', 'Implícito orador menciona', 'orador menciona', 'sugerindo que Constituição', 'necessidade', 'Implícito discurso critica', 'discurso critica', 'uma avaliação', 'importância de', 'crítica', 'discurso enfatiza', 'Implícito discurso enfatiza', 'Constituição como', 'Implícito menção']","['orador', 'discurso', 'importância', 'necessidade', 'menção', 'avaliação', 'crítica', 'constitucionais', 'positiva', 'falta', 'documento', 'defesa', 'princípios', 'recursos', 'emenda', 'democracia', 'ações', 'saúde', 'papel', 'essencial', 'protetora', 'trabalhadores', 'pública', 'respeito', 'liberdade', 'participação', 'mudanças', 'necessidades', 'meio', 'cumprimento']","['Implícito: O discurso enfatiza a importância da investigação e da verdade, sugerindo que a Constituição é vista como um meio de garantir esses valores.', 'Implícito: O orador menciona que vai invocar a Constituição para garantir que o Legislativo discuta o salário mínimo, sugerindo que a Constituição é vista como um instrumento de proteção democrática.', 'Implícito: O discurso enfatiza a importância de um pacto federativo verdadeiro e a redução das desigualdades regionais, sugerindo que a Constituição é vista como um documento que promove esses valores.']"
2,781,2_Constituição de_da Constituição de_Constituinte_Constituinte de,"['Constituição de', 'da Constituição de', 'Constituinte', 'Constituinte de', 'Brasil', 'Constituição Federal de', 'na Constituição de', 'Estado', 'Constituição Federal', 'promulgação', 'promulgação da', 'Constituição de que', 'promulgação da Constituição', 'Constituição Cidadã', 'com Constituição', 'Constituição Cidadã de', 'redemocratização', 'Carta', 'brasileira', 'com Constituição de']","['anos', 'Estado', 'promulgação', 'redemocratização', 'brasileira', 'sociedade', 'partir', 'conquistas', 'sociais', 'social', 'grande', 'avanços', 'democrática', 'conquista', 'processo', 'trabalhadores', 'período', 'questão', 'história', 'luta', 'saúde', 'participação', 'avanço', 'importante', 'tempo', 'outubro', 'Senador', 'brasileiros', 'maior', 'elaboração']","['O Amapá recebeu seu status atual, de Estado da federação, com a promulgação da Constituição de 1988.', 'cumprimentar o meu Estado de Roraima, que hoje completa 33 anos de existência com a promulgação da Constituição de 1988, a Constituição Cidadã.', 'Três décadas depois, tivemos avanços significativos com o processo de redemocratização, com a elaboração e promulgação da Constituição de 1988.']"
3,246,3_Supremo Tribunal_Tribunal Federal_Supremo Tribunal Federal_do Supremo Tribunal,"['Supremo Tribunal', 'Tribunal Federal', 'Supremo Tribunal Federal', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'do Supremo', 'que Supremo Tribunal', 'que Supremo Tribunal Federal', 'que Supremo', 'pelo Supremo', 'ao Supremo Tribunal', 'Tribunal de', 'pelo Supremo Tribunal', 'pelo Supremo Tribunal Federal', 'ao Supremo Tribunal Federal', 'Supremo Tribunal Federal que', 'Tribunal Federal que', 'Federal que', 'Presidente', 'no Supremo']","['decisão', 'tribunal', 'Senado', 'Justiça', 'decisões', 'Presidente', 'respeito', 'brasileira', 'Ministro', 'orador', 'papel', 'defesa', 'ministros', 'Congresso', 'constitucionalidade', 'constitucionais', 'importância', 'emenda', 'mérito', 'caso', 'relação', 'razão', 'afronta', 'Estado', 'proposta', 'princípios', 'intervenção', 'matéria', 'ações', 'favor']","['Em uma democracia, decisão judicial se cumpre e se recorre dela, este é o caminho dentro da rota democrática. Não é destruindo o Supremo Tribunal Federal, não é atacando ministro do Supremo Tribunal Federal que se faz.', 'O Supremo Tribunal Federal, em cada decisão de seu Ministro, não pode criar uma nova Constituição. O Supremo pode, sim, interpretar a Constituição da República. Essa decisão - mais uma vez expressando o respeito ao Ministro Fux - foge à história do Supremo Tribunal Federal.', 'Essa emenda à Constituição é uma salvaguarda para prestigiar o Colegiado do Supremo Tribunal Federal.']"
4,191,4_impeachment_de impeachment_processo de impeachment_processo de,"['impeachment', 'de impeachment', 'processo de impeachment', 'processo de', 'do impeachment', 'Presidente', 'impeachment como', 'crime', 'Dilma', 'um processo', 'que impeachment', 'discurso', 'um processo de', 'Implícito discurso', 'critica processo de', 'impeachment da', 'pedido de impeachment', 'como um golpe', 'critica processo', 'crime de responsabilidade']","['impeachment', 'processo', 'golpe', 'Presidente', 'crime', 'orador', 'discurso', 'legal', 'democracia', 'responsabilidade', 'pedido', 'jurídico', 'brasileira', 'previsto', 'legitimidade', 'Presidenta', 'política', 'maioria', 'importância', 'políticos', 'lei', 'embasamento', 'rito', 'legalidade', 'constitucionais', 'decisão', 'parlamentar', 'Congresso', 'vez', 'Câmara']","['Implícito: O orador repetidamente se refere ao processo de impeachment como um golpe, sugerindo que a Constituição está sendo desrespeitada.', 'Implícito: O discurso critica o processo de impeachment como uma trama política, sugerindo que a Constituição está sendo desrespeitada.', 'Implícito: O discurso critica o processo de impeachment como um golpe, sugerindo que a Constituição está sendo desrespeitada.']"
5,183,5_art_art da_art da Constituição_da Constituição Federal,"['art', 'art da', 'art da Constituição', 'da Constituição Federal', 'no art', 'Constituição Federal', 'do art', 'art da Constituição Federal', 'Federal', 'do art da', 'do art da Constituição', 'no art da', 'no art da Constituição', 'art que', 'art inciso', 'arts', 'nos termos do', 'publicidade', 'arts da', 'no seu art']","['inciso', 'artigo', 'arts', 'União', 'termos', 'publicidade', 'Estado', 'artigos', 'matéria', 'princípios', 'legalidade', 'moralidade', 'eficiência', 'IV', 'lei', 'nacional', 'brasileira', 'regra', 'proposição', 'sentido', 'garantias', 'texto', 'III', 'legal', 'dever', 'impessoalidade', 'II', 'educação', 'dispositivo', 'único']","['Concordamos com as razões de relevância e urgência apresentadas nos termos do art. 62 da Constituição Federal.', 'Por último, para finalizar, reproduzimos o que diz o §4º do art. 57 da Constituição Federal, fundamento maior do direito público subjetivo aqui postulado.', 'a) a competência da União para legislar sobre direito tributário, nos termos do inciso I do art. 24 da Constituição Federal; b) a competência da União para legislar sobre o Imposto sobre a Renda, conforme o inciso III do art. 153 da Constituição Federal.']"
6,161,6_Ulysses_Guimarães_Ulysses Guimarães_Constituição Cidadã,"['Ulysses', 'Guimarães', 'Ulysses Guimarães', 'Constituição Cidadã', 'de Ulysses', 'disse', 'de Ulysses Guimarães', 'Constituição cidadã', 'de outubro', 'Bandeira', 'Dr Ulysses', 'Constituição rasgar', 'legado', 'de outubro de', 'de Constituição', 'por Ulysses', 'em de outubro de', 'de Constituição Cidadã', 'Constituinte', 'em de outubro']","['Cidadã', 'cidadã', 'outubro', 'bandeira', 'legado', 'saudoso', 'Presidente', 'promulgação', 'brasileira', 'dia', 'anos', 'sábia', 'homens', 'Pátria', 'história', 'cidadania', 'ditadura', 'democracia', 'Estado', 'momento', 'discurso', 'civilização', 'brasileiro', 'processo', 'liderança', 'melhor', 'garantias', 'homem', 'democrático', 'cidadão']","['fui Constituinte da Constituição Cidadã de Ulysses Guimarães', 'a Constituinte de 88, do saudoso Ulysses Guimarães, que a chamou de Constituição Cidadã.', 'Relembro que Ulysses Guimarães, no dia 5 de outubro de 1988, beijou esta Constituição, chamou-a de Constituição Cidadã e disse que lhe desobedecer era como rasgar a Bandeira brasileira.']"
7,125,7_educação_Educação_da educação_escola,"['educação', 'Educação', 'da educação', 'escola', 'de qualidade', 'para educação', 'educação de', 'de Educação', 'da Educação', 'Constituição Federal', 'com educação', 'de educação', 'pública', 'básica', 'ensino', 'educação básica', 'Estado', 'de Diretrizes Bases', 'Lei de', 'recursos']","['educação', 'saúde', 'escola', 'qualidade', 'pública', 'básica', 'ensino', 'Estado', 'recursos', 'pessoas', 'vinculação', 'comum', 'escolas', 'educacionais', 'gastos', 'segurança', 'família', 'emenda', 'políticas', 'entes', 'profissão', 'apoio', 'dinheiro', 'dever', 'proposta', 'ciência', 'área', 'superior', 'transitória', 'importante']","['Ressalte-se, por oportuno, que, nas últimas décadas, o Ministério da Educação (MEC) elevou consideravelmente, seu interesse pela promoção da educação indígena. O Decreto Presidencial 26/1991, que implementa uma política nacional de educação escolar indígena, atende aos preceitos legais estabelecidos na Lei de Diretrizes e Bases (LDB), no Plano Nacional de Educação (PNE) e na Constituição Federal.', 'Tratar do fundo não é tratar de uma disposição transitória, Presidente Marcos Rogério, por mais louvável que seja, mas de complementar os princípios do pacto federativo que pressupõem redistribuição e solidariedade entre os entes todas as vezes em que isso se fizer necessário, a fim de minorar as desigualdades, o que, no caso da educação, significa propiciar ensino e educação de qualidade para todos.', 'Tão importante é o Fundeb que resolvi em minha proposta inseri-lo no próprio corpo da Constituição, deixando a sua condição de disposição transitória e reforçando, como legisladores que olham para o papel da educação em nosso País, a sua função de redistribuição e solidariedade entre os entes federados, a fim de minorar as desigualdades, o que, no caso da educação, significa propiciar ensino e educação de qualidade para todos.']"
8,109,8_defender_de defender_democracia_defender democracia,"['defender', 'de defender', 'democracia', 'defender democracia', 'defendendo', 'nossa Constituição', 'defende', 'eu', 'defendemos', 'defender Constituição', 'para defender', 'Defender', 'defender nossa', 'liberdade', 'defendo', 'defendem', 'defendê', 'contra', 'brasileira', 'defendem Constituição']","['democracia', 'liberdade', 'brasileira', 'lei', 'sociedade', 'defesa', 'projeto', 'interesses', 'Senado', 'respeito', 'fundamental', 'povo', 'legalidade', 'maior', 'essência', 'princípios', 'brasileiro', 'política', 'voto', 'mesma', 'ritos', 'expressão', 'compromisso', 'império', 'equilíbrio', 'memória', 'ditadura', 'anos', 'golpista', 'vez']","['Não venho aqui apenas defender a Presidenta Dilma - todos me conhecem pela defesa que faço da Presidenta, do seu Governo, do projeto deste Governo -, mas defender a nossa Constituição, assim como muitas vezes a defendi no plenário desta Casa, mesmo quando a opinião pública exigia, ou quis exigir, de nós posturas diferentes. E é importante defender a nossa Constituição, é importante defender a legalidade, a institucionalidade, porque ela é uma para todos, para os bons e para os maus; porque também podemos ter aqui situações em que injustiças vão ser cometidas, e, aí, nós não vamos poder mais recorrer à Constituição, porque já abrimos mão, de uma vez, para satisfazer a interesses que necessariamente não encontravam base ou respaldo na legalidade.', 'Não vamos permitir que movimentos com caráter golpista prosperem sob o falso manto de greves. Contudo, defender um posicionamento que vai contra a democracia e contra a Constituição, que tem um papel claramente golpista, aí é exatamente a defesa da democracia que se interpõe! Então, essa medida provisória vem com o objetivo de defender a democracia, de defender a sociedade, de defender os cidadãos.', 'Estamos aqui para defender a democracia e defender, sobretudo, a Constituição.']"
