Topic,Words,Frequency,Timestamp
-1,"discurso, Implícito discurso, Federal, Governo, lei",263,2007
0,"Presidente, Brasil, democracia, Congresso, Estado",127,2007
1,"discurso, Implícito discurso, Implícito orador, critica, sugerindo",94,2007
2,"Constituição de, da Constituição de, Constituinte de, Constituição Federal de, Estado",44,2007
3,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, do Supremo Tribunal",5,2007
5,"art, Constituição Federal, art da, do art, Federal",12,2007
6,"Ulysses, Guimarães, Ulysses Guimarães, rasgar, Constituição rasgar",21,2007
7,"educação, para que haja, da educação, problemas, educação que",9,2007
8,"defender, equilíbrio, de defender, defendendo, de construção da",5,2007
9,"crime, crime organizado, para narcotráfico, narcotráfico, pode aceitar",10,2007
10,"de Responsabilidade, Responsabilidade, Lei de Responsabilidade, fiscal, Fiscal",6,2007
11,"visão, uma visão positiva, visão positiva, uma visão, sugere uma visão positiva",3,2007
12,"Magna, Carta Magna, Carta, nossa Carta Magna, nossa Carta Magna nossa",2,2007
13,"tributária, reforma tributária, arrecadação, reforma, distribuição",7,2007
14,"Casa, Casa tem, Esta Casa, Esta Casa tem, esta Casa",4,2007
15,"novas bases, para soberania, Que se, para democracia para, para cidadania",1,2007
16,"compulsórios, defender que, Implícito no discurso ao, discurso ao, conforme Constituição",1,2007
17,"ambiental, ambiente, meio ambiente, artigo da Constituição, do meio ambiente",4,2007
18,"da Criança, Adolescente, da Criança do Adolescente, da Criança do, Criança do Adolescente",2,2007
20,"Portanto, com os valores democráticos, com os direitos humanos, Portanto Srs Senadores, República se",1,2007
21,"desenvolver Amazônia, de Patrimônio, Secretaria de Patrimônio, Secretaria de Patrimônio da, Vargas na",2,2007
22,"autonomia, modelo, autonomia do, autonomia do Banco, autonomia do Banco Central",3,2007
23,"prefeitos, na área, na área de saúde, área de saúde, os prefeitos",5,2007
25,"então, bem estar dos cidadãos, matéria importante, terras seu, para correção",3,2007
26,"Judiciário, podem ser, Poder Judiciário, implantá, de uma súmula",2,2007
27,"terras, das terras, um problema que precisa, ser efetivamente, problema que precisa",1,2007
-1,"Implícito discurso, que Constituição, Governo, Federal, importância",291,2008
0,"Presidente, democracia, Brasil, Sr Presidente, brasileira",142,2008
1,"orador, Implícito orador, discurso, Implícito discurso, critica",96,2008
2,"Constituição de, Constituinte, Constituinte de, da Constituição de, com Constituição",70,2008
3,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo",10,2008
4,"perfeita consonância com, direitos da pessoa humana, posicionamento em, perfeita consonância, dos direitos da pessoa",1,2008
5,"art, no art, art da, art da Constituição, do art",8,2008
6,"Ulysses, Guimarães, Ulysses Guimarães, rasgar, bandeira",21,2008
7,"educação, que cada, pública, Educação, de todos",6,2008
8,"defender, um projeto, de defender, defender um, reforma da Constituição por",4,2008
9,"como se, cidadão acesso, se isso não, não existisse, do Estado direito do",1,2008
10,"Fiscal, Responsabilidade Fiscal, de Responsabilidade Fiscal, de Responsabilidade, Responsabilidade",6,2008
11,"uma visão positiva, visão positiva, uma visão, visão, visa",4,2008
12,"Magna, Carta Magna, nossa Carta Magna, que Carta, que Carta Magna",9,2008
13,"tributária, reforma tributária, reforma, sistema tributário, tributário",5,2008
14,"Casa, nesta Casa, nesta, previsto na Constituição de, regozijar com",3,2008
15,"cidadania, cidadã, da cidadania, cumprimentá lo pelo, Mas ela não",5,2008
16,"Lei de Responsabilidade, de Responsabilidade, Responsabilidade, da Lei de Responsabilidade, Lei de Responsabilidade Fiscal",5,2008
17,"proteção ambiental, menção regulamentação do, Constituição importância, dos marcos, Implícito menção regulamentação do",2,2008
18,"da Criança, Criança, Adolescente, da Criança do Adolescente, da Criança do",5,2008
19,"ao Ministro, fui ao, Eu fui, Ministra Marina, tanto de",1,2008
21,"mas queremos, legislação ambiental, dentro de, ambiental, setores",6,2008
22,"da sua, prêmio, presente que, na Constituição brasileira na, consagrada na Constituição",2,2008
23,"um sistema, único de saúde, um cenário, sistema único de saúde, sistema único de",1,2008
24,"CPI, da CPI, da instalação, de CPI, instalação da CPI",2,2008
25,"na defesa da, uma decisão, defesa da, defesa da moralidade, emocionado",3,2008
26,"Poder, interesses, vésperas, interesses pessoais, partidários",2,2008
27,"terras, de terras, sugerindo que interpretação, demarcação de terras, demarcação de",5,2008
29,"reforma, reforma política, porque primeiro, segundo porque, política se",2,2008
-1,"Federal, Estado, Governo, democracia, Implícito discurso",303,2009
0,"Presidente, Brasil, Senado, democracia, Sr Presidente",140,2009
1,"discurso, Implícito discurso, Implícito orador, sugerindo, sugerindo que",105,2009
2,"Constituição de, da Constituição de, Estado, Constituinte, na Constituição de",51,2009
3,"Tribunal, Supremo Tribunal, Supremo, Tribunal Federal, Supremo Tribunal Federal",21,2009
5,"art, art da, art da Constituição, no art, do art",17,2009
6,"Ulysses, Ulysses Guimarães, Guimarães, Bandeira, Bandeira do Brasil",16,2009
7,"educação, comum, da educação, para educação, Educação",6,2009
8,"defender, Constituição Federal me, instrumento para que, Federal me, me obriga",2,2009
9,"crime, aplicar lei, nenhum dos, Federais, um crime",4,2009
10,"de fiscalizar, fiscalizar, suas, do preceito constitucional, democracia só",3,2009
11,"uma visão positiva, visão positiva, uma visão, visão, visa",3,2009
12,"Magna, Carta Magna, nossa Carta Magna, da Carta Magna, da Carta",5,2009
13,"tributária, reforma tributária, reforma, Reforma Tributária, de tributos",4,2009
14,"Casa, nesta questão, constitucional por, Essa PEC propõe, moralidade da impessoalidade",4,2009
15,"cidadania, do exercício da, atuação do Executivo, de cumprir seu dever, tem de cumprir",3,2009
16,"obrigações, impostas pela, dos Municípios em, dificuldade dos, decepção",3,2009
17,"ambiental, ambiente, proteção ambiental, redemocratização, meio ambiente",5,2009
18,"da Criança, Criança do Adolescente, Adolescente, do Adolescente, da Criança do Adolescente",3,2009
19,"fui ao, Mercadante, Eu fui, Ministro, Ministra Dilma Rousseff",2,2009
20,"portaria, do ponto de, do ponto de vista, forma de, ponto de vista",4,2009
21,"biomas, ambiente, Cerrado Caatinga, Mata Atlântica, Atlântica",5,2009
22,"autonomia, federativo, autonomia para, autonomia que, vivemos em um Estado",3,2009
23,"os Prefeitos, Prefeitos, dos recursos arrecadados, que aumentou, os Municípios estão",5,2009
24,"CPI, fiscalização, instalada, CPIs, da CPI",5,2009
26,"Judiciário, da história, história, Presidente precisa, independente para",3,2009
27,"terras, das terras, subsolo, Estado pois, Acho que esse",3,2009
28,"judicial, ativismo judicial, fere princípios, que temos um, um ativismo",1,2009
29,"carta, uma carta, reforma, que possa, reforma política",2,2009
-1,"Federal, discurso, Implícito discurso, Estado, Constituição Federal",241,2010
0,"Brasil, Presidente, Sr Presidente, brasileira, conhecimento",99,2010
1,"orador, Implícito orador, Implícito discurso, critica, sugerindo",82,2010
2,"Constituição de, Constituinte, da Constituição de, Constituinte de, Brasil",54,2010
3,"Tribunal, respeite, Tribunal Federal, Tribunal de, Supremo Tribunal",6,2010
5,"art, art da, do art, art da Constituição, do art da",7,2010
6,"Ulysses, Ulysses Guimarães, Guimarães, Ulysses Guimarães de, Dr Ulysses",10,2010
7,"educação, Lei de Diretrizes, Lei de Diretrizes Bases, de Diretrizes Bases, LDB",7,2010
8,"vice, defender, de defender, princípios da nossa, da nacionalidade",3,2010
9,"crime, crimes, preciso dar, Constituição com essa, ser votado mas",5,2010
10,"na gestão pública, Fiscal, de Responsabilidade Fiscal, Responsabilidade Fiscal, Lei de Responsabilidade Fiscal",2,2010
11,"uma visão, visão, uma visão positiva, visão positiva, visa",7,2010
12,"Magna, Carta Magna, Carta, nossa Carta Magna, nossa Carta",4,2010
13,"tributária, sistema tributário, tributário, reforma tributária, Estados Municípios",4,2010
14,"Casa, uma Casa, esta Casa uma, apresentada pelo orador, uma Casa que",2,2010
15,"cidadania, conteúdos, de cidadania, cidadão, da cidadania",7,2010
16,"fiscal, fiscalização, do papel constitucional, de fiscalizar, menciona que",5,2010
17,"ambiente, meio ambiente, do meio ambiente, meio, áreas",3,2010
18,"Criança, da Criança, Adolescente, da Criança do, do Adolescente",5,2010
20,"Portanto, auxiliar, cumprimento da Constituição das, laços, no compromisso",3,2010
21,"ambientalistas, terras, do Meio Ambiente, Portaria, estão querendo fazer uma",4,2010
22,"Defensoria Pública, Pública, não recebeu, Defensoria Pública da, funcional administrativa",1,2010
23,"Municípios, os Municípios, Prefeitos, Carta Constitucional, nova Constituição",4,2010
25,"reivindicações que, porque faz, Agradeço Senador, aparte que, sobre essa questão",1,2010
