Topic,Rotulo
-1,"ORIENTAÇÃO, PRODUÇÃO, TRANSPORTE, MEIO, PESQUISA, EXPLORAÇÃO, FALTA, ELETRICA, EFEITO, PENAL, OBRAS, TRANSCRIÇÃO, VINCULAÇÃO, ANAIS, DIFICULDADE, FORMAÇÃO, RECONHECIMENTO, EXECUÇÃO, SERVIÇOS, POSSE, RODOVIA, NUMERO, DEMONSTRAÇÃO, CONTRATAÇÃO, COMPENSAÇÃO, PODER, CONGRATULAÇÕES, DISCRIMINAÇÃO, DESIGUALDADE, JUROS"
0,"JULGAMENTO, AÇÃO, LAVA, OPERAÇÃO, TRANSCRIÇÃO, ANAIS, ACUSAÇÃO, RESPEITO, EFEITO, CONTESTAÇÃO, PISO, FINANCEIROS, PESQUISA, PROXIMIDADE, PORTARIA, JURISDIÇÃO, DOENÇA, SALARIAL, DIVERSIDADE, DIFICULDADE, DIRETORIA, REPUTAÇÃO, GADO, PARTE, MODERNIZAÇÃO, OBRAS, CIENCIA, CONSOLIDAÇÃO, BIOTECNOLOGIA, REGIONALIZAÇÃO"
1,"FALTA, GRAVIDADE, TENTATIVA, COMPARAÇÃO, COMPROMISSO, DROGA, DIVERSIDADE, CAPITAL, DIFICULDADE, DEMONSTRAÇÃO, CONTINUAÇÃO, CONFIANÇA, PESQUISA, PODER, PUNIÇÃO, RECONHECIMENTO, RELEVANCIA, GLOBO, PODERES, VINCULAÇÃO, PROXIMIDADE, ENTREVISTA, CONSTITUCIONAIS, FORMAÇÃO, SOCIAIS, PENAL, PARALISAÇÃO, ERRO, ERRADICAÇÃO, CONSOLIDAÇÃO"
2,"CORRELAÇÃO, FINANCEIROS, DOENÇA, DISPENSA, EFEITO, RECONHECIMENTO, ESSENCIAL, OPERAÇÃO, MEDICO, CIENCIA, CONTAMINAÇÃO, PESQUISA, FABRICAÇÃO, DESIGUALDADE, MEDICINA, OFERTA, CENTRAL, RISCO, EQUIPAMENTOS, CONDIÇÕES, PERIGO, ATESTADO, CELULAR, LAVA, CONCENTRAÇÃO, ATESTADO MEDICO, CENSURA, ENTRADA, CIVILIZAÇÃO, ESPIRITISMO"
3,"FALTA, CANDIDATURA, TENTATIVA, NOMEAÇÃO, JUROS, TRANSPORTE, OBRAS, CONCLUSÃO, MANIPULAÇÃO, ERRO, CONSOLIDAÇÃO, RECONHECIMENTO, NOME, ARTICULAÇÃO, DIVERSIDADE, RELEVANCIA, OBTENÇÃO, DIFICULDADE, CREDITOS, FUNÇÃO, EFETIVAÇÃO, BLOCO, ANAIS, EXPERIENCIA, TRANSCRIÇÃO, VELOCIDADE, DIGNIDADE, URBANO, TOTAL, "
4,"ZONA, MEIO, AMAZONIA, PRODUÇÃO, RODOVIA, FALTA, UNIVERSIDADE, NATURAIS, ENTIDADE, ARMADAS, DESIGUALDADE, DIVERSIDADE, RECLAMAÇÃO, EQUIPAMENTOS, PARALISAÇÃO, VINCULAÇÃO, COLONIZAÇÃO, EXCLUSIVIDADE, OFICIAL, OCUPAÇÃO, VIGILANCIA, RELAÇÕES, MANEJO, EVOLUÇÃO, SOLENIDADE, SIVAM, OPERAÇÃO, TRATADO, NOTA, COMPARECIMENTO"
5,"TRANSCRIÇÃO, ANAIS, ACUSAÇÃO, TENTATIVA, PROFESSOR, ADMINISTRATIVA, PROBLEMAS, TRANSPOSIÇÃO, DOUTRINA, DESIGNAÇÃO, , , , , , , , , , , , , , , , , , , , "
6,"PREVIDENCIA, RELEVANCIA, EXECUÇÃO, REESTRUTURAÇÃO, ACUSAÇÃO, DIVERSIDADE, USO, APOSENTADO, PALAVRA, PSICOLOGIA, REAVALIAÇÃO, RECEPÇÃO, DESTRUIÇÃO, , , , , , , , , , , , , , , , , "
7,"DEVOLUÇÃO, EDIÇÃO, RESPOSTA, REMESSA, PROXIMIDADE, FALTA, DEMONSTRAÇÃO, DETERMINAÇÃO, DESIGUALDADE, OPERAÇÃO, REDAÇÃO, ZONA, PARALISAÇÃO, POSSE, VINCULAÇÃO, PUNIÇÃO, CHEGADA, ANULAÇÃO, , , , , , , , , , , , "
8,"UNIVERSIDADE, PROFISSIONAIS, SUPERIOR, CURSO, ESCOLAR, FORMAÇÃO, PESQUISA, PROFISSÃO, NOTA, EXCEPCIONAIS, AMIGOS, RECONHECIMENTO, TRANSPORTE, MEDICO, VERBA, RENOVAÇÃO, PRODUÇÃO, DISCRIMINAÇÃO, FUNÇÃO, REPROVAÇÃO, CONCENTRAÇÃO, COMPOSIÇÃO, OFICIAL, DISPONIBILIDADE, PREFEITURA, DEMORA, DERMATOLOGIA, TRIBUNAIS, , "
9,"PESAR, PESAMES, , , , , , , , , , , , , , , , , , , , , , , , , , , , "
10,"TRANSPORTES, TRANSPORTE, RODOVIA, OBRAS, ACIDENTE, FALTA, DEMORA, PESQUISA, PARALISAÇÃO, ANAIS, TRANSCRIÇÃO, CONTROLE, OFICIAL, EQUIPAMENTOS, ESPAÇO, CONFIRMAÇÃO, NOTA, REVISÃO, AMAZONIA, DESLOCAMENTO, TOTAL, VIGILANCIA, MEIOS, DELEGAÇÃO, AGRAVAÇÃO, SIVAM, CLANDESTINA, , , "
11,"MEDICO, DOENÇA, PACIENTE, MEDICINA, VIGILANCIA, CIRURGIA, CARDIOLOGIA, PESQUISA, ASSUNTOS, UNIVERSIDADE, CONTRATAÇÃO, FALTA, EQUIPAMENTOS, CONGRATULAÇÕES, FORMAÇÃO, MATERNIDADE, ENTIDADE, ESPECIALIDADE, CONDIÇÕES, CONCLUSÃO, PORTARIA, MODERNIZAÇÃO, RESOLUÇÃO, POSIÇÃO, VERBA, ADMINISTRATIVA, TRANSPORTE, DESIGUALDADE, PUBLICIDADE, BEM"
12,"OBRAS, PROMESSA, FALTA, MANIPULAÇÃO, CONCLUSÃO, RODOVIA, CAPITAL, UNIVERSIDADE, PARALISAÇÃO, TENTATIVA, DIFICULDADE, SUPERIOR, VERBA, MEIO, LITORAL, ABANDONO, POSSE, ADMINISTRATIVA, DESIGUALDADE, AGRAVAÇÃO, FRUSTRAÇÃO, CARENTE, CIENCIA, EQUIPAMENTOS, OBTENÇÃO, CONHECIMENTO, DEFASAGEM, CONCENTRAÇÃO, ESPAÇO, MATERNIDADE"
13,"CONFEDERAÇÃO, ESPORTIVA, CAPITAL, ANAIS, CONGRATULAÇÕES, LUTA, PUNIÇÃO, TOTAL, DEMONSTRAÇÃO, CANDIDATURA, FORMAÇÃO, ENTIDADE, EFETIVAÇÃO, EQUIPAMENTOS, CONFIRMAÇÃO, AVISO, URBANIZAÇÃO, , , , , , , , , , , , , "
14,"MANDATO, ADMINISTRATIVA, RESPOSTA, COLIGAÇÃO, CONFIANÇA, NUMERO, RESPEITO, FALTA, DOAÇÃO, RENOVAÇÃO, ENCERRAMENTO, ERRADICAÇÃO, CONCENTRAÇÃO, MODERNIZAÇÃO, DESIGUALDADE, FUNÇÃO, OFICIAL, ENTIDADE, DISTRITAL, EVOLUÇÃO, PARALISAÇÃO, QUADRO, CONSOLIDAÇÃO, SECRETA, PRODUÇÃO, TENTATIVA, FABRICA, COMPORTAMENTO, NOTA, ERRO"
15,"PENAL, BASE, SEGURIDADE, COMPOSIÇÃO, UNIFORMIZAÇÃO, PROFISSIONAIS, COMPENSAÇÃO, RESSALVA, DISPOSIÇÕES, MEIO, EFEITO, SEGURO, FIXAÇÃO, INOVAÇÃO, CIENCIA, ASSUNTOS, ZONA, DESIGUALDADE, DETERMINAÇÃO, CIRCULAÇÃO, DESONERAÇÃO, PRODUÇÃO, REVISÃO, FECHADA, RETIRADA, RESOLUÇÃO, EDIÇÃO, CREDITOS, ASSOCIADO, TENTATIVA"
16,"EXPLORAÇÃO, PRODUÇÃO, TRANSPORTE, ALIMENTOS, VINCULAÇÃO, PUNIÇÃO, MEIO, ERRADICAÇÃO, REMESSA, POSTO, APROXIMAÇÃO, FORMAÇÃO, RECONHECIMENTO, MAIORIA, CONFIRMAÇÃO, ANALFABETO, ASSALTO, PARTE, APRENDIZAGEM, , , , , , , , , , , "
17,"MEIO, ENERGIA, PRODUÇÃO, TRANSCRIÇÃO, PESQUISA, DESMATAMENTO, CAPITAL, EFEITO, FORMAÇÃO, OFICIAL, DETALHAMENTO, FINANCEIROS, MODERNIZAÇÃO, CURSO, RELEVANCIA, AÇÃO, POSSE, LITERATURA, NOTA, PLANEJAMENTO, DISCRIMINAÇÃO, NATURAIS, DEMONSTRAÇÃO, EVOLUÇÃO, DISPOSIÇÃO, EXPEDIÇÃO, MANEJO, ESPORTIVA, MENOR, COMPOSIÇÃO"
18,"ACUSAÇÃO, TENTATIVA, CONTESTAÇÃO, MANDATO, COMPOSIÇÃO, CONFIANÇA, VERDADE, NOTA, ENTREGA, POSIÇÃO, DEFERIMENTO, , , , , , , , , , , , , , , , , , , "
19,"CHUVA, DISCRIMINAÇÃO, RACIAL, PESAR, APOSENTADO, JUROS, ELETRICA, DESTRUIÇÃO, ERRADICAÇÃO, NOVO, RESIDENCIA, LIMITE, EQUIPARAÇÃO, , , , , , , , , , , , , , , , , "
20,"GLOBO, TRANSCRIÇÃO, ANAIS, CAPITAL, RECONHECIMENTO, PERDA, PASSAGEM, MANDATO, , , , , , , , , , , , , , , , , , , , , , "
21,"ENTIDADE, GUERRA, SEGUNDA GUERRA, ABOLIÇÃO, RECONHECIMENTO, SEGUNDA, RELIGIÃO, DESIGUALDADE, RELEVANCIA, MODERNIZAÇÃO, TRANSMISSÃO, DETALHAMENTO, DIVERSIDADE, CONSOLIDAÇÃO, CRISTÃO, EXPERIENCIA, LINHA, ENCERRAMENTO, MEDICINA, PACIFICAÇÃO, MOVIMENTAÇÃO, OCUPAÇÃO, NUMERO, ESPECIALIDADE, XINGU, CONVIDADO, CONHECIMENTO, NOME, UNIVERSIDADE, "
22,"INDIGENA, ESPECIFICAÇÃO, DEMARCAÇÃO, ACUSAÇÃO, PENAL, OBRAS, FALTA, FUNÇÃO, PODERES, MANIPULAÇÃO, PUNIÇÃO, ADMINISTRATIVA, ENTIDADE, DIVULGAÇÃO, CONSTITUCIONAIS, PARALISAÇÃO, DIVERSIDADE, RECURSO, PENA, OPERAÇÃO, NUMERO, TRANSCRIÇÃO, DEMORA, RESPOSTA, ANAIS, RECONHECIMENTO, VINCULAÇÃO, TRIBUNAIS, DEMONSTRAÇÃO, FRUSTRAÇÃO"
23,"CONFIANÇA, MAIORIA, FALTA, DIVERSIDADE, ASSUNTOS, CAPITAL, NUMERO, DOUTRINA, DIGNIDADE, , , , , , , , , , , , , , , , , , , , , "
24,"VAGA, REQUISITOS, SEPARADO, COMPOSIÇÃO, PROFISSÃO, ENTIDADE, MARCA, PARTO, TRANSMISSÃO, , , , , , , , , , , , , , , , , , , , , "
25,"AGRICULTURA, PRODUÇÃO, AGRICULTOR, ZONA, CONFEDERAÇÃO, PREÇO, FORMAÇÃO, JUROS, RELEVANCIA, ENTREGA, GADO, FALTA, CREDITOS, PLANEJAMENTO, OPERAÇÃO, MODERNIZAÇÃO, DIVULGAÇÃO, EDIÇÃO, DOENÇA, REVISÃO, OCUPAÇÃO, DETERMINAÇÃO, TENTATIVA, DIVERSIDADE, CAMINHÃO, PERDA, ADVOGADO, COLORADO, AVISO, APRENDIZAGEM"
26,"MEIO, DESMATAMENTO, PRODUÇÃO, LIXO, ANAIS, TRANSCRIÇÃO, RELEVANCIA, RECICLAGEM, PESQUISA, DEMARCAÇÃO, ELETRICA, DIVULGAÇÃO, TRANSMISSÃO, DEMORA, PUNIÇÃO, EXPEDIÇÃO, ASSUNTOS, GLOBO, PLUVIAIS, APARTHEID, ROTINA, , , , , , , , , "
27,"PRODUÇÃO, MEIO, AGRICULTOR, PRODUTIVIDADE, RODOVIA, FALTA, OBRAS, CAPITAL, EFEITO, ENERGIA, DEMONSTRAÇÃO, ELETRICA, MODERNIZAÇÃO, DESIGUALDADE, CONCLUSÃO, CREDITOS, POSSE, AGRAVAÇÃO, NATURAIS, CONSOLIDAÇÃO, JUROS, FORMAÇÃO, SEGURO, REVISÃO, EXTERNO, DEMORA, SOLENIDADE, LUCRO, OCUPAÇÃO, CONDIÇÕES"
28,"UNIVERSIDADE, PRODUÇÃO, PESAR, PESQUISA, CHUVA, EFEITO, DIVULGAÇÃO, SUPERIOR, ENTIDADE, FINANCEIROS, NUMERO, EVOLUÇÃO, CAPITAL, EXPERIENCIA, PREFEITURA, DESTRUIÇÃO, RECONHECIMENTO, DETERMINAÇÃO, CURSO, APRENDIZAGEM, CREDITOS, ALIMENTOS, FINANCEIRA, PROXIMIDADE, DEMORA, FALTA, COMPENSAÇÃO, MATERIAL, VAGA, REGIONALIZAÇÃO"
29,"FINANCEIRA, PRORROGAÇÃO, TENTATIVA, FALTA, VERBA, MANIPULAÇÃO, POSIÇÃO, CARGA, ANAIS, TRANSCRIÇÃO, ACUSAÇÃO, JUROS, FINANCEIROS, AGRAVAÇÃO, REIVINDICAÇÃO, CIRCULAÇÃO, DESIGUALDADE, PODER, CREDITOS, RELEVANCIA, PRODUÇÃO, DIVERSIDADE, DEMORA, FORMAÇÃO, EDITORIAL, LAVAGEM, MATERIAL, OFERTA, EXPANSÃO, RELACIONAMENTO"
30,"APOSENTADO, UNIVERSIDADE, DISCRIMINAÇÃO, DROGA, PRODUÇÃO, FALTA, PESQUISA, RACIAL, ANAIS, ASSUNTOS, DIFICULDADE, DOENÇA, DEMONSTRAÇÃO, OBRAS, RECONHECIMENTO, RODOVIA, RELEVANCIA, SUPERIOR, ZONA, CALÇADO, ACIDENTE, SEGURIDADE, INDIGENA, TECNICO, ELETRICA, CURSO, DESIGUALDADE, VERBA, SERVIÇOS, JUROS"
31,"PORTE, ELIMINAÇÃO, DROGA, EXPOSIÇÃO, , , , , , , , , , , , , , , , , , , , , , , , , , "
32,"EFEITO, CENTRAL, CREDITOS, JUROS, ESPECIFICAÇÃO, FINANCEIRA, CARTÃO, COMPARAÇÃO, EXCESSO, PRODUÇÃO, FALTA, INFLAÇÃO, DIFICULDADE, MUNDO, FORTALECIMENTO, AGRAVAÇÃO, PERDA, DESIGUALDADE, REESTRUTURAÇÃO, DETALHAMENTO, DIVERSIDADE, OPERAÇÃO, NUMERO, APLICAÇÃO, ASSUNTOS, OFERTA, OFICIAL, RESERVAS, ADMINISTRATIVA, DIVULGAÇÃO"
33,"TRANSPORTE, FALTA, COLETIVA, CONFIRMAÇÃO, DETALHAMENTO, OBRAS, FUNÇÃO, CONTESTAÇÃO, VERACIDADE, CONCLUSÃO, CONGRATULAÇÕES, ACUSAÇÃO, EFEITO, PROVA, DETERMINAÇÃO, REGIONALIZAÇÃO, POPULAR, REVISÃO, , , , , , , , , , , , "
34,"RELAÇÕES, ESTRANGEIRA, ENTRADA, CONTINENTE, TENTATIVA, POSIÇÃO, FALTA, DETALHAMENTO, MEIO, CONSOLIDAÇÃO, PRODUÇÃO, COMPARAÇÃO, DEMONSTRAÇÃO, POSSE, PROXIMIDADE, AGRICULTURA, RELEVANCIA, DIPLOMA, CIRCULAÇÃO, EXTERNO, MODERNIZAÇÃO, RESIDENCIA, UNIVERSIDADE, DESIGUALDADE, RECONHECIMENTO, GUERRA, EVOLUÇÃO, CAPITAL, PARALISAÇÃO, PADRONIZAÇÃO"
35,"DIAS, UNIVERSIDADE, CAPITAL, DIVERSIDADE, FORMAÇÃO, MEIO, , , , , , , , , , , , , , , , , , , , , , , , "
36,"CENTRAL, JUROS, TAXA, INFLAÇÃO, CARTÃO, ASSUNTOS, EFEITO, DIFICULDADE, CREDITOS, OFICIAL, CONFIANÇA, CLASSIFICAÇÃO, CONTAS, CONGRATULAÇÕES, PRODUÇÃO, RELACIONAMENTO, ACUSAÇÃO, FORMAÇÃO, ENTIDADE, PESSOAS, REPRESENTANTE, DESIGUALDADE, MODERNIZAÇÃO, ALIMENTOS, DEMONSTRAÇÃO, MODERAÇÃO, CONVIDADO, AQUISITIVO, CONFIRMAÇÃO, EQUIPAMENTOS"
37,"ADOÇÃO, APOSENTADO, , , , , , , , , , , , , , , , , , , , , , , , , , , , "
