Topic,Words,Frequency,Timestamp
-1,"DO RIO, PRODUÇÃO, ESTADO DO RIO, SÃO PAULO, DE SÃO",2037,2007
0,"HOMENAGEM POSTUMA, POSTUMA, VIDA PUBLICA, ELOGIO VIDA PUBLICA, HOMENAGEM ANIVERSARIO DE",250,2007
1,"TRIBUNAL FEDERAL, TRIBUNAL FEDERAL STF, SUPREMO TRIBUNAL, SUPREMO TRIBUNAL FEDERAL, SUPREMO TRIBUNAL FEDERAL STF",60,2007
3,"SÃO PAULO, DE SÃO PAULO, DE SÃO, SÃO PAULO SP, PAULO SP",319,2007
4,"AMAZONAS, DO AMAZONAS, AMAZONAS AM, ESTADO DO AMAZONAS AM, DO AMAZONAS AM",202,2007
5,"ESTADO DE SÃO PAULO, ESTADO DE SÃO, DE SÃO PAULO SP, SÃO PAULO SP, DE SÃO PAULO",279,2007
6,"DOS TRABALHADORES PT, PARTIDO DOS TRABALHADORES, PARTIDO DOS TRABALHADORES PT, TRABALHADORES PT, DOS TRABALHADORES",22,2007
7,"REGISTRO RECEBIMENTO, COMANDANTE MARINHA, POLITICO ORADOR, SERVIÇO REGISTRO, NACIONAL ESCLARECIMENTOS",16,2007
8,"VOTAÇÃO MEDIDA, VOTAÇÃO MEDIDA PROVISORIA, VOTAÇÃO MEDIDA PROVISORIA MPV, MPV RENEGOCIAÇÃO DIVIDA PRODUTOR, PROVISORIA MPV APROVAÇÃO SENADO",15,2007
9,"DA EDUCAÇÃO, PROFESSOR, EDUCAÇÃO MEC, DA EDUCAÇÃO MEC, MINISTERIO DA EDUCAÇÃO MEC",39,2007
10,"BRASILEIRO PETROBRAS, PETROLEO BRASILEIRO, PETROLEO BRASILEIRO PETROBRAS, PETROBRAS, PETROLEO",11,2007
11,"CANCER, HOSPITAL, MEDICO, UNICO DE SAUDE SUS, SISTEMA UNICO DE SAUDE",31,2007
12,"PI, DO PIAUI, PIAUI, DO PIAUI PI, PIAUI PI",92,2007
13,"FUTEBOL, CAMPEONATO MUNDIAL, CAMPEONATO MUNDIAL FUTEBOL, MUNDIAL FUTEBOL, BRASIL SEDE CAMPEONATO MUNDIAL",15,2007
14,"ACRE, DO ACRE, ACRE AC, DO ACRE AC, ESTADO DO ACRE",20,2007
