Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,4472,-1_Brasil_vida_social_educação,"['Brasil', 'vida', 'social', 'educação', 'democracia', 'União', 'respeitado', 'os direitos', 'governo', 'responsabilidade', 'sociais', 'que qualquer', 'legislação', 'criação', 'públicos', 'que Estado', 'do Senado', 'direito vida', 'mandato', 'reforma']","['vida', 'social', 'educação', 'democracia', 'Estados', 'União', 'saúde', 'segurança', 'governo', 'responsabilidade', 'sociais', 'legislação', 'criação', 'públicos', 'leis', 'processo', 'reforma', 'anos', 'políticas', 'Judiciário', 'crime', 'papel', 'nacional', 'sistema', 'fundamentais', 'poder', 'inconstitucional', 'brasileiro', 'inciso', 'desenvolvimento']","['a Constituição define como direitos fundamentais de cada pessoa o acesso pleno e adequado à educação, saúde, alimentação, trabalho, moradia, transporte, lazer, segurança, previdência social, proteção à maternidade e à infância, a assistência aos desamparados.. isso implica que o Estado tem a responsabilidade de garantir esses direitos a todos os cidadãos.. Por causa disso, o orador enfatiza a importância de políticas públicas que garantam os direitos fundamentais estabelecidos na Constituição, como educação, saúde e segurança, para fortalecer as famílias brasileiras.. A Constituição Federal define como direitos fundamentais de cada pessoa o acesso pleno e adequado à educação, saúde, alimentação, trabalho, moradia, transporte, lazer, segurança, previdência social, proteção à maternidade e à infância, a assistência aos desamparados.', 'A Constituição estabelece direitos sociais como saúde, educação, alimentação, trabalho, moradia, transporte, lazer, segurança, previdência social, proteção à maternidade e à infância e assistência aos desamparados.. Isso implica que o Estado tem a obrigação de garantir esses direitos aos cidadãos.. Por causa disso, o orador critica a PEC nº 241, argumentando que ela contraria os princípios constitucionais de proteção aos direitos sociais ao propor o congelamento dos gastos públicos em áreas essenciais como saúde e educação.. O art. 6º é ainda mais abrangente ao estabelecer como direitos sociais, além de saúde e educação, a alimentação, o trabalho, a moradia, o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à infância e a assistência aos desamparados.', 'A Constituição estabelece um estado democrático de direito e garante direitos sociais, como educação, saúde, habitação, e direitos trabalhistas, como salário mínimo e licença-maternidade.. Isso implica que o Estado tem a obrigação de assegurar esses direitos aos cidadãos.. Por causa disso, o orador destaca a importância da Constituição de 1988 na garantia de direitos sociais e na consolidação do estado democrático de direito no Brasil.. A Constituição Federal, promulgada em 1988, devolveu ao país a tão sonhada democracia. [...] garantiu direitos sociais, essenciais à dignidade da pessoa humana. Estes direitos são educação, saúde, habitação, lazer, segurança, transportes, previdência social, trabalho e assistência social, com proteção à maternidade, à infância e aos desamparados.']"
0,3773,0____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['. . .', '. . .', '. . .']"
1,570,1_impeachment_de impeachment_processo de impeachment_de responsabilidade,"['impeachment', 'de impeachment', 'processo de impeachment', 'de responsabilidade', 'crime', 'crime de responsabilidade', 'crime de', 'que processo de impeachment', 'que processo de', 'impeachment da', 'que impeachment', 'Presidenta', 'da Presidente', 'Presidente Dilma', 'impeachment deve', 'Presidente Dilma Rousseff', 'Presidente da República', 'Presidenta Dilma', 'de impeachment deve', 'impeachment da Presidente']","['impeachment', 'processo', 'crime', 'responsabilidade', 'Presidenta', 'golpe', 'legal', 'crimes', 'base', 'rito', 'julgamento', 'legítimo', 'legais', 'afastamento', 'mandato', 'político', 'normas', 'jurídico', 'comprovação', 'legitimidade', 'atos', 'devido', 'defesa', 'pedido', 'devido processo', 'caso', 'procedimentos', 'acordo', 'Casa', 'jurídica']","['a Constituição prevê o impeachment, mas ele depende de um crime de responsabilidade.. isso implica que o processo de impeachment deve ter uma base legal sólida.. Por causa disso, o orador argumenta que o processo de impeachment da Presidente Dilma Rousseff não tem base legal, pois não houve crime de responsabilidade, e critica a utilização do impeachment como um artifício para um recall governamental, o que não é previsto na Constituição.. O impeachment está inscrito na Constituição brasileira, mas ele depende de um crime de responsabilidade. E é evidente, Senadores, que esse crime de responsabilidade não ocorreu.', 'A Constituição exige a existência de crime de responsabilidade para justificar um impeachment.. Isso implica que o processo de impeachment deve ser baseado em fundamentos jurídicos sólidos, não apenas em motivações políticas.. Por causa disso, o orador argumenta que o impeachment da Presidenta Dilma Rousseff não tem base constitucional, pois não há crime de responsabilidade comprovado, e portanto, o processo é ilegítimo segundo a Constituição.. A inexistência de crime de responsabilidade da Presidenta Dilma, como exige a Constituição, desnuda a realidade desse processo.', 'A Constituição prevê o impeachment desde que haja crime de responsabilidade.. Isso implica que o impeachment só é legítimo se houver comprovação de crime de responsabilidade.. Por causa disso, o orador argumenta que o processo de impeachment contra a Presidenta Dilma Rousseff é ilegítimo, pois não há crime de responsabilidade comprovado, e que, portanto, o impeachment seria um golpe.. Quando dizemos que é golpe... ""Ah, não é golpe porque o impeachment está previsto na Constituição"". Está previsto na Constituição o impeachment, desde que haja o crime de responsabilidade.']"
2,417,2_da Constituição de_democracia_implica que Constituição_no Brasil,"['da Constituição de', 'democracia', 'implica que Constituição', 'no Brasil', 'do Brasil', 'democrático', 'pela Constituição de', 'de Constituição', 'que Constituição de', 'Isso implica que Constituição', 'implica que Constituição de', 'redemocratização', 'Constituição de foi', 'Brasil Por', 'Brasil Por causa', 'Brasil Por causa disso', 'como um', 'políticas', 'orador destaca importância da', 'destaca importância da']","['democracia', 'marco', 'sociais', 'social', 'democrático', 'democrática', 'redemocratização', 'políticas', 'transição', 'anos', 'consolidação', 'país', 'sistema', 'história', 'papel', 'promulgação', 'importante', 'reforma', 'reformas', 'sociedade', 'conquistas', 'democráticos', 'instituições', 'estabilidade', 'período', 'brasileiro', 'avanços', 'ditadura', 'elaboração', 'político']","['a convocação da Assembleia Nacional Constituinte foi um marco para a consolidação da democracia.. Isso implica que a Constituição de 1988 é vista como um pilar da democracia brasileira.. Por causa disso, o orador destaca a importância histórica da convocação da Assembleia Nacional Constituinte por Sarney, que resultou na Constituição de 1988, como um marco na consolidação da democracia no Brasil.. Lá está a Presidência da República e na Presidência da República, justiça seja feita, a convocação da Assembléia Nacional Constituinte à consolidação da democracia.', 'a Constituição de 1988 sacramentou, no plano da política e do direito, a derrota da ditadura.. isso implica que a Constituição foi um marco na transição para a democracia no Brasil.. Por causa disso, o orador destaca a importância da Constituição de 1988 como um marco na redemocratização do Brasil, que, junto com o Plano Real, possibilitou a estabilidade política e econômica do país.. Efetivamente, Srª Presidente, enquanto esta última sacramentou, no plano da política e do direito, a derrota da ditadura...', 'a Constituição Cidadã de 1988 foi um marco na redemocratização do Brasil.. Isso implica que a Constituição de 1988 representa a vitória das forças democráticas sobre a ditadura militar.. Por causa disso, o orador destaca a importância da Constituição de 1988 como um marco na redemocratização do Brasil, simbolizando a vitória sobre a ditadura militar e a consolidação dos direitos democráticos.. Diz o Presidente Renato que o Partido Comunista do Brasil julga importante, Sr. Presidente, sistematizar as lições de 21 anos de batalhas, que se sagraram vitoriosas com a derrota dos generais no Colégio Eleitoral de 1985 e com a promulgação da Constituição Cidadã em 1988.']"
3,344,3_Tribunal_Supremo_Tribunal Federal_Supremo Tribunal,"['Tribunal', 'Supremo', 'Tribunal Federal', 'Supremo Tribunal', 'Supremo Tribunal Federal', 'do Supremo', 'do Supremo Tribunal Federal', 'do Supremo Tribunal', 'que Supremo', 'que Supremo Tribunal', 'que Supremo Tribunal Federal', 'Tribunal de', 'Tribunal de Contas', 'de Contas', 'que Senado', 'competência', 'Ministros do Supremo', 'de Contas da União', 'Tribunal de Contas da', 'Contas da']","['ministros', 'Contas', 'decisões', 'competência', 'decisão', 'papel', 'Ministro', 'questão', 'mandato', 'Judiciário', 'indicação', 'União', 'leis', 'crimes', 'responsabilidade', 'competências', 'poder', 'julgamento', 'controle', 'reputação', 'ilibada', 'ações', 'jurídico', 'jurídica', 'poderes', 'casos', 'anos', 'independência', 'notável', 'inconstitucionalidade']","['a Constituição confere ao Senado a competência privativa para processar e julgar autoridades como o Presidente da República e os Ministros do Supremo Tribunal Federal nos crimes de responsabilidade.. isso implica que o Senado tem o poder de iniciar processos de impeachment contra Ministros do Supremo Tribunal Federal.. Por causa disso, o orador defende que o Senado deve exercer sua competência constitucional para processar e julgar Ministros do Supremo Tribunal Federal por crimes de responsabilidade, votando o impeachment de pelo menos dois ou três Ministros.. A Constituição é claríssima: nos incisos I e II do art. 52, ela confere ao Senado a competência privativa para processar e julgar autoridades como o Presidente da República e o Vice, os Ministros de Estado e os Ministros do Supremo Tribunal Federal, entre outras, nos crimes de responsabilidade.', 'a Constituição estabelece que o Supremo Tribunal Federal é o guardião e intérprete da Constituição.. Isso implica que o Senado deve respeitar as decisões do Supremo Tribunal Federal.. Por causa disso, o orador defende que o Senado deve manter suas atribuições constitucionais de redator da Constituição, mesmo ao respeitar as decisões do Supremo Tribunal Federal.. Compreendemos e respeitamos o papel do Supremo Tribunal Federal como guardião e intérprete da nossa Constituição, estamos aqui acatando essa interpretação, sim; mas não abdicaremos das nossas atribuições constitucionais de redatores da Constituição.', 'A Constituição estabelece que o Supremo Tribunal Federal deve ser o guardião da Constituição brasileira.. Isso implica que o STF deve atuar de forma imparcial e justa, protegendo os direitos constitucionais dos cidadãos.. Por causa disso, o orador critica a atuação do Supremo Tribunal Federal, especialmente do Ministro Alexandre de Moraes, e sugere que o Senado deve agir para garantir que o STF cumpra seu papel constitucional de guardião da Constituição.. O Supremo Tribunal Federal tem que ser guardião da Constituição brasileira. Esse é o papel, Senador Cleitinho, do Ministério da Justiça. Esse é o papel do Supremo Tribunal Federal.']"
4,292,4_Municípios_os Municípios_Estados Municípios_autonomia,"['Municípios', 'os Municípios', 'Estados Municípios', 'autonomia', 'de recursos', 'federativo', 'Distrito Federal', 'pacto federativo', 'os Estados', 'federativos', 'que os Municípios', 'para os', 'os municípios', 'entes federativos', 'financeira', 'União Estados', 'distribuição de', 'entre União Estados', 'recursos entre', 'União Estados Municípios']","['Municípios', 'Estados', 'União', 'autonomia', 'entes', 'federativo', 'municípios', 'distribuição', 'pacto', 'federativos', 'financeira', 'receitas', 'responsabilidades', 'federal', 'administrativa', 'impostos', 'divisão', 'revisão', 'fundos', 'tributária', 'justa', 'financeiros', 'bolo', 'arrecadação', 'contribuições', 'governo', 'receita', 'atribuições', 'participação', 'reforma']","['a Constituição estabelece a divisão de recursos entre União, Estados e Municípios.. isso implica que os recursos devem ser distribuídos conforme a porcentagem estabelecida na Constituição.. Por causa disso, o orador critica a forma como a distribuição de recursos entre União, Estados e Municípios tem sido feita, sugerindo que a Constituição deveria ser obedecida para garantir uma divisão mais justa e eficaz dos recursos.. Os 100%: 22,5% para os Municípios; 21,5% para os Estados e Distrito Federal, 53% para a União, para o Luiz Inácio; 3% para os fundos constitucionais. Fechou a conta? Não é, César Borges, 100%!', 'a Constituição de 1988 estabeleceu um sistema federativo que deveria garantir uma distribuição mais equitativa de recursos entre União, Estados e Municípios.. Isso implica que a União não deveria concentrar a maior parte das receitas tributárias, mas sim compartilhá-las de forma justa com Estados e Municípios.. Por causa disso, o orador defende a necessidade de uma reforma no pacto federativo para garantir uma distribuição mais equitativa das receitas entre União, Estados e Municípios, fortalecendo a autonomia financeira dos entes subnacionais.. Apenas para corroborar com o que disse V. Exª, quando estávamos aqui, na Constituinte de 1988, a soma das contribuições, que são os impostos arrecadados exclusivamente pela União, representava cerca de 20% de tudo o que se arrecadava, com a soma de IPI e Imposto de Renda, que são os impostos - sabe disso o Prefeito Fortunati - compartilhados com Estados e Municípios.', 'a Constituição de 1988 fez uma divisão razoável dos recursos arrecadados entre Estados, Municípios e a União.. isso implica que deveria haver uma distribuição mais equitativa de recursos entre os entes federativos.. Por causa disso, o orador critica a concentração de recursos na União e defende uma revisão do pacto federativo para garantir uma distribuição mais justa dos recursos entre União, Estados e Municípios.. a partir da Constituição de 1988, que fez uma divisão, eu diria bastante razoável, dos recursos arrecadados entre Estados, Municípios e a União.']"
5,276,5_medidas provisórias_medidas_medida provisória_medida,"['medidas provisórias', 'medidas', 'medida provisória', 'medida', 'de medidas provisórias', 'de medidas', 'relevância urgência', 'Medida Provisória', 'de relevância', 'de urgência', 'de relevância urgência', 'urgência relevância', 'que medidas provisórias', 'que medidas', 'das medidas provisórias', 'de urgência relevância', 'das medidas', 'Executivo', 'as medidas provisórias', 'as medidas']","['provisórias', 'medidas', 'urgência', 'provisória', 'medida', 'relevância', 'Executivo', 'uso', 'edição', 'casos', 'excessivo', 'legislativa', 'requisitos', 'prazo', 'eficácia', 'situações', 'instrumento', 'caso', 'critérios', 'apreciação', 'urgentes', 'dias', 'pauta', 'análise', 'projetos', 'Senadores', 'prática', 'regime', 'adoção', 'constitucionalidade']","['a Constituição estabelece que medidas provisórias devem ser adotadas apenas em casos de urgência e relevância.. Isso implica que o uso de medidas provisórias deve ser restrito e justificado.. Por causa disso, o orador critica o uso inadequado de medidas provisórias, como no caso da Medida Provisória nº 366, que desmembra o Ibama, argumentando que tal prática não respeita os pressupostos constitucionais de urgência e relevância.. Perdoe-me interrompê-lo, mais ainda, a meu ver, por não se caracterizar adequadamente a procedência de uma medida provisória, já que a Constituição estabelece que devem estar bem claros os pressupostos de urgência e relevância.', 'a Constituição estabelece que medidas provisórias devem ser editadas apenas em casos de relevância e urgência.. isso implica que o uso de medidas provisórias deve ser restrito e justificado.. Por causa disso, o orador vota contra a Medida Provisória que trata de temas diversos como aviação civil, telecomunicações na Copa do Mundo, rodovias e financiamentos, por entender que ela não atende aos requisitos constitucionais de relevância e urgência estabelecidos no art. 62 da Constituição.. o uso indiscriminado de medidas provisórias, ferindo o que está previsto no art. 62 da Constituição, que fala e exige relevância e urgência na apresentação de medidas provisórias.', 'A Constituição estabelece que medidas provisórias só podem ser adotadas em casos de relevância e urgência.. Isso implica que o uso frequente de medidas provisórias desrespeita o equilíbrio dos Poderes.. Por causa disso, o orador se opõe ao uso excessivo de medidas provisórias pelo governo, defendendo que elas sejam utilizadas apenas em casos de real urgência, conforme estipulado pela Constituição.. O art. 62 da Constituição Federal diz que: ""Em caso de relevância e urgência, o Presidente da República poderá adotar medidas provisórias, com força de lei, devendo submetê-las de imediato ao Congresso Nacional.""']"
6,274,6_terras_indígenas_terras indígenas_de terras,"['terras', 'indígenas', 'terras indígenas', 'de terras', 'de terras indígenas', 'demarcação de', 'demarcação de terras', 'demarcação de terras indígenas', 'as terras', 'terra', 'temporal', 'das terras', 'povos indígenas', 'terras que', 'em terras', 'em terras indígenas', 'os direitos', 'suas terras', 'das terras indígenas', 'para demarcação de terras']","['terras', 'indígenas', 'demarcação', 'índios', 'terra', 'temporal', 'marco', 'União', 'povos', 'indígena', 'áreas', 'propriedade', 'outubro', 'comunidades', 'data', 'exploração', 'demarcações', 'quilombolas', 'originários', 'promulgação', 'bens', 'ocupação', 'mineração', 'reservas', 'tradições', 'posse', 'línguas', 'regulamentação', 'social', 'crenças']","['a Constituição estabelece o marco temporal de 5/10/1988 para a demarcação de terras indígenas.. isso implica que a segurança jurídica de quem ocupa terras no Brasil deve ser mantida com base nesse marco.. Por causa disso, o orador defende que o Senado Federal deve seguir o exemplo da Câmara dos Deputados e votar o PL 490/2007, que estabelece o marco temporal de 5 de outubro de 1988 para a demarcação de terras indígenas, a fim de manter a segurança jurídica e evitar conflitos no campo.. ""E, Sr. Presidente, lembro que o próprio Supremo Tribunal Federal, em 2009, quando essa pauta sobre rediscussão do marco temporal de terras indígenas foi ao Plenário do Supremo Tribunal Federal para discutir as terras indígenas de Raposa Serra do Sol lá em Rondônia, ratificou a Constituição Federal, como nós queremos e precisamos que seja feito. Ele ratificou dizendo o seguinte: 5/10/1988 é o tempo, é a marca, é o marco realmente de demarcação de terras indígenas.""', 'a Constituição estabelece o marco temporal de 5/10/1988 para a demarcação de terras indígenas.. isso implica que as terras indígenas só podem ser demarcadas se estivessem sob posse indígena na data de promulgação da Constituição.. Por causa disso, o orador apoia a votação urgente no Senado do projeto de lei que estabelece o marco temporal para demarcação de terras indígenas, alinhando-se à interpretação da Constituição de 1988 e à decisão do STF de 2009.. Implícito: ""possa votar e ratificar o entendimento da Constituição Federal, de 5/10/1988, do marco, de que o último prazo de demarcação de terras indígenas era 5/10.""', 'a Constituição de 1988 define o marco temporal para a demarcação de terras indígenas.. isso implica que a demarcação de terras indígenas deve seguir critérios específicos estabelecidos na Constituição.. Por causa disso, o orador defende a aprovação do PL 2.903, que estabelece o marco temporal para a demarcação de terras indígenas, como uma medida para garantir segurança jurídica e evitar conflitos de posse de terras no Brasil.. Reafirmar o marco temporal de 1988, definido na Constituição Federal, representa uma importante medida para a segurança jurídica do direito de propriedade, uma vez que reafirma critérios específicos para a demarcação de terras indígenas.']"
7,222,7_SUS_dever do Estado_acesso_universal,"['SUS', 'dever do Estado', 'acesso', 'universal', 'dever', 'direito de todos', 'de todos', 'direito saúde', 'que Estado', 'Único de Saúde', 'que saúde', 'implica que Estado', 'Sistema Único de Saúde', 'Sistema Único de', 'direito de todos dever', 'todos dever do', 'todos dever do Estado', 'de todos dever do', 'todos dever', 'de todos dever']","['saúde', 'acesso', 'universal', 'dever', 'Único', 'Sistema', 'igualitário', 'serviços', 'cidadãos', 'medicamentos', 'obrigação', 'econômicas', 'sistema', 'políticas', 'cidadão', 'recuperação', 'gratuito', 'financiamento', 'ações', 'promoção', 'risco', 'doença', 'sociais', 'população', 'assistência', 'adequado', 'redução', 'proteção', 'doenças', 'brasileiro']","['a Constituição estabelece que a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas.. isso implica que o Estado deve garantir acesso universal e igualitário às ações e serviços de saúde.. Por causa disso, o orador critica a má gestão dos recursos destinados à saúde, especialmente a aplicação inadequada da CPMF, que deveria ser utilizada para melhorar o sistema de saúde pública conforme a Constituição.. Art. 196. A saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação.', 'a Constituição estabelece que a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação.. isso implica que o Estado deve implementar políticas públicas eficazes para garantir o acesso à saúde para todos os cidadãos.. Por causa disso, o orador apoia o programa \'Mais Médicos\', que visa cumprir o dever do Estado de garantir saúde pública universal e igualitária, conforme estabelecido pela Constituição.. Desta forma, o governo quer oferecer saúde pública, buscando cumprir o que estabelece nossa Constituição Federal, no artigo 196, que diz: ""A saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação.""', 'a saúde é um direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doenças e de outros agravos e ao acesso universal e igualitário às ações e aos serviços para sua promoção, proteção e recuperação.. isso implica que o Estado deve garantir o funcionamento adequado do Sistema Único de Saúde (SUS) para atender a população.. Por causa disso, o orador destaca a necessidade de uma gestão mais eficiente e honesta dos recursos destinados à saúde, conforme estabelecido pela Constituição, para garantir o direito à saúde de todos os cidadãos.. a Constituição Federal, em seu art. 196, estabelece que a saúde é um direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doenças e de outros agravos e ao acesso universal e igualitário às ações e aos serviços para sua promoção, proteção e recuperação.']"
8,212,8_publicidade_moralidade_Pública_público,"['publicidade', 'moralidade', 'Pública', 'público', 'administração pública', 'públicos', 'administração', 'legalidade', 'moralidade publicidade', 'impessoalidade moralidade', 'publicidade eficiência', 'legalidade impessoalidade', 'Defensoria Pública', 'impessoalidade moralidade publicidade', 'legalidade impessoalidade moralidade', 'legalidade impessoalidade moralidade publicidade', 'Administração Pública', 'da publicidade', 'princípios constitucionais', 'princípio da']","['publicidade', 'moralidade', 'impessoalidade', 'público', 'eficiência', 'públicos', 'administração', 'legalidade', 'Administração', 'atos', 'princípio', 'transparência', 'concurso', 'servidores', 'serviço', 'essencial', 'defesa', 'necessitados', 'serviços', 'jurídica', 'administrativos', 'instituição', 'jurisdicional', 'públicas', 'transparentes', 'função', 'obrigação', 'graus', 'acesso', 'orientação']","[""a administração pública deve obedecer aos princípios de legalidade, impessoalidade, moralidade, publicidade e eficiência.. isso implica que atos administrativos devem ser transparentes e acessíveis ao público.. Por causa disso, o orador defende que as decisões administrativas do Senado, como a publicação de atos, devem seguir estritamente os princípios constitucionais de publicidade e transparência, conforme o art. 37 da Constituição.. A Constituição diz, no art. 37, que 'A administração pública direta e indireta de qualquer dos Poderes (...) obedecerá aos princípios de legalidade, impessoalidade, moralidade, publicidade e eficiência...'."", ""a Constituição estabelece que a administração pública deve obedecer aos princípios de legalidade, impessoalidade, moralidade, publicidade e eficiência.. isso implica que os atos administrativos devem ser transparentes e acessíveis ao público.. Por causa disso, o orador defende a implementação de medidas de transparência na administração pública, conforme os princípios constitucionais, e apoia o projeto de resolução que torna transparente a remuneração dos servidores.. no meu entender e de acordo com o que está no art. 37 da Constituição, que explicita que 'a Administração Pública direta e indireta, de qualquer dos Poderes, obedecerá aos princípios da legalidade, impessoalidade, moralidade, publicidade e eficiência'."", 'a Administração Pública deve seguir os princípios de legalidade, impessoalidade, moralidade, publicidade e eficiência.. isso implica que todos os atos administrativos devem ser transparentes e regulares.. Por causa disso, o orador defende a transparência e a legalidade dos atos administrativos praticados no Senado, ressaltando que todos os seus atos estão em conformidade com os princípios constitucionais da Administração Pública.. Os únicos atos praticados pelo Senador Wellington Salgado, ao todo, 59, estão revestidos da legalidade, impessoalidade, moralidade, publicidade e eficiência, princípios concernentes à Administração Pública, exigidos pela Constituição da República.']"
