Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2678,-1_disso orador destaca importância_orador destaca importância_destaca importância_causa disso orador apoia,"['disso orador destaca importância', 'orador destaca importância', 'destaca importância', 'causa disso orador apoia', 'orador apoia', 'disso orador apoia', 'aprovação', 'orador destaca importância de', 'destaca importância de', 'Constituição de', 'Congresso', 'previsto na Constituição', 'pela Constituição Por', 'pela Constituição Por causa', 'conformidade com', 'conformidade', 'estabelecido pela', 'política', 'social', 'pública']","['aprovação', 'criação', 'recursos', 'decisão', 'conformidade', 'política', 'social', 'pública', 'desenvolvimento', 'saúde', 'políticas', 'medidas', 'inconstitucional', 'segurança', 'Estado', 'proposta', 'emenda', 'Estados', 'reforma', 'trabalhadores', 'provisórias', 'princípio', 'governo', 'participação', 'legislação', 'popular', 'papel', 'inclusão', 'responsabilidade', 'transparência']","['Por causa disso, o orador apoia a aprovação do projeto de lei que altera a Lei nº 11.528, de 2008, para implementar as Zonas de Processamento de Exportação (ZPEs) no Brasil, visando reduzir desigualdades regionais conforme estabelecido pela Constituição.', 'Por causa disso, o orador destaca a importância de que as leis, como a Lei Maria da Penha, estejam em conformidade com a Constituição de 1988, que prima pela não violência familiar e igualdade de direitos entre homens e mulheres.', 'Por causa disso, o orador apoia a aprovação do Projeto de Resolução do Senado nº 54, de 2020, que oficializa a homenagem à repórter Larissa Bortoni, considerando que está em conformidade com a Constituição e as normas vigentes.']"
0,871,0_visa_que visa_de que visa_disso orador apoia,"['visa', 'que visa', 'de que visa', 'disso orador apoia', 'causa disso orador apoia', 'orador apoia', 'apoia', 'aprovação', 'PEC que visa', 'PEC de que visa', 'aprovação da', 'defende aprovação', 'PEC de que', 'disso orador defende aprovação', 'orador defende aprovação', 'apoia aprovação', 'disso orador apoia aprovação', 'orador apoia aprovação', 'aprovação da PEC', 'aprovação do']","['aprovação', 'proposta', 'emenda', 'conformidade', 'saúde', 'União', 'pública', 'recursos', 'social', 'Estados', 'trabalho', 'sistema', 'educação', 'Estado', 'trabalhadores', 'desenvolvimento', 'criação', 'implementação', 'financiamento', 'terras', 'assistência', 'brasileiro', 'autonomia', 'brasileiros', 'princípio', 'pessoas', 'reforma', 'situação', 'regulamentação', 'ambiental']","['Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 557, de 2022, que visa garantir tratamento humanitário a mulheres presas gestantes ou puérperas, em conformidade com os princípios constitucionais de dignidade humana e direitos fundamentais.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 1.932, de 2021, que visa melhorar a logística de medicamentos no SUS, em conformidade com a gestão descentralizada determinada pela Constituição.', 'Por causa disso, o orador apoia a aprovação da PEC nº 53, de 2007, que visa extinguir o instituto do terreno de marinha e seus acrescidos, considerando-a constitucional, jurídica e de elevado mérito.']"
1,646,1_impeachment_de impeachment_processo de impeachment_impeachment da,"['impeachment', 'de impeachment', 'processo de impeachment', 'impeachment da', 'Presidente Dilma', 'Presidente Dilma Rousseff', 'da Presidente', 'impeachment da Presidente', 'que processo de impeachment', 'que processo de', 'da Presidente Dilma', 'da Presidente Dilma Rousseff', 'de impeachment da', 'processo de impeachment da', 'crime de responsabilidade', 'crime de', 'de impeachment da Presidente', 'Presidenta', 'defende que processo de', 'Presidenta Dilma']","['impeachment', 'Presidente', 'responsabilidade', 'crime', 'base', 'golpe', 'legal', 'legitimidade', 'crimes', 'inconstitucional', 'legais', 'violação', 'devido', 'abertura', 'procedimentos', 'mandato', 'devido processo', 'afastamento', 'pedido', 'jurídica', 'tentativa', 'normas', 'medida', 'acusações', 'defesa', 'respeito', 'Estado', 'popular', 'ação', 'então']","['Por causa disso, o orador argumenta que o processo de impeachment contra a Presidenta Dilma Rousseff é ilegítimo, pois não há crime de responsabilidade comprovado, e que, portanto, o impeachment seria um golpe.', 'Por causa disso, o orador argumenta que o impeachment da Presidente Dilma Rousseff não tem base constitucional, pois não há crime de responsabilidade comprovado, e critica o uso político do processo de impeachment.', 'Por causa disso, o orador argumenta que o processo de impeachment da Presidente Dilma Rousseff não tem base constitucional, pois não há crime de responsabilidade caracterizado.']"
2,542,2_Brasil_no Brasil_Brasil Por causa_Brasil Por,"['Brasil', 'no Brasil', 'Brasil Por causa', 'Brasil Por', 'Brasil Por causa disso', 'no Brasil Por causa', 'no Brasil Por', 'do Brasil', 'brasileira', 'orador destaca importância', 'disso orador destaca importância', 'Venezuela', 'orador destaca importância de', 'destaca importância de', 'brasileiros', 'que Brasil', 'do Brasil Por', 'do Brasil Por causa', 'democracia brasileira', 'princípios constitucionais']","['brasileiro', 'democracia', 'brasileira', 'política', 'brasileiros', 'sistema', 'Estado', 'reforma', 'social', 'emenda', 'reformas', 'político', 'integração', 'defesa', 'aprovação', 'cláusula', 'país', 'respeito', 'políticas', 'democrática', 'eleitoral', 'desenvolvimento', 'mudanças', 'legislação', 'países', 'justiça', 'externa', 'conformidade', 'paz', 'institucional']","['Por causa disso, o orador defende que o Brasil deve avaliar criteriosamente a adesão da Venezuela ao Mercosul, verificando se o país cumpre a condição fundamental de ser uma democracia, conforme os princípios constitucionais brasileiros.', 'Por causa disso, o orador destaca a importância de se repensar o papel do Parlamento e a representatividade política no Brasil, sugerindo que mudanças são necessárias para fortalecer a democracia e a dignidade parlamentar.', 'Por causa disso, o orador defende a necessidade de reformas políticas e judiciais para fortalecer a democracia e combater a impunidade no Brasil.']"
3,534,3_Supremo Tribunal_Supremo Tribunal Federal_do Supremo_do Supremo Tribunal,"['Supremo Tribunal', 'Supremo Tribunal Federal', 'do Supremo', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'que Supremo Tribunal Federal', 'que Supremo Tribunal', 'que Supremo', 'decisão do Supremo Tribunal', 'atuação do Supremo', 'atuação do Supremo Tribunal', 'Supremo Tribunal Federal deve', 'Supremo Tribunal Federal que', 'Tribunal Federal que', 'Supremo Tribunal Federal Por', 'Tribunal Federal Por causa', 'Tribunal Federal Por', 'Tribunal Federal para', 'Supremo Tribunal Federal para', 'critica atuação do Supremo']","['decisão', 'atuação', 'decisões', 'prisão', 'relação', 'Ministro', 'questão', 'constitucionalidade', 'União', 'Justiça', 'julgamento', 'medidas', 'mandato', 'casos', 'Judiciário', 'emenda', 'aplicação', 'inconstitucionais', 'crimes', 'foro', 'independência', 'expressão', 'provisórias', 'partidária', 'maior', 'necessário', 'legislação', 'políticos', 'nomeação', 'cargos']","['Por causa disso, o orador apoia a decisão do Supremo Tribunal Federal que permite a prisão após condenação em segunda instância, considerando-a constitucional.', 'Por causa disso, o orador critica a atuação do Governo Federal e do Ministro da Justiça, Tarso Genro, por não respeitarem a decisão do Supremo Tribunal Federal que suspendeu a operação de retirada de não-indígenas da Raposa Serra do Sol, e defende que o Supremo Tribunal Federal deve julgar a questão com profundidade e celeridade para resolver o conflito em Roraima.', 'Por causa disso, o orador critica a atuação do Supremo Tribunal Federal e defende que o Senado deve cumprir seu papel constitucional de frear interferências entre os Poderes.']"
4,368,4_pela Constituição de_disso orador destaca importância_orador destaca importância_destaca importância,"['pela Constituição de', 'disso orador destaca importância', 'orador destaca importância', 'destaca importância', 'Constituição de Por', 'Constituição de Por causa', 'importância da', 'orador destaca importância da', 'destaca importância da', 'importância da Constituição de', 'importância da Constituição', 'na Constituição de', 'da Constituição de na', 'Constituição de na', 'destaca importância da Constituição', 'pela Constituição de Por', 'estabelecido pela Constituição de', 'transformação', 'orador destaca importância de', 'destaca importância de']","['Estado', 'transformação', 'desenvolvimento', 'criação', 'políticas', 'política', 'democráticos', 'papel', 'democracia', 'públicas', 'histórica', 'elaboração', 'avanços', 'defesa', 'estado', 'cidadãos', 'essencial', 'democrática', 'participação', 'reforma', 'trabalhadores', 'local', 'representação', 'regional', 'implementação', 'administração', 'acesso', 'Estados', 'políticos', 'país']","['Por causa disso, o orador destaca a importância da Constituição de 1988 na transformação de Roraima em Estado, o que possibilitou maior autonomia política e representação para seus cidadãos.', 'Por causa disso, o orador destaca a importância da Constituição de 1988 na transformação de Roraima em Estado, o que permitiu avanços significativos em termos de cidadania e desenvolvimento regional.', 'Por causa disso, o orador destaca a importância da Constituição de 1988 na transformação de Roraima em um Estado, o que permitiu a criação de instituições estaduais e o desenvolvimento local.']"
5,360,5_educação_Educação_da educação_de Educação,"['educação', 'Educação', 'da educação', 'de Educação', 'professores', 'educacional', 'Nacional de Educação', 'direito educação', 'destaca importância de', 'orador destaca importância de', 'educação Por causa disso', 'educação Por', 'educação Por causa', 'educacionais', 'em educação', 'disso orador destaca importância', 'Plano Nacional de Educação', 'para educação', 'dos professores', 'educação como']","['educação', 'professores', 'recursos', 'educacional', 'ensino', 'educacionais', 'qualidade', 'saúde', 'escolas', 'básica', 'universidades', 'cumprimento', 'implementação', 'aprovação', 'projeto', 'públicas', 'crianças', 'nacional', 'profissionais', 'metas', 'piso', 'pública', 'pessoas', 'salarial', 'governo', 'autonomia', 'social', 'aplicação', 'superior', 'igualdade']","['Por causa disso, o orador defende a coexistência do ensino regular com o ensino especial, conforme previsto na Meta 4 do Plano Nacional de Educação, para garantir o direito à educação das pessoas com deficiência de forma inclusiva e adequada.', 'Por causa disso, o orador destaca a importância de garantir o direito à educação, conforme previsto na Constituição, e defende a federalização da educação como meio de alcançar a excelência educacional e a igualdade de oportunidades.', 'Por causa disso, o orador destaca a importância de garantir recursos para a educação como forma de cumprir as metas do Plano Nacional de Educação, que estão alinhadas com os princípios constitucionais de erradicação do analfabetismo e melhoria da educação.']"
6,344,6_liberdade_liberdade de_orador defende necessidade de_orador defende necessidade,"['liberdade', 'liberdade de', 'orador defende necessidade de', 'orador defende necessidade', 'disso orador defende necessidade', 'defende necessidade de', 'direito de', 'defende necessidade', 'privilegiado', 'foro privilegiado', 'que qualquer', 'pela Constituição Por causa', 'pela Constituição Por', 'democracia', 'Senado deve', 'por causa disso orador', 'por causa disso', 'perante lei', 'democrático', 'que Senado deve']","['liberdade', 'foro', 'expressão', 'democracia', 'princípio', 'democrático', 'emenda', 'proteção', 'igualdade', 'Estado', 'prisão', 'projeto', 'proposta', 'imunidade', 'jurídica', 'legislação', 'justiça', 'mudança', 'tentativa', 'segurança', 'prerrogativas', 'leis', 'mandatos', 'defesa', 'Parlamento', 'política', 'legais', 'acordo', 'alteração', 'garantias']","['Por causa disso, o orador defende a aprovação da PEC que acaba com o foro privilegiado, argumentando que isso reduziria a impunidade e aceleraria os julgamentos.', 'Por causa disso, o orador defende a aprovação da proposta de emenda à Constituição que acaba com o foro privilegiado, argumentando que isso promoverá igualdade perante a lei, conforme o art. 5º da Constituição.', 'Por causa disso, o orador defende a aprovação da PEC que acaba com o foro privilegiado, argumentando que a Constituição deve ser coerente com o princípio da igualdade perante a lei.']"
7,337,7_fiscal_fiscalização_Fiscal_Lei de Responsabilidade,"['fiscal', 'fiscalização', 'Fiscal', 'Lei de Responsabilidade', 'de Responsabilidade', 'Responsabilidade', 'Lei de Responsabilidade Fiscal', 'Responsabilidade Fiscal', 'de Responsabilidade Fiscal', 'fiscalizar', 'de fiscalização', 'da Lei de Responsabilidade', 'responsabilidade', 'responsabilidade fiscal', 'constitucional de', 'fiscal Por', 'fiscal Por causa disso', 'fiscal Por causa', 'de fiscalizar', 'fiscalizador']","['fiscal', 'fiscalização', 'papel', 'controle', 'responsabilidade', 'gastos', 'públicos', 'fiscalizador', 'Executivo', 'recursos', 'transparência', 'Congresso', 'cumprimento', 'governo', 'contas', 'relação', 'medidas', 'país', 'gestão', 'público', 'Estados', 'normas', 'maior', 'limites', 'Municípios', 'respeito', 'atuação', 'leis', 'aprovação', 'pública']","['Por causa disso, o orador destaca a importância da Lei de Responsabilidade Fiscal como um marco na gestão pública, que trouxe maior controle e responsabilidade sobre as finanças públicas, evitando crises financeiras nos Estados e Municípios.', 'Por causa disso, o orador defende a rejeição do Projeto de Lei Complementar nº 132, de 2007, que altera a Lei de Responsabilidade Fiscal, por considerar que ele afrouxa os limites de controle fiscal e compromete a responsabilidade fiscal estabelecida pela Constituição.', 'Por causa disso, o orador destaca a importância da Lei de Responsabilidade Fiscal como um complemento necessário à Constituição de 1988 para assegurar a administração financeira responsável do país.']"
8,279,8_Presidente_da República_República_Presidente do,"['Presidente', 'da República', 'República', 'Presidente do', 'Presidente da', 'Presidente da República', 'Presidente do Senado', 'Presidência', 'do Presidente', 'presidencial', 'eleições diretas', 'que Presidente', 'de vacância', 'Presidente Lula', 'Vice', 'caso de vacância', 'cargo', 'em caso de vacância', 'Presidência da República', 'Presidência da']","['Presidente', 'Presidência', 'presidencial', 'mandato', 'eleições', 'diretas', 'vacância', 'caso', 'cargo', 'presidenciais', 'decreto', 'Regimento', 'crise', 'terceiro', 'política', 'terceiro mandato', 'emenda', 'inconstitucional', 'eleição', 'possibilidade', 'julgamento', 'reeleição', 'anos', 'Presidentes', 'novas eleições', 'medidas', 'ano', 'provisórias', 'proposta', 'legalidade']","['Por causa disso, o orador defende a necessidade de uma emenda constitucional para permitir eleições diretas em caso de vacância do cargo de Presidente da República com mais de um ano restante no mandato.', 'Por causa disso, o orador defende a aprovação da PEC das Eleições Diretas, que permitiria eleições diretas em caso de vacância da Presidência e Vice-Presidência até o final do terceiro ano de mandato.', 'Por causa disso, o orador defende a aprovação da PEC 67, de 2016, que propõe eleições diretas para Presidente da República em caso de vacância até o fim do terceiro ano do mandato.']"
