Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2818,-1_constitucional_direito_devem_implica qualquer,"['constitucional', 'direito', 'devem', 'implica qualquer', 'Estado', 'direitos', 'obrigação', 'ou', 'implica Estado', 'inconstitucional', 'Brasil', 'governo', 'garantir', 'inconstitucional implica', 'tem obrigação', 'implica há', 'implica governo', 'lei', 'têm direito', 'constitucional implica']","['constitucional', 'direito', 'Estado', 'direitos', 'obrigação', 'inconstitucional', 'governo', 'saúde', 'lei', 'papel', 'servidores', 'constitucionais', 'cargos', 'fundamental', 'igualdade', 'recursos', 'legislação', 'pública', 'população', 'criação', 'acesso', 'processo', 'poder', 'país', 'territorial', 'medidas', 'mesmo', 'proposta', 'dever', 'desenvolvimento']","['isso implica que a Constituição teve um papel fundamental na reorganização territorial do Brasil.', 'isso implica que a Constituição teve um papel fundamental na reorganização territorial do Brasil.', 'Isso implica que o Estado tem a obrigação de garantir o acesso à saúde para todos os cidadãos.']"
0,428,0_impeachment_implica processo_deve seguir_impeachment implica,"['impeachment', 'implica processo', 'deve seguir', 'impeachment implica', 'crime', 'crime responsabilidade', 'Dilma', 'conduzido', 'Presidente', 'constitucionais', 'responsabilidade', 'golpe implica', 'responsabilidade implica', 'preceitos', 'constitucional', 'apenas', 'constitucionais implica processo', 'considerado', 'normas', 'fundamentos']","['impeachment', 'processo', 'legítimo', 'golpe', 'legal', 'legais', 'Presidente', 'constitucionais', 'responsabilidade', 'preceitos', 'constitucional', 'normas', 'fundamentos', 'ferramenta', 'acordo', 'Senado', 'tentativa', 'jurídicos', 'jurídico', 'mecanismo', 'procedimento', 'inconstitucional', 'presidente', 'político', 'procedimentos', 'crimes', 'defesa', 'pedido', 'processos', 'decisão']","['Isso implica que o processo de impeachment é legal e constitucional.', 'isso implica que o processo de impeachment é ilegal e fraudulento.', 'Isso implica que o processo de impeachment é inconstitucional']"
1,338,1_responsabilidade_tem responsabilidade_Estado tem responsabilidade_implica Estado tem responsabilidade,"['responsabilidade', 'tem responsabilidade', 'Estado tem responsabilidade', 'implica Estado tem responsabilidade', 'responsabilidade garantir', 'implica Estado tem', 'Estado tem', 'tem responsabilidade garantir', 'Estado tem responsabilidade garantir', 'implica Estado', 'têm responsabilidade', 'responsabilidades', 'implica Senado tem responsabilidade', 'Senado tem responsabilidade', 'segurança pública', 'cidadãos implica', 'implica Senado tem', 'responsabilidade proteger', 'tem responsabilidade proteger', 'cidadãos implica Estado tem']","['responsabilidade', 'Estado', 'segurança', 'responsabilidades', 'cidadãos', 'pública', 'políticas', 'Senado', 'saúde', 'Estados', 'Municípios', 'recursos', 'condições', 'serviços', 'primária', 'públicas', 'municípios', 'bens', 'direito', 'ensino', 'prestação', 'específicas', 'federativo', 'obrigação', 'pendências', 'leis', 'povos', 'privada', 'dignas', 'medidas']","['isso implica que o Estado tem a responsabilidade de garantir a segurança pública e proteger os cidadãos.', 'isso implica que o Estado tem a responsabilidade de garantir a segurança dos cidadãos.', 'isso implica que o Estado tem a responsabilidade de garantir a segurança dos cidadãos.']"
2,297,2_provisórias_medidas provisórias_implica medidas_implica medidas provisórias,"['provisórias', 'medidas provisórias', 'implica medidas', 'implica medidas provisórias', 'urgência', 'medida provisória', 'medicamentos', 'implica medida', 'implica medida provisória', 'Medida Provisória', 'implica Medida', 'implica Medida Provisória', 'medidas provisórias deve', 'provisórias deve', 'medidas provisórias implica', 'provisórias implica', 'implica medidas provisórias não', 'provisórias não', 'medidas provisórias não', 'uso excessivo']","['medidas', 'provisórias', 'medida', 'urgência', 'provisória', 'uso', 'medicamentos', 'relevância', 'médicos', 'excessivo', 'Executivo', 'inconstitucional', 'requisitos', 'constitucional', 'situações', 'restrito', 'critérios', 'tratamentos', 'questão', 'acesso', 'obrigação', 'Estado', 'excepcionais', 'original', 'separação', 'cidadãos', 'necessários', 'poderes', 'dispositivos', 'piso']","['Isso implica que medidas provisórias devem cumprir o que a Constituição estabelece.', 'isso implica que medidas provisórias que burlam a Constituição são inaceitáveis.', ""isso implica que medidas provisórias com 'jabutis' são inconstitucionais.""]"
3,285,3_Presidente_implica Presidente_República_Presidente República,"['Presidente', 'implica Presidente', 'República', 'Presidente República', 'implica Presidente República', 'República não', 'implica Presidente República não', 'Presidente República não', 'presidencial', 'Presidente Senado', 'República implica', 'República não pode', 'Presidente República não pode', 'Presidente pode', 'implica Presidente pode', 'Presidente República implica', 'Presidente deve', 'Presidente não', 'Presidente tem', 'implica Presidente deve']","['Presidente', 'presidencial', 'presidente', 'mandato', 'Congresso', 'Presidência', 'Senado', 'eleições', 'atos', 'aprovação', 'sucessão', 'decreto', 'terceiro mandato', 'provisórias', 'poder', 'terceiro', 'cargo', 'medidas', 'decisão', 'normas', 'autoridade', 'inconstitucional', 'constitucionais', 'consecutivo', 'presidencialista', 'regimentais', 'provisória', 'responsabilidade', 'situações', 'medida']","['isso implica que a Presidente da República não pode unilateralmente convocar um plebiscito.', 'Isso implica que o Presidente da República não pode emitir medidas provisórias sobre certos temas.', 'isso implica que o Presidente da República não pode se esquivar de uma investigação sob a alegação de que a denúncia é vazia']"
4,243,4_judiciais_Judiciário_decisões judiciais_implica decisões judiciais,"['judiciais', 'Judiciário', 'decisões judiciais', 'implica decisões judiciais', 'implica Judiciário', 'Judiciário implica', 'Judiciário não', 'judiciais implica', 'Poder Judiciário', 'devem respeitar', 'processos judiciais', 'Executivo', 'ações judiciais', 'Judiciário tem', 'sistema', 'implica Judiciário tem', 'Legislativo implica', 'implica ações', 'interferir', 'juízes']","['judiciais', 'Judiciário', 'decisões', 'Legislativo', 'Executivo', 'sistema', 'processos', 'ações', 'juízes', 'papel', 'constitucionais', 'reintegração', 'legislativas', 'independente', 'posse', 'funções', 'leis', 'ordens', 'direito', 'direitos', 'devido processo', 'devido', 'eficiente', 'forma', 'cidadãos', 'prerrogativas', 'autoridades', 'função', 'poderes', 'interferências']","['Isso implica que as decisões judiciais devem ser respeitadas e fundamentadas na legalidade democrática.', 'Isso implica que decisões judiciais que impõem censura prévia são inconstitucionais.', 'isso implica que as decisões judiciais sobre propriedade devem ser respeitadas.']"
5,241,5_implica mudanças_mudanças constitucionais_implica mudanças constitucionais_mudanças significativas,"['implica mudanças', 'mudanças constitucionais', 'implica mudanças constitucionais', 'mudanças significativas', 'implica mudanças significativas', 'constitucionais', 'podem realizadas', 'podem realizadas através', 'realizadas através', 'através emendas constitucionais', 'realizadas', 'propor mudanças', 'emendas constitucionais implica', 'emendas constitucionais', 'através emendas constitucionais implica', 'necessárias', 'podem realizadas através emendas', 'realizadas através emendas', 'implica qualquer mudança', 'qualquer mudança']","['mudanças', 'significativas', 'constitucionais', 'emendas', 'necessárias', 'mudança', 'sistema', 'legislativo', 'estruturais', 'político', 'estrutura', 'processo', 'legislação', 'país', 'amplo', 'poder', 'adequado', 'questões', 'amplo apoio', 'legislativas', 'suplentes', 'apoio', 'constitucional', 'desenvolvimento', 'forma', 'emenda', 'mandato', 'Senado', 'governo', 'regional']","['Isso implica que mudanças significativas no sistema político podem ser realizadas através de emendas constitucionais.', 'Isso implica que mudanças significativas no sistema tributário podem ser realizadas através de emendas constitucionais.', 'Isso implica que mudanças significativas no sistema tributário podem ser realizadas através de emendas constitucionais.']"
6,236,6_legal_base legal_devido processo legal_processo legal,"['legal', 'base legal', 'devido processo legal', 'processo legal', 'legal implica', 'legalidade', 'há base legal', 'implica há base legal', 'proteção legal', 'devido processo legal implica', 'processo legal implica', 'implica há base', 'têm proteção legal', 'parlamentares têm proteção', 'implica parlamentares têm proteção', 'parlamentares têm', 'marco legal', 'implica parlamentares têm', 'obrigação legal', 'implica parlamentares']","['legal', 'devido processo', 'devido', 'legalidade', 'base', 'processo', 'proteção', 'parlamentares', 'marco', 'criação', 'obrigação', 'procedimento', 'medo', 'formal', 'autoridades', 'ações', 'direitos', 'exercício', 'transparência', 'prazos', 'necessário', 'constitucional', 'parte', 'funções', 'fundos', 'Senadores', 'medidas', 'vítimas', 'penalidades', 'orçamentário']","['isso implica que há uma base legal para definir o que deve ser ensinado nas escolas.', 'Isso implica que há uma base legal para a cobrança de taxas sobre esses terrenos.', 'Isso implica que há uma base legal para regulamentar essa atividade.']"
7,227,7_implica qualquer legislação_qualquer legislação_implica qualquer_inconstitucional implica,"['implica qualquer legislação', 'qualquer legislação', 'implica qualquer', 'inconstitucional implica', 'inconstitucional', 'há necessidade', 'inconstitucionais', 'regulamentação', 'considerada inconstitucional', 'necessidade', 'implica há necessidade', 'considerada inconstitucional implica', 'inconstitucionais implica', 'constitucional', 'inconstitucional implica qualquer', 'pode considerada inconstitucional implica', 'pode considerada inconstitucional', 'constitucional implica', 'implica há', 'inconstitucional implica qualquer legislação']","['legislação', 'inconstitucional', 'direitos', 'inconstitucionais', 'regulamentação', 'necessidade', 'constitucional', 'emendas', 'necessário', 'constitucionais', 'direito', 'atual', 'princípios', 'ações', 'votação', 'ordinária', 'movimento', 'inelegibilidades', 'leis', 'votações', 'legislativa', 'greve', 'seriedade', 'federação', 'obras', 'efetiva', 'assegurados', 'Senado', 'restrições', 'propriedade']","['isso implica que qualquer legislação que restrinja esses direitos pode ser considerada inconstitucional.', 'isso implica que qualquer legislação que restrinja esses direitos pode ser considerada inconstitucional.', 'Isso implica que qualquer legislação que ameace esses direitos pode ser considerada inconstitucional.']"
8,217,8_Congresso_implica Congresso_Congresso Nacional_implica Congresso Nacional,"['Congresso', 'implica Congresso', 'Congresso Nacional', 'implica Congresso Nacional', 'implica Congresso tem', 'Congresso tem', 'Congresso Nacional tem', 'implica Congresso Nacional tem', 'Nacional implica', 'Congresso Nacional implica', 'implica Congresso tem poder', 'Congresso tem poder', 'implica Congresso deve', 'Congresso deve', 'Congresso Nacional tem poder', 'Nacional implica Congresso', 'Congresso Nacional implica Congresso', 'Congresso implica', 'Congresso implica Congresso', 'modificar']","['Congresso', 'poder', 'Executivo', 'emendas', 'mudanças', 'aspectos', 'constitucionais', 'autoridade', 'aprovação', 'prazo', 'legislação', 'legislativa', 'papel', 'legislativo', 'demandas', 'processo', 'recursos', 'necessidades', 'governo', 'prerrogativa', 'internacionais', 'econômicas', 'específicos', 'fundamental', 'sociais', 'importantes', 'legais', 'equilíbrio', 'procedimento', 'devida aprovação']","['isso implica que o Congresso Nacional tem competência para aprovar tratados internacionais.', 'isso implica que o Congresso Nacional tem menos poder de influência sobre as decisões do Executivo.', 'Isso implica que o Congresso Nacional tem o poder de alterar a Constituição para atender a demandas econômicas específicas.']"
