Topic,Words,Frequency,Timestamp
-1,"uma, Constituição, que qualquer, implica que qualquer, constitucional",129,2007
0,"governo, recursos, Congresso, Constituição, implica que governo",272,2007
1,"do Brasil, implica que Constituição, implica que Brasil, que Brasil, que Constituição",32,2007
2,"impeachment, de impeachment, conclusão do processo, que em processos de, acusado deve",2,2007
3,"responsabilidade, responsabilidade de, tem responsabilidade, tem responsabilidade de, responsabilidade de garantir",16,2007
4,"judiciais, decisões judiciais, Judiciário, processos judiciais, em processos judiciais",13,2007
5,"implica que mudanças, que mudanças, Isso implica que mudanças, mudanças significativas, que mudanças significativas",10,2007
6,"educação, educação Isso implica que, educação Isso implica, educação Isso, ser obrigatoriamente",15,2007
7,"terras, indígenas, terras indígenas, suas terras, titularidade",17,2007
8,"financeiras, financeiros, financeira, financiamento, que governo",16,2007
9,"penais de, para julgar, tem legitimidade para, legitimidade para, de competência",1,2007
10,"fiscalização, fiscalizar, de fiscalizar, de fiscalização, que Senado tem",14,2007
11,"limites, dos limites, dentro dos limites, limites constitucionais, limites legais",8,2007
12,"reforma, reformas, reformas políticas, reforma agrária, de reforma",8,2007
13,"autonomia, ter autonomia, administrativa, autonomia política, autonomia política administrativa",13,2007
14,"normas, norma constitucional, norma, normas constitucionais, da Constituição",6,2007
15,"ambiente, ambientais, ambiental, um ambiente, meio ambiente",7,2007
17,"CPI, uma CPI, de uma CPI, instalação de, instalação",7,2007
18,"salário mínimo, mínimo, implica que salário mínimo, implica que salário, que salário mínimo",4,2007
19,"econômico, desenvolvimento econômico, Isso implica que desenvolvimento, são reconhecidos, para desenvolvimento econômico",4,2007
20,"decisões, as decisões, implica que as decisões, que as decisões, que decisões",7,2007
21,"não podem ser julgados, podem ser julgados, adultos, ser julgados, não podem ser",3,2007
24,"para essas empresas, as obrigações, essas empresas, previdenciárias, para essas",1,2007
25,"de petróleo, ICMS, Rio de Janeiro, Rio de, de Janeiro",3,2007
26,"judicial, decisão judicial, governo tem obrigação legal, publicação de, pagar suas dívidas",2,2007
27,"transparente, deve ser transparente, ser transparente, transparentes, ser transparentes",3,2007
28,"penal, alteração, penal Isso implica que, penal Isso implica, penal Isso",4,2007
29,"universal, acesso universal, acesso, serviços de saúde, serviços de",5,2007
30,"presidenciais, conclusão do processo, de rejeitar, gera insegurança jurídica, sua função legislativa",2,2007
31,"liberdade de, implica que Estado não, que Estado não, não pode favorecer, de cada um",3,2007
32,"Constituição de, estava prevista, tem legitimidade constitucional, implica que Constituição de, que Constituição de",3,2007
33,"exploração de recursos minerais, Estados Municípios têm direito, de recursos minerais, pela exploração de recursos, recursos minerais",1,2007
34,"educação, responsabilidade, responsabilidade de, compartilhada entre Estado, Estado família sociedade",3,2007
35,"implica que cada, que cada, cada, implica que cada Poder, cada Poder",2,2007
38,"implica que nenhum, nenhum, que nenhum, jurídica estabelecida, todos devem respeitar",1,2007
39,"Franca, Zona Franca, Zona, Zona Franca de Manaus, Zona Franca de",3,2007
40,"Rio Grande do Norte, no Rio Grande do, de intervir em casos, Grande do Norte, intervir em casos de",1,2007
41,"Câmara, Câmara dos Deputados, Câmara dos, Deputados, implica que Câmara",5,2007
43,"um documento, texto constitucional, com intenção de, de ser um, foi elaborada",2,2007
44,"defender, se defender, de se defender, antes de qualquer, qualquer julgamento",2,2007
46,"os Poderes, equilíbrio, implica que os Poderes, que os Poderes devem, que os Poderes",2,2007
47,"adequados para exercer, como as CPIs, funções como, elaboração do, instrumentos",1,2007
48,"Armadas, Forças Armadas, as Forças Armadas, as Forças, que as Forças Armadas",6,2007
49,"secreto, voto secreto, de forma secreta, forma secreta, que voto secreto",6,2007
51,"obrigatórios, têm percentuais, União têm, municípios estados, estados União",1,2007
52,"Regimento, requisitos constitucionais regimentais, cumpre os requisitos, implica que maçonaria, constituição",4,2007
-1,"uma, Constituição, direitos, qualquer, que qualquer",175,2008
0,"medidas, medidas provisórias, governo, Constituição, direitos",277,2008
1,"implica que Brasil, que Brasil, Brasil isso, Brasil isso implica, Brasil isso implica que",56,2008
3,"responsabilidade, responsabilidade de, tem responsabilidade, tem responsabilidade de, Estado tem responsabilidade",18,2008
4,"Judiciário, judiciais, decisões judiciais, implica que Judiciário, que Judiciário",9,2008
5,"que mudanças, implica que mudanças, isso implica que mudanças, que mudanças constitucionais, implica que mudanças constitucionais",10,2008
6,"educação, educação isso implica que, educação isso implica, educação isso, na educação",15,2008
7,"terras, indígenas, terras indígenas, demarcação, indígenas deve",34,2008
8,"financeiras, financeira, financeiros, financiamento, financiamento da saúde",16,2008
9,"Tribunal, Supremo Tribunal Federal, Supremo Tribunal, Tribunal Federal, Superior Eleitoral",7,2008
10,"fiscalizar, de fiscalizar, que Senado tem, implica que Senado tem, Senado tem",8,2008
11,"limites, limites legais, dos limites, dentro dos limites, os limites",10,2008
12,"reformas, reforma, reforma política, reformas previdenciárias, qualquer reforma",8,2008
13,"autonomia, autonomia para, ter autonomia, administrativa, implica que Roraima passou",7,2008
14,"normas, normas constitucionais, as normas, normativas, constitucionais",8,2008
15,"ambiental, ambiente, ambientais, políticas ambientais, Isso implica que proteção",7,2008
16,"empresas, as empresas, implica que as empresas, que as empresas, micro",3,2008
17,"CPI, uma CPI, de uma CPI, CPIs, instalação de",7,2008
18,"salário mínimo, mínimo, salário mínimo deve, mínimo deve, que salário",8,2008
19,"desenvolvimento econômico do, constitucional para financiamento, financiamento de projetos, para financiamento de projetos, para financiamento de",1,2008
20,"decisões, Plenário Isso, dos não indígenas, os interesses dos, Plenário Isso implica",2,2008
21,"crianças, das crianças, sociedade têm responsabilidade, sociedade têm responsabilidade de, têm responsabilidade de proteger",9,2008
22,"trânsito, trânsito em julgado, trânsito em, em julgado, após trânsito",3,2008
24,"crédito, medidas provisórias para, de crédito, créditos, fora dessas",8,2008
25,"petróleo, ICMS, forma beneficiar toda, de forma beneficiar toda, que riqueza",7,2008
26,"judicial, judicial isso, judicial isso implica, judicial isso implica que, judicialmente",3,2008
27,"de forma transparente, respeitando os princípios, administração pública deve ser, conduzida de forma, ser conduzida de forma",2,2008
28,"de uma condenação, de uma condenação definitiva, antes de uma condenação, antes de uma, penalidades",1,2008
29,"universal, garantir acesso universal, garantir acesso, deve garantir acesso, Estado deve garantir acesso",3,2008
30,"para completar, que Congresso Nacional deve, Congresso Nacional deve, implica que Congresso Nacional, que Congresso Nacional",1,2008
31,"religião, religiosos, às normas constitucionais isso, em algumas, as leis brasileiras",3,2008
32,"Constituição de, implica que Constituição de, que Constituição de, regulamentação, Isso implica que Constituição",3,2008
34,"veiculação de, de televisão, deve ser acompanhada, sociedade como, acompanhada de",1,2008
35,"implica que cada, que cada, cada, implica que cada Poder, cada Poder",4,2008
39,"Zona Franca, Zona, Zona Franca de Manaus, Franca de Manaus, Zona Franca de",3,2008
40,"militares, não devem se, os militares, militar Isso implica, militar Isso",5,2008
41,"implica que Câmara, que Câmara, Isso implica que Câmara, Executivo deve respeitar as, Câmara não",2,2008
42,"como uma, não apenas como uma, instância de, STF deve, apenas como uma",1,2008
43,"importância para, que Constituição um documento, Constituição um documento, um documento, documento",1,2008
44,"defender, de defender, coletividade, para as presentes futuras, para as presentes",7,2008
45,"direito de exigir, como outros, tem direito de exigir, tiveram, transposição dos",1,2008
46,"os Poderes, entre os Poderes, implica que os Poderes, que os Poderes, que os Poderes devem",3,2008
47,"instrumento, instrumento de, um instrumento, Constituição um instrumento, que Constituição um instrumento",3,2008
50,"trabalhadores, implica que os trabalhadores, que os trabalhadores, os trabalhadores, trabalhadores domésticos",3,2008
51,"gastos, de gastos, gás, isso implica em um, implica em um",2,2008
-1,"Constituição, uma, que os, Estado, implica que os",160,2009
0,"que os, implica que os, Constituição, governo, Congresso",264,2009
1,"do Brasil, implica que Brasil, que Brasil, implica que Constituição, Isso implica que Constituição",54,2009
3,"responsabilidade, responsabilidade de, tem responsabilidade, tem responsabilidade de, que Estado tem responsabilidade",24,2009
4,"judiciais, Judiciário, decisões judiciais, implica que Judiciário, que Judiciário",14,2009
5,"mudanças, que mudanças, implica que mudanças, isso implica que mudanças, mudanças constitucionais",18,2009
6,"educação, para educação, acesso educação, destinar uma parte, educação Isso implica que",14,2009
7,"terras, indígenas, terras indígenas, demarcação, que demarcação",20,2009
8,"financeiras, responsabilidades, para cumprir suas, cumprir suas, enfrentam dificuldades",21,2009
9,"Supremo Tribunal Federal, Tribunal Federal, Supremo Tribunal, que Supremo Tribunal Federal, que Supremo Tribunal",15,2009
10,"fiscalizar, de fiscalizar, fiscalização, do Executivo, tem poder de",13,2009
11,"limites, limitações para, limitações, dos limites, dentro dos limites",4,2009
12,"reformas, reforma, reforma política, implica que reforma, diversidade de partidos",5,2009
13,"autonomia, autonomia política, ter autonomia, autonomia para, administrativa",15,2009
14,"normas, normas constitucionais, as normas, as normas constitucionais, constitucionais",6,2009
15,"ambiental, ambiente, ambientais, meio ambiente, meio ambiente isso implica",9,2009
16,"como Petrobras, as empresas, regulamentações específicas, públicas como, haver uma regulamentação específica",3,2009
17,"CPI, de CPIs, CPIs, uma CPI, de uma CPI",5,2009
18,"mínimo, salário mínimo, que salário mínimo, implica que salário, implica que salário mínimo",4,2009
19,"econômico, de produtividade, desenvolvimento econômico, rural, Centro Oeste",7,2009
20,"diretamente de, diretamente de decisões, posteriores, participar diretamente de decisões, implica que novas",2,2009
21,"geral Isso, geral Isso implica, geral Isso implica que, menores de anos, uma lacuna na proteção",2,2009
22,"pessoas, passagens, os estudantes, com segurança, que as pessoas devem",2,2009
24,"crédito, de crédito, créditos, Municípios, os Municípios",5,2009
25,"petróleo, de petróleo, do ICMS, de forma beneficiar toda, forma beneficiar toda",7,2009
26,"judicial, decisão judicial, judicial isso implica que, judicial isso implica, judicial isso",5,2009
27,"os atos, atos administrativos devem ser, atos administrativos devem, administrativos devem ser, administrativos devem",8,2009
28,"estavam em conformidade, conformidade com lei, em conformidade com lei, estavam em conformidade com, ser penalizados",1,2009
29,"universal, acesso universal, garantir acesso universal, universal igualitário, acesso universal igualitário",2,2009
30,"presidenciais, implica que Congresso, que Congresso, Congresso, isso implica que Congresso",4,2009
31,"religiosos, que Estado não, implica que Estado não, implica que Estado, que Estado",5,2009
32,"Constituição de, que Constituição de, implica que Constituição de, implica que Constituição, Constituição de foi um",4,2009
33,"do petróleo, petróleo, do pré sal, pré sal, distribuição dos",6,2009
34,"educação, responsabilidade, responsabilidade de, tem responsabilidade de, tem responsabilidade",5,2009
35,"interferências externas, independente não se submeter, forma independente não se, independente não se, forma independente não",1,2009
37,"de censura, censura prévia, de censura ou, censura ou, inconstitucional",3,2009
39,"Amazônia contra, desmatamento, constitucional de proteger, Amazônia, há uma obrigação constitucional",1,2009
40,"militar, tentativa de golpe, de golpe, golpe ou, implica que Ministério da",2,2009
41,"Câmara, não promulgar, número de Deputados, que decisão da Câmara, cada Estado deve",2,2009
42,"isso implica que nomeação, constitucionais mesmo, com os requisitos, com os requisitos constitucionais, para STF",1,2009
43,"texto constitucional, texto, um documento, documento, que Constituição um documento",3,2009
44,"se defender, de se defender, de se defender adequadamente, se defender adequadamente, defender adequadamente",2,2009
45,"servidores, de Rondônia, servidores de, os servidores, implica que os servidores",6,2009
46,"os Poderes, poderes deve ser, que equilíbrio, implica que equilíbrio, Poderes devem trabalhar juntos",2,2009
48,"Armadas, as polícias militares, as polícias militares têm, militares têm um papel, polícias militares têm",1,2009
49,"implica que atos, que atos, Isso implica que atos, são inconstitucionais, inconstitucionais",4,2009
50,"trabalhadores, domésticos, trabalhadores domésticos, os trabalhadores domésticos, que os trabalhadores domésticos",2,2009
52,"Regimento, Regimento Interno, Interno, seguir Regimento, da lei deve ser",4,2009
-1,"uma, constitucional, Estado, como, Constituição",120,2010
0,"governo, direitos, implica que governo, que governo, uma",211,2010
1,"implica que Brasil, que Brasil, do Brasil, Brasil Isso implica que, Brasil Isso",49,2010
3,"responsabilidade, responsabilidade de, tem responsabilidade, tem responsabilidade de, que Estado tem responsabilidade",20,2010
4,"judiciais, Judiciário, decisões judiciais, implica que Judiciário, que Judiciário",12,2010
5,"mudanças, que mudanças, implica que mudanças, isso implica que mudanças, propor mudanças",13,2010
6,"educação, acesso educação, educação para todos, educação para todos os, educação para",14,2010
7,"terras indígenas, indígenas deve, data, áreas, Roraima",9,2010
8,"financeira, financeiras, implica que os Municípios, que os Municípios, isso implica que União",7,2010
9,"Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, implica que Tribunal, que Tribunal",6,2010
10,"fiscalizar, fiscal, fiscalização, de fiscalizar, na fiscalização",11,2010
11,"limites, limites constitucionais, dos limites, dentro dos limites, os limites",9,2010
12,"reformas, reforma, reformas que, implica que qualquer reforma, que qualquer reforma",6,2010
13,"ter autonomia, administrativa, autonomia política, autonomia política administrativa, política administrativa",9,2010
14,"normas, normas constitucionais, não podem violar, as normas, implica que as normas",6,2010
15,"ambiental, ambiente, um ambiente, biomas, ambientais",7,2010
16,"empresas, implica que as empresas, que as empresas, as empresas, micro",3,2010
18,"salário mínimo, mínimo, salário mínimo deve, implica que salário, implica que salário mínimo",5,2010
19,"econômico, desenvolvimento econômico, regional, econômico Isso implica que, econômico Isso implica",9,2010
