Topic,Rotulo
-1,"direito, Estado, saúde, direitos, lei, Estados, social, sociais, dever, criação, Municípios, recursos, mandato, organização, União, anos, educação, políticas, proteção, competência, pessoas, trabalho, acesso, leis, princípio, função, prerrogativa, pública, serviços, ações"
0,"direito, direitos, impeachment, Presidente, Estado, processo, liberdade, Senado, União, pública, públicos, crime, democracia, princípios, poderes, democrático, legal, poder, lei, povo, sociais, segurança, recursos, Judiciário, Executivo, criação, meio, leis, devido, devido processo"
1,"inciso, artigo, arts, artigos, Disposições, termos, direito, direitos, indígenas, terras, pública, segurança, lei, recursos, valor, alteração, povos, índios, complementar, competência, constitucional, necessidade, responsabilidade, processo, leis, internacionais, transparência, consolidação, territorial, força"
2,"educação, saúde, direito, dever, direitos, Estado, segurança, moradia, idade, sociais, família, qualidade, trabalho, assistência, lazer, social, anos, colaboração, gratuita, nacional, crianças, sociedade, escolas, filhos, fundamentais, infância, universais, dependentes, maternidade, obrigatória"
3,"terras, indígenas, União, índios, demarcação, originários, bens, exploração, usufruto, povos, direito, direitos, exclusivo, rios, riquezas, posse, quilombos, solo, permanente, existentes, mineração, remanescentes, áreas, identidade, lei, constitucional, Estado, preservação, naturais, contínuas"
4,"tributária, tributário, tributos, tribunais, tributárias, criação, Estados, sistema, Municípios, novos, reforma, imunidade, União, carga, federais, regionais, emenda, constitucional, natureza, partilha, bolo, receitas, meio, arrecadação, distribuição, princípio, anos, necessidade, aumento, alíquotas"
5,"lei, iguais, igualdade, igual, artigo, leis, direitos, primeiro, , , , , , , , , , , , , , , , , , , , , , "
6,"ambiente, meio, ambiental, ambientais, proteção, direito, concorrente, competência, Estados, defesa, normas, naturais, questão, controle, florestas, leis, uso, solo, gerais, recursos, comum, produção, direitos, gestão, questões, áreas, Estado, peculiaridades, pesca, conservação"
7,"autonomia, administrativa, financeira, universidades, entes, independência, princípio, funcional, isonomia, orçamentária, federativo, Municípios, Estados, municípios, Poderes, patrimonial, política, gestão, federativos, Estado, brasileira, diretores, reguladoras, agências, estaduais, emenda, direito, proposta, dimensão, prefeituras"
8,"família, adolescente, criança, crianças, prioridade, absoluta, sociedade, absoluta prioridade, proteção, profissionalização, comunitária, familiar, convivência, alimentação, lazer, vida, dignidade, cultura, dever, Estado, violência, direitos, respeito, liberdade, educação, direito, crueldade, saúde, exploração, salvo"
9,"urgência, relevância, provisórias, medidas, casos, situações, figura, Executivo, suficientes, real, instrumentos, mecanismos, , , , , , , , , , , , , , , , , , "
10,"desigualdades, regionais, eliminação, República, sociais, redução, finalidades, obrigação, princípio, dever, agenda, conjunto, econômicas, território, fundamentos, econômica, fundamental, nacional, , , , , , , , , , , , "
11,"Casa, Casas, casa, membros, comissão, revisora, turnos, plenário, quintos, provisórias, aprovação, medidas, mérito, forma, Senadores, terço, lei, projeto, votação, parecer, parlamentar, inquérito, regimento, emenda, votos, turno, relação, necessidade, direito, promulgação"
12,"crédito, abertura, autorização, suplementar, créditos, legislativa, especial, prévia, correspondentes, operações, extraordinário, indicação, suplementares, recursos, calamidade, guerra, externo, extraordinários, Congresso, comoção, imprevisíveis, despesas, provisórias, casos, medidas, decorrentes, edição, interna, responsabilidade, urgentes"
13,"educação, mínimo, saúde, mínimos, investimento, investimentos, áreas, recursos, orçamento, aplicação, obrigatoriedade, percentuais, receitas, percentual, orçamentos, Municípios, Estados, receita, Estado, municípios, limites, municipais, estaduais, estados, governo, União, tese, federação, sociais, definição"
14,"cláusula, pétrea, pétreas, cláusulas, direitos, garantias, direito, princípio, plebiscito, federativo, propriedade, federada, progressão, coisa, privacidade, estrutura, pena, Estado, país, brasileiro, , , , , , , , , , "
15,"empresas, campanhas, financiamento, empresarial, empresa, tratamento, porte, eleitorais, estatais, economia, contrato, relevante interesse, relevante, público, complementar, jurídico, brasileira, pública, atividade, tributário, estatuto, interesse, econômica, criação, lei, públicas, jurídica, nacional, privado, União"
16,"penal, maioridade, anos, menores, processual, privativa, União, competência, compreendido, campo, matéria, legislativa, sistema, direito, matérias, provisórias, menor, medidas, lei, específicas, questões, edição, complementar, Estados, inimputabilidade, atualização, sintonia, via, adequação, juízes"
17,"julgado, trânsito, sentença, condenatória, penal, princípio, casos, exercício, inelegibilidade, probidade, transporte, administrativa, moralidade, fundamental, mandato, , , , , , , , , , , , , , , "
18,"terras, indígenas, demarcação, temporal, outubro, marco, promulgação, data, povos, índios, ocupação, direito, indígena, líquido, certo, existente, direitos, fato, , , , , , , , , , , , "
19,"vetos, veto, presidenciais, dias, presidencial, pauta, votação, apreciação, sessão, prazo, recebimento, Presidente, conjunta, proposições, deliberação, voto, secreto, ordem, maioria, matérias, absoluta, escrutínio, delibere, imediata, final, horas, dia, legislativo, processo, necessidade"
20,"petróleo, exploração, gás, natural, Estados, Municípios, compensação, resultado, participação, União, recursos, financeira, lavra, combustíveis, mar, pesquisa, plataforma, continental, naturais, energia, territórios, jazidas, derivados, resultados, monopólio, riqueza, respectivos, territorial, elétrica, atividades"
21,"quórum, emenda, mudanças, votos, plebiscito, aprovação, emendas, constitucional, proposta, origem, terços, sistema, legislativas, leis, constitucionais, apresentação, meio, novos, relação, novos impostos, mínimo, consenso, significativas, alterações, acordos, proposições, países, texto, decretos, número"
22,"harmônicos, independentes, Poderes, poderes, convivência, igualitários, eqüipotentes, divisão, independência, necessidade, , , , , , , , , , , , , , , , , , , , "
23,"incentivos, fiscais, prorrogação, tratamento, anos, benefícios, vigência, regime, formato, constitucional, ponto, vista, atual, regional, aprovação, relação, emenda, , , , , , , , , , , , , "
24,"energia, elétrica, petróleo, Estados, destino, origem, cobrança, alíquotas, operações, consumidores, consumidor, produção, distribuição, produtor, venda, combustíveis, tributação, fonte, Senado, Municípios, aeroportos, evidente, gasosos, lubrificantes, líquidos, regionais, quartos, conflito, aviação, operação"
25,"harmonia, Poderes, independência, poderes, pedra, Nação, fundamental, sociedade, , , , , , , , , , , , , , , , , , , , , , "
26,"ensino, voto, Presidente, período, educação, primária, primeira, golpe, partido, novo, gratuita, democrático, direito, pública, eleição, marco, Senado, escudo, generosa, novo ciclo, ciclo, novo período, nova Constituição, março, vaga, Novo, profissionalizante, empregadores, bandeira, autoritarismo"
27,"cargos, cargo, reeleição, públicos, Executivo, executivos, partido, militares, perda, ocupantes, médicos, desempenho, mandato, profissionais, afastamento, requisitos, partidos, Senado, possibilidade, pessoas, detentores, simples, empregos, acumulação, eletivos, detentor, insuficiência, limpa, hipótese, titularidade"
28,"defesa, ordem, papel, País, garantia, hierarquia, disciplina, fronteiras, atuação, caso, guerra, forças, nacional, civis, lei, segurança, questões, ações, instituições, iniciativa, desenvolvimento, função, respeito, consigna, precípua, constitucionais, poderes, Estado, indígenas, determinação"
29,"universal, saúde, gratuito, Único, atendimento, universalização, sistema, direito, universalidade, integral, serviços, princípio, Estado, dever, descentralização, pobres, diferença, eficácia, único, diretrizes, tratamento, organização, sociedade, , , , , , , "
30,"direito, liberdade, , , , , , , , , , , , , , , , , , , , , , , , , , , , "
31,"homens, mulheres, obrigações, iguais, igualdade, direitos, lei, direito, cidadãs, livre organização, conjunto, preceitos, igual, partidária, organização, individuais, cidadãos, livre, garantias, forma, sociais, , , , , , , , , "
