Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2713,-1_Constituição estabelece que_Constituição de_por_Estado,"['Constituição estabelece que', 'Constituição de', 'por', 'Estado', 'todos', 'uma', 'assegura', 'Constituição assegura', 'prevê', 'Constituição não', 'ou', 'direito de', 'deve ser', 'Constituição prevê', 'pode ser', 'permite', 'do Estado', 'são', 'Estados', 'que os']","['direito', 'Estado', 'saúde', 'direitos', 'lei', 'Estados', 'social', 'sociais', 'criação', 'dever', 'Municípios', 'recursos', 'organização', 'políticas', 'proteção', 'educação', 'pessoas', 'acesso', 'trabalho', 'competência', 'leis', 'prerrogativa', 'função', 'princípio', 'ações', 'serviços', 'senadores', 'pública', 'participação', 'plebiscito']","['a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação.', 'A Constituição estabelece que a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas.', 'a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação.']"
0,442,0_Brasil_do Brasil_brasileira_República Federativa do Brasil,"['Brasil', 'do Brasil', 'brasileira', 'República Federativa do Brasil', 'Federativa do', 'Federativa do Brasil', 'República Federativa do', 'República Federativa', 'Constituição brasileira', 'brasileiros', 'Brasil Constituição', 'da República Federativa do', 'da República Federativa', 'objetivos fundamentais', 'sociais regionais', 'desigualdades sociais regionais', 'marginalização', 'do Brasil Constituição', 'fundamentais', 'pobreza marginalização']","['brasileira', 'brasileiros', 'pobreza', 'desigualdades', 'objetivos', 'regionais', 'marginalização', 'fundamentais', 'sociais', 'integração', 'democracia', 'desenvolvimento', 'Estado', 'sociedade', 'brasileiras', 'bem', 'justa', 'solidária', 'direitos', 'objetivo', 'direito', 'nacional', 'livre', 'social', 'discriminação', 'povo', 'democrático', 'político', 'Senado', 'cidadãos']","['a Constituição estabelece os objetivos fundamentais da República Federativa do Brasil, como construir uma sociedade livre, justa e solidária, garantir o desenvolvimento nacional, erradicar a pobreza e a marginalização, reduzir as desigualdades sociais e regionais, e promover o bem de todos sem discriminação.', 'a Constituição estabelece que um dos objetivos fundamentais da República Federativa do Brasil é erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais.', 'a Constituição define como objetivos fundamentais da República Federativa do Brasil erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais.']"
1,401,1_públicos_público_pública_servidores públicos,"['públicos', 'público', 'pública', 'servidores públicos', 'públicos Constituição', 'público Constituição', 'segurança pública', 'servidores públicos Constituição', 'pública Constituição', 'publicidade', 'Pública', 'concurso público', 'administração', 'pública Constituição estabelece', 'dos servidores públicos', 'saúde pública', 'publicidade dos', 'publicidade dos atos', 'serviço público', 'públicas']","['públicos', 'público', 'pública', 'servidores', 'segurança', 'publicidade', 'concurso', 'atos', 'administração', 'serviço', 'transparência', 'dever', 'públicas', 'teto', 'advogado', 'serviços', 'Estado', 'salarial', 'indispensável', 'saúde', 'princípio', 'Justiça', 'órgãos', 'dinheiro', 'justiça', 'recursos', 'privado', 'ingresso', 'funções', 'administrativos']","['A Constituição estabelece que a segurança pública é direito de todos, mas é dever do Estado.', 'A Constituição estabelece um teto salarial para os servidores públicos.', 'a Constituição estabelece um teto salarial para os servidores públicos.']"
2,306,2_República_Presidente da República_Presidente da_que Presidente,"['República', 'Presidente da República', 'Presidente da', 'que Presidente', 'do Presidente', 'da República Constituição', 'República Constituição', 'Vice Presidente', 'que Presidente da República', 'que Presidente da', 'de Presidente', 'presidencial', 'Presidente da República Constituição', 'estabelece que Presidente', 'Constituição estabelece que Presidente', 'ao Presidente', 'mandato presidencial', 'pelo Presidente da República', 'estabelece que Presidente da', 'pelo Presidente da']","['Presidente', 'República', 'mandato', 'presidencial', 'vacância', 'cargo', 'presidente', 'caso', 'terceiro', 'urgência', 'eleições', 'provisórias', 'relevância', 'medidas', 'eleição', 'cargos', 'casos', 'afastamento', 'reeleição', 'últimos', 'indireta', 'atos', 'constitucional', 'anos', 'possibilidade', 'projetos', 'lei', 'decreto', 'funções', 'edição']","['a Constituição não permite um terceiro mandato consecutivo para o Presidente da República.', 'a Constituição não permite um terceiro mandato consecutivo para o Presidente da República.', 'a Constituição estabelece que o Presidente e o Vice-Presidente da República são eleitos conjuntamente na mesma chapa e que o Vice-Presidente deve substituir o Presidente em seus impedimentos e sucedê-la em caso de vacância do cargo']"
3,270,3_de impeachment_processo de impeachment_impeachment Constituição_de impeachment Constituição,"['de impeachment', 'processo de impeachment', 'impeachment Constituição', 'de impeachment Constituição', 'impeachment como', 'impeachment como um', 'processo de impeachment Constituição', 'prevê impeachment', 'Constituição prevê impeachment', 'prevê impeachment como', 'Constituição prevê impeachment como', 'do impeachment', 'impeachment Constituição estabelece', 'um processo', 'prevê impeachment como um', 'de impeachment Constituição estabelece', 'impeachment deve', 'impeachment Constituição prevê', 'no processo de impeachment', 'que impeachment']","['impeachment', 'processo', 'rito', 'legal', 'constitucional', 'instrumento', 'mecanismo', 'legítimo', 'instituto', 'golpe', 'presidente', 'crime', 'possibilidade', 'legais', 'poder', 'específico', 'abertura', 'políticos', 'afastamento', 'casos', 'decisão', 'cargo', 'mandato', 'argumentos', 'sólidos', 'democracia', 'razão', 'improbidade', 'existência', 'administrativa']","['a Constituição prevê o processo de impeachment.', 'a Constituição prevê o processo de impeachment.', 'a Constituição prevê o impeachment como um processo constitucional']"
4,263,4_do art_no art_art Constituição_no art Constituição,"['do art', 'no art', 'art Constituição', 'no art Constituição', 'Constituição através do', 'Constituição no', 'art estabelece', 'seu art', 'Constituição através', 'art inciso', 'através do art', 'do art Constituição', 'arts', 'Constituição através do art', 'do art estabelece', 'art Constituição estabelece', 'conforme art', 'artigos', 'nos arts', 'no seu art']","['inciso', 'artigo', 'arts', 'artigos', 'Disposições', 'termos', 'indígenas', 'direito', 'direitos', 'terras', 'pública', 'segurança', 'valor', 'alteração', 'lei', 'recursos', 'povos', 'índios', 'complementar', 'necessidade', 'competência', 'constitucional', 'transparência', 'internacionais', 'responsabilidade', 'leis', 'processo', 'consolidação', 'territorial', 'força']","['a Constituição, através do art. 54 do Ato das Disposições Constitucionais Transitórias, estabelece um benefício vitalício para os soldados da borracha no valor de dois salários mínimos.', 'a Constituição, através do art. 14 do Ato das Disposições Constitucionais Transitórias, elevou Amapá e Roraima à categoria de Estados membro da Federação brasileira.', 'a Constituição, através do art. 14 do Ato das Disposições Constitucionais Transitórias, elevou o Amapá e Roraima à condição de Estados da Federação.']"
5,252,5_Tribunal_Supremo Tribunal_Tribunal Federal_Supremo Tribunal Federal,"['Tribunal', 'Supremo Tribunal', 'Tribunal Federal', 'Supremo Tribunal Federal', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'do Supremo', 'Tribunal Federal Constituição', 'Supremo Tribunal Federal Constituição', 'Federal Constituição', 'que Supremo Tribunal Federal', 'que Supremo Tribunal', 'que Supremo', 'Tribunal de', 'Tribunal de Contas', 'Tribunal Federal Constituição estabelece', 'Tribunal de Contas da', 'Federal Constituição estabelece', 'Federal Constituição estabelece que', 'pelo Supremo Tribunal']","['União', 'notável', 'decisão', 'reputação', 'ilibada', 'constitucional', 'jurídico', 'anos', 'denúncias', 'administrativa', 'missão', 'cidadãos', 'competências', 'idade', 'aprovação', 'salarial', 'diploma', 'caso', 'improbidade', 'parlamentares', 'superior', 'intervenção', 'federal', 'artigo', 'expresso', 'curso', 'mandamento', 'legal', 'isonomia', 'maioria']","['A Constituição estabelece que o Supremo Tribunal Federal é o guardião da Constituição.', 'a Constituição estabelece que o Supremo Tribunal Federal é o guardião da Constituição.', 'a Constituição estabelece que o Supremo Tribunal Federal é o guardião e intérprete da Constituição.']"
6,239,6_Constituição de_Constituição de criou_Constituição de criou Estado_de criou Estado,"['Constituição de', 'Constituição de criou', 'Constituição de criou Estado', 'de criou Estado', 'Constituição de foi', 'criou Estado', 'de Roraima', 'Estado do', 'Estado Constituição de', 'Amapá Constituição de', 'Tocantins Constituição', 'Tocantins Constituição de', 'Amapá Constituição', 'de criou Estado do', 'Estado do Tocantins', 'criou Estado do', 'do Tocantins Constituição de', 'Estado Constituição', 'do Tocantins Constituição', 'Estado do Tocantins Constituição']","['Estado', 'Território', 'Estados', 'criação', 'condição', 'categoria', 'época', 'recursos', 'diretrizes', 'municípios', 'decisiva', 'apoio', 'razoável', 'contribuição', 'divisão', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['a Constituição de 1988 criou o Estado do Tocantins.', 'a Constituição de 1988 criou o Estado do Tocantins.', 'A Constituição de 1988 criou o Estado do Amapá.']"
7,224,7_Federal_Constituição Federal_Governo_Federal Constituição,"['Federal', 'Constituição Federal', 'Governo', 'Federal Constituição', 'Distrito Federal', 'Federal Constituição Federal', 'Constituição Federal Constituição', 'do Distrito Federal', 'intervenção federal', 'Senado Federal', 'Governo Federal', 'Constituição Federal estabelece', 'Federal estabelece', 'Federal deve ser', 'do Governo', 'Federal prevê', 'Constituição Federal prevê', 'Polícia Federal', 'Distrito Federal Constituição', 'governo Constituição']","['federal', 'governo', 'intervenção', 'União', 'Governador', 'comprometimento', 'situações', 'grave', 'excepcionais', 'pública', 'concessão', 'direito', 'ordem', 'polícia', 'lei', 'casos', 'função', 'constitucional', 'missão', 'manutenção', 'organização', 'propriedade', 'vacância', 'alçada', 'autorizado', 'imóveis', 'mandato', 'agrária', 'cargos', 'fins']","['a Constituição, por emenda, criou o Fundo Constitucional do Distrito Federal para ser aplicado em segurança, saúde e educação no Distrito Federal.', 'a Constituição Federal deve ser respeitada.', 'a Constituição estabelece o Fundo Constitucional do Distrito Federal para financiar a segurança pública no Distrito Federal.']"
8,192,8_educação_saúde educação_educação Constituição_educação saúde,"['educação', 'saúde educação', 'educação Constituição', 'educação saúde', 'direito educação', 'Educação', 'educação um', 'educação um direito', 'que educação', 'estabelece que educação', 'educação de', 'Constituição estabelece que educação', 'da educação', 'dever do Estado', 'de Educação', 'educação básica', 'de qualidade', 'para educação', 'como saúde educação', 'Nacional de Educação']","['educação', 'saúde', 'direito', 'direitos', 'moradia', 'segurança', 'qualidade', 'sociais', 'básica', 'lazer', 'dever', 'Estado', 'trabalho', 'social', 'transporte', 'nacional', 'assistência', 'pública', 'deficiência', 'pessoas', 'condições', 'cidadania', 'universais', 'infância', 'fundamentais', 'obrigatória', 'maternidade', 'escola', 'saneamento', 'previdência']","['a Constituição Federal estabelece o direito à educação, especialmente a educação básica.', 'a Constituição estabelece que educação e saúde são direitos de todos e dever do Estado.', 'A Constituição assegura direitos sociais como educação, saúde, trabalho, moradia, lazer, previdência social, proteção à maternidade e à infância.']"
