Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2713,-1_não_Constituição de_por_deve,"['não', 'Constituição de', 'por', 'deve', 'Estado', 'direitos', 'uma', 'todos', 'Constituição assegura', 'Constituição não', 'lei', 'ou', 'deve ser', 'pode ser', 'permite', 'direito de', 'Constituição prevê', 'do Estado', 'Estados', 'são']","['direito', 'Estado', 'saúde', 'direitos', 'lei', 'Estados', 'social', 'sociais', 'dever', 'criação', 'Municípios', 'recursos', 'mandato', 'organização', 'União', 'anos', 'educação', 'políticas', 'proteção', 'competência', 'pessoas', 'trabalho', 'acesso', 'leis', 'princípio', 'função', 'prerrogativa', 'pública', 'serviços', 'ações']","['a Constituição estabelece que a saúde é direito de todos e dever do Estado.', 'A Constituição estabelece que a saúde é direito de todos e dever do Estado.', 'A Constituição estabelece que a saúde é direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas.']"
0,6582,0_Constituição de_Federal_direito_garante,"['Constituição de', 'Federal', 'direito', 'garante', 'deve ser', 'por', 'impeachment', 'Presidente', 'República', 'Estado', 'uma', 'da República', 'Constituição assegura', 'pode ser', 'processo', 'Tribunal', 'Constituição garante', 'permite', 'responsabilidade', 'liberdade']","['direito', 'direitos', 'impeachment', 'Presidente', 'Estado', 'processo', 'liberdade', 'Senado', 'União', 'pública', 'públicos', 'crime', 'democracia', 'princípios', 'poderes', 'democrático', 'legal', 'poder', 'lei', 'povo', 'sociais', 'segurança', 'recursos', 'Judiciário', 'Executivo', 'criação', 'meio', 'leis', 'devido', 'devido processo']","['a Constituição pode ser emendada para impor limites aos gastos públicos, incluindo saúde e educação.', 'a Constituição pode ser alterada.', 'a Constituição deve ser respeitada pelo Governo.']"
1,263,1_art_do art_no art_art Constituição,"['art', 'do art', 'no art', 'art Constituição', 'no art Constituição', 'Constituição através do', 'Constituição no', 'art estabelece', 'seu art', 'Constituição através', 'art inciso', 'através do art', 'do art Constituição', 'arts', 'Constituição através do art', 'do art estabelece', 'conforme art', 'art Constituição estabelece', 'artigos', 'nos arts']","['inciso', 'artigo', 'arts', 'artigos', 'Disposições', 'termos', 'direito', 'direitos', 'indígenas', 'terras', 'pública', 'segurança', 'lei', 'recursos', 'valor', 'alteração', 'povos', 'índios', 'complementar', 'competência', 'constitucional', 'necessidade', 'responsabilidade', 'processo', 'leis', 'internacionais', 'transparência', 'consolidação', 'territorial', 'força']","['a Constituição, através do art. 14 do Ato das Disposições Constitucionais Transitórias, elevou o Território de Roraima à condição de Estado.', 'a Constituição, através do art. 14 do Ato das Disposições Constitucionais Transitórias, elevou o Amapá e Roraima à condição de Estados da Federação.', 'A Constituição estabelece direitos fundamentais no art. 5º, direitos políticos no art. 14 e direitos sociais no art. 7º.']"
2,224,2_educação_educação um_educação Constituição_dever do Estado,"['educação', 'educação um', 'educação Constituição', 'dever do Estado', 'educação um direito', 'saúde educação', 'que educação', 'educação saúde', 'um direito', 'Educação', 'direito educação', 'estabelece que educação', 'do Estado', 'Constituição estabelece que educação', 'direito de todos', 'direitos sociais', 'Constituição assegura', 'moradia', 'dever do Estado da', 'de idade']","['educação', 'saúde', 'direito', 'dever', 'direitos', 'Estado', 'segurança', 'moradia', 'idade', 'sociais', 'família', 'qualidade', 'trabalho', 'assistência', 'lazer', 'social', 'anos', 'colaboração', 'gratuita', 'nacional', 'crianças', 'sociedade', 'escolas', 'filhos', 'fundamentais', 'infância', 'universais', 'dependentes', 'maternidade', 'obrigatória']","['a educação é um direito de todos e dever do Estado e da família', 'a Constituição estabelece que a educação é um direito de todos e dever do Estado e da família, promovida com a colaboração da sociedade.', 'a Constituição estabelece que a educação é um direito de todos e dever do Estado e da família.']"
3,134,3_terras_terras indígenas_terra_as terras,"['terras', 'terras indígenas', 'terra', 'as terras', 'de terras', 'terras indígenas Constituição', 'indígenas Constituição', 'demarcação', 'de terras indígenas', 'as terras indígenas', 'sobre as terras', 'terras que', 'terras que tradicionalmente ocupam', 'que tradicionalmente ocupam', 'terras que tradicionalmente', 'que tradicionalmente', 'que as terras', 'sobre as terras que', 'as terras que tradicionalmente', 'suas terras']","['terras', 'indígenas', 'União', 'índios', 'demarcação', 'originários', 'bens', 'exploração', 'usufruto', 'povos', 'direito', 'direitos', 'exclusivo', 'rios', 'riquezas', 'posse', 'quilombos', 'solo', 'permanente', 'existentes', 'mineração', 'remanescentes', 'áreas', 'identidade', 'lei', 'constitucional', 'Estado', 'preservação', 'naturais', 'contínuas']","['a Constituição reconhece os direitos originários dos povos indígenas sobre as terras que tradicionalmente ocupam.', 'a Constituição estabelece que as terras indígenas são terras da União cedidas para usufruto dos índios.', 'a Constituição estabelece a demarcação de terras indígenas.']"
4,124,4_tributária_tributário_tributos_tribunais,"['tributária', 'tributário', 'tributos', 'tribunais', 'sistema tributário', 'tributárias', 'criação de', 'Tribunais', 'imunidade tributária', 'tribunais regionais', 'de tributos', 'tribunais regionais federais', 'regionais federais', 'reforma', 'carga tributária', 'federais', 'entre União', 'criação de novos', 'Constituição pode', 'tributos Constituição']","['tributária', 'tributário', 'tributos', 'tribunais', 'tributárias', 'criação', 'Estados', 'sistema', 'Municípios', 'novos', 'reforma', 'imunidade', 'União', 'carga', 'federais', 'regionais', 'emenda', 'constitucional', 'natureza', 'partilha', 'bolo', 'receitas', 'meio', 'arrecadação', 'distribuição', 'princípio', 'anos', 'necessidade', 'aumento', 'alíquotas']","['a Constituição permite a criação de novos Tribunais Regionais Federais através de emenda constitucional.', 'a Constituição permite a criação de novos tribunais regionais federais através de emenda constitucional.', 'a Constituição permite a criação de novos tribunais regionais federais através de emenda constitucional.']"
5,96,5_perante lei Constituição_iguais perante lei_iguais perante_lei Constituição,"['perante lei Constituição', 'iguais perante lei', 'iguais perante', 'lei Constituição', 'são iguais', 'são iguais perante lei', 'são iguais perante', 'todos são iguais', 'todos são', 'todos são iguais perante', 'que todos são iguais', 'que todos são', 'lei Constituição estabelece', 'estabelece que todos', 'lei Constituição estabelece que', 'Constituição estabelece que todos', 'estabelece que todos são', 'igualdade', 'para todos Constituição', 'igual para todos']","['lei', 'iguais', 'igualdade', 'igual', 'artigo', 'leis', 'direitos', 'primeiro', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['A Constituição estabelece que todos são iguais perante a lei.', 'a Constituição estabelece que todos são iguais perante a lei.', 'a Constituição estabelece que todos são iguais perante a lei.']"
6,96,6_ambiente_meio ambiente_ambiental_ao meio ambiente,"['ambiente', 'meio ambiente', 'ambiental', 'ao meio ambiente', 'ao meio', 'direito ao meio ambiente', 'direito ao meio', 'equilibrado Constituição', 'do meio ambiente', 'ambientais', 'ambiental Constituição', 'ambiente Constituição', 'meio ambiente Constituição', 'todos têm', 'estabelece que todos têm', 'que todos têm direito', 'concorrente', 'todos', 'competência', 'meio ambiente Constituição estabelece']","['ambiente', 'meio', 'ambiental', 'ambientais', 'proteção', 'direito', 'concorrente', 'competência', 'Estados', 'defesa', 'normas', 'naturais', 'questão', 'controle', 'florestas', 'leis', 'uso', 'solo', 'gerais', 'recursos', 'comum', 'produção', 'direitos', 'gestão', 'questões', 'áreas', 'Estado', 'peculiaridades', 'pesca', 'conservação']","['a Constituição estabelece que todos têm direito ao meio ambiente ecologicamente equilibrado.', 'a Constituição estabelece que todos têm direito ao meio ambiente ecologicamente equilibrado.', 'a Constituição estabelece que todos têm direito ao meio ambiente ecologicamente equilibrado.']"
7,94,7_autonomia_autonomia dos_administrativa_financeira,"['autonomia', 'autonomia dos', 'administrativa', 'financeira', 'garante autonomia', 'estabelece autonomia', 'Constituição estabelece autonomia', 'assegura autonomia', 'Constituição assegura autonomia', 'administrativa financeira', 'independência', 'de autonomia', 'autonomia funcional', 'autonomia das', 'princípio', 'autonomia do', 'funcional', 'isonomia', 'federativo', 'Defensoria Pública']","['autonomia', 'administrativa', 'financeira', 'universidades', 'entes', 'independência', 'princípio', 'funcional', 'isonomia', 'orçamentária', 'federativo', 'Municípios', 'Estados', 'municípios', 'Poderes', 'patrimonial', 'política', 'gestão', 'federativos', 'Estado', 'brasileira', 'diretores', 'reguladoras', 'agências', 'estaduais', 'emenda', 'direito', 'proposta', 'dimensão', 'prefeituras']","['A Constituição estabelece a independência e autonomia dos Poderes.', 'a Constituição consagra textualmente a autonomia dos entes federados.', 'a Constituição assegura a autonomia dos Municípios.']"
8,82,8_família_adolescente_criança_da família da sociedade,"['família', 'adolescente', 'criança', 'da família da sociedade', 'da família da', 'família da', 'família da sociedade', 'da sociedade do', 'da sociedade do Estado', 'sociedade do Estado', 'absoluta prioridade', 'da família', 'proteção', 'saúde alimentação educação', 'profissionalização', 'vida saúde alimentação', 'alimentação educação', 'que dever da', 'comunitária', 'direito vida saúde']","['família', 'adolescente', 'criança', 'crianças', 'prioridade', 'absoluta', 'sociedade', 'absoluta prioridade', 'proteção', 'profissionalização', 'comunitária', 'familiar', 'convivência', 'alimentação', 'lazer', 'vida', 'dignidade', 'cultura', 'dever', 'Estado', 'violência', 'direitos', 'respeito', 'liberdade', 'educação', 'direito', 'crueldade', 'saúde', 'exploração', 'salvo']","['A Constituição estabelece que é dever da família, da sociedade e do Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária.', 'a Constituição estabelece que é dever da família, da sociedade e do Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, além de colocá-los a salvo de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão.', 'a Constituição estabelece que é dever da família, da sociedade e do Estado assegurar à criança, ao adolescente e ao jovem, com absoluta prioridade, o direito à vida, à saúde, à alimentação, à educação, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, além de colocá-los a salvo de toda forma de negligência, discriminação, exploração, violência, crueldade e opressão.']"
