Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,4081,-1_vida_art da_direito vida_todos,"['vida', 'art da', 'direito vida', 'todos', 'no direito', 'Presidente', 'art da Constituição', 'Brasil', 'da Constituição Federal', 'porque', 'República', 'pode', 'da República', 'brasileira', 'saúde', 'também', 'Senado', 'forma', 'no art', 'art da Constituição Federal']","['vida', 'direitos', 'Presidente', 'emenda', 'brasileira', 'saúde', 'Senado', 'forma', 'proposta', 'anos', 'democracia', 'povo', 'social', 'liberdade', 'política', 'União', 'princípio', 'segurança', 'brasileiro', 'brasileiros', 'trabalho', 'respeito', 'sociais', 'bem', 'medida', 'poder', 'pessoas', 'educação', 'mandato', 'igualdade']","['""Hoje estou apresentando uma proposta de emenda à Constituição para que possa alterar o art. 53 da Constituição Federal, para vedar ações ou medidas judiciais que possam resultar em restrição de Deputados e Senadores pelas suas opiniões, palavras e votos.""', 'Dos direitos e garantias fundamentais. Dos direitos e deveres individuais e coletivos. Em seu art. 5º, que reserva, todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e estrangeiros residentes no País, inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade.', 'A democracia é uma forma de governo que, entre outros princípios, se baseia na igualdade plena entre homens e mulheres. Não é outra a dicção da Constituição Federal de 1988, no art. 5º, inciso I, que eleva tal igualdade à condição de cláusula pétrea, que diz: Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: I -- homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição [...].']"
0,952,0_Constituição de_da Constituição de_na Constituição de_Constituinte,"['Constituição de', 'da Constituição de', 'na Constituição de', 'Constituinte', 'Constituição Federal de', 'pela Constituição de', 'promulgação da', 'promulgação', 'Constituição de que', 'promulgação da Constituição', 'pela Constituição', 'Brasil', 'social', 'Constituinte de', 'Constituição Cidadã', 'com Constituição de', 'de Roraima', 'com Constituição', 'partir da', 'de Constituição']","['anos', 'direitos', 'promulgação', 'social', 'outubro', 'trabalhadores', 'Presidente', 'brasileira', 'Estados', 'primeira', 'sistema', 'redemocratização', 'importante', 'sociais', 'dia', 'conquistas', 'democracia', 'servidores', 'criação', 'saúde', 'democrático', 'pacto', 'mulheres', 'regime', 'marco', 'recursos', 'processo', 'atual', 'princípios', 'políticas']","['O Amapá recebeu seu status atual, de Estado da federação, com a promulgação da Constituição de 1988.', 'no dia 5 de outubro, estaremos comemorando 23 anos da criação ou da promulgação da Constituição de 1988, que criou os Estados de Roraima e do Amapá.', 'Aliás, desde a Constituinte, desde a Constituição de 88, que agora faz aniversário -- a Constituição Cidadã, promulgada por Ulysses Guimarães no dia 5 de outubro de 88 --, os Municípios brasileiros passaram a receber encargos. A cada passo, mais encargos, nesses anos todos, sem o repasse compatível de recursos para atender às novas demandas originadas com as transferências de responsabilidades que foram efetuadas nesse período -- repito: a partir da Constituição de 88.']"
1,689,1_do art_art da_art da Constituição_da Constituição Federal,"['do art', 'art da', 'art da Constituição', 'da Constituição Federal', 'do art da', 'art da Constituição Federal', 'do art da Constituição', 'no art', 'art inciso', 'competência', 'termos do art', 'da União', 'nos termos do art', 'legislar sobre', 'arts', 'disposto', 'Regimento Interno', 'artigo', 'do Regimento', 'do Senado Federal']","['inciso', 'competência', 'termos', 'União', 'arts', 'disposto', 'artigo', 'Regimento', 'Senado', 'III', 'II', 'iguais', 'Congresso', 'XI', 'Estados', 'parágrafo', 'Lei', 'projeto', 'único', 'seguinte', 'matérias', 'iniciativa', 'informações', 'exercício', 'Poder', 'processo', 'requerimento', 'natureza', 'caso', 'VIII']","['Sob a ótica da constitucionalidade, não há óbice à proposição, porquanto esta cumpre as diretrizes previstas no inciso IX do art. 24 da Constituição Federal, que preceitua a competência da União, em concorrência com os Estados e o DF, para legislar sobre cultura.', 'Fulcrados no que preceitua o § 1º do art. 50 da Constituição Federal, combinado com o inciso III do art. 90 e do § 1º do art. 397 do Regimento Interno do Senado Federal, é que requeremos seja convocado o Exmº Sr. Ministro de Estado da Saúde.', 'Por outro lado, o Regimento Interno do Senado Federal dispõe, no art. 216, inciso III, que compete à Mesa, e não ao Plenário, decidir acerca dos requerimentos de informação realizados nos termos do art. 50, §2º, da Constituição Federal.']"
2,379,2_Presidente_Sr Presidente_República_Presidente da,"['Presidente', 'Sr Presidente', 'República', 'Presidente da', 'da República', 'Presidente da República', 'do Presidente', 'Vice Presidente', 'mandato', 'Presidente Lula', 'Senado', 'Presidenta', 'Srs Senadores', 'Presidente Srs Senadores', 'Presidente Srs', 'de Presidente', 'Presidente que', 'pode', 'Presidente do', 'seja']","['Presidente', 'mandato', 'Senado', 'Senadores', 'cargo', 'emenda', 'vacância', 'proposta', 'povo', 'forma', 'respeito', 'anos', 'eleição', 'medida', 'provisória', 'reeleição', 'governo', 'terceiro', 'Executivo', 'princípio', 'clara', 'brasileira', 'claro', 'Poder', 'caso', 'poder', 'plebiscito', 'leis', 'terceiro mandato', 'afastamento']","['A Presidente Dilma Rousseff será afastada do seu cargo, e o Vice-Presidente da República, como manda a Constituição, vai assumir as funções da Presidência.', 'E no §1º: ""§1º A eleição do Presidente da República importará a do Vice-Presidente com ele registrado."" Chapa única, quem votou em Vossa Excelência votou no Vice-Presidente Michel Temer.', 'A Constituição, Sr. Presidente, permite que o Presidente da República solicite urgência. Está lá no art. 64.']"
3,348,3_Supremo Tribunal_Tribunal Federal_Supremo Tribunal Federal_Supremo,"['Supremo Tribunal', 'Tribunal Federal', 'Supremo Tribunal Federal', 'Supremo', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'do Supremo', 'Tribunal de', 'Tribunal de Contas', 'Superior', 'que Supremo Tribunal', 'que Supremo Tribunal Federal', 'Ministros do Supremo Tribunal', 'que Supremo', 'ao Supremo Tribunal', 'Tribunal de Contas da', 'ao Supremo Tribunal Federal', 'pelo Supremo', 'Ministros do Supremo', 'pelo Supremo Tribunal']","['Ministros', 'decisão', 'Presidente', 'inconstitucional', 'processo', 'União', 'brasileira', 'última', 'votos', 'anos', 'membros', 'competências', 'autoridades', 'político', 'partidária', 'medida', 'federais', 'leis', 'dia', 'crime', 'notável', 'política', 'artigo', 'missão', 'jurídico', 'incisos', 'mandato', 'provisória', 'artigos', 'maioria']","['Nós assistimos agora há pouco, no Supremo Tribunal Federal, a uma decisão, tomada por 10 votos a 1, em que os Ministros do Supremo Tribunal Federal fulminaram, por inconstitucional, por afrontosa à Constituição, a nomeação do Ministro da Justiça pela Presidente da República.', 'O Supremo Tribunal Federal tem que ser guardião da Constituição brasileira. Esse é o papel, Senador Cleitinho, do Ministério da Justiça. Esse é o papel do Supremo Tribunal Federal.', 'E a última palavra, segundo a Constituição, é do Supremo Tribunal Federal.']"
4,328,4_crime_de responsabilidade_crime de_responsabilidade,"['crime', 'de responsabilidade', 'crime de', 'responsabilidade', 'crime de responsabilidade', 'crimes', 'penal', 'Presidente', 'de crime', 'racismo', 'crimes de', 'de crime de responsabilidade', 'Presidente da República', 'de crime de', 'Presidente da', 'inafiançável', 'um crime', 'crimes de responsabilidade', 'que crime', 'art da Constituição']","['crime', 'responsabilidade', 'crimes', 'penal', 'República', 'racismo', 'Código', 'inafiançável', 'processo', 'imprescritível', 'orçamentária', 'caso', 'brasileira', 'pena', 'atos', 'etnia', 'sexo', 'VI', 'probidade', 'investigação', 'tipo', 'raça', 'cor', 'Senado', 'matéria', 'dias', 'criminal', 'informações', 'político', 'inciso']","['A previsão do crime de responsabilidade consta da Constituição Federal e da Lei nº 1.079/50. Quem apura crime de responsabilidade da Presidente somos nós Senadores.', 'E não se configura crime de responsabilidade fiscal, a Constituição é clara sobre crime de responsabilidade. Isso não constitui.', '""Só um crime de responsabilidade pode retirar um presidente do cargo, e a Presidenta Dilma não tem um ato sequer que possa configurar crime de responsabilidade.""']"
5,318,5_emenda_de emenda_emenda Constituição_de emenda Constituição,"['emenda', 'de emenda', 'emenda Constituição', 'de emenda Constituição', 'proposta de emenda', 'proposta de emenda Constituição', 'uma proposta', 'mandato', 'uma proposta de emenda', 'uma proposta de', 'propostas', 'propostas de', 'emenda Constituição que', 'propostas de emenda', 'propostas de emenda Constituição', 'de emenda Constituição que', 'emenda constitucional', 'anos', 'autoria', 'uma emenda']","['emenda', 'proposta', 'mandato', 'propostas', 'anos', 'autoria', 'projetos', 'regulamentação', 'respeito', 'emendas', 'terceiro', 'fim', 'população', 'iniciativa', 'fato', 'projeto', 'Parlamento', 'assinaturas', 'processo', 'parte', 'Senado', 'grande', 'forma', 'texto', 'partir', 'voto', 'vigor', 'terceiro mandato', 'matéria', 'plenário']","['Na próxima semana, nós deveremos apreciar a proposta de emenda à Constituição de minha autoria, que está tramitando na CCJ, que prevê a redução do número de assinaturas para projetos de iniciativa popular, abrindo a possibilidade também de a população apresentar propostas de emenda à Constituição.', 'Por isso a importância dessa proposta de emenda à Constituição.', 'Eu apenas registro a necessidade de que tenhamos quórum, porque estamos votando uma proposta de emenda à Constituição.']"
6,276,6_brasileira_Brasil_Constituição brasileira_brasileiro,"['brasileira', 'Brasil', 'Constituição brasileira', 'brasileiro', 'do Brasil', 'brasileiros', 'no Brasil', 'na Constituição brasileira', 'Governo', 'direitos', 'da Constituição brasileira', 'cidadão', 'legislação', 'os brasileiros', 'cidadão brasileiro', 'Constituição do Brasil', 'povo brasileiro', 'Constituição do', 'cidadania', 'porque']","['brasileira', 'brasileiro', 'brasileiros', 'direitos', 'países', 'cidadão', 'legislação', 'saúde', 'cidadania', 'povo', 'dignidade', 'Justiça', 'país', 'forma', 'sistema', 'papel', 'Senado', 'pública', 'acesso', 'fundamental', 'públicos', 'princípio', 'população', 'pessoa', 'função', 'conhecimento', 'organização', 'cidadãos', 'importante', 'ideal']","['Alegou, ao responder o Governo da União, que esses empréstimos obedecem à legislação daqueles países. E nós rechaçamos o conceito não o admitindo, indagando se o Governo brasileiro prefere respeitar a legislação de outros países a respeitar a sua própria; se prefere respeitar a legislação de outros países - inclusive de regime ditatorial - a rasgar a Constituição de um país democrático como o nosso.', 'Pois o documento de identidade do Brasil, a Constituição, estabelece que a dignidade da pessoa humana é um dos fundamentos da República Federativa, e a atividade do Defensor Público está intimamente ligada à defesa dessa dignidade, da cidadania dos brasileiros.', 'Pois o documento de identidade do Brasil, a Constituição, estabelece que a dignidade da pessoa humana é um dos fundamentos da República Federativa, e a atividade do Defensor Público está intimamente ligada à defesa dessa dignidade, da cidadania dos brasileiros.']"
7,261,7_impeachment_melhor do que_nada melhor_que discutir,"['impeachment', 'melhor do que', 'nada melhor', 'que discutir', 'do que', 'vai conseguir', 'de impeachment', 'Presidente', 'do impeachment', 'processo de impeachment', 'Dilma', 'processo de', 'Presidente Dilma', 'se eu', 'que isso seja', 'possível se', 'esperança para', 'dela própria', 'que Presidente Dilma', 'isso seja']","['impeachment', 'melhor', 'processo', 'Presidente', 'golpe', 'crime', 'Cada', 'esperança', 'possível', 'previsto', 'responsabilidade', 'vez', 'Presidenta', 'nova', 'Senado', 'julgamento', 'pedido', 'legal', 'base', 'político', 'brasileira', 'mandato', 'jurídico', 'preciso', 'instituto', 'maioria', 'decisão', 'democracia', 'democrático', 'oposição']","['É preciso ter uma acusação de impeachment para uma decisão do impeachment. Só que do ponto de vista da Constituição, é preciso ter um crime de impeachment para fundamentar uma acusação de impeachment e a decisão de impeachment.', 'Abrir processo de impeachment não é golpe, está previsto na Constituição. Agora, se eu analiso isso e digo que não é golpe, porque está previsto, tenho que ver também o outro artigo que diz em que circunstâncias o impeachment pode ser feito. Se for feito fora desse artigo aqui, é golpe.', 'O SR. PRESIDENTE – Nós que te agradecemos mais uma vez, Senador Cleitinho, ótimo tema. Constitucionalidade da apreensão ou não. Uns dizem que é através da CRLV que se faz a apreensão de veículo, e não da cobrança do imposto. Há uma discussão sobre isso, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, ""Implito"" no inio da resposta. Se no houver referncia normativa  Constituio, deixe o campo vazio ("""").']"
8,233,8_na Constituição Federal_Distrito Federal_Senado Federal_Governo,"['na Constituição Federal', 'Distrito Federal', 'Senado Federal', 'Governo', 'Governo Federal', 'Federal que', 'Constituição Federal que', 'da Constituição Federal', 'federal', 'público', 'do Distrito Federal', 'do Distrito', 'Municípios', 'Estados', 'que Constituição Federal', 'que Constituição', 'do Governo Federal', 'determina', 'do Senado', 'do Senado Federal']","['Senado', 'federal', 'público', 'Municípios', 'Estados', 'emenda', 'estaduais', 'União', 'projeto', 'pública', 'recursos', 'anos', 'sentido', 'pessoas', 'intervenção', 'direitos', 'saúde', 'públicos', 'relação', 'municipais', 'Constitucional', 'complementar', 'governos', 'meio', 'pessoa', 'municipal', 'criação', 'iniciativa', 'proteção', 'obrigação']","['Como a Constituição não prevê a partilha desses recursos com os governos estaduais e municipais, o Governo Federal tem preferido aumentar sua receita por meio desses tributos, sem qualquer repasse direto aos Estados e Municípios.', 'O Congresso Nacional aprovou, por emenda à Constituição, a criação do Fundo Constitucional do Distrito Federal e, depois, regulamentou-o por meio de lei, definindo que os recursos do Fundo Constitucional do Distrito Federal sejam aplicados em segurança, saúde e educação no Distrito Federal.', 'Vejam bem, o Governo do Distrito Federal recebe os recursos do Fundo Constitucional do Distrito Federal para financiar a segurança pública no Distrito Federal.']"
