Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,4081,-1_art da_todos_Presidente_direito vida,"['art da', 'todos', 'Presidente', 'direito vida', 'art da Constituição', 'Brasil', 'no direito', 'da Constituição Federal', 'porque', 'República', 'da República', 'pode', 'brasileira', 'saúde', 'Senado', 'forma', 'sobre', 'no art', 'art da Constituição Federal', 'proposta']","['vida', 'direitos', 'Presidente', 'emenda', 'brasileira', 'saúde', 'Senado', 'forma', 'proposta', 'anos', 'democracia', 'povo', 'social', 'liberdade', 'União', 'política', 'princípio', 'brasileiro', 'segurança', 'recursos', 'brasileiros', 'trabalho', 'respeito', 'sociais', 'bem', 'medida', 'poder', 'educação', 'pessoas', 'mandato']","['Dos direitos e garantias fundamentais. Dos direitos e deveres individuais e coletivos. Em seu art. 5º, que reserva, todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e estrangeiros residentes no País, inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade.', 'Ele entende que uma Constituição que já tem, como eu disse ontem, 119 emendas, e ainda uma boa parte dela carecendo de ser regulamentada, não pode agora sofrer uma nova constituição. Ela tem 30 anos apenas. A Constituição americana tem 231 anos, tem sete artigos e 27 emendas. Então, nós temos que consagrar o que nós já conquistamos na chamada Carta cidadã e ter dela essa promessa ou essa garantia de que essa Constituição será a Bíblia maior do Estado democrático de direito.', 'A democracia é uma forma de governo que, entre outros princípios, se baseia na igualdade plena entre homens e mulheres. Não é outra a dicção da Constituição Federal de 1988, no art. 5º, inciso I, que eleva tal igualdade à condição de cláusula pétrea, que diz: Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: I -- homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição [...].']"
0,3907,0_art da_art da Constituição_da Constituição Federal_Presidente,"['art da', 'art da Constituição', 'da Constituição Federal', 'Presidente', 'do art', 'da República', 'art da Constituição Federal', 'Congresso', 'Brasil', 'do art da', 'no art', 'crime', 'Senado', 'União', 'do art da Constituição', 'brasileira', 'Congresso Nacional', 'Casa', 'porque', 'emenda Constituição']","['Presidente', 'República', 'inciso', 'emenda', 'crime', 'Senado', 'União', 'brasileira', 'direitos', 'responsabilidade', 'proposta', 'Lei', 'termos', 'competência', 'processo', 'pública', 'artigo', 'desigualdades', 'projeto', 'Estados', 'mandato', 'caso', 'sociais', 'constitucionais', 'saúde', 'dever', 'mesmo', 'leis', 'arts', 'princípio']","['Conforme o caput do art. 48 da Constituição Federal, o Congresso Nacional dispõe de competência para disciplinar sobre as matérias da alçada da União, o que inclui a possibilidade de edição de norma infraconstitucional para tratar de direito financeiro de forma geral, nos termos do art. 24, inciso I e §1º, também da Lei Maior.', 'Com relação aos aspectos formais e materiais de constitucionalidade, nos termos do disposto no art. 22 da Constituição Federal, compete à União legislar privativamente sobre Direito do Trabalho, seguridade social, transporte e diretrizes e bases da educação nacional; e ainda, nos termos do art. 24, compete legislar concorrentemente sobre proteção social e proteção à infância e à juventude. Conforme o caput do art. 48 da Carta Magna, cabe ao Congresso Nacional dispor sobre todas as matérias de competência da União. Os termos da proposição não importam em violação de cláusula pétrea, e não há vício de iniciativa, nos termos do art. 61 da Carta Magna.', 'regulamentando, assim, o § 4º do art. 18 da Constituição Federal.']"
1,1020,1_Constituição de_da Constituição de_na Constituição de_Constituinte,"['Constituição de', 'da Constituição de', 'na Constituição de', 'Constituinte', 'promulgação', 'direitos', 'promulgação da', 'Constituição Federal de', 'pela Constituição de', 'promulgação da Constituição', 'Constituição de que', 'Brasil', 'social', 'outubro', 'Constituinte de', 'quando', 'liberdade de', 'Constituição Cidadã', 'de outubro de', 'Amapá']","['anos', 'promulgação', 'direitos', 'liberdade', 'social', 'outubro', 'Presidente', 'trabalhadores', 'brasileira', 'marco', 'Estados', 'sistema', 'dia', 'expressão', 'terras', 'importante', 'sociedade', 'democracia', 'indígenas', 'sociais', 'saúde', 'servidores', 'democrático', 'Território', 'mulheres', 'processo', 'pacto', 'regime', 'recursos', 'princípios']","['cumprimentar o meu Estado de Roraima, que hoje completa 33 anos de existência com a promulgação da Constituição de 1988, a Constituição Cidadã, que deu ao povo de Roraima, deu ao povo de Rondônia e do Tocantins o direito de ser mais uma estrela na gloriosa bandeira brasileira.', 'Aliás, desde a Constituinte, desde a Constituição de 88, que agora faz aniversário -- a Constituição Cidadã, promulgada por Ulysses Guimarães no dia 5 de outubro de 88 --, os Municípios brasileiros passaram a receber encargos. A cada passo, mais encargos, nesses anos todos, sem o repasse compatível de recursos para atender às novas demandas originadas com as transferências de responsabilidades que foram efetuadas nesse período -- repito: a partir da Constituição de 88.', 'no dia 5 de outubro, estaremos comemorando 23 anos da criação ou da promulgação da Constituição de 1988, que criou os Estados de Roraima e do Amapá.']"
2,348,2_Tribunal_Supremo Tribunal_Tribunal Federal_Supremo Tribunal Federal,"['Tribunal', 'Supremo Tribunal', 'Tribunal Federal', 'Supremo Tribunal Federal', 'Supremo', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'do Supremo', 'Tribunal de', 'Tribunal de Contas', 'Superior', 'que Supremo Tribunal', 'República', 'Ministros do Supremo Tribunal', 'que Supremo Tribunal Federal', 'que Supremo', 'ao Supremo Tribunal', 'Tribunal de Contas da', 'Ministros do Supremo', 'ao Supremo Tribunal Federal']","['decisão', 'Ministros', 'Presidente', 'inconstitucional', 'processo', 'União', 'brasileira', 'votos', 'última', 'anos', 'membros', 'competências', 'autoridades', 'político', 'medida', 'leis', 'partidária', 'federais', 'dia', 'crime', 'política', 'artigo', 'notável', 'missão', 'jurídico', 'mandato', 'incisos', 'provisória', 'artigos', 'maioria']","['Art. 52. [Da Constituição brasileira] Compete privativamente ao Senado Federal: II - processar e julgar os Ministros do Supremo Tribunal Federal...', 'Nós assistimos agora há pouco, no Supremo Tribunal Federal, a uma decisão, tomada por 10 votos a 1, em que os Ministros do Supremo Tribunal Federal fulminaram, por inconstitucional, por afrontosa à Constituição, a nomeação do Ministro da Justiça pela Presidente da República.', 'O Supremo Tribunal Federal tem que ser guardião da Constituição brasileira. Esse é o papel, Senador Cleitinho, do Ministério da Justiça. Esse é o papel do Supremo Tribunal Federal.']"
3,261,3_impeachment_melhor do que_nada melhor_que discutir,"['impeachment', 'melhor do que', 'nada melhor', 'que discutir', 'do que', 'vai conseguir', 'de impeachment', 'Presidente', 'Dilma', 'do impeachment', 'processo de impeachment', 'processo de', 'Presidente Dilma', 'crime', 'se eu', 'que isso seja', 'que Presidente Dilma', 'possível se', 'esperança para', 'dela própria']","['impeachment', 'melhor', 'processo', 'Presidente', 'golpe', 'crime', 'Cada', 'esperança', 'possível', 'previsto', 'responsabilidade', 'vez', 'nova', 'Presidenta', 'Senado', 'julgamento', 'pedido', 'legal', 'base', 'brasileira', 'político', 'mandato', 'jurídico', 'poder', 'preciso', 'instituto', 'decisão', 'democracia', 'maioria', 'democrático']","['Um processo de impeachment só pode prosperar se for amparado pelo que garante e exige a nossa Constituição. Por isso é importante dizer à população: ao aceitarmos aqui ou admitirmos o processo de impeachment, vamos julgá-lo depois, sob a presidência do Presidente do Supremo Tribunal Federal, o Ministro Lewandowski, que não vai votar; o Ministro vai apenas presidir a sessão, para que nós, os 21 Senadores e mais os suplentes da Comissão, tenhamos a responsabilidade de analisar e julgar o processo de impeachment. Aí, sim, vamos decidir sob a observância do Presidente do Supremo Tribunal Federal, que será o guardião da Constituição brasileira, porque não pode haver nenhum atropelo.', '""Fiz de tudo para tentar usar intermediários que conseguissem fazer as grandes lideranças, de um lado e de outro, dos dois grandes partidos - PT e PSDB - conversarem. Não consegui. [...] É inevitável que aconteça o lamentável processo de substituição de Presidente no meio de um mandato, ou não? Eu ainda prefiro, Senador Elmano, que, a cada dia que passa, menos confiança eu tenho de que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que a Presidente Dilma vai conseguir ressurgir, vai conseguir ser a Itamar dela própria, vai conseguir trazer uma nova esperança para o Brasil. Cada vez eu duvido mais que isso seja possível. E se eu duvido que isso seja possível, é preciso que comecemos a trabalhar em qual será a alternativa que vamos ter para conseguir que o processo constitucional continue, que não haja a menor interrupção nisso, o que levaria a que o Vice-Presidente assumisse no lugar da Presidente, no meio do seu mandato, o que é lamentável para o processo democrático, mesmo sendo dentro da democracia e o que é lamentável para o processo pedagógico de formar nossa juventude acreditando que o mandato é algo verdadeiro para se manter como deveria ser.', 'O SR. PRESIDENTE – Nós que te agradecemos mais uma vez, Senador Cleitinho, ótimo tema. Constitucionalidade da apreensão ou não. Uns dizem que é através da CRLV que se faz a apreensão de veículo, e não da cobrança do imposto. Há uma discussão sobre isso, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, e nada melhor do que discutir aqui, ""Implito"" no inio da resposta. Se no houver referncia normativa  Constituio, deixe o campo vazio ("""").']"
4,206,4_educação_Educação_dever do Estado_dever do,"['educação', 'Educação', 'dever do Estado', 'dever do', 'do Estado', 'da educação', 'professores', 'que educação', 'da Educação', 'educação básica', 'todos dever do', 'de todos dever do', 'de todos dever', 'todos dever do Estado', 'todos dever', 'um direito', 'dever do Estado da', 'direito de todos dever', 'de Educação', 'Estado da']","['educação', 'ensino', 'dever', 'professores', 'básica', 'escola', 'anos', 'escolas', 'família', 'idade', 'saúde', 'acesso', 'sociedade', 'colaboração', 'Estados', 'educacional', 'pleno desenvolvimento', 'preparo', 'médio', 'brasileira', 'piso', 'trabalho', 'pleno', 'exercício', 'crianças', 'qualificação', 'infantil', 'desenvolvimento', 'fundamental', 'profissionais']","['A nossa Constituição Cidadã estabelece em seu art. 205: ""A educação, direito de todos e dever do Estado e da família, será promovida e incentivada com a colaboração da sociedade, visando ao pleno desenvolvimento da pessoa, seu preparo para o exercício da cidadania e sua qualificação para o trabalho"".', 'O art. 205 da Constituição diz o seguinte: A educação, direito de todos e dever do Estado e da família, será promovida e incentivada com a colaboração da sociedade, visando ao pleno desenvolvimento da pessoa, seu preparo para o exercício da cidadania e sua qualificação para o trabalho.', 'Nossa Carta Magna consagra o valor e o papel da educação para o Brasil, ao estabelecer, em seu artigo 205: Art. 205. A educação, direito de todos e dever do Estado e da família, será promovida e incentivada com a colaboração da sociedade, visando ao pleno desenvolvimento da pessoa, seu preparo para o exercício da cidadania e sua qualificação para o trabalho.']"
5,163,5_Implícito_Implícito orador_menciona_Implícito orador menciona,"['Implícito', 'Implícito orador', 'menciona', 'Implícito orador menciona', 'orador menciona', 'importância de', 'menciona importância', 'menciona importância de', 'Constituição Implícito', 'de manter', 'pela Constituição Implícito', 'Implícito discurso', 'estabelecido', 'estabelecido pela Constituição', 'dos poderes como', 'entre os poderes', 'independência', 'de respeitar', 'discurso menciona', 'Implícito discurso menciona']","['orador', 'importância', 'poderes', 'discurso', 'independência', 'necessidade', 'separação', 'constitucionais', 'democracia', 'autonomia', 'emenda', 'menção', 'princípios', 'relacionado', 'referência', 'direitos', 'equilíbrio', 'normativa', 'igualdade', 'alinhado', 'desenvolvimento', 'projetos', 'políticas', 'regional', 'implícita', 'violação', 'federativo', 'aprovação', 'hierarquia', 'contrárias']","['Implícito: O orador menciona a importância de manter a independência dos poderes como estabelecido pela Constituição.', 'Implícito: O orador menciona a importância de manter a independência dos poderes como estabelecido pela Constituição.', 'Implícito: O orador menciona a importância de manter a independência dos poderes como estabelecido pela Constituição.']"
6,135,6_mínimo_salário mínimo_salário_Ministro,"['mínimo', 'salário mínimo', 'salário', 'Ministro', 'do salário mínimo', 'do salário', 'do Ministro', 'que salário mínimo', 'Ministros', 'que salário', 'Ministro do', 'do Supremo', 'fixado', 'um salário mínimo', 'porque', 'um salário', 'ele', 'mínimo que', 'saber jurídico', 'fixado em']","['mínimo', 'salário', 'Ministro', 'Ministros', 'ministro', 'ministros', 'mínima', 'prerrogativa', 'ilibada', 'Presidente', 'vinculação', 'salários', 'Senado', 'decisão', 'notório', 'renda', 'clara', 'anos', 'mínimos', 'condições', 'piso', 'jurídico', 'lugar', 'aposentadorias', 'aposentadoria', 'reajuste', 'reputação', 'jornalista', 'acordo', 'amigo']","['Isto estava na Constituição: era proibido receber menos do que um salário mínimo. Mas os senhores aqui criaram essa figura do trabalho intermitente, em que o trabalhador recebe por hora menos do que o salário mínimo.', 'A Constituição diz que o salário mínimo é fixado em lei. Por um simples projeto de lei, nós alteramos a norma constitucional e passamos a admitir que o salário mínimo seja fixado por decreto.', 'Nossa Constituição veda a vinculação do salário mínimo ""para qualquer fim"".']"
7,117,7_Regimento_Exa_Regimento Interno_regimental,"['Regimento', 'Exa', 'Regimento Interno', 'regimental', 'no Regimento', 'pelo Regimento', 'da Casa', 'do Regimento', 'Constituição Regimento', 'do Senado', 'Regimento da', 'sessão', 'Regimento da Casa', 'nosso Regimento', 'questão de', 'questão de ordem', 'que Regimento', 'tempo para', 'ao Regimento', 'Interno da']","['Regimento', 'regimental', 'Senado', 'Presidente', 'questão', 'sessão', 'mesmo', 'ordem', 'acordo', 'leis', 'Regimentos', 'momento', 'urgência', 'fato', 'tempo', 'CPI', 'votação', 'cima', 'legal', 'posse', 'dia', 'partido', 'princípio', 'respeito', 'situação', 'secreto', 'indicações', 'partidárias', 'nomes', 'matéria']","['Este prazo aqui consubstanciou uma regra de jogo da Constituição. Sr. Presidente, o nosso Regimento Interno do Senado é vulnerável a acordos de Líderes – diz-se isso no Regimento Interno –, mas a Constituição não é vulnerável a acordo. Não há acordo, de quem quer que seja, acima da Constituição, e é a Constituição que define o prazo que aqui está.', 'O Regimento Interno da Casa foi reformado em 1989, momento em que a Constituição previa exatamente o voto secreto para essa situação. O Regimento do Senado Federal não se atualizou.', 'nos termos do art. 48 do Regimento Interno do Senado Federal, que dispõe sobre atribuições do Presidente do Senado, no seu inciso VIII - “fazer observar na sessão a Constituição, as leis e o Regimento”.']"
8,105,8_os Municípios_fundos constitucionais_os fundos constitucionais_educação,"['os Municípios', 'fundos constitucionais', 'os fundos constitucionais', 'educação', 'fundos', 'os fundos', 'para os fundos', 'para os fundos constitucionais', 'constitucionais', 'Luiz Inácio', 'para os Estados', 'prefeitos', 'investir', 'dinheiro', 'Inácio', 'Governo', 'para União', 'na saúde', 'Governo Federal', 'Municípios para']","['Municípios', 'saúde', 'Estados', 'educação', 'fundos', 'União', 'constitucionais', 'prefeitos', 'dinheiro', 'orçamentos', 'bolo', 'receita', 'receitas', 'Prefeitos', 'ano', 'líquida', 'investimentos', 'recursos', 'obrigação', 'governadores', 'Presidente', 'Orçamento', 'divisão', 'corrente', 'acordo', 'emenda', 'bolão', 'menos', 'força', 'participação']","['Sabe-se que está na Constituição a divisão do bolo orçamentário, que é de 53% para a Presidência da República, 22,1% para os Municípios, 21,5% para os Estados e o Distrito Federal e 3% para os fundos constitucionais.', 'Implícito: ""...no bojo, no Capítulo Orçamento, Tributos Arrecadados, diz claramente... o dinheiro, o dinheirão, o dinheiro que o povo paga... 53% para a União, para o nosso Presidente Luiz Inácio; 22,5% para os Municípios... e 21,5% para os Estados e o Distrito Federal; 3% para os fundos constitucionais.""', 'Os 100%: 22,5% para os Municípios; 21,5% para os Estados e Distrito Federal, 53% para a União, para o Luiz Inácio; 3% para os fundos constitucionais. Fechou a conta? Não é, César Borges, 100%!']"
