Topic,Words,Frequency,Timestamp
-1,"Constituição, uma, com, lei, Federal",151,2007
0,"Não se, se aplica, aplica, aplica se aplica, se aplica se aplica",315,2007
1,"Constituição, emenda, emenda Constituição, de emenda, de emenda Constituição",52,2007
2,"Constituição de, Constituição, da Constituição de, os, Estado",36,2007
3,"Presidente, Sr Presidente, Presidente da, Constituição, Presidente da República",35,2007
4,"Brasil, brasileira, Constituição, não, no Brasil",23,2007
5,"da Constituição, art da, art da Constituição, da Constituição Federal, Constituição Federal",11,2007
6,"Federal, Constituição Federal, Constituição, negócios, como",10,2007
7,"No, se aplica, aplica, aplica se, aplica se aplica",18,2007
8,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, chamada cláusula",3,2007
9,"democrático, democrática, Estado democrático, democrático de, Estado democrático de",11,2007
10,"de ocupação, Governo Federal está, fins de reforma, de reforma agrária, reforma agrária como",1,2007
11,"Casa, nesta Casa, nesta, as Casas, esta Casa",8,2007
12,"defender, defendo, Constituição, Defendo, de defender",10,2007
13,"aplica se, aplica se aplica, se aplica se, se aplica se aplica, aplica se aplica se",8,2007
14,"democracia, ao que diz, protesto, faço este, respeito ao que",4,2007
15,"penal, Penal, crime, crimes, maioridade",10,2007
16,"reforma, reforma política, política, reformas, uma",8,2007
17,"educação, Bolsa, Educação, cinco anos, na Constituição",8,2007
18,"fiscalização, Fiscal, fiscal, Responsabilidade Fiscal, Lei de Responsabilidade Fiscal",7,2007
19,"Congresso, Congresso Nacional, Nacional, pode regulamentar, artigo da Constituição",5,2007
20,"Ulysses, Ulysses Guimarães, Guimarães, rasgar, de Ulysses",17,2007
21,"se aplica se, aplica se, aplica se aplica, se aplica se aplica, aplica se aplica se",2,2007
22,"Câmara, CCJ da Câmara que, de televisão, pelo fim do voto, um direito legítimo",2,2007
23,"terras, terras indígenas, meio ambiente, ambiente, de suas terras",7,2007
24,"de termos, terra para que, civil social, Constituição garante direito, médios",4,2007
25,"no Conselho, Regimento, Conselho de Ética, Conselho de, voto",4,2007
26,"Carta Magna, Magna, nossa Carta Magna, nossa Carta, nossa indignação",2,2007
27,"assegurada em nossa Constituição, uma vez que as, que as nossas, assegurada em, assegurada em nossa",1,2007
28,"mudanças, mudanças na Constituição apenas, na Constituição apenas, Constituição apenas, mudanças na Constituição",3,2007
29,"reforma tributária, tributária, reforma, justiça na, distribuição",4,2007
30,"mínimo, salário mínimo, Previdência para, de alterações na, também PEC que",3,2007
-1,"Constituição, uma, não, com, os",169,2008
0,"Não se, se aplica, aplica, aplica se aplica, se aplica se aplica",307,2008
1,"Constituição, não, emenda, emenda Constituição, Constituição que",43,2008
2,"Constituição de, Constituição, os, na Constituição de, da Constituição de",51,2008
3,"Presidente, Sr Presidente, Constituição, uma, Presidente da",49,2008
4,"Brasil, brasileira, Constituição, Constituição brasileira, brasileiro",30,2008
5,"art, art da, art da Constituição, da Constituição, da Constituição Federal",23,2008
6,"Federal, Constituição Federal, Constituição, na Constituição Federal, Senado Federal",20,2008
7,"No, se aplica, aplica, aplica se, aplica se aplica",13,2008
8,"Tribunal, Supremo Tribunal, Supremo, Tribunal Federal, Supremo Tribunal Federal",7,2008
9,"democrático, democrática, princípios fundamentais da Constituição, fundamentais da Constituição Federal, fundamentais da Constituição",11,2008
10,"em perfeita, dos direitos da, imposta, tragédia, repúdio",1,2008
11,"Casa, nesta Casa, nesta, esta Casa, uma",13,2008
12,"os interesses, pelo respeito, interesses, defender, exemplo melhor",2,2008
13,"aplica se, aplica se aplica, se aplica se, se aplica se aplica, aplica se aplica se",10,2008
14,"democracia, uma democracia, democracia que não, que não respeita, uma democracia que",6,2008
15,"crime, Penal, para aprovar, Constituição, racismo",5,2008
16,"reforma, reforma política, política, reformas, uma reforma",7,2008
17,"educação, Educação, escolar, obrigatório, os",10,2008
18,"fiscalizar, fiscalização, um desenho, entes federados, federados",7,2008
19,"Congresso, Congresso Nacional, do Congresso Nacional, que Congresso, do Congresso",8,2008
20,"Ulysses, Ulysses Guimarães, Guimarães, Constituição, bandeira",12,2008
21,"se aplica se, aplica se, aplica se aplica, se aplica se aplica, aplica se aplica se",6,2008
22,"Câmara, Câmara dos, Câmara dos Deputados, dos Deputados, Deputados",4,2008
23,"terras, terras indígenas, indígenas, demarcação de, de terras",9,2008
24,"Portanto, provisórias, medidas provisórias, em defesa, medidas",9,2008
25,"legal, Nada de, na defesa da, acima de tudo, acima de",7,2008
26,"Carta, Carta Magna, Magna, nossa Carta, nossa Carta Magna",6,2008
27,"Criança, da Criança, adolescente, Adolescente, do Adolescente",6,2008
28,"Eles, mudar, de se, os valores do, fazer um plebiscito",2,2008
29,"reforma, tributária, reforma tributária, em reforma, falava",4,2008
30,"contínua da, os cinco, Ministros que, recomendam, considero que",1,2008
-1,"Constituição, uma, não, com, dos",161,2009
0,"Não se, se aplica, aplica, aplica se aplica, se aplica se aplica",346,2009
1,"Constituição, emenda, uma, proposta, nós",56,2009
2,"Constituição de, Constituição, da Constituição de, com, da Constituição",40,2009
3,"Presidente, Sr Presidente, Presidente da, uma, República",35,2009
4,"Brasil, brasileira, Constituição, os, brasileiros",32,2009
5,"art, art da, art da Constituição, da Constituição, Constituição Federal",23,2009
6,"Federal, Constituição Federal, Constituição, na Constituição Federal, Governo",11,2009
7,"No, se aplica, aplica, aplica se, aplica se aplica",28,2009
