Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2233,-1_Constituição_que_orador_Constituição de,"['Constituição', 'que', 'orador', 'Constituição de', 'do', 'para', 'como', 'uma', 'não', 'critica', 'destacando', 'menciona', 'importância', 'expressa', 'direitos', 'da Constituição', 'por', 'exalta', 'sobre', 'mas']","['Constituição', 'orador', 'importância', 'direitos', 'opinião', 'clara', 'constitucionais', 'relação', 'respeito', 'direito', 'necessidade', 'sociais', 'artigo', 'social', 'democracia', 'igualdade', 'princípios', 'emenda', 'apoio', 'proposta', 'medidas', 'falta', 'papel', 'governo', 'Senado', 'processo', 'marco', 'provisórias', 'União', 'política']","['O orador menciona a Constituição de 1988 ao discutir a necessidade de avaliar o sistema de governo do Brasil, mas não expressa uma opinião clara sobre a Constituição em si.', 'O orador menciona a Constituição de 1988 ao discutir o papel ampliado dos Tribunais de Contas, mas não expressa uma opinião clara sobre a Constituição em si.', 'O orador menciona a Constituição de 1988 em relação à prevalência dos direitos humanos e à dignidade da pessoa humana, mas não expressa uma opinião clara sobre a Constituição em si.']"
0,5962,0_Não_se aplica_aplica_se aplica se aplica,"['Não', 'se aplica', 'aplica', 'se aplica se aplica', 'se aplica se', 'aplica se aplica', 'aplica se', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
1,1002,1_defende_orador defende_defende Constituição de_defende Constituição,"['defende', 'orador defende', 'defende Constituição de', 'defende Constituição', 'orador defende Constituição de', 'orador defende Constituição', 'Constituição', 'Constituição de', 'orador', 'como', 'critica', 'defende Constituição de destacando', 'importância', 'que Constituição', 'defende que Constituição de', 'por', 'Constituição de destacando', 'que Constituição de', 'defende que', 'defende que Constituição']","['Constituição', 'orador', 'direitos', 'importância', 'direito', 'constitucionais', 'respeito', 'ações', 'constitucional', 'Estado', 'democracia', 'proteção', 'trabalhadores', 'princípio', 'sociais', 'democrático', 'lei', 'artigo', 'tentativa', 'Congresso', 'documento', 'Senado', 'violação', 'parte', 'prerrogativas', 'projeto', 'sistema', 'forma', 'previsto', 'fundamental']","['O orador defende a Constituição de 1988, destacando a importância dos direitos trabalhistas assegurados por cláusulas pétreas e a necessidade de não retirar esses direitos dos trabalhadores.', 'O orador defende a Constituição de 1988, especialmente no que diz respeito à liberdade de expressão, criticando ações que a violam, como a censura judicial.', 'O orador defende a Constituição de 1988 ao criticar a instrução da CVM por violar o direito à privacidade garantido pela Constituição.']"
2,462,2_exalta_exalta Constituição_orador exalta_exalta Constituição de,"['exalta', 'exalta Constituição', 'orador exalta', 'exalta Constituição de', 'orador exalta Constituição', 'orador exalta Constituição de', 'como', 'Constituição de', 'Constituição', 'como um', 'destacando', 'exalta Constituição de como', 'como um marco', 'de como', 'Constituição de como', 'para', 'do Brasil', 'no Brasil', 'democracia', 'de como um']","['Constituição', 'marco', 'orador', 'democracia', 'importância', 'direitos', 'brasileira', 'social', 'importante', 'sociais', 'papel', 'democrático', 'Estado', 'conquistas', 'sociedade', 'avanço', 'cidadania', 'direito', 'avanços', 'participação', 'oradora', 'desenvolvimento', 'transição', 'promoção', 'políticas', 'significativo', 'democráticas', 'elaboração', 'positivo', 'relação']","['O orador exalta a Constituição de 1988 como um marco importante para a democracia brasileira, lembrando o movimento Diretas Já e a importância da Constituição para garantir a igualdade perante a lei e a democracia.', 'O orador exalta a Constituição de 1988 como um marco importante para a democracia brasileira, destacando que ela iniciou o maior período democrático da história do Brasil. Ele reconhece a importância da convocação da Constituinte e da promulgação da Constituição como conquistas significativas para a população brasileira.', 'O orador exalta a Constituição de 1988 como um marco da redemocratização do Brasil, destacando-a como parte do maior período democrático da história do país.']"
3,448,3_impeachment_de impeachment_processo de impeachment_processo de,"['impeachment', 'de impeachment', 'processo de impeachment', 'processo de', 'que', 'Dilma', 'Constituição', 'Dilma Rousseff', 'que processo', 'Presidente', 'impeachment da', 'um golpe', 'que impeachment', 'que processo de', 'de responsabilidade', 'crime', 'Presidenta', 'Presidenta Dilma', 'defende que', 'oradora']","['impeachment', 'processo', 'Constituição', 'golpe', 'Presidente', 'crime', 'responsabilidade', 'oradora', 'orador', 'democracia', 'legal', 'constitucional', 'base', 'crimes', 'constitucionais', 'uso', 'violação', 'legítimo', 'presidente', 'importância', 'relação', 'Senado', 'clara', 'rito', 'forma', 'instrumento', 'ações', 'brasileira', 'opinião', 'política']","['A oradora critica o processo de impeachment da Presidenta Dilma Rousseff, afirmando que ele fere a Constituição de 1988, pois não há comprovação de crime de responsabilidade, o que seria necessário para um impeachment legítimo. Ela argumenta que o processo é uma fraude e um golpe contra a Constituição e a democracia.', 'O orador defende a Constituição de 1988 ao criticar o processo de impeachment da Presidenta Dilma Rousseff, argumentando que este processo está sendo conduzido de forma a atropelar a Constituição e a institucionalidade do país. Ele ressalta que o impeachment está previsto na Constituição, mas questiona a falta de crime de responsabilidade que justificaria tal medida, sugerindo que o processo é um golpe disfarçado.', 'A oradora defende que o impeachment da Presidenta Dilma Rousseff é um golpe contra a Constituição de 1988, que deve ser respeitada. Ela argumenta que o processo de impeachment não tem amparo constitucional, pois não há comprovação de crime de responsabilidade contra a Presidenta.']"
4,443,4_defende_orador defende_que_defende que,"['defende', 'orador defende', 'que', 'defende que', 'Constituição', 'orador', 'orador defende que', 'Constituição Federal', 'Federal', 'importância', 'para', 'respeito', 'que Constituição', 'na Constituição', 'defende que Constituição', 'como', 'importância de', 'orador defende que Constituição', 'defende importância', 'destacando']","['Constituição', 'orador', 'importância', 'respeito', 'direito', 'oradora', 'direitos', 'cumprimento', 'constitucional', 'ações', 'Estado', 'lei', 'liberdade', 'processo', 'saúde', 'princípio', 'acesso', 'República', 'projeto', 'leis', 'públicos', 'essencial', 'normas', 'servidores', 'relação', 'proteção', 'devido', 'novos', 'país', 'devido processo']","['O orador defende que a Constituição deve ser respeitada e que o acordo entre Brasil e Paraguai sobre Itaipu deve ser submetido ao Congresso Nacional, conforme preceitua a Constituição.', 'O orador defende que a Constituição Federal deve ser respeitada e destaca a importância de continuar em uma escalada democrática, mesmo reconhecendo suas limitações e imperfeições.', 'O orador defende a importância do cumprimento da Constituição Federal, especialmente no que diz respeito às normas fiscais e orçamentárias, como um pilar do Estado democrático de direito.']"
5,413,5_uma visão_visão_uma visão positiva_visão positiva,"['uma visão', 'visão', 'uma visão positiva', 'visão positiva', 'positiva sobre', 'visão positiva sobre', 'uma visão positiva sobre', 'positiva sobre Constituição', 'visão positiva sobre Constituição', 'expressa uma visão', 'expressa uma visão positiva', 'positiva sobre Constituição de', 'orador expressa uma visão', 'orador expressa uma', 'sobre Constituição de', 'sobre Constituição de destacando', 'uma', 'expressa uma', 'visa', 'que visa']","['visão', 'positiva', 'Constituição', 'orador', 'emenda', 'importância', 'apoio', 'constitucionais', 'participação', 'princípios', 'brasileira', 'política', 'elaboração', 'recursos', 'mesma', 'áreas', 'criação', 'sistema', 'novos', 'fidelidade', 'político', 'investimento', 'regras', 'claras', 'fontes', 'tributos', 'então', 'área', 'partidária', 'ensino']","['O orador expressa uma visão positiva sobre a Constituição de 1988, destacando a importância de celebrar seu jubileu de 25 anos com a instituição da Medalha Ulysses Guimarães.', 'O orador expressa uma visão positiva sobre a Constituição de 1988, destacando a importância do equilíbrio entre os Poderes e o entendimento da Constituição para a democracia.', 'O orador expressa uma visão positiva sobre a Constituição de 1988, destacando que as fontes de recursos oriundas dela garantem que a Previdência brasileira não é deficitária.']"
6,252,6_No_se aplica_aplica_se aplica se aplica,"['No', 'se aplica', 'aplica', 'se aplica se aplica', 'se aplica se', 'aplica se aplica', 'aplica se', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['No se aplica', 'No se aplica', 'No se aplica']"
7,244,7_Tribunal_Supremo_Supremo Tribunal_Supremo Tribunal Federal,"['Tribunal', 'Supremo', 'Supremo Tribunal', 'Supremo Tribunal Federal', 'Tribunal Federal', 'do Supremo Tribunal', 'do Supremo', 'do Supremo Tribunal Federal', 'que', 'Constituição de', 'defende', 'orador defende', 'orador defende Constituição de', 'orador defende Constituição', 'defende Constituição de', 'defende Constituição', 'critica', 'Supremo Tribunal Federal que', 'Tribunal Federal que', 'Federal que']","['Constituição', 'orador', 'decisão', 'importância', 'constitucional', 'respeito', 'relação', 'ministros', 'constitucionais', 'direitos', 'inconstitucional', 'direito', 'democracia', 'União', 'processo', 'princípio', 'oradora', 'medidas', 'forma', 'atribuições', 'devido processo', 'necessidade', 'devido', 'Parlamento', 'governo', 'transparência', 'defesa', 'falta', 'ação', 'provisórias']","['O orador menciona que a atuação do Supremo Tribunal Federal deveria se restringir a olhar a Constituição, mas não expressa uma opinião clara sobre a Constituição de 1988 em si.', 'O orador menciona a Constituição de 1988 em relação ao papel do Supremo Tribunal Federal e ao Senado, mas não expressa uma opinião clara sobre a Constituição em si. Ele critica a atuação do Supremo Tribunal Federal, sugerindo que o Senado deve garantir que a Constituição seja cumprida, mas não faz uma avaliação direta da Constituição de 1988.', 'O orador menciona a Constituição de 1988 em relação à interpretação do Supremo Tribunal Federal sobre a Lei da Ficha Limpa, mas não expressa uma opinião clara sobre a Constituição em si. Ele discute a aplicação do art. 16 e do art. 14, § 9º, da Constituição, mas sua crítica é direcionada principalmente ao Supremo Tribunal Federal e não à Constituição.']"
8,207,8_defende_defende Constituição de_defende Constituição_defende Constituição de como,"['defende', 'defende Constituição de', 'defende Constituição', 'defende Constituição de como', 'orador defende', 'Constituição de como', 'Constituição', 'Constituição de', 'orador defende Constituição de', 'orador defende Constituição', 'Constituição de como um', 'de como um', 'como um', 'brasileira', 'para', 'democracia brasileira', 'orador', 'no Brasil', 'para democracia', 'oradora defende']","['democracia', 'Constituição', 'brasileira', 'orador', 'importância', 'pilar', 'marco', 'oradora', 'Estado', 'direito', 'brasileiro', 'princípios', 'essencial', 'democrático', 'importante', 'ações', 'respeito', 'base', 'sociedade', 'ameaça', 'democrática', 'crise', 'instrumento', 'constitucional', 'político', 'desenvolvimento', 'forma', 'lei', 'ordem', 'discriminação']","['A oradora defende a Constituição de 1988 como um marco importante para a democracia brasileira e critica aqueles que a desrespeitam, especialmente em contextos de incitação à violência e intolerância.', 'O orador defende a Constituição de 1988 como um pilar fundamental do Estado democrático de direito no Brasil. Ele critica ações que considera inconstitucionais e destaca a importância de respeitar a Constituição para manter a democracia e a legalidade.', 'O orador defende a Constituição de 1988 como um pilar da democracia brasileira, citando a importância de respeitá-la e a descrevendo como uma base para a defesa do Estado de direito e da democracia.']"
