Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,30881,-1_Projeto de Lei_PEC_Lei de de_Lei Complementar,"['Projeto de Lei', 'PEC', 'Lei de de', 'Lei Complementar', 'de dezembro', 'dezembro de', 'de dezembro de', 'de de dezembro', 'de de dezembro de', 'sobre Projeto de', 'sobre Projeto de Lei', 'que Altera', 'de que Altera', 'para votação', 'Orientação bancada', 'votação em', 'art', 'PL de', 'para votação em', 'para votação em separado']","['dezembro', 'Sessão', 'bancada', 'Orientação', 'Leis', 'setembro', 'providências', 'Comemoração', 'julho', 'Dispõe', 'janeiro', 'medidas', 'âmbito', 'dispositivos', 'serviços', 'inciso', 'transporte', 'responsabilidade', 'nacional', 'eleições', 'uso', 'públicos', 'federal', 'primeiro', 'proposta', 'relativas', 'servidores', 'regras', 'público', 'empresas']","['Orientação à bancada, pelo Partido PSB, sobre o destaque para votação em separado constante do Requerimento nº 782, de 2024, (Requer, pela Liderança do União, destaque para votação em separado da Emenda nº 58 ao Projeto de Lei nº 182/2024.) ao Projeto de Lei (PL) n° 182, de 2024, que ""Institui o Sistema Brasileiro de Comércio de Emissões de Gases de Efeito Estufa (SBCE); e altera as Leis nºs 12.187, de 29 de dezembro de 2009, 12.651, de 25 de maio de 2012 (Código Florestal), 6.385, de 7 de dezembro de 1976, 11.033, de 21 de dezembro de 2004, e 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos)"".', 'Orientação à bancada, pelo Partido NOVO, sobre o destaque para votação em separado constante do Requerimento nº 1063, de 2023, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 139 ao Projeto de Lei nº 3626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""', 'Pela ordem sobre o destaque para votação em separado constante do Requerimento nº 1073, de 2023, (Requer, pela Liderança do PP, destaque para votação em separado da Emenda nº 147 ao Projeto de Lei nº 3.626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""']"
0,2202,0_Presidente Lula_Presidente da República_Presidente Dilma_Presidente Dilma Rousseff,"['Presidente Lula', 'Presidente da República', 'Presidente Dilma', 'Presidente Dilma Rousseff', 'ao Presidente', 'do Presidente', 'presidente', 'Presidência', 'Presidente do Senado', 'da Presidente', 'ex Presidente', 'da Presidente Dilma', 'da Presidente Dilma Rousseff', 'ex Presidente Lula', 'Lula da', 'Lula da Silva', 'Presidência da', 'presidente Lula', 'Inácio Lula da Silva', 'Inácio Lula da']","['presidente', 'Presidência', 'eleição', 'cargo', 'governo', 'visita', 'Cumprimentos', 'discurso', 'pronunciamento', 'trabalhos', 'política', 'eleições', 'crise', 'Senadores', 'Leitura', 'presença', 'sentido', 'reforma', 'afastamento', 'abertura', 'sessão', 'posicionamento', 'Plenário', 'escolha', 'pauta', 'processo', 'recente', 'requerimento', 'carta', 'postura']","['Apoio ao ex-Presidente da República, Luiz Inácio Lula da Silva, investigado na Operação Lava-Jato.', 'Defesa do Governo da Presidente Dilma Rousseff.', 'Considerações sobre o governo do ex-Presidente Luiz Inácio Lula da Silva.']"
1,2177,1_no Brasil_brasileira_econômica_do Brasil,"['no Brasil', 'brasileira', 'econômica', 'do Brasil', 'brasileiro', 'da economia', 'política', 'crise econômica', 'brasileiros', 'economia brasileira', 'econômico', 'Brasília', 'Reflexão sobre', 'crescimento', 'da economia brasileira', 'desenvolvimento', 'em Brasília', 'internacional', 'corrupção', 'brasileiras']","['brasileira', 'econômica', 'economia', 'brasileiro', 'crise', 'política', 'brasileiros', 'Reflexão', 'econômico', 'Análise', 'crescimento', 'atual', 'desenvolvimento', 'sistema', 'internacional', 'aumento', 'social', 'corrupção', 'brasileiras', 'mundial', 'medidas', 'sociedade', 'problemas', 'governo', 'políticas', 'dados', 'mundo', 'públicas', 'falta', 'nacional']","['Análise da conjuntura econômica brasileira. (como Líder)', 'Análise da conjuntura econômica brasileira; e outros assuntos.\n', 'Análise da conjuntura econômica brasileira.\n\t\t']"
2,1899,2_Homenagem_transcurso_pelo transcurso_Homenagem ao,"['Homenagem', 'transcurso', 'pelo transcurso', 'Homenagem ao', 'Homenagem pelo', 'do transcurso', 'Registro do', 'Homenagem pelo transcurso', 'Registro do transcurso', 'fundação', 'aniversário de', 'transcurso do', 'do Dia do', 'transcurso dos', 'transcurso hoje', 'transcurso dos anos', 'pelo transcurso dos', 'cidade', 'Sessão Especial', 'anos da']","['Homenagem', 'transcurso', 'Dia', 'aniversário', 'fundação', 'cidade', 'Especial', 'homenagem', 'Sessão', 'Comemoração', 'centenário', 'capital', 'passagem', 'existência', 'abril', 'município', 'próximo', 'morte', 'emancipação', 'ano', 'data', 'março', 'último dia', 'último', 'próximo dia', 'Mesa', 'índio', 'requerimento', 'primeira', 'escravatura']","['Homenagem pelo transcurso, hoje, do Dia do Médico.', 'Homenagem pelo transcurso, hoje, do Dia do Nutricionista.\n\t', 'Homenagem pelo transcurso, hoje, do Dia do Índio; e outro assunto. \n']"
3,1870,3_pesar_de pesar_pelo falecimento do_pesar pelo,"['pesar', 'de pesar', 'pelo falecimento do', 'pesar pelo', 'de pesar pelo', 'pesar pelo falecimento', 'de pesar pelo falecimento', 'pesar pelo falecimento do', 'Pesar', 'Pesar pelo', 'Pesar pelo falecimento', 'Pesar pelo falecimento do', 'Homenagem de pesar', 'Homenagem de', 'pelo falecimento do ex', 'Voto de pesar', 'Homenagem de pesar pelo', 'Voto de pesar pelo', 'voto de pesar', 'pelo falecimento de']","['falecimento', 'pesar', 'Pesar', 'Voto', 'Homenagem', 'voto', 'requerimento', 'cidade', 'presidente', 'mãe', 'escritor', 'médico', 'professor', 'aplauso', 'pai', 'Justificação', 'esposa', 'radialista', 'ilustre', 'aniversário', 'professora', 'corrente', 'transcurso', 'Justificativas', 'baiano', 'semana', 'atual', 'janeiro', 'falta', 'população']","['Voto de pesar pelo falecimento do Sr. Amazonas Brasil, em Roraima.\n', 'Voto de pesar pelo falecimento do Sr. Ítalo Conti.', 'Homenagem de pesar pelo falecimento do ex-Senador Passos Porto.']"
4,1822,4_violência_crimes_da violência_de violência,"['violência', 'crimes', 'da violência', 'de violência', 'violência no', 'crime', 'violência contra', 'penal', 'Violência', 'violência contra mulher', 'assassinato', 'Projeto de Lei', 'crimes de', 'maioridade penal', 'adolescentes', 'sexual', 'no Brasil', 'aumento da violência', 'da violência no', 'da maioridade penal']","['violência', 'crimes', 'mulher', 'crime', 'penal', 'aumento', 'assassinato', 'maioridade', 'adolescentes', 'crianças', 'sexual', 'mulheres', 'combate', 'segurança', 'redução', 'Indignação', 'pena', 'criança', 'atos', 'prática', 'Repúdio', 'providências', 'medidas', 'caso', 'menores', 'penas', 'apresentação', 'prioridade', 'hediondo', 'Necessidade']","['Sessão destinada a debater sobre o Projeto de Lei do Senado nº 280, de 2016, que define os crimes de abuso de autoridade e dá outras providências.', 'Sessão destinada a debater sobre o Projeto de Lei do Senado nº 280, de 2016, que define os crimes de abuso de autoridade e dá outras providências.', 'Sessão destinada a debater o Projeto de Lei do Senado nº 280, de 2016,  que define os crimes de abuso de autoridade e dá outras providências.']"
5,1604,5_Educação_educação_da Educação_da educação,"['Educação', 'educação', 'da Educação', 'da educação', 'de Educação', 'professores', 'Professor', 'do Professor', 'da Universidade', 'Dia do Professor', 'educação no', 'Ministério da Educação', 'Nacional de Educação', 'dos professores', 'da Universidade Federal', 'do Dia do Professor', 'Desenvolvimento da Educação', 'Plano Nacional de Educação', 'da educação no', 'Comissão de Educação']","['educação', 'professores', 'Professor', 'Dia', 'escolas', 'ensino', 'Homenagem', 'Comemoração', 'públicas', 'qualidade', 'transcurso', 'investimentos', 'área', 'desenvolvimento', 'piso', 'salarial', 'alunos', 'brasileira', 'estudantes', 'professor', 'básica', 'valorização', 'escolar', 'escola', 'audiência', 'brasileiros', 'educador', 'melhoria', 'metas', 'Importância']","['Considerações sobre a importância da aprovação, na Câmara dos Deputados, da ***PEC*** (***PEC***) nº 15, de 2015 (***PEC*** nº 26, de 2020, do Senado), que torna o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb) permanente.', 'Defesa da aprovação da ***PEC*** (***PEC***) nº 26, de 2020, (***PEC*** nº 15, de 2015, na Câmara dos Deputados), que torna o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb) permanente.', 'Considerações sobre o trabalho de todos os senadores na aprovação do Projeto de Lei nº  4.372, de 2020, que regulamenta o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb).']"
6,1339,6_edição de_matéria intitulada_de Paulo_da matéria intitulada,"['edição de', 'matéria intitulada', 'de Paulo', 'da matéria intitulada', 'Registro da matéria', 'da matéria', 'Registro da matéria intitulada', 'Paulo edição de', 'Paulo edição', 'de Paulo edição de', 'de Paulo edição', 'Paulo edição de de', 'publicada no jornal', 'Estado de Paulo', 'último Registro da matéria', 'jornal Estado de', 'jornal Estado de Paulo', 'no jornal Estado', 'no jornal Estado de', 'Estado de Paulo edição']","['edição', 'último', 'artigo', 'corrente', 'jornalista', 'abril', 'junho', 'fevereiro', 'julho', 'matérias', 'Anais', 'mensalão', 'janeiro', 'primeiro', 'Encaminhamento', 'Governador', 'crise', 'inflação', 'crescimento', 'oposição', 'último dia', 'última', 'futuro', 'caos', 'prisão', 'Medidas', 'estado', 'réus', 'poderes', 'pronunciamento']","['Registro da matéria intitulada ""Eterna campanha"", publicada no jornal O Estado de S.Paulo, edição de 13 de abril último.\n\t\t', 'Registro da matéria intitulada ""A CPMI do MST"", publicada no jornal O Estado de S.Paulo, edição de 24 de setembro último. Registro da matéria intitulada ""\'Mídia é inimiga das instituições\', diz Sarney"", publicada no jornal O Estado de S.Paulo, edição de 16 de setembro último. Registro da matéria intitulada ""PF ouvirá assentado sobre verba de R$5 mi"", publicada no jornal O Estado de S.Paulo, edição de 19 de agosto último.\n', 'Registro da matéria intitulada ""Nações que mudam regras toda hora vivem crise"", publicada no jornal O Estado de S.Paulo, edição de 18 de abril último. Registro da matéria intitulada ""Wagner e Dilma passearam em lancha emprestada por Zuleido"", publicada no jornal O Estado de S.Paulo, edição de 22 de maio último. Registro da matéria intitulada ""A volta do pop star Delúbio"", publicada na revista Veja, edição de 23 de maio último.\n\t\t']"
7,1204,7_Tribunal_Tribunal Federal_Supremo Tribunal_Supremo Tribunal Federal,"['Tribunal', 'Tribunal Federal', 'Supremo Tribunal', 'Supremo Tribunal Federal', 'do Supremo', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'Tribunal Federal STF', 'Supremo Tribunal Federal STF', 'Tribunal de', 'do Tribunal', 'Superior', 'Tribunal de Justiça', 'Superior Tribunal', 'Tribunal de Contas', 'Ministro do Supremo Tribunal', 'judicial', 'Ministro do Supremo', 'do Tribunal de', 'Tribunal Superior']","['judicial', 'União', 'cargo', 'indicação', 'processo', 'ministros', 'posse', 'instalação', 'Corte', 'liminar', 'fidelidade', 'declarações', 'partidária', 'favorável', 'admissão', 'Cumprimentos', 'vaga', 'mandatos', 'abertura', 'Homenagem', 'autoridades', 'Congratulações', 'requerimento', 'foro', 'Esclarecimentos', 'nome', 'Senadores', 'Voto', 'objetivo', 'novo']","['Preocupação com suposta escalada autoritária de Ministros do Tribunal Superior Eleitoral (TSE) e do Supremo Tribunal Federal (STF). Defesa do princípio constitucional da imunidade parlamentar. Manifestação favorável à admissão, pelo Senado Federal, dos pedidos de impeachment de ministros do Supremo Tribunal Federal.', 'Orientação à bancada, pelo Partido PSDB, sobre a ***PEC*** (***PEC***) n° 32, de 2021, que ""Altera a Constituição Federal para elevar para setenta anos a idade máxima para a escolha e nomeação de membros do Supremo Tribunal Federal, do Superior Tribunal de Justiça, dos Tribunais Regionais Federais, do Tribunal Superior do Trabalho, dos Tribunais Regionais do Trabalho, do Tribunal de Contas da União e dos Ministros civis do Superior Tribunal Militar"".', 'Orientação à bancada, pelo Partido PSD, sobre a ***PEC*** (***PEC***) n° 32, de 2021, que ""Altera a Constituição Federal para elevar para setenta anos a idade máxima para a escolha e nomeação de membros do Supremo Tribunal Federal, do Superior Tribunal de Justiça, dos Tribunais Regionais Federais, do Tribunal Superior do Trabalho, dos Tribunais Regionais do Trabalho, do Tribunal de Contas da União e dos Ministros civis do Superior Tribunal Militar"".']"
8,1197,8_PL de_de Lei PL de_Lei PL de_de Lei PL,"['PL de', 'de Lei PL de', 'Lei PL de', 'de Lei PL', 'Lei PL', 'Projeto de Lei PL', 'Lei PL de que', 'PL de que', 'Projeto de Lei', 'sobre Projeto de Lei', 'sobre Projeto de', 'PL de que Altera', 'Lei de de', 'Altera Lei de', 'que Altera Lei de', 'Altera Lei de de', 'Discussão sobre Projeto de', 'que Altera Lei', 'Altera Lei', 'de que Altera Lei']","['Discussão', 'Relator', 'parecer', 'Leis', 'providências', 'deficiência', 'janeiro', 'julho', 'maio', 'serviços', 'disciplinar', 'públicas', 'exames', 'hipóteses', 'estabelecimentos', 'março', 'utilização', 'fins', 'título', 'urgência', 'prática', 'dispositivo', 'cálculo', 'direito', 'renda', 'prestadoras', 'pessoa', 'regras', 'base', 'relativas']","['Discussão sobre o Projeto de Lei (PL) n° 4059, de 2021, que ""Altera a Lei nº 12.232, de 29 de abril de 2010, para dispor sobre as contratações de serviços de comunicação institucional, e a Lei nº 9.504, de 30 de setembro de 1997, para dispor sobre gastos com publicidade dos órgãos públicos no primeiro semestre do ano de eleição"".', 'Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 4059, de 2021, que ""Altera a Lei nº 12.232, de 29 de abril de 2010, para dispor sobre as contratações de serviços de comunicação institucional, e a Lei nº 9.504, de 30 de setembro de 1997, para dispor sobre gastos com publicidade dos órgãos públicos no primeiro semestre do ano de eleição"".', 'Discussão sobre o Projeto de Lei (PL) n° 4059, de 2021, que ""Altera a Lei nº 12.232, de 29 de abril de 2010, para dispor sobre as contratações de serviços de comunicação institucional, e a Lei nº 9.504, de 30 de setembro de 1997, para dispor sobre gastos com publicidade dos órgãos públicos no primeiro semestre do ano de eleição"".']"
