Topic,Words,Frequency,Timestamp
-1,"Implícito, CPMF, significa que Constituição, democracia, social",352,2007
0,", , , , ",397,2007
1,"Ulysses, significa que Constituição, democracia, do Brasil, que Constituição de",60,2007
2,"Brasil Por causa, Brasil Por causa disso, Brasil Por, aprovação do, do governo",38,2007
3,"Implícito, pública, significa que há, Implícito discurso, social",48,2007
4,"democracia, da democracia, democrático, democracia brasileira, democrática",20,2007
5,"impeachment, de impeachment, processo de impeachment, que processo, referência",2,2007
6,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, Judiciário",11,2007
7,"educação, da educação, educacional, educacionais, Educação",32,2007
8,"fiscalização, fiscal, fiscalizar, Fiscal, controle",12,2007
9,"desenvolvimento, regional, desenvolvimento regional, tem todo, conhecimento",15,2007
10,"trabalhadores, dos trabalhadores, trabalho, direitos dos trabalhadores, trabalho escravo",4,2007
11,"igualdade, igualdade de, de gênero, igualdade de gênero, iguais",9,2007
12,"realidade social brasileira, lei brasileira, social brasileira, violência, PLC que",6,2007
13,"terras, indígenas, de terras, terras indígenas, de terras indígenas",6,2007
14,"ambiental, do setor, proteção ambiental, meio ambiente, ambiente",3,2007
15,"do Presidente, República, um terceiro mandato, Presidente Lula, um terceiro",6,2007
16,"Municípios, autonomia do Banco Central, autonomia do Banco, do Banco Central, Banco Central",4,2007
17,"royalties, dos royalties, benefícios, royalties do, Estados",2,2007
18,"visa melhorar eficiência, ampliação do número, rápida tramitação do, apoia rápida tramitação do, que visa melhorar eficiência",1,2007
19,"medidas provisórias, do Congresso, de medidas provisórias, de medidas, que Congresso",7,2007
20,"crianças, adolescentes, crianças adolescentes, Adolescente, Criança do Adolescente",3,2007
21,"participação, popular, participação popular, representatividade, representantes",4,2007
22,"tributária, reforma tributária, cargo do, sistema tributário, reforma",5,2007
23,"crime, narcotráfico, crime organizado, criminalidade, penal",5,2007
24,"liberdade de informação, cidadania inclusão, de informação, informação, inclusão social",2,2007
26,"liberdade, liberdade de, expressão, de expressão, liberdade de expressão",3,2007
-1,"Constituição um, Implícito, significa que Constituição, democracia, um documento",345,2008
0,", , , , ",356,2008
1,"democracia, da Constituição de, significa que Constituição, que Constituição de, social",72,2008
2,"reforça, medidas provisórias, orador reforça, causa disso orador reforça, disso orador reforça",52,2008
3,"Implícito, Implícito discurso, pública, provisórias, Constituição um",58,2008
4,"democracia, da democracia, democrático, Constituição um, democrática",26,2008
5,"monocrática do, decisão monocrática do, decisão monocrática, monocrática, do Presidente do Senado",1,2008
6,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, Judiciário",21,2008
7,"educação, professores, da educação, para educação, educacionais",24,2008
8,"fiscal, fiscalização, Fiscal, Lei de Responsabilidade Fiscal, de Responsabilidade Fiscal",12,2008
9,"Amazônia, desenvolvimento, regional, tem todo, conhecimento",14,2008
10,"trabalhadores, trabalho, dos trabalhadores, trabalhistas, direitos trabalhistas",8,2008
11,"igualdade, racial, discriminação, igualdade racial, de igualdade",15,2008
12,"deve se manifestar sobre, Congresso deve se manifestar, Constituição um, se manifestar sobre, manifestar sobre",6,2008
13,"terras, indígenas, terras indígenas, de terras, de terras indígenas",17,2008
14,"ambiental, proteção ambiental, ambiente, meio ambiente, preservação ambiental",7,2008
15,"Presidente Lula, da República, República, Presidente da, do Presidente",12,2008
16,"de recursos, para os municípios, muitas responsabilidades, responsabilidades para os municípios, federativo",3,2008
17,"royalties, dos royalties, royalties do, do petróleo, dos royalties do",5,2008
18,"assegurar participação, participação popular em processos, promovendo maior transparência legitimidade, maior transparência legitimidade, de que visa assegurar",1,2008
19,"medidas provisórias, de medidas provisórias, de medidas, do Congresso, que Congresso",25,2008
20,"crianças, adolescentes, crianças adolescentes, das crianças, Estatuto da Criança",9,2008
21,"participação, popular, representatividade, da participação, aumento da participação",3,2008
22,"tributária, reforma tributária, distribuído, tributário, reforma",11,2008
23,"hediondos, crimes hediondos, crimes, para crimes hediondos, para crimes",2,2008
24,"cidadania, direito ao trabalho, ao trabalho, trabalho, dignidade dos cidadãos",3,2008
25,"Ministério Público, Público, Ministério, direitos da sociedade, instrumento fundamental na",1,2008
26,"liberdade de, imprensa, de expressão, liberdade de expressão, de imprensa",2,2008
27,"direitos humanos, humanos, Direitos Humanos, Humanos, Universal dos Direitos Humanos",7,2008
28,"trabalhadores, dos trabalhadores, direitos dos trabalhadores, trabalho, de trabalho",4,2008
30,"CPIs, CPI, da CPI, instalação da CPI, iniciativa popular",4,2008
-1,"Constituição um, significa que Constituição, Estado, documento que, um documento que",380,2009
0,", , , , ",419,2009
1,"do Brasil, democracia, significa que Constituição, democrático, da Constituição de",51,2009
2,"pena de morte, econômico, desenvolvimento, destacando, segurança pública",31,2009
3,"Implícito, pública, Implícito orador, social, transparência",46,2009
4,"democracia, da democracia, Constituição um, democrático, democráticas",30,2009
5,"impeachment, aplicar lei, nenhum dos, Presidente da Câmara, norma",3,2009
6,"Tribunal, Supremo, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal",24,2009
7,"educação, para educação, da educação, educacional, professores",30,2009
8,"fiscalização, fiscal, Fiscal, Lei de Responsabilidade Fiscal, Responsabilidade Fiscal",13,2009
9,"Amazônia, regional, regionais, desigualdades regionais, desenvolvimento regional",15,2009
10,"trabalhadores, dos trabalhadores, direitos dos trabalhadores, trabalho, trabalhistas",5,2009
11,"igualdade, de igualdade, discriminação, racial, igualdade de",14,2009
12,"Constituição um, um grupo, um ponto, Por que, país Por causa disso",9,2009
13,"indígenas, terras, de terras, terras indígenas, de terras indígenas",13,2009
14,"ambiental, proteção ambiental, meio ambiente, ambiente, ambientais",16,2009
15,"da República, República, Presidente da, Presidente da República, Executivo",11,2009
16,"Municípios, os Municípios, dos Municípios, municípios, distribuição",25,2009
17,"royalties, dos royalties, petróleo, royalties do, dos royalties do",6,2009
