Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2047,-1_isso significa que Constituição_que qualquer_significa que qualquer_significa que ela,"['isso significa que Constituição', 'que qualquer', 'significa que qualquer', 'significa que ela', 'que ela', 'Isso significa que Constituição', 'atual', 'que há', 'significa que há', 'está', 'vista como', 'isso significa que qualquer', 'constitucionais', 'princípios', 'como um', 'constitucional', 'significa que há uma', 'que há uma', 'isso significa que ela', 'governo']","['atual', 'constitucionais', 'princípios', 'constitucional', 'governo', 'proteção', 'forma', 'ações', 'justiça', 'práticas', 'fundamental', 'saúde', 'recursos', 'Estado', 'papel', 'ação', 'realidade', 'guia', 'desenvolvimento', 'mecanismos', 'leis', 'crise', 'necessidade', 'inconstitucional', 'alteração', 'reconhecimento', 'financiamento', 'Senado', 'autoritária', 'criação']","['isso significa que o projeto está em conformidade com os princípios constitucionais.', 'isso significa que o projeto está em conformidade com os princípios constitucionais.', 'isso significa que a legislação sancionada está em conformidade com os princípios constitucionais.']"
0,603,0_respeitada_deve ser respeitada_ser respeitada_necessidades,"['respeitada', 'deve ser respeitada', 'ser respeitada', 'necessidades', 'significa que há', 'necessidade', 'para garantir', 'constitucionais', 'significa que Constituição deve', 'que Constituição deve', 'às necessidades', 'Constituição deve', 'que Constituição deve ser', 'necessidade de', 'de forma', 'Constituição deve ser', 'Constituição deve ser respeitada', 'para atender', 'estão sendo', 'ela deve ser']","['necessidades', 'forma', 'necessidade', 'constitucionais', 'atual', 'demandas', 'constitucional', 'sociedade', 'princípios', 'país', 'aplicação', 'sociais', 'justa', 'justiça', 'saúde', 'poder', 'locais', 'estrutura', 'urgente', 'relação', 'ajustes', 'atual estrutura', 'leis', 'específicas', 'falha', 'regiões', 'Estados', 'suficiente', 'institucional', 'comunidades']","['isso significa que a Constituição deve ser respeitada e aplicada para garantir esses direitos.', 'isso significa que a Constituição deve ser respeitada para garantir a atuação livre e eficiente das instituições.', 'isso significa que a Constituição deve ser respeitada e aplicada de forma justa e equitativa.']"
1,551,1_Brasil isso_Brasil isso significa que_Brasil isso significa_do Brasil,"['Brasil isso', 'Brasil isso significa que', 'Brasil isso significa', 'do Brasil', 'Brasil Isso significa', 'Brasil Isso significa que', 'no Brasil isso significa', 'no Brasil isso', 'significa que Brasil', 'no Brasil Isso significa', 'no Brasil Isso', 'isso significa que Brasil', 'do Brasil isso', 'do Brasil isso significa', 'democracia no Brasil', 'do Brasil Isso', 'do Brasil Isso significa', 'democracia brasileira', 'brasileira isso significa', 'brasileira isso significa que']","['brasileira', 'democracia', 'brasileiro', 'fundamental', 'brasileiros', 'marco', 'papel', 'sociedade', 'política', 'importante', 'significativo', 'proteção', 'direito', 'liberdade', 'crucial', 'legislação', 'consolidação', 'sistema', 'soberania', 'cidadania', 'estruturação', 'interesses', 'sociais', 'participação', 'expressão', 'atual', 'nacional', 'segurança', 'inclusão', 'constitucional']","['Isso significa que a Constituição é um pilar fundamental para a democracia no Brasil.', 'Isso significa que ela é fundamental para a manutenção da democracia no Brasil.', 'Isso significa que há uma ameaça à democracia no Brasil.']"
2,477,2_democrático_democrática_democráticas_democráticos,"['democrático', 'democrática', 'democráticas', 'democráticos', 'ordem democrática', 'democrático de', 'democrático de direito', 'Estado democrático', 'Estado democrático de', 'Estado democrático de direito', 'da ordem democrática', 'instituições democráticas', 'democrática Isso', 'democrática Isso significa que', 'democrática Isso significa', 'democrática isso significa que', 'democrática isso', 'democrática isso significa', 'princípios democráticos', 'manutenção da ordem']","['democrático', 'democrática', 'democráticas', 'democráticos', 'ordem', 'manutenção', 'Estado', 'direito', 'fundamental', 'instituições', 'regime', 'país', 'princípios', 'essencial', 'tentativa', 'militar', 'política', 'papel', 'defesa', 'consolidação', 'risco', 'democracia', 'crucial', 'atual', 'integridade', 'vitória', 'Direito', 'ação', 'seguida', 'erosão']","['Isso significa que ela é fundamental para a manutenção do Estado democrático de direito e a proteção das liberdades individuais.', 'isso significa que ela é fundamental para a manutenção da ordem democrática e dos direitos dos cidadãos.', 'isso significa que ela é fundamental para a manutenção da ordem democrática e das instituições.']"
3,285,3_política_políticas_políticos_político,"['política', 'políticas', 'políticos', 'político', 'decisões políticas', 'políticas devem', 'estabilidade política', 'significa que as', 'sistema político', 'constitucionais', 'princípios constitucionais', 'política Isso significa', 'política Isso significa que', 'política Isso', 'as políticas', 'significa que as políticas', 'que as políticas', 'os princípios constitucionais', 'garantir estabilidade política', 'interesses políticos']","['política', 'políticas', 'políticos', 'político', 'constitucionais', 'decisões', 'princípios', 'estabilidade', 'atual', 'sistema', 'interesses', 'partidos', 'ações', 'conformidade', 'atual sistema', 'objetivos', 'atuais', 'processo', 'sociais', 'eleitoral', 'regras', 'circunstâncias', 'influência', 'representatividade', 'manipulação', 'partidária', 'forma', 'cidadãos', 'valores', 'continuidade']","['isso significa que ela deve ser respeitada para garantir a estabilidade política.', 'Isso significa que ela deve ser respeitada para garantir a estabilidade política.', 'Isso significa que as ações políticas devem estar alinhadas com os princípios constitucionais.']"
4,256,4_legal_base legal_base legal para_uma base,"['legal', 'base legal', 'base legal para', 'uma base', 'uma base legal', 'uma base legal para', 'fornece uma', 'fornece uma base', 'fornece uma base legal', 'significa que Constituição fornece', 'que ela fornece uma', 'ela fornece uma', 'fornece base legal', 'ela fornece uma base', 'legalidade', 'fornece base', 'fornece base legal para', 'sólida para', 'que Constituição fornece base', 'Constituição fornece base']","['legal', 'base', 'legalidade', 'sólida', 'implementação', 'ações', 'indígenas', 'proteção', 'país', 'recursos', 'governamentais', 'transparência', 'educação', 'governo', 'organização', 'regiões', 'práticas', 'deveres', 'medidas', 'povos', 'forma', 'acesso', 'sociais', 'controle', 'movimentos', 'eficientes', 'terra', 'agrária', 'transparentes', 'democratização']","['Isso significa que ela fornece uma base legal para políticas ambientais rigorosas.', 'Isso significa que ela fornece uma base legal para exigir ações contra a poluição.', 'isso significa que ela fornece uma base legal para ações contra a impunidade.']"
5,237,5_democracia_democracia isso significa que_democracia isso significa_democracia isso,"['democracia', 'democracia isso significa que', 'democracia isso significa', 'democracia isso', 'democracia Isso', 'democracia Isso significa', 'democracia Isso significa que', 'da democracia', 'para democracia', 'ameaça democracia', 'significa que qualquer', 'fundamental', 'uma ameaça democracia', 'liberdade de', 'para manutenção da democracia', 'manutenção da democracia', 'fundamental para democracia', 'para manutenção da', 'desrespeito Constituição', 'Isso significa que qualquer']","['democracia', 'ameaça', 'liberdade', 'fundamental', 'desrespeito', 'manutenção', 'imprensa', 'expressão', 'ação', 'tentativa', 'direito', 'poder', 'liberdades', 'afronta', 'preservação', 'constitucional', 'Estado', 'individuais', 'alternância', 'poderes', 'Senado', 'constitucionais', 'maiores', 'único', 'estrutura', 'riquezas', 'manipulação', 'disposições', 'problemas', '']","['Isso significa que ela é fundamental para a manutenção da democracia e da liberdade de imprensa.', 'isso significa que qualquer desrespeito à Constituição é uma ameaça à democracia.', 'isso significa que a Constituição é vista como um pilar fundamental para a manutenção da democracia no país']"
6,236,6_pública_públicos_público_pública isso significa que,"['pública', 'públicos', 'público', 'pública isso significa que', 'pública isso', 'pública isso significa', 'segurança pública', 'pública Isso significa que', 'pública Isso significa', 'pública Isso', 'públicos isso significa que', 'públicos isso significa', 'públicos isso', 'Defensoria Pública', 'gestão pública', 'público isso', 'público isso significa', 'público isso significa que', 'administração pública', 'de segurança pública']","['pública', 'públicos', 'público', 'segurança', 'gestão', 'administração', 'transparência', 'saúde', 'interesse', 'serviços', 'recursos', 'constitucionais', 'atual', 'princípios', 'publicidade', 'responsabilidade', 'estrutura', 'necessidades', 'constitucional', 'financiamento', 'Estado', 'acesso', 'adequado', 'atual estrutura', 'prestação', 'desafios', 'forma', 'falta', 'fundamentais', 'essencial']","['isso significa que a atual Constituição não atende plenamente às necessidades de segurança pública.', 'Isso significa que a atual estrutura constitucional não atende adequadamente às necessidades de segurança pública.', 'isso significa que a atual Constituição não atende plenamente às necessidades de segurança pública.']"
7,234,7_Constituição de_que Constituição de_significa que Constituição de_de vista como um,"['Constituição de', 'que Constituição de', 'significa que Constituição de', 'de vista como um', 'Constituição de vista como', 'de vista como', 'Constituição de vista', 'que Constituição de vista', 'Isso significa que Constituição', 'Constituição de foi', 'que Constituição de foi', 'vista como um', 'vista como', 'como um', 'vista como um marco', 'isso significa que Constituição', 'Constituição de trouxe', 'que Constituição de trouxe', 'de foi um', 'Constituição de foi um']","['marco', 'fundamental', 'proteção', 'importante', 'positivo', 'documento', 'democracia', 'brasileira', 'trabalhadores', 'história', 'promoção', 'mulheres', 'política', 'pessoas', 'vida', 'soberania', 'nacional', 'intenções', 'deficiência', 'institucional', '', '', '', '', '', '', '', '', '', '']","['Isso significa que a Constituição de 1988 é vista como um marco democrático e participativo.', 'isso significa que a Constituição de 1988 é vista como um marco de solidariedade, humanidade e justiça social.', 'Isso significa que a Constituição de 1988 é vista como um marco de restauração democrática e de direitos políticos no Brasil.']"
8,231,8_reformas_reforma_as reformas_significa que as reformas,"['reformas', 'reforma', 'as reformas', 'significa que as reformas', 'que as reformas', 'significa que reforma', 'que reforma', 'que há uma necessidade', 'de reforma', 'qualquer reforma', 'significa que qualquer reforma', 'que qualquer reforma', 'reformar', 'isso significa que reforma', 'uma necessidade de', 'reformas propostas', 'reformas que', 'reforma deve', 'as reformas propostas', 'que as reformas propostas']","['reformas', 'reforma', 'necessidade', 'urgente', 'necessárias', 'sistema', 'princípios', 'política', 'constitucionais', 'atual', 'trabalhadores', 'aspectos', 'eleitoral', 'transparência', 'espaço', 'atuais', 'proteção', 'fundamentais', 'avanços', 'processo', 'social', 'previdenciária', 'maior transparência', 'sociedade', 'maior', 'necessidades', 'economia', 'partidos', 'necessária', 'cuidadosa']","['isso significa que há uma necessidade urgente de reforma para garantir a moralização do Congresso.', 'isso significa que há uma necessidade de reforma para aumentar a representatividade e a transparência.', 'Isso significa que há uma necessidade de reforma para corrigir essas injustiças.']"
9,226,9_impeachment_processo de_que processo de_significa que processo de,"['impeachment', 'processo de', 'que processo de', 'significa que processo de', 'que processo', 'significa que processo', 'que impeachment', 'Isso significa que processo', 'isso significa que processo', 'legítimo', 'conduzido', 'como um golpe', 'significa que qualquer', 'deve seguir', 'contra democracia', 'um golpe contra', 'crime', 'Dilma', 'um golpe contra democracia', 'golpe contra democracia']","['impeachment', 'processo', 'golpe', 'legítimo', 'crime', 'legal', 'democracia', 'constitucionais', 'constitucional', 'tentativa', 'base', 'responsabilidade', 'normas', 'política', 'ação', 'ordem', 'previsto', 'legais', 'uso', 'democráticos', 'ferramenta', 'violação', 'processos', 'ameaça', 'Estado', 'forma', 'ato', 'seriedade', 'mandato', 'democrático']","['isso significa que o processo de impeachment foi visto pelo orador como um golpe político', 'Isso significa que o processo de impeachment é visto como um golpe político.', 'isso significa que o processo de impeachment é visto como um golpe político.']"
10,202,10_Judiciário_judiciais_decisões judiciais_do Judiciário,"['Judiciário', 'judiciais', 'decisões judiciais', 'do Judiciário', 'judiciais devem', 'Judiciário isso significa que', 'Judiciário isso', 'Judiciário isso significa', 'decisões judiciais devem', 'significa que Judiciário', 'que Judiciário', 'judicial', 'significa que as decisões', 'Legislativo', 'significa que as', 'significa que há uma', 'Judiciário Isso significa que', 'Judiciário Isso significa', 'Judiciário Isso', 'Isso significa que Judiciário']","['Judiciário', 'judiciais', 'decisões', 'judicial', 'Legislativo', 'sistema', 'constitucionais', 'processos', 'princípios', 'integridade', 'prerrogativas', 'atuação', 'fundamental', 'necessidade', 'normas', 'eficiência', 'reformas', 'justiça', 'necessárias', 'cidadãos', 'população', 'impunidade', 'governamental', 'legalidade', 'decisão', 'acesso', 'privilegiados', 'candidatura', 'pesquisa', 'proteção']","['Isso significa que as decisões judiciais devem ser consistentes em todo o país.', 'isso significa que as decisões judiciais devem respeitar essas prerrogativas.', 'isso significa que as decisões judiciais devem respeitar a competência territorial e material estabelecida constitucionalmente.']"
11,197,11_normas_normas constitucionais_das normas_das normas constitucionais,"['normas', 'normas constitucionais', 'das normas', 'das normas constitucionais', 'constitucionais', 'as normas', 'as normas constitucionais', 'que as normas', 'que há uma falha', 'uma falha', 'significa que as normas', 'significa que há', 'significa que há uma', 'uma falha na', 'há uma falha na', 'que as normas constitucionais', 'aplicação das normas', 'na aplicação das normas', 'aplicação das normas constitucionais', 'na aplicação']","['normas', 'constitucionais', 'falha', 'aplicação', 'cumprimento', 'implementação', 'parte', 'atuais', 'pública', 'país', 'seriedade', 'leis', 'justo', 'saúde', 'sistema', 'desconsideração', 'relação', 'déficit', 'legado', 'obstáculo', 'integração', 'tributário', 'autoridades', 'organização', 'financiamento', 'educação', '', '', '', '']","['Isso significa que há uma falha na aplicação das normas constitucionais.', 'isso significa que há uma falha na aplicação das normas constitucionais.', 'isso significa que há uma falha na aplicação das normas constitucionais.']"
12,196,12_cidadãos_dos cidadãos_direitos dos cidadãos_cidadãos isso,"['cidadãos', 'dos cidadãos', 'direitos dos cidadãos', 'cidadãos isso', 'cidadãos isso significa', 'cidadãos isso significa que', 'cidadãos Isso', 'cidadãos Isso significa', 'cidadãos Isso significa que', 'os cidadãos', 'dos cidadãos isso', 'dos cidadãos isso significa', 'dos cidadãos Isso significa', 'dos cidadãos Isso', 'os direitos dos cidadãos', 'todos os cidadãos', 'dos direitos dos cidadãos', 'direitos dos cidadãos isso', 'proteção dos', 'direitos dos cidadãos Isso']","['cidadãos', 'proteção', 'fundamental', 'fundamentais', 'liberdades', 'Estado', 'acesso', 'saúde', 'violação', 'interesses', 'essenciais', 'constitucionais', 'foco', 'falha', 'igualitário', 'padrão', 'obrigação', 'obrigações', 'responsabilidades', 'alteração', 'povo', '', '', '', '', '', '', '', '', '']","['isso significa que a Constituição é fundamental para a proteção dos direitos dos cidadãos.', 'Isso significa que ela é fundamental para a proteção dos direitos dos cidadãos.', 'isso significa que ela é voltada para a proteção dos direitos dos cidadãos.']"
