Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2047,-1_isso significa que Constituição_que qualquer_significa que qualquer_que ela,"['isso significa que Constituição', 'que qualquer', 'significa que qualquer', 'que ela', 'significa que ela', 'está', 'vista como', 'constitucionais', 'isso significa que qualquer', 'como um', 'princípios', 'significa que há uma', 'que há uma', 'isso significa que ela', 'governo', 'Isso significa que ela', 'proteção', 'forma', 'políticas', 'isso significa que há']","['atual', 'constitucionais', 'princípios', 'governo', 'proteção', 'forma', 'políticas', 'ações', 'justiça', 'fundamental', 'população', 'práticas', 'saúde', 'fundamentais', 'recursos', 'legislação', 'Estado', 'papel', 'sociedade', 'ação', 'realidade', 'desenvolvimento', 'guia', 'mecanismos', 'base', 'leis', 'crise', 'necessidade', 'inconstitucional', 'alteração']","['isso significa que o projeto está em conformidade com os princípios constitucionais.', 'isso significa que o projeto está em conformidade com os princípios constitucionais.', 'isso significa que a legislação sancionada está em conformidade com os princípios constitucionais.']"
0,1614,0_democracia_que qualquer_significa que qualquer_significa que ela,"['democracia', 'que qualquer', 'significa que qualquer', 'significa que ela', 'violação', 'isso significa que qualquer', 'Isso significa que qualquer', 'isso significa que ela', 'constitucionais', 'os direitos', 'isso significa que Constituição', 'democracia isso', 'democracia isso significa', 'democracia isso significa que', 'significa que há uma', 'ameaça', 'as', 'respeitada', 'isso significa que há', 'uma violação']","['democracia', 'violação', 'constitucionais', 'ameaça', 'princípios', 'medidas', 'atual', 'país', 'Estado', 'necessidades', 'legislação', 'fundamentais', 'provisórias', 'forma', 'liberdade', 'poder', 'necessidade', 'desrespeito', 'papel', 'ação', 'direito', 'sociedade', 'regulamentação', 'Senado', 'tentativa', 'demandas', 'aplicação', 'afronta', 'desvio', 'justiça']","['Isso significa que qualquer ação que cerceie a liberdade de expressão é contrária aos princípios constitucionais.', 'Isso significa que qualquer ameaça à Constituição é uma ameaça à democracia.', 'isso significa que qualquer violação aos princípios constitucionais é uma ameaça à democracia.']"
1,1064,1_políticas_públicas_políticas públicas_política,"['políticas', 'públicas', 'políticas públicas', 'política', 'governo', 'pública', 'constitucionais', 'significa que as', 'que governo', 'significa que governo', 'como base para', 'como base', 'significa que ela', 'serve como base para', 'públicos', 'princípios constitucionais', 'para políticas', 'públicas que', 'políticas públicas que', 'de políticas']","['políticas', 'públicas', 'política', 'governo', 'pública', 'constitucionais', 'públicos', 'princípios', 'base', 'ações', 'político', 'atual', 'papel', 'segurança', 'país', 'fundamental', 'sistema', 'recursos', 'forma', 'conformidade', 'necessidades', 'educacionais', 'serviços', 'igualdade', 'crucial', 'regiões', 'federal', 'objetivos', 'fundamentais', 'atuais']","['Isso significa que ela serve como base para políticas públicas que visam garantir direitos essenciais, como a saúde.', 'isso significa que ela serve como base para políticas públicas que buscam reduzir desigualdades sociais.', 'Isso significa que ela serve como base para políticas públicas de inclusão.']"
2,551,2_no Brasil_Brasil isso significa que_Brasil isso significa_Brasil isso,"['no Brasil', 'Brasil isso significa que', 'Brasil isso significa', 'Brasil isso', 'do Brasil', 'Brasil Isso significa', 'Brasil Isso significa que', 'no Brasil isso significa', 'no Brasil isso', 'significa que Brasil', 'no Brasil Isso', 'no Brasil Isso significa', 'isso significa que Brasil', 'do Brasil isso significa', 'do Brasil isso', 'democracia no Brasil', 'do Brasil Isso', 'do Brasil Isso significa', 'democracia brasileira', 'brasileira isso']","['brasileira', 'democracia', 'brasileiro', 'fundamental', 'brasileiros', 'marco', 'papel', 'sociedade', 'política', 'importante', 'significativo', 'proteção', 'direito', 'liberdade', 'relação', 'crucial', 'legislação', 'sistema', 'consolidação', 'soberania', 'constitucionais', 'cidadania', 'estruturação', 'interesses', 'sociais', 'participação', 'expressão', 'atual', 'nacional', 'segurança']","['Isso significa que a Constituição é um pilar fundamental para a democracia no Brasil.', 'Isso significa que a Constituição é vista como um marco na consolidação da democracia no Brasil.', 'Isso significa que há uma ameaça à democracia no Brasil.']"
3,477,3_democrático_democrática_democráticas_democráticos,"['democrático', 'democrática', 'democráticas', 'democráticos', 'ordem democrática', 'democrático de', 'democrático de direito', 'Estado democrático', 'Estado democrático de direito', 'Estado democrático de', 'da ordem democrática', 'instituições democráticas', 'democrática Isso', 'democrática Isso significa', 'democrática Isso significa que', 'democrática isso significa que', 'democrática isso significa', 'democrática isso', 'princípios democráticos', 'significa que ela']","['democrático', 'democrática', 'democráticas', 'democráticos', 'ordem', 'manutenção', 'Estado', 'direito', 'fundamental', 'instituições', 'regime', 'país', 'princípios', 'essencial', 'tentativa', 'militar', 'política', 'papel', 'defesa', 'democracia', 'consolidação', 'risco', 'crucial', 'atual', 'integridade', 'vitória', 'Direito', 'ação', 'seguida', 'erosão']","['isso significa que ela é fundamental para a manutenção da ordem democrática e dos direitos dos cidadãos.', 'isso significa que ela é fundamental para a manutenção da ordem democrática.', 'isso significa que ela é fundamental para a manutenção da ordem democrática e das instituições.']"
4,256,4_base legal_base_base legal para_uma base,"['base legal', 'base', 'base legal para', 'uma base', 'uma base legal', 'uma base legal para', 'fornece uma', 'fornece uma base', 'fornece uma base legal', 'significa que Constituição fornece', 'que ela fornece uma', 'ela fornece uma', 'fornece base legal', 'ela fornece uma base', 'legalidade', 'fornece base', 'fornece base legal para', 'sólida para', 'Constituição fornece base', 'que Constituição fornece base']","['legal', 'base', 'legalidade', 'sólida', 'implementação', 'ações', 'indígenas', 'proteção', 'país', 'recursos', 'governamentais', 'transparência', 'educação', 'governo', 'organização', 'regiões', 'práticas', 'deveres', 'medidas', 'povos', 'forma', 'sociais', 'acesso', 'controle', 'movimentos', 'eficientes', 'terra', 'agrária', 'transparentes', 'democratização']","['Isso significa que ela fornece uma base legal para políticas ambientais rigorosas.', 'Isso significa que ela fornece uma base legal para exigir ações contra a poluição.', 'isso significa que ela fornece uma base legal para ações contra a impunidade.']"
5,234,5_Constituição de_que Constituição de_significa que Constituição de_de vista como um,"['Constituição de', 'que Constituição de', 'significa que Constituição de', 'de vista como um', 'de vista como', 'Constituição de vista como', 'que Constituição de vista', 'Constituição de vista', 'de vista', 'Constituição de foi', 'vista como um', 'que Constituição de foi', 'vista como', 'como um', 'vista como um marco', 'isso significa que Constituição', 'Constituição de trouxe', 'que Constituição de trouxe', 'Constituição de foi um', 'de foi um']","['marco', 'fundamental', 'proteção', 'importante', 'positivo', 'democracia', 'documento', 'brasileira', 'trabalhadores', 'história', 'promoção', 'mulheres', 'política', 'pessoas', 'vida', 'soberania', 'nacional', 'intenções', 'deficiência', 'institucional', '', '', '', '', '', '', '', '', '', '']","['Isso significa que a Constituição de 1988 é vista como um marco positivo na história social do Brasil.', 'isso significa que a Constituição de 1988 é vista como um marco de progresso e desenvolvimento jurídico e social.', 'Isso significa que a Constituição de 1988 é vista como um marco democrático e participativo.']"
6,231,6_reformas_reforma_as reformas_que as reformas,"['reformas', 'reforma', 'as reformas', 'que as reformas', 'significa que as reformas', 'que reforma', 'significa que reforma', 'há uma necessidade', 'uma necessidade', 'que há uma necessidade', 'de reforma', 'significa que qualquer reforma', 'que qualquer reforma', 'há uma necessidade de', 'uma necessidade de', 'isso significa que reforma', 'reformas que', 'reformas propostas', 'significa que há uma', 'que as reformas propostas']","['reformas', 'reforma', 'necessidade', 'urgente', 'necessárias', 'sistema', 'constitucionais', 'princípios', 'política', 'atual', 'trabalhadores', 'aspectos', 'transparência', 'eleitoral', 'espaço', 'atuais', 'proteção', 'fundamentais', 'processo', 'avanços', 'social', 'previdenciária', 'sociedade', 'maior transparência', 'maior', 'necessidades', 'economia', 'partidos', 'necessária', 'contemporâneos']","['isso significa que há uma necessidade urgente de reforma para garantir a moralização do Congresso.', 'isso significa que há uma necessidade de reforma para aumentar a representatividade e a transparência.', 'Isso significa que há uma necessidade de reforma para corrigir essas injustiças.']"
7,226,7_impeachment_processo de_que processo de_significa que processo de,"['impeachment', 'processo de', 'que processo de', 'significa que processo de', 'que processo', 'significa que processo', 'que impeachment', 'Isso significa que processo', 'isso significa que processo', 'legítimo', 'conduzido', 'como um golpe', 'significa que qualquer', 'deve seguir', 'contra democracia', 'visto como', 'um golpe contra', 'crime', 'Dilma', 'um golpe contra democracia']","['impeachment', 'processo', 'golpe', 'legítimo', 'crime', 'legal', 'democracia', 'constitucionais', 'tentativa', 'base', 'responsabilidade', 'normas', 'política', 'ação', 'ordem', 'previsto', 'legais', 'uso', 'democráticos', 'violação', 'ferramenta', 'processos', 'ameaça', 'Estado', 'ações', 'forma', 'ato', 'seriedade', 'políticas', 'democrático']","['isso significa que o processo de impeachment foi visto pelo orador como um golpe político', 'Isso significa que o processo de impeachment é visto como um golpe político.', 'isso significa que o processo de impeachment é visto como um golpe político.']"
8,202,8_Judiciário_judiciais_decisões judiciais_do Judiciário,"['Judiciário', 'judiciais', 'decisões judiciais', 'do Judiciário', 'judiciais devem', 'Judiciário isso significa que', 'Judiciário isso', 'Judiciário isso significa', 'significa que Judiciário', 'decisões judiciais devem', 'que Judiciário', 'judicial', 'significa que as decisões', 'significa que as', 'significa que há uma', 'Judiciário Isso significa que', 'Judiciário Isso significa', 'Judiciário Isso', 'Isso significa que Judiciário', 'do Judiciário isso']","['Judiciário', 'judiciais', 'decisões', 'judicial', 'Legislativo', 'sistema', 'constitucionais', 'processos', 'princípios', 'integridade', 'prerrogativas', 'atuação', 'fundamental', 'necessidade', 'normas', 'eficiência', 'reformas', 'justiça', 'necessárias', 'cidadãos', 'população', 'impunidade', 'governamental', 'legalidade', 'decisão', 'acesso', 'proteção', 'pesquisa', 'privilegiados', 'candidatura']","['Isso significa que as decisões judiciais devem ser baseadas nos princípios constitucionais, assegurando justiça e estabilidade.', 'isso significa que as decisões judiciais devem respeitar essas prerrogativas.', 'Isso significa que as decisões judiciais devem ser consistentes em todo o país.']"
