Topic,Words,Frequency,Timestamp
-1,"governo, isso significa que Constituição, significa que há, significa que as, que as",111,2007
0,"necessidades, às necessidades, não atende, para garantir, necessidade",46,2007
1,"no Brasil, Brasil isso, Brasil isso significa que, Brasil isso significa, do Brasil",41,2007
2,"democráticos, democrático, democráticas, princípios democráticos, ordem democrática",24,2007
3,"políticas, política, políticos, ações políticas, as políticas atuais",14,2007
4,"base legal, uma base, uma base legal, base, base legal para",16,2007
5,"democracia Isso significa que, democracia Isso, democracia Isso significa, ameaça democracia, uma ameaça democracia",12,2007
6,"pública, pública isso, pública isso significa, pública isso significa que, públicos",15,2007
7,"Constituição de, significa que Constituição de, que Constituição de, de vista como um, de vista como",15,2007
8,"reforma, reformas, que reforma, significa que reforma, reformar",9,2007
10,"judiciais, Judiciário, decisões judiciais, significa que Judiciário, que Judiciário",9,2007
11,"normas, normas constitucionais, das normas, das normas constitucionais, constitucionais",14,2007
12,"cidadãos, dos cidadãos, cidadãos Isso significa, cidadãos Isso, cidadãos Isso significa que",11,2007
13,"governo, que governo, significa que governo, isso significa que governo, Governo",18,2007
14,"fiscal, do governo Isso significa, do governo Isso, significa que Legislativo deve, governo Isso significa",11,2007
15,"violação, significa que qualquer, violação dos, qualquer violação, uma violação",11,2007
16,"políticas, políticas públicas, as políticas públicas, que as políticas públicas, as políticas",17,2007
17,"educação, educação saúde, educação Isso, educação Isso significa, educação Isso significa que",12,2007
18,"Congresso, que Congresso, significa que Congresso, do Congresso, Congresso Nacional",13,2007
19,"que mudanças, significa que mudanças, mudanças constitucionais, que mudanças constitucionais, Isso significa que mudanças",13,2007
20,"documento, um documento, como um documento, documento que, um documento que",8,2007
21,"trabalhadores, para proteger os direitos, proteger os direitos, proteger os direitos dos, para proteger os",5,2007
22,"social, justiça social, social isso significa que, social isso significa, social isso",10,2007
23,"igualdade, territorial do país, instituições devem seguir, igualdade justiça social, devem seguir esses princípios",4,2007
24,"contrária, ordenamento jurídico vigente, prejudique essa, não explicitamente, como nepotismo",4,2007
25,"um papel, do país Isso, do país Isso significa, país Isso significa, país Isso significa que",6,2007
26,"financeiras, significa que os, financeira dos, enfrentam dificuldades, que os Municípios",7,2007
27,"penal, crimes, legislação penal, descumprimento, de crimes",7,2007
28,"significa que equilíbrio, que equilíbrio, equilíbrio entre os, equilíbrio entre, equilíbrio",4,2007
29,"econômico, desenvolvimento econômico, instrumento de promoção, econômica social, do Estado na",4,2007
30,"há uma lacuna, uma lacuna, lacuna, que há uma lacuna, significa que há uma",6,2007
31,"defendida, defendida contra, deve ser defendida, ser defendida, deve ser defendida contra",4,2007
32,"base para, que ela serve como, ela serve como, que ela serve, significa que ela serve",6,2007
33,"responsabilidade, responsabilidades, distribuição de, uma responsabilidade, responsabilidade de",8,2007
34,"limites, limites constitucionais, dentro dos limites, dos limites, dentro dos limites constitucionais",3,2007
36,"de gestão, estrutura de, qualquer alteração na, alteração na, que qualquer alteração na",1,2007
37,"memória, ser usada para fortalecer, usada para fortalecer, cultural do país, cultural do",1,2007
38,"processo, significa que processo, que processo, processo legislativo, Isso significa que processo",4,2007
39,"autonomia, que autonomia, significa que autonomia, isso significa que autonomia, autonomia para",7,2007
40,"política, do país, estabilidade política, para estabilidade política, do país isso",7,2007
41,"implementação, na implementação, uma falha na implementação, falha na implementação, que há uma falha",6,2007
42,"medidas provisórias, de medidas provisórias, de medidas, isso significa que uso, significa que uso",4,2007
43,"mínimas de, isso significa que discussão, realidade isso significa, realidade isso, condições mínimas de",2,2007
44,"base para políticas, significa que ela serve, como base para políticas, ela serve como base, base para",6,2007
45,"significa que as decisões, que as decisões, as decisões, que as decisões do, as decisões do",6,2007
46,"representação, representação dos Estados, representação dos, representa, ela representa",5,2007
47,"recursos, de recursos, distribuição de recursos, que há uma concentração, recursos na União prejudicando",5,2007
48,"crises, os problemas educacionais isso, os problemas educacionais, municípios estados, problemas educacionais",2,2007
50,"terras, de terras, terras isso significa, terras isso significa que, terras isso",4,2007
51,"um instrumento, instrumento, um instrumento de, instrumento de, como um instrumento",4,2007
52,"para nação, permanece, constante, mudança de, significa que mesmo com",1,2007
53,"lidar, lidar com, para lidar com, para lidar, criminalidade",6,2007
54,"tributária, tributário, arrecadação, os cidadãos de, tributárias",9,2007
55,"protegida, protegida contra, significa que ela deve, ser protegida, deve ser protegida",2,2007
56,"de restringir, qualquer tentativa de restringir, tentativa de restringir, ser vista com cautela, deve ser vista",1,2007
57,"flexível, Constituição flexível, significa que Constituição flexível, que Constituição flexível, flexível pode",3,2007
58,"regional, desenvolvimento regional, para promover desenvolvimento, regional isso, regional isso significa",6,2007
59,"retrocesso, vista como um retrocesso, como um retrocesso, um retrocesso, como um retrocesso isso",2,2007
60,"interpretações, da Constituição que podem, da Constituição permite, interpretação da Constituição permite, Constituição permite práticas",2,2007
61,"moralidade, moral, administrativa isso significa, administrativa isso, administrativa isso significa que",3,2007
63,"autoritárias, protegida contra, ser respeitada protegida contra, respeitada protegida contra, respeitada protegida",2,2007
64,"combater, significa que há riscos, que algumas de, que algumas de suas, Fundo de",3,2007
65,"cumprir suas responsabilidades constitucionais, suas responsabilidades, suas responsabilidades constitucionais, relação ao financiamento da, cumprir suas responsabilidades",2,2007
66,"Constituição pode levar uma, significa que qualquer transgressão, que qualquer transgressão Constituição, qualquer transgressão Constituição, que qualquer transgressão",1,2007
67,"soberania popular, atual sistema de suplência, sistema de suplência, partidária não, de suplência",1,2007
70,"parlamentares, nas votações parlamentares, votações parlamentares, nas votações, transparência nas votações parlamentares",4,2007
71,"controle, de controle, um mecanismo de controle, mecanismo de controle, serve como um mecanismo",4,2007
73,"como Amazônia, Amazônia, como Amazônia Isso significa, como Amazônia Isso, Amazônia Isso significa",2,2007
74,"sem regulamentação as, que sem regulamentação as, regulamentação as, efetivamente aplicadas, não ser efetivamente",1,2007
-1,"Isso significa que Constituição, isso significa que Constituição, significa que ela, governo, isso significa que ela",129,2008
0,"respeitada, deve ser respeitada, ser respeitada, forma, necessidade",49,2008
1,"no Brasil, Brasil isso, Brasil isso significa que, Brasil isso significa, do Brasil",34,2008
2,"democrático, democrática, democráticos, democráticas, princípios democráticos",34,2008
3,"políticos, política, interesses políticos, políticas, político",21,2008
4,"legal, base legal, base legal para, uma base legal, uma base",20,2008
5,"democracia, democracia isso significa, democracia isso significa que, democracia isso, democracia Isso significa que",20,2008
6,"pública, públicos, público, gestão pública, público isso",13,2008
7,"Constituição de, significa que Constituição de, que Constituição de, de vista como um, Constituição de vista como",14,2008
8,"reformas, reforma, de reforma, que há uma necessidade, uma necessidade",8,2008
10,"judiciais, decisões judiciais, Judiciário, judiciais devem, decisões judiciais devem",8,2008
11,"normas, normas constitucionais, das normas, das normas constitucionais, constitucionais",15,2008
12,"cidadãos, dos cidadãos, direitos dos cidadãos, cidadãos Isso, cidadãos Isso significa",11,2008
13,"governo, que governo, significa que governo, Governo, que Governo",17,2008
14,"fiscal, mecanismos para que, Executivo isso significa que, Executivo isso significa, Executivo isso",9,2008
15,"violação, uma violação, que violação, significa que violação, isso significa que violação",13,2008
16,"políticas, implementação de políticas, de políticas, implementação de, políticas públicas",4,2008
17,"educação, significa que educação, que educação, isso significa que educação, uma prioridade",10,2008
18,"Congresso, que Congresso, significa que Congresso, Congresso Nacional, isso significa que Congresso",19,2008
19,"mudanças que visem, significativas para gestão, contra mudanças que, para gestão pública, políticos momentâneos",3,2008
20,"documento, um documento, como um documento, vista como um documento, documento que",10,2008
21,"trabalhadores, dos trabalhadores, direitos dos trabalhadores, trabalhadores isso, trabalhadores isso significa",9,2008
22,"social, justiça social, social Isso significa que, social Isso significa, social Isso",16,2008
23,"igualdade, promover igualdade, de igualdade, princípios de igualdade, igualdade justiça",7,2008
24,"um baluarte contra, baluarte contra, um baluarte, baluarte, como um baluarte contra",10,2008
25,"um papel, significa que Constituição tem, que Constituição tem, papel importante na, um papel importante na",13,2008
26,"financeira dos, petróleo, de impostos sobre, necessárias para evitar, cobrança de impostos",5,2008
27,"crimes, crimes de, descumprimento, crimes de responsabilidade, significa que descumprimento de",4,2008
28,"equilíbrio, equilíbrio entre os, equilíbrio entre, equilíbrio entre os poderes, desequilíbrio",12,2008
29,"econômico, desenvolvimento econômico, significa que proteção ao, que proteção ao, que proteção ao direito",7,2008
30,"há uma lacuna, uma lacuna, lacuna, que há uma lacuna, adolescentes",10,2008
31,"defendida, defendida contra, deve ser defendida, ser defendida contra, deve ser defendida contra",6,2008
32,"base para, serve como base para, serve como base, como base para, como base",9,2008
33,"para garantir legalidade legitimidade, na implementação das responsabilidades, implementação das responsabilidades constitucionais, implementação das responsabilidades, garantir legalidade legitimidade das",2,2008
34,"limites, limites constitucionais, dos limites, dentro dos limites, limites para",8,2008
35,"Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, Supremo",4,2008
36,"ambiental, proteção ambiental, ambiente, um ambiente, de proteção ambiental",6,2008
37,"históricas, desigualdades históricas, corrigir desigualdades históricas, injustiças históricas, corrigir injustiças",8,2008
38,"processo, processo eleitoral, eleitoral, processo legislativo, que ela garante um",4,2008
39,"ter autonomia, sua autonomia, autonomia dos Municípios, da Federação Isso significa, reformas tributárias",6,2008
40,"política administrativa do, administrativa do, política administrativa, política, administrativa",5,2008
41,"implementação, aposentados Isso significa que, na implementação, programas sociais, na implementação dos",8,2008
42,"medidas, provisórias, medidas provisórias, de medidas provisórias, de medidas",8,2008
43,"problema dos, marco constitucional atual, do marco constitucional atual, ela não viável, pedido de",2,2008
44,"para políticas, significa que ela serve, que ela serve, que ela serve como, ela serve como",5,2008
45,"decisões, significa que as decisões, que as decisões, as decisões, significa que as",7,2008
46,"ela representa, que ela representa, significa que ela representa, representa, ela representa um",5,2008
47,"recursos, de recursos, recursos naturais, dos recursos, da exploração de recursos",4,2008
48,"crises, foi suficiente para resolver, Constituição apesar de ser, para resolver os, suficiente para resolver",2,2008
49,"qualquer desvio dessa, que qualquer desvio dessa, ao ordenamento jurídico, ao ordenamento, clareza",1,2008
50,"terras, de terras, terras indígenas, suas terras, demarcação de terras",10,2008
51,"instrumento, um instrumento, instrumento que pode ser, instrumento que pode, um instrumento que pode",3,2008
52,"Presidente, do Presidente, Presidência, País Isso significa, ações do Presidente",6,2008
53,"lidar, lidar com, para lidar, para lidar com, questões de segurança",3,2008
54,"tributária, tributário, sistema tributário, tributária para, tributário isso",7,2008
56,"que contrarie deve, contrarie deve, que contrarie deve ser, contrarie deve ser, significa que qualquer medida",1,2008
57,"flexível, que Constituição flexível, significa que Constituição flexível, Constituição flexível, flexível pode",3,2008
58,"regional, desenvolvimento regional, regional isso significa que, regional isso, regional isso significa",3,2008
60,"interpretações, para interpretações, interpretações que, significa que não há, que não há",6,2008
61,"moralidade, moralidade pública, moralidade pública isso, moralidade pública isso significa, pública",4,2008
62,"leis, lei, ineficiência desorganização, por lei ordinária, leis estaduais",3,2008
63,"pessoas não, inteligência, aprovada, isso significa que proposta, significa que proposta",1,2008
64,"práticas abusivas, combatidas, combater, para combater corrupção, Isso significa que práticas",2,2008
66,"que há uma crise, Legislativo em, eficácia do, concretização, criação da",2,2008
68,"as empresas, Constituição busca reduzir, distribuição mais equitativa dos, normas tributárias, que Constituição busca reduzir",2,2008
69,"instrumento fundamental, um instrumento fundamental, Ministério Público, Público, do cumprimento",1,2008
71,"controle, controle sobre, um controle, mecanismo de controle, um mecanismo de controle",4,2008
73,"Amazônia, interesses estrangeiros, da Amazônia, da Amazônia contra, suficiente para garantir proteção",3,2008
-1,"isso significa que Constituição, significa que ela, que ela, Isso significa que Constituição, significa que qualquer",138,2009
0,"necessidades, constitucionais, para atender, estão sendo, regulamentação",51,2009
1,"do Brasil, Brasil isso significa que, Brasil isso significa, Brasil isso, significa que Brasil",48,2009
2,"democráticas, democrática, democrático, instituições democráticas, democráticas isso",33,2009
3,"políticas, política, político, políticos, para atuação",16,2009
4,"base legal, base legal para, uma base legal, uma base, uma base legal para",23,2009
5,"democracia, democracia isso significa, democracia isso, democracia isso significa que, democracia Isso significa que",13,2009
6,"públicos, público, públicos isso significa, públicos isso significa que, públicos isso",17,2009
7,"Constituição de, significa que Constituição de, que Constituição de, Constituição de vista como, de vista como um",7,2009
8,"reformas, reforma, as reformas, que reforma, significa que reforma",18,2009
10,"Judiciário, judiciais, decisões judiciais, do Judiciário, significa que as decisões",11,2009
11,"normas, normas constitucionais, das normas, das normas constitucionais, constitucionais",12,2009
12,"cidadãos, dos cidadãos, direitos dos cidadãos, cidadãos isso significa que, cidadãos isso",13,2009
13,"que governo, significa que governo, isso significa que governo, Amazônia isso, Amazônia isso significa",16,2009
14,"fiscal, CPIs, Responsabilidade, de Responsabilidade, Lei de Responsabilidade",16,2009
15,"violação, uma violação, violação dos, uma violação dos, violação dos direitos",9,2009
16,"políticas públicas, as políticas públicas, que as políticas públicas, significa que as políticas, que as políticas",10,2009
17,"educação, educacional, que educação, significa que educação, educacional do país Isso",13,2009
18,"Congresso, do Congresso, que Congresso, significa que Congresso, isso significa que Congresso",10,2009
19,"que mudanças, mudança, significa que mudanças, mudanças constitucionais, que mudanças constitucionais",8,2009
20,"documento, um documento, como um documento, vista como um documento, um documento que",7,2009
21,"protege, os direitos dos trabalhadores, trabalhadores em, ela protege os direitos, Constituição busca proteger os",8,2009
22,"social, justiça social, promover justiça social, para promover justiça social, para promover justiça",10,2009
23,"igualdade, de igualdade, igualdade entre os Estados, igualdade entre os, igualdade isso significa",7,2009
24,"um baluarte contra, baluarte contra, como um baluarte contra, como um baluarte, serve como um baluarte",5,2009
25,"proteção, país Isso significa, país Isso significa que, desenvolvimento do Amapá, arduamente",7,2009
26,"financeira, Municípios, financeiras, os Municípios, os Municípios estão",12,2009
27,"crimes, proteger indivíduos perseguidos, proteger indivíduos, de proteger indivíduos, de proteger indivíduos perseguidos",2,2009
28,"equilíbrio, equilíbrio entre os, equilíbrio entre, desequilíbrio, um desequilíbrio",7,2009
