Topic,Words,Frequency,Timestamp
-1,"governo, isso significa que Constituição, significa que as, que as, significa que governo",111,2007
0,"democracia, necessidades, que qualquer, significa que qualquer, às",100,2007
1,"políticas, públicas, políticas públicas, para políticas, base para políticas",79,2007
2,"no Brasil, Brasil isso significa que, Brasil isso significa, Brasil isso, do Brasil",41,2007
3,"democráticos, democrático, democrática, democráticas, princípios democráticos",24,2007
4,"base legal, uma base, uma base legal, base legal para, legalidade",16,2007
5,"Constituição de, que Constituição de, significa que Constituição de, de vista como um, de vista como",15,2007
6,"reforma, reformas, que reforma, significa que reforma, reformar",9,2007
8,"judiciais, Judiciário, decisões judiciais, significa que Judiciário, que Judiciário",9,2007
9,"normas, normas constitucionais, das normas, das normas constitucionais, constitucionais",14,2007
10,"cidadãos, dos cidadãos, cidadãos isso significa, cidadãos isso significa que, cidadãos isso",11,2007
11,"fiscal, do governo Isso significa, do governo Isso, significa que Legislativo deve, governo Isso significa",11,2007
12,"educação, educação saúde, educação Isso significa que, educação Isso significa, educação Isso",12,2007
13,"Congresso, que Congresso, significa que Congresso, do Congresso, Congresso Nacional",13,2007
14,"que mudanças, significa que mudanças, mudanças constitucionais, que mudanças constitucionais, Isso significa que mudanças",13,2007
15,"documento, um documento, como um documento, um documento que, documento que",8,2007
16,"social, justiça social, social isso significa que, social isso significa, social isso",10,2007
17,"igualdade, instituições devem seguir, esses princípios para promover, territorial do país, igualdade justiça social",4,2007
18,"financeiras, significa que os, financeira dos, enfrentam dificuldades, significa que os Municípios",7,2007
19,"penal, crimes, legislação penal, descumprimento, de crimes",7,2007
20,"que equilíbrio, significa que equilíbrio, equilíbrio entre os, equilíbrio entre, equilíbrio",4,2007
21,"econômico, desenvolvimento econômico, do Estado na, instrumento de promoção, um instrumento de promoção",4,2007
22,"há uma lacuna, uma lacuna, lacuna, que há uma lacuna, significa que há uma",6,2007
23,"defendida, defendida contra, ser defendida, deve ser defendida, ser defendida contra",4,2007
24,"base para, que ela serve como, ela serve como, significa que ela serve, que ela serve",6,2007
25,"responsabilidade, responsabilidades, distribuição de, uma responsabilidade, responsabilidade de",8,2007
26,"limites, limites constitucionais, dentro dos limites, dos limites, dentro dos limites constitucionais",3,2007
28,"de gestão, estrutura de, que qualquer alteração na, qualquer alteração na, alteração na",1,2007
29,"significa que processo, que processo, processo legislativo, Isso significa que processo, processo atual de",4,2007
