Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,4479,-1_Implícito_Federal_discurso_Implícito discurso,"['Implícito', 'Federal', 'discurso', 'Implícito discurso', 'nossa', 'democracia', 'Governo', 'Estado', 'Brasil', 'que Constituição', 'importância', 'mas', 'lei', 'porque', 'constitucionais', 'Presidente', 'Constituição Federal', 'do Governo', 'social', 'são']","['Implícito', 'discurso', 'democracia', 'Estado', 'importância', 'constitucionais', 'Presidente', 'social', 'orador', 'menção', 'povo', 'brasileira', 'Congresso', 'necessidade', 'princípios', 'liberdade', 'saúde', 'democrático', 'sociedade', 'forma', 'anos', 'avaliação', 'proposta', 'brasileiro', 'igualdade', 'voto', 'pública', 'importante', 'instituições', 'leis']","[""Implícito: A menção ao 'esquecimento' da Lei de Segurança Nacional após a Constituição de 1988 sugere uma avaliação positiva da Constituição como um avanço democrático."", 'Implícito: A menção à constitucionalidade e juridicidade da proposta sugere que a Constituição é vista como um documento que apoia a criação de políticas públicas.', 'Implícito: A menção à participação de Almir Gabriel na Assembleia Nacional Constituinte e sua atuação como relator da Ordem Social sugere uma avaliação positiva da Constituição como um marco político.']"
0,781,0_Constituição de_da Constituição de_Constituinte_Constituinte de,"['Constituição de', 'da Constituição de', 'Constituinte', 'Constituinte de', 'Constituição Federal de', 'na Constituição de', 'Brasil', 'Estado', 'Constituição Federal', 'promulgação', 'promulgação da', 'Constituição de que', 'promulgação da Constituição', 'Constituição Cidadã', 'com Constituição', 'Constituição Cidadã de', 'redemocratização', 'muito', 'com Constituição de', 'Carta']","['anos', 'Estado', 'promulgação', 'redemocratização', 'partir', 'sociedade', 'brasileira', 'conquistas', 'avanços', 'social', 'grande', 'democrática', 'conquista', 'processo', 'trabalhadores', 'período', 'história', 'luta', 'saúde', 'participação', 'outubro', 'importante', 'tempo', 'Senador', 'brasileiros', 'maior', 'Único', 'elaboração', 'nova', 'relação']","['Quando da promulgação da Constituição de 1988 – que ele chamou de Constituição Cidadã –, ele disse: o povo pode ajudar o povo.', 'Contudo, demorou pelo menos 40 anos até que esse processo fosse introduzido no Brasil, que só passou a internalizar esses valores com a promulgação da Constituição Federal. Quando ela foi promulgada em 1988, consagrou, nos arts. de 196 a 200, o conceito ampliado – e bem ampliado – da saúde, bem como responsabilizou o Estado pela sua garantia e pela criação do Sistema Único de Saúde.', 'cumprimentar o meu Estado de Roraima, que hoje completa 33 anos de existência com a promulgação da Constituição de 1988, a Constituição Cidadã.']"
1,416,1_Brasil_brasileira_brasileiro_no Brasil,"['Brasil', 'brasileira', 'brasileiro', 'no Brasil', 'do Brasil', 'brasileiros', 'Constituição brasileira', 'nós', 'povo brasileiro', 'social', 'sociedade', 'sociedade brasileira', 'Estado', 'população', 'porque', 'hoje', 'ou', 'Brasil que', 'do povo', 'Rio']","['brasileira', 'brasileiro', 'brasileiros', 'povo', 'social', 'sociedade', 'anos', 'Estado', 'população', 'país', 'política', 'político', 'sistema', 'mundo', 'saúde', 'sociais', 'importante', 'nacional', 'poder', 'trabalhadores', 'momento', 'desigualdades', 'econômico', 'democracia', 'justiça', 'cidadão', 'forma', 'maior', 'liberdade', 'gente']","['Após meses de intenso trabalho da Assembléia Nacional Constituinte, promulga-se hoje a nova Constituição do Brasil. Nenhuma outra foi tão amplamente debatida, nenhuma outra contou com a participação popular através de todos os segmentos sociais... É o coroamento vitorioso deste trabalho. É a conquista maior do povo brasileiro.', 'A Constituição brasileira e a constituição de todos os países precisam ter a síntese dos 10 mandamentos da Bíblia dos cristãos. A nossa Constituição constitucionaliza a vida do País; ela entra em cada detalhe, ela incomoda a vida das pessoas, porque não é necessário que tanto detalhismo possa estar composto na Constituição como é no Brasil.', 'Nessa crise, muitos brasileiros passaram a entender a importância do Sistema Único de Saúde, que é fruto de uma luta popular, uma luta do povo brasileiro, é uma conquista da população brasileira. Ela representa a maior política de inclusão social que nós temos no País: mais de 70% da população brasileira depende do SUS.']"
2,334,2_Implícito orador_Implícito orador menciona_orador menciona_Implícito,"['Implícito orador', 'Implícito orador menciona', 'orador menciona', 'Implícito', 'Implícito orador menciona que', 'orador menciona que', 'menciona que', 'Implícito orador destaca', 'orador destaca', 'necessidade', 'indicando', 'sugerindo que Constituição', 'menciona que Constituição', 'orador menciona que Constituição', 'importância de', 'menciona importância', 'orador menciona importância', 'Implícito orador menciona importância', 'Implícito oradora', 'Implícito orador destaca importância']","['orador', 'importância', 'necessidade', 'proteção', 'documento', 'avaliação', 'positiva', 'estabilidade', 'papel', 'recursos', 'justiça', 'política', 'Estado', 'Senado', 'desigualdades', 'igualdade', 'social', 'trabalhadores', 'lei', 'políticas', 'leis', 'marco', 'redução', 'competência', 'regionais', 'discurso', 'Congresso', 'novas', 'protetora', 'ideia']","['Implícito: O orador menciona que a Constituição e a palavra de Deus devem ser consideradas, sugerindo que a Constituição é vista como um documento que protege valores fundamentais como a vida.', 'Implícito: O orador menciona que a Constituição é garantista e que ela garante direitos e impõe deveres, sugerindo uma visão equilibrada e protetiva dos direitos dos cidadãos.', 'Implícito: O orador menciona a necessidade de proteger a Constituição como um documento essencial para a manutenção da ordem democrática.']"
3,269,3_Presidente_Sr Presidente_da República_República,"['Presidente', 'Sr Presidente', 'da República', 'República', 'Presidente da', 'Presidente da República', 'do Presidente', 'Presidente Lula', 'Presidente que', 'Presidente Srs', 'Senado', 'Presidente Srs Senadores', 'Presidente Dilma', 'momento', 'Sr Presidente que', 'Presidência', 'Sr Presidente Srs', 'Sr Presidente Srs Senadores', 'do Presidente da', 'nossa Constituição']","['Presidente', 'República', 'Senadores', 'Senado', 'momento', 'Presidência', 'Senador', 'mandato', 'anos', 'emenda', 'Estado', 'respeito', 'sociedade', 'democracia', 'decisão', 'instituições', 'fato', 'processo', 'preciso', 'Executivo', 'partido', 'democrático', 'grande', 'medidas', 'meio', 'compromisso', 'clara', 'terceiro mandato', 'grave', 'leis']","['É preciso apenas destacar, Senador Eduardo Azeredo - muito grato pelo seu oportuno aparte -, que esse tema voltou, e voltou em volume muito grande. Primeiro foi um ex-Presidente da República com assento nesta Casa, o ex-Presidente Fernando Collor, que, em entrevista ao Valor, um jornal de grande circulação nacional, disse com todas as letras que defende e que defenderia em plenário um terceiro mandato para o Presidente Lula. O ex-Presidente se enquadra nas fileiras do PTB. Depois, uma notícia não desmentida até hoje de que os dois Presidentes da Casa pertencentes ao PMDB, da Câmara e do Senado da República, estiveram com o Presidente da República estimulando a que ele começasse a percorrer o caminho do terceiro mandato.', 'Eu acho que não é patriotismo derrubar um decreto constitucional do Presidente da República que não exorbitava um centímetro sequer das atribuições do Presidente da República!', 'A transposição é um direito histórico dos servidores que ajudaram a construir o Estado e foi aprovada pelo Congresso Nacional, pela Câmara e pelo Senado, promulgada pelo Presidente Michel Temer - que hoje é Vice-Presidente da República -, quando ainda era Presidente da Câmara dos Deputados, pelo Presidente Sarney, aqui, como Presidente do Congresso Nacional, e foi sancionada pelo Presidente Lula há mais de dois anos.']"
4,246,4_Tribunal_Supremo Tribunal_Tribunal Federal_Supremo Tribunal Federal,"['Tribunal', 'Supremo Tribunal', 'Tribunal Federal', 'Supremo Tribunal Federal', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'do Supremo', 'que Supremo Tribunal', 'que Supremo Tribunal Federal', 'que Supremo', 'pelo Supremo', 'ao Supremo Tribunal', 'Tribunal de', 'pelo Supremo Tribunal Federal', 'pelo Supremo Tribunal', 'ao Supremo Tribunal Federal', 'Tribunal Federal que', 'Supremo Tribunal Federal que', 'Federal que', 'no Supremo']","['decisão', 'tribunal', 'Senado', 'Justiça', 'decisões', 'Presidente', 'respeito', 'guardião', 'Ministro', 'brasileira', 'orador', 'papel', 'ministros', 'constitucionalidade', 'constitucionais', 'importância', 'extradição', 'mérito', 'caso', 'emenda', 'relação', 'italiano', 'razão', 'afronta', 'forma', 'intervenção', 'matéria', 'proposta', 'princípios', 'Estado']","['Essa emenda à Constituição é uma salvaguarda para prestigiar o Colegiado do Supremo Tribunal Federal.', 'uma medida claramente inconstitucional, uma decisão bastante recente do Supremo Tribunal Federal ficará desmoralizada.', 'O Supremo Tribunal Federal, em cada decisão de seu Ministro, não pode criar uma nova Constituição. O Supremo pode, sim, interpretar a Constituição da República. Essa decisão - mais uma vez expressando o respeito ao Ministro Fux - foge à história do Supremo Tribunal Federal.']"
5,220,5_Implícito discurso critica_discurso critica_crítica_critica,"['Implícito discurso critica', 'discurso critica', 'crítica', 'critica', 'Implícito discurso', 'discurso', 'Implícito', 'Implícito crítica', 'sugerindo que', 'sugerindo que Constituição', 'uma avaliação', 'uma avaliação negativa', 'avaliação negativa', 'Implícito discurso critica falta', 'discurso critica falta de', 'discurso critica falta', 'critica falta de', 'critica falta', 'crítica ao', 'indicam uma avaliação']","['crítica', 'discurso', 'Implícito', 'avaliação', 'falta', 'negativa', 'constitucionais', 'recursos', 'menção', 'aspecto', 'aplicação', 'concentração', 'desrespeito', 'medidas', 'provisórias', 'cumprimento', 'regulamentação', 'ação', 'situação', 'Executivo', 'Justiça', 'federativo', 'distribuição', 'fundamental', 'uso', 'atuação', 'tributário', 'ordem', 'Judiciário', 'militar']","['Implícito: O discurso critica a falta de repasse de verbas aos municípios, sugerindo que a Constituição protege esses direitos.', 'Implícito: O discurso critica a falta de equidade no tratamento das regiões, sugerindo que a Constituição deveria garantir essa equidade.', 'Implícito: O discurso critica a falta de ação das autoridades, sugerindo que a Constituição não está sendo efetivamente aplicada para proteger contra a intolerância religiosa.']"
6,191,6_impeachment_de impeachment_processo de impeachment_processo de,"['impeachment', 'de impeachment', 'processo de impeachment', 'processo de', 'do impeachment', 'impeachment como', 'Presidente', 'crime', 'Dilma', 'um processo', 'que impeachment', 'um processo de', 'Implícito orador', 'pedido de impeachment', 'impeachment da', 'critica processo de', 'critica processo', 'como um golpe', 'discurso', 'crime de responsabilidade']","['impeachment', 'processo', 'golpe', 'Presidente', 'crime', 'Implícito', 'orador', 'legal', 'discurso', 'responsabilidade', 'democracia', 'pedido', 'jurídico', 'previsto', 'brasileira', 'legitimidade', 'Presidenta', 'política', 'maioria', 'políticos', 'embasamento', 'importância', 'rito', 'forma', 'lei', 'legalidade', 'parlamentar', 'decisão', 'constitucionais', 'Congresso']","['Implícito: O discurso critica o processo de impeachment como uma ""monstruosidade jurídica"" e uma ""violência à Constituição Federal"", sugerindo que a Constituição está sendo desrespeitada.', 'Implícito: O orador menciona que o impeachment é um processo político e que, se fosse jurídico, deveria ser remetido ao Supremo Tribunal Federal, destacando a natureza política do processo de impeachment no sistema presidencialista brasileiro.', 'Implícito: O discurso critica o processo de impeachment como um golpe, sugerindo que a Constituição está sendo desrespeitada.']"
7,183,7_art_art da_art da Constituição_no art,"['art', 'art da', 'art da Constituição', 'no art', 'da Constituição Federal', 'do art', 'art da Constituição Federal', 'Constituição Federal', 'do art da', 'do art da Constituição', 'no art da', 'no art da Constituição', 'art que', 'art inciso', 'arts', 'nos termos do', 'União', 'arts da', 'publicidade', 'no seu art']","['inciso', 'artigo', 'arts', 'União', 'termos', 'publicidade', 'artigos', 'Estado', 'matéria', 'princípios', 'moralidade', 'legalidade', 'eficiência', 'IV', 'nacional', 'lei', 'regra', 'brasileira', 'proposição', 'sentido', 'garantias', 'III', 'texto', 'legal', 'dever', 'impessoalidade', 'II', 'dispositivo', 'único', 'educação']","['Vem ao exame do Plenário o Projeto de Lei de nº 1.360, de 2021... nos termos do §8º do art. 226 e do §4º do art. 227 da Constituição Federal... Nos termos do art. 23, XV, da Carta Magna, compete à União, aos Estados e ao Distrito Federal legislar concorrentemente sobre proteção à infância e à juventude, cabendo à União estabelecer normas gerais, bem como compete ainda à União legislar privativamente sobre Direito Penal e Direito Processual Penal.', 'Por último, para finalizar, reproduzimos o que diz o §4º do art. 57 da Constituição Federal, fundamento maior do direito público subjetivo aqui postulado.', 'a) a competência da União para legislar sobre direito tributário, nos termos do inciso I do art. 24 da Constituição Federal; b) a competência da União para legislar sobre o Imposto sobre a Renda, conforme o inciso III do art. 153 da Constituição Federal.']"
8,174,8_Constituinte_nossa Constituição_uma Constituição_Constituição não,"['Constituinte', 'nossa Constituição', 'uma Constituição', 'Constituição não', 'Constituição que', 'nós', 'muito', 'que se', 'constituinte', 'emenda', 'que está', 'voto', 'Por', 'sendo', 'mas', 'não tem', 'nova', 'não está', 'hoje', 'Agora']","['constituinte', 'emenda', 'voto', 'nova', 'lei', 'gente', 'anos', 'proposta', 'Estados', 'respeito', 'exclusiva', 'prática', 'situação', 'fato', 'meio', 'futuro', 'necessário', 'exemplar', 'país', 'sábios', 'preciso', 'regulamentação', 'clara', 'partir', 'rol', 'situações', 'fundamental', 'exceção', 'posição', 'favor']","['Já está na Constituição, foi feita aqui a lei complementar. Ai V. Exª disse assim; “Crivella, por que, então, deixam passar tanta arma e tanta droga pelas fronteiras?” Por isso que a gente quer fazer a nossa CPI. Eu não sei, mas nós temos de descobrir. Um dos fatores é este que V. Exª aponta: não tem recurso. O Exército vive à míngua.', 'Vamos ter a constituinte exclusiva que o Genoíno propõe, por meio de uma proposta de emenda à Constituição, mas vamos votar os itens que são inadiáveis a partir de hoje.', 'Este é o momento – e esta é a minha intenção – para esclarecermos conceitos, enriquecermos nosso conhecimento técnico, apreciarmos efeitos e consequências de nossas decisões, antes da deliberação que eventualmente resultará em alteração relevante em nossa legislação, já que estamos tratando de uma proposta de emenda à Constituição que, se aprovada, vai modificar nossa declaração de direitos.']"
