Topic,Words,Frequency,Timestamp
-1,"discurso, Implícito discurso, Federal, Governo, lei",263,2007
0,"Constituição de, da Constituição de, Constituinte, Constituinte de, Constituição Federal de",44,2007
1,"Brasil, auto suficiência, brasileira, Estado, no Brasil",21,2007
2,"Implícito orador, Implícito orador menciona, orador menciona, Implícito, orador menciona que",16,2007
3,"Presidente, Sr Presidente, Presidente da República, Presidente da, da República",19,2007
4,"Tribunal, Supremo, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal",5,2007
5,"crítica, Implícito discurso critica, discurso critica, critica, Implícito discurso",23,2007
7,"art, do art, art da, Constituição Federal, art da Constituição",12,2007
8,"PT não, do PT, Constituição não, que não, por colocar",11,2007
9,"discurso enfatiza, Implícito discurso enfatiza, Implícito discurso, Implícito discurso enfatiza importância, discurso enfatiza importância",18,2007
10,"Ulysses, Ulysses Guimarães, Guimarães, rasgar, Constituição rasgar",21,2007
11,"democracia, amam, se faz com, maior riqueza, ao que diz",9,2007
12,"democrático, Estado, quisermos, Estado democrático, as medidas provisórias",6,2007
13,"povos indígenas dos, povo brasileiro sobretudo, previsto na Constituição para, Implícito pela, de todo povo brasileiro",2,2007
14,"orador critica, Implícito orador critica, critica, Implícito orador, orador",4,2007
15,"para que nossa, os que se opõem, eu apresentei essa, desvios que, não apresentam",4,2007
16,"Implícito menção, sugere, sugere que, sugere que Constituição, que Constituição",16,2007
17,"educação, para que haja, da educação, problemas, educação que",9,2007
18,"Congresso, Congresso Nacional, Nacional, do Congresso, do Congresso Nacional",11,2007
19,"defender, de defender, equilíbrio, compromisso fundamental, vocação de",5,2007
20,"tem todo, conhecimento, arrecadação, da CPMF, Nação",8,2007
21,"essa denúncia, instrução, instrução normativa, propriedades, que de uma",11,2007
22,"crime, crime organizado, para narcotráfico, narcotráfico, pode aceitar",10,2007
23,"Federal, Constituição Federal, Senado Federal, Isso aqui, tem dever",11,2007
24,"criação de Roraima, do Estado do Amapá, de financiamento para, de Roraima como Estado, de Roraima como",3,2007
25,"de Responsabilidade, Responsabilidade, Lei de Responsabilidade, fiscal, Fiscal",6,2007
26,"discurso critica, Implícito discurso critica, critica, Implícito discurso, que isso contraria",6,2007
27,"visão, uma visão positiva, visão positiva, uma visão, sugere uma visão positiva",3,2007
28,"indicado, Presidente, uma votação, grande marco do, pela frente",3,2007
29,"Magna, Carta Magna, Carta, uma carta que, para democratização do",2,2007
30,"tributária, reforma tributária, discutia, distribuição, distribuição dos recursos",7,2007
31,"Casa, Casa tem, Esta Casa, Esta Casa tem, que esta Casa",4,2007
32,"art, art da Constituição, art da, do art, do art da Constituição",2,2007
33,"de políticas, do direito adquirido, políticas, Implícito discurso, privado",4,2007
34,"para soberania, novas bases, Que se, para democracia para, para cidadania",1,2007
35,"compulsórios, defender que, Implícito no discurso ao, discurso ao, conforme Constituição",1,2007
36,"ambiental, ambiente, meio ambiente, artigo da Constituição, do meio ambiente",4,2007
37,"da Criança, Adolescente, do Adolescente, da Criança do, da Criança do Adolescente",2,2007
39,"Portanto, com os direitos humanos, com os valores democráticos, se posicione, da República se",1,2007
40,"sociedade brasileira, ataque frontal, liberdade sindical, sociedade brasileira partir da, se de iniciativa",2,2007
41,"que isso tem, constitucional que criou, emenda constitucional que criou, impacto positivo que, alinhadas com os princípios",2,2007
42,"de terreno de, Patrimônio da União, fala se em, de terreno de marinha, terreno de marinha",2,2007
43,"autonomia, federativa, autonomia do, modelo, autonomia do Banco Central",3,2007
44,"parentes, princípio da impessoalidade, assessoria, nações indígenas, representação no",2,2007
45,"prefeitos, área de saúde, na área de saúde, na área, os prefeitos",5,2007
47,"importante, então, com apoio de, de proporcionar, que são as",3,2007
49,"Judiciário, podem ser, Poder Judiciário, legitimidade no, obedecem",2,2007
50,"terras, problema que precisa ser, problema que precisa, um problema que precisa, no contexto das",1,2007
51,"de Rondônia, de justiça para, para Estado de Rondônia, servidores públicos de, jogo democrático que",3,2007
54,"democracia brasileira, democracia, dentro da, da lei Quero, dentro da lei Quero",4,2007
-1,"Implícito, Implícito discurso, discurso, que Constituição, Governo",291,2008
0,"Constituição de, Constituinte de, Constituinte, da Constituição de, com Constituição",70,2008
1,"Brasil, brasileira, brasileiro, Constituição brasileira, são anos",29,2008
2,"Implícito orador, Implícito orador menciona, orador menciona, Implícito, menciona que",24,2008
3,"Presidente, Sr Presidente, Sr Presidente Srs, Sr Presidente Srs Senadores, Presidente Srs",18,2008
4,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, que Supremo Tribunal Federal",10,2008
5,"critica, Implícito discurso critica, discurso critica, crítica, discurso",23,2008
6,"direitos da pessoa humana, perfeita consonância com, perfeita consonância, posicionamento em, em perfeita consonância",1,2008
7,"art, no art, art da, art da Constituição, do art",8,2008
8,"Constituinte, muito mais, futuro, país não, foi Constituinte",16,2008
9,"Implícito discurso enfatiza, discurso enfatiza, Implícito discurso enfatiza importância, discurso enfatiza importância, enfatiza importância",8,2008
10,"Ulysses, Guimarães, Ulysses Guimarães, de outubro, outubro",21,2008
11,"democracia, uma democracia que, uma democracia, democracia que não, democracia que",12,2008
12,"democrática, Estado, democrático, democrático de, Estado democrático",12,2008
13,"no Brasil Então, Implícito há uma, Então quando, que militam, direito das populações",2,2008
14,"orador critica, Implícito orador critica, critica, Implícito orador, orador",12,2008
15,"alterarmos, Implícito respeitando, suas manifestações, que não basta, Legislação",3,2008
16,"Implícito menção, sugere que, ideal, Implícito, Implícito menção Constituição",8,2008
17,"educação, Educação, direito de todos educação, segmentos da, tenham igualdade de",6,2008
18,"Congresso, Congresso Nacional, do Congresso, acima, não pode",10,2008
19,"defender, de defender, um projeto, defender um, juraram respeitar",4,2008
20,"Câmara, da Câmara, conhecimento, Câmara dos Deputados, Câmara dos",7,2008
21,"provisória, urgência, regra para, que possamos ter, de funcionamento",7,2008
22,"como se, se isso não, não existisse, cidadão acesso, dissesse que",1,2008
23,"Constituição Federal, Federal, na Constituição Federal, por um, Senado Federal",9,2008
24,"Implícito menção, acessível, Implícito, uma avaliação positiva, avaliação positiva",6,2008
25,"Fiscal, de Responsabilidade Fiscal, Responsabilidade Fiscal, de Responsabilidade, Responsabilidade",6,2008
26,"discurso critica, Implícito discurso critica, critica, Implícito discurso, critica Governo por",7,2008
27,"uma visão positiva, visão positiva, uma visão, visa, visão",4,2008
28,"Presidente, Sr Presidente, brasileira, Brasil, Constituição brasileira",11,2008
29,"Magna, Carta Magna, nossa Carta Magna, que Carta, que Carta Magna",9,2008
30,"tributária, reforma tributária, reforma, sistema tributário, tributário",5,2008
31,"Casa, unanimidade, nesta Casa, solicitação, não poderia deixar de",3,2008
32,"do art, art, menção regulamentação do art, Implícito menção regulamentação, Implícito menção regulamentação do",2,2008
33,"Implícito discurso, discurso destaca importância, Implícito discurso destaca importância, Implícito discurso destaca, Implícito",5,2008
34,"cidadania, cidadã, educação direito, da ética dos, da essência da",5,2008
35,"Lei de Responsabilidade, de Responsabilidade, Responsabilidade, da Lei de Responsabilidade, Lei de Responsabilidade Fiscal",5,2008
36,"menção regulamentação, preservação dos recursos, Implícito menção regulamentação, menção regulamentação do, de preservação dos",2,2008
37,"da Criança, Criança, Adolescente, da Criança do Adolescente, do Adolescente",5,2008
