Topic,Rotulo
-1,"ORIENTAÇÃO, PRODUÇÃO, CRISE, EXPLORAÇÃO, ELETRICA, PREFEITO, PENAL, ZONA, PRESERVAÇÃO, TRANSCRIÇÃO, ANAIS, DIFICULDADE, VINCULAÇÃO, RECONHECIMENTO, ENTIDADE, POSSE, DOENÇA, PROFESSOR, DEMONSTRAÇÃO, CONTRATAÇÃO, JUROS, COMPENSAÇÃO, DESIGUALDADE, DROGA, OBTENÇÃO, ASSUNTOS, INFORMAÇÕES, EXCLUSÃO, MODERNIZAÇÃO, PUNIÇÃO"
0,"PESAR, PESAMES, GUERRA, DESEMBARGADOR, OCUPAÇÃO, ESPANHA, , , , , , , , , , , , , , , , , , , , , , , , "
1,"LAVA, TRANSCRIÇÃO, ANAIS, RESPEITO, CONTESTAÇÃO, PISO, PORTARIA, DIFICULDADE, DOENÇA, SALARIAL, DIVERSIDADE, REPUTAÇÃO, DIRETORIA, GADO, JURISDIÇÃO, CONSOLIDAÇÃO, CIENCIA, REGIONALIZAÇÃO, , , , , , , , , , , , "
2,"CRISE, DOENÇA, DISPENSA, MEDICO, CONTAMINAÇÃO, DESIGUALDADE, MEDICINA, PROPAGAÇÃO, AIDS, RISCO, PERIGO, CONCENTRAÇÃO, ATESTADO, CELULAR, LAVA, CENSURA, ATESTADO MEDICO, SEXO, ENTRADA, CIVILIZAÇÃO, ESPIRITISMO, ESCRITOR, , , , , , , , "
3,"GRAVIDADE, CRISE, COMPROMISSO, TENTATIVA, COMPARAÇÃO, DROGA, DEMONSTRAÇÃO, DIVERSIDADE, CONTINUAÇÃO, RECONHECIMENTO, PRESERVAÇÃO, PUNIÇÃO, RELEVANCIA, PODERES, GLOBO, CONSTITUCIONAIS, PROXIMIDADE, VINCULAÇÃO, FORMAÇÃO, ERRO, PARALISAÇÃO, PENAL, ENTREVISTA, DIGNIDADE, VERBA, DETERMINAÇÃO, CONSOLIDAÇÃO, EDIÇÃO, NOMEAÇÃO, INFORMAÇÕES"
4,"ZONA, PRESERVAÇÃO, AMAZONIA, PRODUÇÃO, NATURAIS, UNIVERSIDADE, PREFEITO, COLONIZAÇÃO, ENTIDADE, ARMADAS, MANEJO, DIVERSIDADE, DEMORA, RECLAMAÇÃO, DESIGUALDADE, EQUIPAMENTOS, PARALISAÇÃO, VIGILANCIA, OCUPAÇÃO, VINCULAÇÃO, EXCLUSIVIDADE, OFICIAL, ABANDONO, RELAÇÕES, EVOLUÇÃO, SIVAM, SOLENIDADE, TRATADO, NOTA, PRODUTOS"
5,"TRANSCRIÇÃO, ANAIS, TENTATIVA, PROFESSOR, ADMINISTRATIVA, TRANSPOSIÇÃO, PROBLEMAS, DOUTRINA, DESIGNAÇÃO, , , , , , , , , , , , , , , , , , , , , "
6,"CRISE, CANDIDATURA, TENTATIVA, NOMEAÇÃO, MANIPULAÇÃO, ERRO, NOME, EXPERIENCIA, , , , , , , , , , , , , , , , , , , , , , "
7,"DISPONIBILIDADE, ESTRANGEIRA, DISCRIMINAÇÃO, NACIONALIDADE, VERBA, ORÇAMENTARIOS, USO, MOVIMENTAÇÃO, DEMONSTRAÇÃO, MANUAL, PALAVRA, RACIAL, OBTENÇÃO, RECEPÇÃO, , , , , , , , , , , , , , , , "
8,"DEVOLUÇÃO, RESPOSTA, REMESSA, DEMONSTRAÇÃO, REDAÇÃO, PARALISAÇÃO, POSSE, DIVERSIDADE, ANULAÇÃO, , , , , , , , , , , , , , , , , , , , , "
