Topic,Rotulo
-1,"ORIENTAÇÃO, PRODUÇÃO, EXPLORAÇÃO, CONSTRUÇÃO, PREFEITO, ZONA, PRESERVAÇÃO, TRANSCRIÇÃO, ANAIS, DIVULGAÇÃO, RODOVIA, DIFICULDADE, ENTIDADE, SERVIÇOS, DOENÇA, DEMONSTRAÇÃO, DETALHAMENTO, EXECUÇÃO, JUROS, COMPENSAÇÃO, DESIGUALDADE, DIVERSIDADE, DROGA, OBTENÇÃO, ASSUNTOS, INFORMAÇÕES, EXCLUSÃO, CONCLUSÃO, MODERNIZAÇÃO, PUNIÇÃO"
0,"CENTRAL, EXCESSO, TENTATIVA, JUROS, ENTIDADE, CONSTRUÇÃO, DIVERSIDADE, INFLAÇÃO, MANIPULAÇÃO, DEMONSTRAÇÃO, PRODUÇÃO, FUNÇÃO, RELEVANCIA, PUNIÇÃO, TRANSCRIÇÃO, FORMAÇÃO, PRESERVAÇÃO, ANAIS, PENAL, PARALISAÇÃO, ASSUNTOS, CULTURA, RESPOSTA, MODERNIZAÇÃO, RODOVIA, PROXIMIDADE, GLOBO, DETERMINAÇÃO, ERRO, VERBA"
1,"PESAR, PESAMES, GUERRA, DESEMBARGADOR, OCUPAÇÃO, ESPANHA, , , , , , , , , , , , , , , , , , , , , , , , "
2,"TRANSCRIÇÃO, ANAIS, CAPITAL, PREFEITO, TENTATIVA, DISCRIMINAÇÃO, PROFESSOR, TRANSPOSIÇÃO, RACIAL, PREPARAÇÃO, ERRADICAÇÃO, PROBLEMAS, DOUTRINA, DESIGNAÇÃO, , , , , , , , , , , , , , , , "
3,"LAVA, TRANSCRIÇÃO, ANAIS, CONTESTAÇÃO, PISO, PORTARIA, DIFICULDADE, DOENÇA, SALARIAL, DIVERSIDADE, REPUTAÇÃO, CONSTRUÇÃO, DIRETORIA, GADO, JURISDIÇÃO, CONSOLIDAÇÃO, CIENCIA, REGIONALIZAÇÃO, , , , , , , , , , , , "
4,"DOENÇA, DISPENSA, CONTAMINAÇÃO, DESIGUALDADE, MEDICINA, PROPAGAÇÃO, AIDS, RISCO, PERIGO, CONCENTRAÇÃO, ATESTADO, CELULAR, LAVA, CENSURA, ATESTADO MEDICO, SEXO, ENTRADA, CIVILIZAÇÃO, ESPIRITISMO, ESCRITOR, , , , , , , , , , "
5,"ZONA, PRESERVAÇÃO, AMAZONIA, PRODUÇÃO, CONSTRUÇÃO, RODOVIA, NATURAIS, PREFEITO, COLONIZAÇÃO, ENTIDADE, ARMADAS, MANEJO, DIVERSIDADE, DEMORA, CULTURA, RECLAMAÇÃO, DESIGUALDADE, EQUIPAMENTOS, PARALISAÇÃO, VIGILANCIA, OCUPAÇÃO, EXCLUSIVIDADE, OFICIAL, ABANDONO, RELAÇÕES, EVOLUÇÃO, SIVAM, SOLENIDADE, TRATADO, NOTA"
6,"EVENTO, DISPONIBILIDADE, RELEVANCIA, FUNÇÃO, ESTRANGEIRA, DISCRIMINAÇÃO, NACIONALIDADE, VERBA, ORÇAMENTARIOS, USO, MOVIMENTAÇÃO, DEMONSTRAÇÃO, MANUAL, PALAVRA, RACIAL, OBTENÇÃO, RECEPÇÃO, PROVA, , , , , , , , , , , , "
7,"DEVOLUÇÃO, RESPOSTA, REMESSA, DEMONSTRAÇÃO, REDAÇÃO, PARALISAÇÃO, DIVERSIDADE, ANULAÇÃO, , , , , , , , , , , , , , , , , , , , , , "
8,"PROFISSIONAIS, SUPERIOR, ESCOLAR, CURSO, FORMAÇÃO, PROFISSÃO, NOTA, VERBA, EXCEPCIONAIS, AMIGOS, PRODUÇÃO, DISCRIMINAÇÃO, FUNÇÃO, ERRO, RENOVAÇÃO, REPROVAÇÃO, PREFEITO, CONCENTRAÇÃO, OFICIAL, PREFEITURA, DISPONIBILIDADE, DEMORA, DERMATOLOGIA, , , , , , , "
