Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2678,-1_destaca_orador destaca_causa disso orador destaca_disso orador destaca,"['destaca', 'orador destaca', 'causa disso orador destaca', 'disso orador destaca', 'disso orador destaca importância', 'orador destaca importância', 'destaca importância', 'importância de', 'disso orador apoia', 'orador apoia', 'causa disso orador apoia', 'aprovação', 'Senado', 'PEC', 'orador destaca importância de', 'destaca importância de', 'Constituição de', 'previsto', 'Congresso', 'conforme estabelecido']","['direitos', 'aprovação', 'Senado', 'lei', 'criação', 'forma', 'recursos', 'conformidade', 'política', 'pública', 'saúde', 'desenvolvimento', 'políticas', 'medidas', 'Estado', 'segurança', 'proposta', 'emenda', 'Estados', 'processo', 'provisórias', 'princípio', 'governo', 'Legislativo', 'legislação', 'papel', 'responsabilidade', 'transparência', 'aplicação', 'Presidente']","['Por causa disso, o orador destaca a importância de respeitar os limites constitucionais para garantir a harmonia entre os Poderes da República.', 'Por causa disso, o orador destaca a importância de fortalecer o Sistema Único de Saúde (SUS) para que ele se torne verdadeiramente universal, conforme estabelecido pela Constituição de 1988.', 'Por causa disso, o orador destaca a importância de que as leis, como a Lei Maria da Penha, estejam em conformidade com a Constituição de 1988, que prima pela não violência familiar e igualdade de direitos entre homens e mulheres.']"
0,3991,0_Tribunal_Supremo Tribunal Federal_Tribunal Federal_Supremo Tribunal,"['Tribunal', 'Supremo Tribunal Federal', 'Tribunal Federal', 'Supremo Tribunal', 'causa disso orador destaca', 'disso orador destaca', 'direitos', 'orador destaca importância', 'disso orador destaca importância', 'destaca importância', 'Brasil', 'orador destaca importância de', 'destaca importância de', 'Congresso', 'do Supremo', 'do Supremo Tribunal Federal', 'do Supremo Tribunal', 'do Senado', 'sugerindo', 'democracia']","['Senado', 'direitos', 'direito', 'política', 'medidas', 'princípios', 'democracia', 'emenda', 'lei', 'decisão', 'políticas', 'processo', 'segurança', 'atuação', 'Estado', 'respeito', 'aprovação', 'pública', 'liberdade', 'provisórias', 'governo', 'projeto', 'públicas', 'conformidade', 'igualdade', 'Judiciário', 'brasileira', 'defesa', 'social', 'falta']","['Por causa disso, o orador critica a atuação do Supremo Tribunal Federal, sugerindo que suas decisões estão em desacordo com a Constituição e que o Senado deve agir para reverter essa situação.', 'Por causa disso, o orador destaca a importância de garantir que as políticas públicas e legislações estejam alinhadas com os princípios constitucionais de inclusão e direitos humanos para pessoas com deficiência.', 'Por causa disso, o orador critica a atuação do Supremo Tribunal Federal, sugerindo que a Corte deve se ater aos limites da lei e não interpretar a lei de acordo com anseios sociais.']"
1,871,1_visa_que visa_de que visa_apoia,"['visa', 'que visa', 'de que visa', 'apoia', 'disso orador apoia', 'causa disso orador apoia', 'orador apoia', 'aprovação', 'PEC que visa', 'PEC de que visa', 'aprovação da', 'defende aprovação', 'orador defende aprovação', 'disso orador defende aprovação', 'PEC de que', 'disso orador apoia aprovação', 'orador apoia aprovação', 'apoia aprovação', 'aprovação da PEC', 'aprovação do']","['aprovação', 'proposta', 'emenda', 'conformidade', 'saúde', 'direito', 'União', 'direitos', 'pública', 'Senado', 'forma', 'recursos', 'social', 'Estados', 'trabalho', 'sistema', 'educação', 'Estado', 'trabalhadores', 'desenvolvimento', 'processo', 'criação', 'implementação', 'financiamento', 'terras', 'assistência', 'brasileiro', 'autonomia', 'princípio', 'brasileiros']","['Por causa disso, o orador apoia a aprovação da PEC nº 51, de 2003, que visa incluir o cerrado e a caatinga como biomas considerados patrimônio nacional na Constituição.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei nº 1.932, de 2021, que visa melhorar a logística de medicamentos no SUS, em conformidade com a gestão descentralizada determinada pela Constituição.', 'Por causa disso, o orador apoia a aprovação do Projeto de Lei de Conversão nº 5, de 2023, que visa regulamentar a retribuição dos servidores públicos e militares no exterior, garantindo conformidade com a Constituição.']"
2,646,2_impeachment_de impeachment_processo de impeachment_impeachment da,"['impeachment', 'de impeachment', 'processo de impeachment', 'impeachment da', 'Presidente Dilma', 'Presidente Dilma Rousseff', 'da Presidente', 'impeachment da Presidente', 'que processo de impeachment', 'que processo de', 'da Presidente Dilma', 'da Presidente Dilma Rousseff', 'de impeachment da', 'processo de impeachment da', 'crime de responsabilidade', 'crime de', 'de impeachment da Presidente', 'Presidenta', 'Presidenta Dilma', 'defende que processo de']","['impeachment', 'processo', 'Presidente', 'responsabilidade', 'crime', 'base', 'golpe', 'legal', 'legitimidade', 'crimes', 'inconstitucional', 'legais', 'violação', 'devido', 'abertura', 'mandato', 'procedimentos', 'devido processo', 'afastamento', 'pedido', 'jurídica', 'tentativa', 'normas', 'medida', 'defesa', 'acusações', 'forma', 'Estado', 'respeito', 'direito']","['Por causa disso, o orador argumenta que o impeachment da Presidente Dilma Rousseff não tem base constitucional, pois não há crime de responsabilidade comprovado, e critica o uso político do processo de impeachment.', 'Por causa disso, o orador argumenta que o processo de impeachment da Presidente Dilma Rousseff não tem base constitucional, pois não há crime de responsabilidade caracterizado.', 'Por causa disso, o orador defende que o processo de impeachment da Presidente Dilma Rousseff é constitucional e legítimo, conforme estabelecido pela Constituição de 1988.']"
3,533,3_causa disso orador destaca_disso orador destaca_orador destaca importância_disso orador destaca importância,"['causa disso orador destaca', 'disso orador destaca', 'orador destaca importância', 'disso orador destaca importância', 'destaca importância', 'da Constituição de', 'orador destaca importância da', 'destaca importância da', 'importância da Constituição de', 'importância da Constituição', 'destaca importância da Constituição', 'pela Constituição de', 'Constituição de Por causa', 'Constituição de Por', 'de Por causa disso', 'Constituição de como', 'Constituição de na', 'da Constituição de na', 'na Constituição de', 'importância de']","['marco', 'Estado', 'direitos', 'democracia', 'transformação', 'desenvolvimento', 'papel', 'consolidação', 'política', 'democrático', 'criação', 'princípios', 'democráticos', 'direito', 'políticas', 'democrática', 'social', 'elaboração', 'histórica', 'brasileira', 'transição', 'construção', 'defesa', 'públicas', 'estabilidade', 'avanços', 'país', 'cidadãos', 'processo', 'implementação']","['Por causa disso, o orador destaca a importância da Constituição de 1988 como um marco na estabilização democrática do Brasil, que permitiu a alternância de poder e a consolidação de direitos democráticos.', 'Por causa disso, o orador destaca a importância da Constituição de 1988 como um marco na redemocratização do Brasil, simbolizando a vitória sobre a ditadura militar e a consolidação dos direitos democráticos.', 'Por causa disso, o orador destaca a importância da Constituição de 1988 como um marco para a democracia plena no Brasil.']"
4,503,4_fiscal_fiscalização_financeira_Fiscal,"['fiscal', 'fiscalização', 'financeira', 'Fiscal', 'Lei de Responsabilidade', 'de Responsabilidade', 'Responsabilidade', 'Responsabilidade Fiscal', 'Lei de Responsabilidade Fiscal', 'de Responsabilidade Fiscal', 'fiscalizar', 'Estados', 'causa disso orador destaca', 'de fiscalização', 'Senado', 'disso orador destaca importância', 'orador destaca importância', 'destaca importância', 'constitucional de', 'seu papel']","['fiscal', 'fiscalização', 'financeira', 'recursos', 'Estados', 'papel', 'Municípios', 'Senado', 'União', 'controle', 'responsabilidade', 'autonomia', 'aprovação', 'fiscalizador', 'Executivo', 'transparência', 'Congresso', 'pública', 'maior', 'revisão', 'governo', 'financeiros', 'medidas', 'falta', 'orçamentária', 'emenda', 'relação', 'país', 'normas', 'entes']","['Por causa disso, o orador destaca a importância da Lei de Responsabilidade Fiscal como um marco na gestão pública, que trouxe maior controle e responsabilidade sobre as finanças públicas, evitando crises financeiras nos Estados e Municípios.', 'Por causa disso, o orador destaca a importância da Lei de Responsabilidade Fiscal como um marco na administração pública brasileira, que trouxe ordem e progresso, alinhando-se aos princípios constitucionais de responsabilidade na gestão fiscal.', 'Por causa disso, o orador destaca a importância da Lei de Responsabilidade Fiscal como um complemento necessário à Constituição de 1988 para assegurar a administração financeira responsável do país.']"
5,360,5_educação_Educação_da educação_de Educação,"['educação', 'Educação', 'da educação', 'de Educação', 'professores', 'causa disso orador destaca', 'importância de', 'educacional', 'Nacional de Educação', 'destaca importância de', 'orador destaca importância de', 'destaca importância', 'orador destaca importância', 'disso orador destaca importância', 'direito educação', 'educação Por', 'educação Por causa disso', 'educação Por causa', 'educacionais', 'em educação']","['educação', 'recursos', 'direito', 'professores', 'educacional', 'ensino', 'saúde', 'educacionais', 'qualidade', 'direitos', 'básica', 'escolas', 'universidades', 'cumprimento', 'lei', 'aprovação', 'projeto', 'públicas', 'forma', 'crianças', 'nacional', 'pública', 'piso', 'governo', 'social', 'pessoas', 'salarial', 'aplicação', 'igualdade', 'superior']","['Por causa disso, o orador defende a coexistência do ensino regular com o ensino especial, conforme previsto na Meta 4 do Plano Nacional de Educação, para garantir o direito à educação das pessoas com deficiência de forma inclusiva e adequada.', 'Por causa disso, o orador destaca a importância de garantir recursos para a educação como forma de cumprir as metas do Plano Nacional de Educação, que estão alinhadas com os princípios constitucionais de erradicação do analfabetismo e melhoria da educação.', 'Por causa disso, o orador destaca a importância de garantir o direito à educação, conforme previsto na Constituição, e defende a federalização da educação como meio de alcançar a excelência educacional e a igualdade de oportunidades.']"
6,278,6_terras_indígenas_terras indígenas_de terras,"['terras', 'indígenas', 'terras indígenas', 'de terras', 'de terras indígenas', 'demarcação de terras', 'demarcação de terras indígenas', 'temporal', 'indígenas Por causa', 'indígenas Por', 'das terras', 'para demarcação', 'os direitos', 'para demarcação de terras', 'para demarcação de', 'de demarcação', 'em terras', 'Florestal', 'Constituição de', 'Raposa Serra do Sol']","['terras', 'indígenas', 'demarcação', 'temporal', 'direitos', 'marco', 'aprovação', 'demarcações', 'comunidades', 'jurídica', 'projeto', 'quilombolas', 'exploração', 'Estado', 'áreas', 'lei', 'proteção', 'indígena', 'contínua', 'mineração', 'outubro', 'direito', 'revisão', 'ambiental', 'interpretação', 'nacional', 'regularização', 'novo', 'decisão', 'forma']","['Por causa disso, o orador critica a aplicação do marco temporal para a demarcação de terras indígenas, argumentando que ele desconsidera a expulsão histórica dos indígenas de suas terras antes de 1988.', 'Por causa disso, o orador defende a aprovação do PL 490, que reafirma o marco temporal de demarcação de terras indígenas, como uma forma de cumprir o que a Constituição de 1988 já estabelecia sobre a demarcação de terras indígenas.', 'Por causa disso, o orador destaca a importância de que laudos antropológicos para demarcação de terras indígenas sejam bem fundamentados para evitar insegurança jurídica e garantir o direito constitucional à demarcação de terras indígenas.']"
7,221,7_CPI_CPIs_para investigar_da CPI,"['CPI', 'CPIs', 'para investigar', 'da CPI', 'disso orador defende instalação', 'CPI da', 'CPI para', 'uma CPI', 'instalação de', 'CPI para investigar', 'instalação da', 'de uma CPI', 'da CPI da', 'instalação da CPI', 'fiscalização', 'de CPIs', 'instalação de uma', 'defende instalação da CPI', 'Inquérito', 'Comissão Parlamentar de']","['CPI', 'instalação', 'CPIs', 'fiscalização', 'Senado', 'criação', 'direito', 'minoria', 'investigação', 'investigações', 'requisitos', 'irregularidades', 'corrupção', 'transparência', 'minorias', 'requerimento', 'instauração', 'base', 'instrumentos', 'governo', 'forma', 'mesmo', 'futebol', 'fiscalizadora', 'funcionamento', 'função', 'uso', 'leitura', 'corporativos', 'cartões']","['Por causa disso, o orador defende a instalação de uma Comissão Parlamentar de Inquérito (CPI) para investigar denúncias de corrupção na Petrobras, como parte do cumprimento das prerrogativas constitucionais do Parlamento.', 'Por causa disso, o orador defende a instalação de uma Comissão Parlamentar de Inquérito (CPI) para investigar a espionagem praticada pelos Estados Unidos contra o Brasil, destacando a importância de proteger a privacidade e a soberania nacional.', 'Por causa disso, o orador defende a instalação de uma CPI para investigar a Petrobras, com base no direito constitucional de fiscalização do Legislativo.']"
8,142,8_royalties_petróleo_dos royalties_do petróleo,"['royalties', 'petróleo', 'dos royalties', 'do petróleo', 'distribuição dos', 'Estados', 'produtores', 'de petróleo', 'Estados produtores', 'que distribuição', 'orador defende que distribuição', 'defende que distribuição', 'do pré sal', 'Estados Municípios', 'redistribuição', 'exploração', 'deve respeitar', 'equitativa', 'os Estados Municípios', 'todos os Estados']","['royalties', 'petróleo', 'distribuição', 'Estados', 'produtores', 'Municípios', 'redistribuição', 'exploração', 'equitativa', 'recursos', 'projeto', 'lei', 'compensação', 'brasileiros', 'forma', 'estados', 'artigo', 'gás', 'União', 'financeira', 'conformidade', 'naturais', 'proposta', 'legislação', 'alteração', 'justa', 'tratamento', 'princípio', 'jurídico', 'ordinária']","['Por causa disso, o orador defende que a distribuição dos royalties do petróleo deve ser feita de forma a respeitar a Constituição e as leis complementares, garantindo uma distribuição mais equitativa entre todos os Estados e Municípios brasileiros.', 'Por causa disso, o orador defende que a distribuição dos royalties do petróleo deve ser feita de maneira diferenciada para compensar os Estados produtores, respeitando o pacto federativo estabelecido pela Constituição de 1988.', 'Por causa disso, o orador defende que a distribuição dos royalties do petróleo deve ser feita de maneira a garantir o equilíbrio federativo, conforme previsto na Constituição.']"
