Topic,Words,Frequency,Timestamp
-1,"causa disso orador destaca, orador destaca, disso orador destaca, destaca, orador destaca importância",153,2007
0,"destaca, disso orador destaca, causa disso orador destaca, orador destaca, Senado",268,2007
1,"visa, que visa, de que visa, orador apoia, disso orador apoia",41,2007
2,"de forma irregular, seu afastamento, conduzido de forma, normas constitucionais legais que, constitucionais legais que",1,2007
3,"Constituição de, da Constituição de, disso orador destaca importância, orador destaca importância, destaca importância",37,2007
4,"fiscalização, financeira, fiscal, fiscalizar, causa disso orador destaca",44,2007
5,"educação, da educação, orador destaca, causa disso orador destaca, disso orador destaca",28,2007
6,"terras, indígenas, terras indígenas, de terras, de terras indígenas",12,2007
7,"CPI, instalação, CPIs, da CPI, defende instalação",12,2007
8,"petróleo, royalties, do petróleo, de petróleo, dos royalties",5,2007
9,"tributária, reforma tributária, uma reforma tributária, uma reforma, reforma tributária que",9,2007
10,"art, art da Constituição, do art, do art da, do art da Constituição",8,2007
11,"Constituição de, contrária ao espírito, considerando contrária, partido Por causa disso, correção da",2,2007
13,"vetos, vetos presidenciais, presidenciais, veto, apreciar",4,2007
14,"estabelecida pela Emenda Constitucional, conforme nova determinação constitucional, conforme nova determinação, projetos de lei complementar, art da Constituição conforme",1,2007
17,"discutida com, mais bem, que divide, Chico, gestão ambiental",1,2007
19,"pacto federativo, pacto, federativo, entre União Estados, entre União Estados Municípios",4,2007
21,"medidas para garantir, de rádio, rádio, televisão, rádio televisão",3,2007
23,"Amazonas, do Amazonas, essa prática inconstitucional deve, abaixo do, do governo estadual do",2,2007
25,"CPMF, da CPMF, prorrogação da CPMF, prorrogação da, CPMF deve",31,2007
26,"transposição dos servidores, transposição dos, de Rondônia para, para quadro, Rondônia para quadro",1,2007
27,"que tratamento, para garantir conformidade, conformidade com as normas, para garantir conformidade com, ser revisado para garantir",1,2007
28,"não cumprir obrigação constitucional, que contribui para crise, líquida em saúde pública, obrigação constitucional de investir, por não cumprir obrigação",1,2007
-1,"medidas provisórias, orador destaca, causa disso orador destaca, disso orador destaca, orador destaca importância",172,2008
0,"medidas, medidas provisórias, causa disso orador destaca, disso orador destaca, Senado",276,2008
1,"visa, que visa, aprovação, disso orador apoia, orador apoia",48,2008
3,"causa disso orador destaca, disso orador destaca, da Constituição de, disso orador destaca importância, orador destaca importância",55,2008
4,"fiscalização, fiscal, fiscalizar, financeira, Fiscal",36,2008
5,"educação, professores, da educação, Educação, educacional",30,2008
6,"terras, indígenas, de terras, terras indígenas, de terras indígenas",39,2008
7,"CPI, CPIs, instalação, uma CPI, para investigar",22,2008
8,"petróleo, royalties, dos royalties, do petróleo, distribuição dos",10,2008
9,"reforma tributária, uma reforma tributária, uma reforma, de uma reforma tributária, de uma reforma",12,2008
10,"art, art da Constituição, do art, da Constituição, do art da",10,2008
11,"Constituição de, critica concentração de poder, de poder no Executivo, concentração de poder no, disso orador critica concentração",7,2008
13,"vetos, vetos presidenciais, presidenciais, dos vetos, veto",3,2008
15,"adicional de insalubridade, representa um avanço significativo, calculado sobre salário, calculado sobre, sobre salário mínimo",1,2008
16,"reforma, critica reforma da Previdência, ser revista para respeitar, revista para respeitar, sugerindo que reforma",1,2008
17,"ambiental, ambiente, meio ambiente, proteção, legislação ambiental",6,2008
18,"adolescentes, crianças adolescentes, conforme estabelecido, direitos das crianças, Estatuto da",7,2008
19,"pacto, pacto federativo, federativo, pacto federativo para, federativo para",5,2008
20,"STF, no Executivo especialmente, nomeação de Ministros do, de Ministros do STF, poder no Executivo especialmente",1,2008
21,"de rádio, rádio, TV, autorização judicial, Federal outras instituições",6,2008
