Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2408,-1_Constituição_que qualquer_implica que qualquer_qualquer,"['Constituição', 'que qualquer', 'implica que qualquer', 'qualquer', 'constitucional', 'com', 'direito', 'inconstitucional', 'que os', 'implica que Estado', 'isso implica que qualquer', 'que Estado', 'implica que os', 'que as', 'por', 'devem ser', 'implica que as', 'sem', 'implica que há', 'que há']","['Constituição', 'direitos', 'constitucional', 'Estado', 'direito', 'inconstitucional', 'lei', 'governo', 'forma', 'constitucionais', 'tentativa', 'legislação', 'cargos', 'medidas', 'igualdade', 'leis', 'dever', 'mesmo', 'proposta', 'regulamentação', 'necessidade', 'atual', 'provisórias', 'criação', 'necessário', 'processo', 'violência', 'base', 'sociedade', 'defesa']","['Isso implica que qualquer tentativa de retorno ao arbítrio ou ruptura constitucional é inaceitável.', 'isso implica que o Estado tem a obrigação de proteger as mulheres contra a violência.', 'Isso implica que qualquer tentativa de emenda constitucional nesse contexto é inapropriada ou ilegal.']"
0,478,0_que Brasil_implica que Brasil_do Brasil_no Brasil,"['que Brasil', 'implica que Brasil', 'do Brasil', 'no Brasil', 'Brasil Isso implica', 'Brasil Isso implica que', 'Brasil Isso', 'que Brasil deve', 'implica que Brasil deve', 'isso implica que Brasil', 'Brasil isso', 'Brasil isso implica que', 'Brasil isso implica', 'Isso implica que Brasil', 'Isso implica que Constituição', 'no Brasil Isso', 'no Brasil Isso implica', 'brasileira', 'do Brasil Isso implica', 'do Brasil Isso']","['brasileiro', 'Constituição', 'democracia', 'brasileiros', 'brasileira', 'marco', 'papel', 'países', 'direitos', 'importante', 'política', 'político', 'fundamentais', 'constitucional', 'sistema', 'país', 'nações', 'compromisso', 'consolidação', 'direito', 'soberania', 'relações', 'legislação', 'jurídico', 'organização', 'ordenamento', 'cidadãos', 'econômica', 'atual', 'estabilidade']","['Isso implica que a Constituição teve um papel fundamental na reorganização territorial do Brasil.', 'Isso implica que a Constituição teve um papel fundamental na reorganização territorial do Brasil.', 'Isso implica que a Constituição teve um papel fundamental na reorganização territorial do Brasil.']"
1,423,1_impeachment_de impeachment_que processo de_implica que processo de,"['impeachment', 'de impeachment', 'que processo de', 'implica que processo de', 'que processo', 'implica que processo', 'isso implica que processo', 'Isso implica que processo', 'deve seguir', 'de responsabilidade', 'crime', 'crime de responsabilidade', 'crime de', 'Dilma', 'um golpe', 'conduzido', 'legais', 'Presidente', 'um processo', 'constitucional']","['impeachment', 'processo', 'legítimo', 'crime', 'legal', 'golpe', 'legais', 'Presidente', 'constitucionais', 'responsabilidade', 'constitucional', 'preceitos', 'fundamentos', 'ferramenta', 'Senado', 'tentativa', 'jurídicos', 'jurídico', 'mecanismo', 'procedimento', 'inconstitucional', 'presidente', 'político', 'procedimentos', 'crimes', 'defesa', 'processos', 'decisão', 'atos', 'trâmites']","['Isso implica que o processo de impeachment é legal e constitucional.', 'isso implica que o processo de impeachment é ilegal e fraudulento.', 'Isso implica que o processo de impeachment é inconstitucional']"
2,337,2_governo_implica que governo_que governo_isso implica que governo,"['governo', 'implica que governo', 'que governo', 'isso implica que governo', 'governo deve', 'que governo deve', 'implica que governo deve', 'que Governo', 'implica que Governo', 'Isso implica que governo', 'Governo Federal', 'isso implica que Governo', 'implica que Governo Federal', 'que Governo Federal', 'do governo', 'ações do governo', 'as ações do governo', 'governo federal', 'Distrito Federal', 'que governo pode']","['governo', 'recursos', 'federal', 'ações', 'Estados', 'Constituição', 'governos', 'constitucionais', 'saúde', 'divisão', 'direitos', 'estados', 'estaduais', 'distribuição', 'Governador', 'pública', 'setores', 'acordos', 'conformidade', 'níveis', 'receita', 'intervenção', 'receitas', 'agências', 'novas', 'específica', 'mínima', 'arrecadação', 'povo', 'melhor']","['isso implica que o governo deve alocar adequadamente os recursos arrecadados para a saúde pública.', 'Isso implica que o Governo Federal deve respeitar essa divisão ao alocar recursos.', 'Isso implica que o governo deve respeitar acordos, tratados e leis.']"
3,320,3_medidas provisórias_de medidas_de medidas provisórias_que medidas,"['medidas provisórias', 'de medidas', 'de medidas provisórias', 'que medidas', 'implica que medidas', 'que medidas provisórias', 'implica que medidas provisórias', 'isso implica que medidas', 'medida provisória', 'implica que uso', 'medicamentos', 'implica que medida', 'que medida', 'que medida provisória', 'implica que medida provisória', 'Medida Provisória', 'isso implica que medida', 'implica que Medida Provisória', 'implica que Medida', 'que Medida']","['medidas', 'provisórias', 'medida', 'provisória', 'urgência', 'uso', 'medicamentos', 'relevância', 'Executivo', 'excessivo', 'inconstitucional', 'inconstitucionais', 'constitucional', 'questão', 'requisitos', 'Constituição', 'situações', 'critérios', 'tratamentos', 'acesso', 'Estado', 'obrigação', 'cidadãos', 'excepcionais', 'separação', 'necessários', 'poderes', 'inconstitucionalidade', 'critério', 'princípio']","['isso implica que o uso de medidas provisórias deve ser restrito e justificado.', 'isso implica que o uso excessivo de medidas provisórias desrespeita a Constituição.', ""isso implica que medidas provisórias com 'jabutis' são inconstitucionais.""]"
4,319,4_responsabilidade_responsabilidade de_tem responsabilidade_tem responsabilidade de,"['responsabilidade', 'responsabilidade de', 'tem responsabilidade', 'tem responsabilidade de', 'que Estado tem responsabilidade', 'Estado tem responsabilidade', 'Estado tem responsabilidade de', 'responsabilidade de garantir', 'tem responsabilidade de garantir', 'implica que Estado tem', 'que Estado tem', 'têm responsabilidade', 'isso implica que Estado', 'cidadãos', 'responsabilidades', 'segurança pública', 'que Senado tem responsabilidade', 'Senado tem responsabilidade', 'Senado tem responsabilidade de', 'têm responsabilidade de']","['responsabilidade', 'Estado', 'segurança', 'cidadãos', 'responsabilidades', 'pública', 'Senado', 'saúde', 'políticas', 'Estados', 'recursos', 'Municípios', 'habitação', 'serviços', 'condições', 'primária', 'públicas', 'municípios', 'direito', 'ensino', 'específicas', 'federativo', 'pendências', 'fundamental', 'leis', 'privada', 'dignas', 'áreas', 'prestação', 'medidas']","['isso implica que o Estado tem a responsabilidade de garantir esses direitos aos cidadãos', 'isso implica que o Estado tem a responsabilidade de garantir esses direitos aos cidadãos.', 'isso implica que o Estado tem a responsabilidade de garantir a segurança pública e proteger os cidadãos.']"
5,254,5_públicos_pública_público_Pública,"['públicos', 'pública', 'público', 'Pública', 'Defensoria Pública', 'servidores públicos', 'implica que Defensoria', 'que Defensoria Pública', 'implica que Defensoria Pública', 'saúde pública', 'administração', 'Estado', 'segurança pública', 'públicos isso implica que', 'públicos isso', 'públicos isso implica', 'serviço público', 'implica que Estado', 'Isso implica que Defensoria', 'isso implica que Defensoria']","['públicos', 'pública', 'público', 'servidores', 'segurança', 'administração', 'Estado', 'serviço', 'direito', 'recursos', 'saúde', 'acesso', 'defesa', 'cidadãos', 'interesse', 'justiça', 'concurso', 'obrigação', 'direitos', 'sistema', 'dever', 'princípios', 'garantia', 'fundamental', 'contratação', 'gestão', 'greve', 'pobres', 'papel', 'Estados']","['isso implica que a Defensoria Pública deve estar adequadamente equipada para garantir esses direitos.', 'Isso implica que a Defensoria Pública tem um papel fundamental na defesa dos direitos dos setores mais vulneráveis da sociedade', 'isso implica que a Defensoria Pública tem o direito de estruturar suas carreiras e cargos de forma independente.']"
6,241,6_judiciais_Judiciário_decisões judiciais_implica que Judiciário,"['judiciais', 'Judiciário', 'decisões judiciais', 'implica que Judiciário', 'que Judiciário', 'que decisões judiciais', 'implica que decisões judiciais', 'do Judiciário', 'as decisões judiciais', 'isso implica que Judiciário', 'Judiciário não', 'Poder Judiciário', 'isso implica que decisões', 'implica que as decisões', 'devem respeitar', 'Judiciário isso implica', 'Judiciário isso', 'Judiciário isso implica que', 'implica que as', 'Isso implica que decisões']","['judiciais', 'Judiciário', 'decisões', 'Legislativo', 'Executivo', 'ações', 'processos', 'papel', 'constitucionais', 'Constituição', 'reintegração', 'direitos', 'direito', 'prerrogativas', 'posse', 'poderes', 'ordens', 'forma', 'cidadãos', 'devido', 'devido processo', 'eficiente', 'autoridades', 'legalidade', 'processo', 'interferências', 'membros', 'inconstitucionais', 'legal', 'indevidas']","['isso implica que as decisões judiciais devem respeitar os princípios constitucionais.', 'Isso implica que decisões judiciais que impõem censura prévia são inconstitucionais.', 'isso implica que decisões judiciais devem respeitar esses princípios constitucionais.']"
7,239,7_que mudanças_implica que mudanças_isso implica que mudanças_Isso implica que mudanças,"['que mudanças', 'implica que mudanças', 'isso implica que mudanças', 'Isso implica que mudanças', 'mudanças constitucionais', 'que mudanças constitucionais', 'implica que mudanças constitucionais', 'significativas', 'mudanças significativas', 'que mudanças significativas', 'implica que mudanças significativas', 'constitucionais', 'mudanças na', 'mudanças constitucionais são', 'que mudanças constitucionais são', 'constitucionais são', 'através de emendas', 'implica que mudanças na', 'que mudanças na', 'podem ser realizadas']","['mudanças', 'significativas', 'constitucionais', 'emendas', 'necessárias', 'sistema', 'legislativo', 'político', 'regras', 'estruturais', 'processo', 'Constituição', 'consenso', 'legislação', 'parlamentares', 'eleitorais', 'difíceis', 'amplo', 'poder', 'adequado', 'amplo apoio', 'constitucional', 'suplentes', 'apoio', 'significativo', 'antecedência', 'emenda', 'Senado', 'mandato', 'forma']","['Isso implica que mudanças significativas no sistema tributário podem ser realizadas através de emendas constitucionais.', 'isso implica que mudanças significativas no sistema político podem ser realizadas através de emendas constitucionais.', 'Isso implica que mudanças significativas no sistema político podem ser realizadas através de emendas constitucionais.']"
8,222,8_educação_acesso educação_educação Isso_educação Isso implica,"['educação', 'acesso educação', 'educação Isso', 'educação Isso implica', 'educação Isso implica que', 'educação isso implica que', 'educação isso implica', 'educação isso', 'educação para', 'para educação', 'que educação', 'implica que Estado', 'implica que educação', 'obrigação', 'garantir acesso educação', 'educação para todos', 'em educação', 'acesso educação para', 'acesso educação para todos', 'garantir acesso educação para']","['educação', 'acesso', 'obrigação', 'Estado', 'qualidade', 'cidadãos', 'ensino', 'parte', 'escolas', 'mínimo', 'investimento', 'deficiência', 'constitucional', 'pessoas', 'segurança', 'crianças', 'especiais', 'sociais', 'médio', 'diretrizes', 'população', 'constitucionais', 'princípios', 'fundamental', 'entes', 'infantil', 'federativos', 'necessidades', 'emissoras', 'éticos']","['isso implica que o Estado tem a obrigação de garantir o acesso à educação para todos os cidadãos.', 'Isso implica que o Estado tem a obrigação de garantir o acesso à educação para todos os cidadãos.', 'isso implica que o Estado deve garantir o acesso à educação para todos os cidadãos.']"
