Topic,Words,Frequency,Timestamp
-1,"CPMF, Estado, deve, Constituição de, por",180,2007
0,"Constituição de, direito, permite, garante, por",351,2007
1,"art, do art, no art, arts, Constituição no",15,2007
2,"educação, direito educação, anos de idade, educação um, educação um direito",13,2007
3,"terras, terras indígenas, terra, terras da União, terras da",7,2007
4,"tributária, dos Tribunais de, Tribunais de, Tribunais, dos Tribunais",9,2007
5,"iguais perante lei, iguais perante, perante lei Constituição, lei Constituição, são iguais perante",6,2007
6,"ambientais, meio ambiente, ambientais Constituição, do poder público, Constituição permite transposição de",3,2007
7,"autonomia, financeira, administrativa financeira, administrativa, das agências reguladoras",7,2007
8,"uma família, que garante direito de, que garante direito, ter número, prioridade no",2,2007
9,"urgência, de urgência, urgência relevância, relevância Constituição, urgência relevância Constituição",10,2007
10,"desigualdades, desigualdades regionais, as desigualdades, das desigualdades regionais, regionais Constituição",5,2007
11,"Casa, outra, Casas, duas Casas, uma Casa",4,2007
13,"educação, em educação, investir, de investimento em, investimento",5,2007
14,"cláusulas pétreas, pétreas, cláusulas, cláusula, cláusula pétrea",4,2007
15,"empresas, empresa, público, jurídica de direito, de direito público",4,2007
16,"penal, penal Constituição, maioridade penal, Penal, penal Constituição estabelece",9,2007
17,"trânsito, em julgado, criação do Estado de, de Roraima Amapá em, Roraima Amapá em Estados",3,2007
19,"veto, vetos, que Congresso, presidenciais, Congresso",3,2007
20,"regime jurídico, específico para, Constituição reserva, de petróleo, petróleo",1,2007
21,"um quórum mínimo, exige um quórum mínimo, quórum mínimo, exige um quórum, Constituição exige um quórum",1,2007
22,"harmônicos, divisão de poderes necessidade, necessidade de que, de poderes necessidade de, de poderes necessidade",1,2007
24,"ICMS, ICMS sobre, petróleo, que ICMS, no destino",2,2007
25,"harmonia entre, harmonia entre os, independência harmonia, independência harmonia entre, harmonia entre os Poderes",4,2007
26,"dito, Constituição de ratificou, de ratificou, ratificou, direito ao voto",2,2007
27,"cargos, cargos públicos, públicos Constituição, de cargos, cargos Constituição",4,2007
28,"Armadas, Forças Armadas, das Forças Armadas, das Forças, as Forças Armadas",8,2007
29,"saúde Constituição, de saúde Constituição, sistema de saúde, universalização, universalização dos serviços",4,2007
30,"de ir vir, ir vir, direito de ir vir, garante direito de ir, Constituição garante direito de",1,2007
31,"igualdade entre, homens, igualdade, Constituição destaca, igualdade entre as",2,2007
-1,"Constituição de, por, direito, direitos, pode ser",188,2008
0,"Constituição de, não, deve, Federal, permite",394,2008
1,"art, artigos, do art, conforme, Constituição através do",13,2008
2,"educação, educação Constituição, saúde educação Constituição, saúde educação, para educação",9,2008
3,"terras, terras indígenas, de terras, as terras, índios",25,2008
4,"tributário, sistema tributário, tributária, Tributário, tributárias",7,2008
5,"perante lei Constituição, iguais perante lei, lei Constituição, são iguais perante, são iguais perante lei",8,2008
6,"ambiente, meio ambiente, ao meio ambiente, ao meio, equilibrado Constituição",9,2008
7,"autonomia, garante autonomia, estabelece autonomia, Constituição estabelece autonomia, sindicais Constituição",5,2008
8,"família, adolescente, criança, da família da sociedade, da família da",9,2008
9,"urgência, de urgência, medidas provisórias, urgência relevância, de urgência relevância",18,2008
10,"desigualdades, desigualdades regionais, das desigualdades, regionais Constituição, regionais Constituição estabelece",5,2008
11,"Casas, Casa, duas Casas, cada uma, da Casa",6,2008
12,"crédito, de crédito, extraordinário, ou calamidade, de guerra",11,2008
13,"tributos devem, tributos devem ser, salário para, para Educação, que da receita do",3,2008
14,"cláusula, cláusulas pétreas, pétreas, cláusula pétrea, cláusulas",2,2008
15,"empresas, pede que, seus cargos, parlamentares não, dos entes federados Constituição",3,2008
17,"trânsito em, trânsito em julgado, trânsito, que ninguém, condenatória",4,2008
18,"terras, indígenas, de terras, demarcação de, terras indígenas",5,2008
19,"veto, sanção ou veto do, ou veto do, ou veto do Presidente, de elaboração",1,2008
20,"petróleo, gás, exploração, que petróleo, estabelece que petróleo",9,2008
21,"Constituição exige, exige, Constituição exige que, exige que, exige dois terços",6,2008
22,"harmônicos, independentes, Poderes, que os Poderes, estabelece que os Poderes",2,2008
23,"Franca, Zona Franca, de Manaus, Franca de Manaus, Zona Franca de Manaus",1,2008
24,"ICMS, do ICMS, energia elétrica, elétrica, petróleo",4,2008
25,"harmonia, estabelece harmonia, Constituição estabelece harmonia, harmonia entre, harmonia entre os",4,2008
26,"do Senado Federal que, composição do Senado, na composição do, dignidade de, apenas um",2,2008
27,"cargos, Senado tem dever de, de cargos em, Constituição permite reeleição, afastamento do cargo",2,2008
28,"Armadas, Forças Armadas, das Forças, das Forças Armadas, as Forças Armadas",6,2008
29,"universal saúde, Sistema Único de Saúde, Único de Saúde, Sistema Único, Sistema Único de",4,2008
-1,"Constituição de, direito, uma, Estado, por",185,2009
0,"Constituição de, Federal, direito, garante, por",440,2009
1,"do art, art Constituição, art estabelece, seu art, art estabelece que",18,2009
2,"educação, Educação, saúde educação, pelo Ministério da, garante direitos como",14,2009
3,"terras, terra, de terras, da terra, as terras",10,2009
4,"tributária, Constituição não apoia, alteração constitucional, distribuição de receitas tributárias, de carga tributária",2,2009
5,"lei Constituição, perante lei Constituição, são iguais, iguais perante lei, iguais perante",6,2009
6,"ambiente, meio ambiente, ambiental, equilibrado, ao meio",10,2009
7,"autonomia, autonomia dos, uma autonomia, federados, financeira",9,2009
8,"proteção, família, às crianças, de crianças, proteção integral",6,2009
9,"urgência, urgência relevância, de urgência, em casos, medidas provisórias",8,2009
10,"desigualdades regionais, desigualdades, regionais, desigualdades regionais Constituição, regionais Constituição",4,2009
11,"casa, Casas, Casa, as Casas, de casa",4,2009
12,"crédito, de crédito, cartões de, operações de, estabelece competências exclusivas",3,2009
13,"educação, obrigatoriedade de, educação Constituição, um percentual mínimo, recursos",4,2009
14,"cláusula, cláusulas pétreas, pétreas, cláusula pétrea, pétreas que",2,2009
15,"empresas, economia mista, de economia mista, de economia, economia",7,2009
16,"maioridade, maioridade penal, penal, penal aos anos, maioridade penal aos",2,2009
17,"trânsito em, trânsito em julgado, trânsito, até trânsito, até trânsito em",3,2009
18,"terras, de terras, outubro de, outubro de Constituição, outubro",6,2009
19,"vetos, presidenciais, presidenciais devem, presidenciais devem ser, Constituição nacional deve",4,2009
20,"petróleo, exploração, de petróleo, exploração de petróleo, resultado da exploração",4,2009
21,"Constituição exige, Constituição exige que, exige que, sejam feitas por, sejam feitas",4,2009
22,"harmônicos, poderes da União, independentes, harmônicos entre, harmônicos entre si",1,2009
24,"estabelece que ICMS, no destino, que ICMS, cobrado, ICMS",1,2009
25,"harmonia, entre os Três Poderes, os Três, harmonia entre, harmonia entre os",1,2009
26,"Constituição de, Getúlio, Justiça do Trabalho, Getúlio Vargas, tratar do",4,2009
27,"Estado do Pará, do Estado do Pará, do Pará, para estudantes, nos serviços de",1,2009
28,"Armadas, Forças Armadas, Forças, pela Constituição como, as polícias militares",1,2009
29,"universalização do atendimento, universalização do atendimento saúde, atendimento saúde, do atendimento saúde, do atendimento",1,2009
30,"ir vir, de ir, ir, direito de ir vir, de ir vir Constituição",2,2009
-1,"Constituição de, ser, não, Estado, direito",173,2010
0,"Constituição de, Federal, não, direito, garante",314,2010
1,"art, do art, no art, que trata, militares",11,2010
2,"educação, que educação, estabelece que educação, Constituição estabelece que educação, direito educação",22,2010
3,"terras, indígenas, terras indígenas, as terras, de terras",9,2010
4,"tributária, Municípios Constituição proíbe, Constituição não ampara, censura ou, estabelece princípio da anterioridade",4,2010
5,"lei Constituição, perante lei Constituição, são iguais, iguais perante lei, iguais perante",5,2010
6,"ambiente, meio ambiente, do meio ambiente, ambiental Constituição, equilibrado",4,2010
7,"um Estado da Federação, de transformou Roraima em, autonomia para, estabelece autonomia, Constituição estabelece autonomia",2,2010
8,"adolescente, família, proteção, família da sociedade, da família da sociedade",5,2010
9,"projetos de lei, projetos de, projetos, constitucional pode, de urgência",2,2010
10,"desigualdades, desigualdades regionais, desigualdades regionais Constituição, regionais Constituição, as desigualdades regionais",8,2010
11,"ao orçamento, os projetos de, diretrizes orçamentárias, ao plano, estabelece que os projetos",1,2010
13,"educação, os Estados, em educação, investir, Governo Federal investir",3,2010
14,"cláusula, cláusula pétrea, como cláusula, como cláusula pétrea, cláusulas pétreas",3,2010
15,"nos lucros, Constituição estabelece participação, estabelece participação, participação dos trabalhadores, das empresas",1,2010
16,"Código, Penal, Código de Processo, Processo, de Processo",4,2010
19,"vetos, veto, presidenciais, presidenciais devem ser, presidenciais devem",4,2010
20,"petróleo, exploração, de petróleo, exploração de petróleo, gás",9,2010
24,"cobrar ICMS, energia elétrica, petróleo energia, petróleo energia elétrica, de petróleo de",2,2010
25,"harmonia, harmonia entre, harmonia entre os, harmonia entre os três, independência harmonia",1,2010
26,"de um novo ciclo, novo ciclo, recuperação do, um novo ciclo, destinava",2,2010
28,"Armadas, Forças, Forças Armadas, das Forças Armadas, das Forças",2,2010
29,"uma grande conquista, foi uma, grande conquista, universalização do, universalização",1,2010
30,"ir vir, de ir vir, de ir, ir, direito de ir vir",2,2010
-1,"Constituição de, Estado, todos, deve, uma",198,2011
0,"Constituição de, direito, Federal, Estado, deve ser",404,2011
1,"art, do art, Constituição através do, Constituição através, art Constituição",19,2011
2,"educação, um direito, educação um direito, educação um, educação saúde",14,2011
3,"terras, terra, terras indígenas, terras indígenas Constituição, exploração mineral",12,2011
4,"tributária, tributos, tributárias, tributário, tribunais",9,2011
5,"perante lei, que todos, igualdade perante lei, igualdade perante, são iguais",4,2011
6,"ambiente, meio ambiente, equilibrado, ambiental, equilibrado Constituição",9,2011
7,"financeira, estabelece autonomia, garante autonomia, Constituição estabelece autonomia, de autonomia",5,2011
8,"família, criança, adolescente, prioridade, proteção",13,2011
9,"medidas provisórias, provisórias, urgência Constituição, relevância urgência, de relevância urgência",3,2011
10,"desigualdades, desigualdades regionais, regionais Constituição, desigualdades regionais Constituição, das desigualdades",11,2011
11,"Casas, de casa, casa, Casa, duas Casas",8,2011
13,"orçamentos, na saúde, investir, educação, que dos",7,2011
14,"cláusulas pétreas, pétreas, cláusulas, não podem ser alteradas, ser alteradas",6,2011
15,"empresas, as empresas, empresarial, Constituição estabelece que as, estabelece que as",4,2011
16,"Penal, penal, maioridade penal, Constituição de estabelece, penal aos anos",5,2011
17,"em julgado, trânsito, trânsito em, trânsito em julgado, Constitucionais",4,2011
18,"Constituição de reconheceu direito, de reconheceu direito, reconheceu direito, pela emancipação, norte",1,2011
19,"vetos, presidenciais, rito para apreciação, estabelece rito para apreciação, Constituição estabelece rito para",3,2011
20,"petróleo, exploração, da exploração, gás, de petróleo",15,2011
21,"novos Estados ou, plebiscito para criação de, plebiscito para criação, de novos Estados, criação de novos Estados",1,2011
22,"independentes, ser harmônicos, devem ser harmônicos, são independentes, que os",3,2011
