Topic,Words,Frequency,Timestamp
-1,"art da, todos, da Constituição Federal, art da Constituição, hoje",241,2007
0,"Constituição de, da Constituição de, Constituinte, na Constituição de, Constituição de que",47,2007
1,"da Constituição Federal, do art, art da, art da Constituição, do art da",25,2007
2,"Presidente, Presidente da, Presidente da República, Sr Presidente, da República",25,2007
3,"Tribunal Federal, Supremo Tribunal, Supremo Tribunal Federal, Supremo, Tribunal de",10,2007
4,"crime, penal, crime de, de responsabilidade, crime de responsabilidade",16,2007
5,"emenda, de emenda, emenda Constituição, de emenda Constituição, proposta de emenda",23,2007
6,"brasileira, Brasil, costeiras, ilhas costeiras, Constituição brasileira",17,2007
7,"obrigado, ex Presidente Collor, eu queria fazer, legislação brasileira Constituição brasileira, Constituição brasileira assim",1,2007
8,"na Constituição Federal, cristalina, Governo, artigos que, para os",16,2007
9,"Implícito, do respeito, na nossa, verdade, concentrados",8,2007
10,"educação, professores, Educação, dever do Estado da, educação direito de todos",14,2007
11,"as desigualdades, reduzir as desigualdades, Federativa do Brasil, República Federativa do Brasil, República Federativa do",12,2007
12,"Casa, esta Casa, nesta Casa, nesta, Casas",16,2007
13,"fiscalização, fiscal, Fiscal, fiscalizar, Responsabilidade",12,2007
14,"Implícito, Implícito orador, Implícito orador menciona, Constituição Implícito, Implícito orador menciona que",5,2007
15,"de cada, pública, privado da, de que regulamenta art, será privado da liberdade",4,2007
16,"Ministro, mínimo, mínima, salário mínimo, idade mínima",9,2007
17,"Regimento, nosso Regimento, Constituição Regimento, Regimento Interno, da Constituição do",13,2007
18,"Congresso, Congresso Nacional, do Congresso, imposto, do Congresso Nacional",7,2007
19,"prefeitos, fundos constitucionais, os fundos constitucionais, fundos, os fundos",21,2007
20,"Implícito, que não respeita, Constituição brasileira, brasileira, acima da",5,2007
21,"petróleo, do petróleo, ICMS, seu art estabelece de, indústria no",3,2007
22,"medidas, medidas provisórias, medida provisória, de urgência, urgência relevância",9,2007
23,"Câmara, da Câmara, CCJ, CCJ da Câmara, CCJ da",4,2007
24,"adolescente, assegurada em nossa, de prevê que, uma vez que as, que as nossas",2,2007
25,"democrático, democrática, democrático de direito, Estado democrático, democrático de",7,2007
26,"terras, terra, terras indígenas, das terras, de terra",3,2007
27,"Ulysses, Ulysses Guimarães, Guimarães, Constituição Cidadã, de Ulysses",11,2007
28,"ambiental, ambiente, meio ambiente, comum do povo, uso comum",3,2007
29,"Portanto, nos casos, portanto, Constituição Portanto, estabelecido na",9,2007
30,"Judiciário, administrada, Hoje nós estamos, República hoje, inclusão no",2,2007
31,"tributária, reforma tributária, questão política, uma questão política, pactuando",6,2007
32,"votação, da sede do, expressamente vetada, de suas comissões, Congresso Nacional",2,2007
33,"Carta Magna, Magna, Carta, nossa Carta Magna, nossa Carta",4,2007
36,"democracia, ao que diz, ao que diz Constituição, pelo Parlamento que, da Constituição também",3,2007
37,"CPI, condições constitucionais, as condições constitucionais, qualquer CPI, que se respeite",3,2007
38,"pétreas, cláusulas pétreas, pétreas da Constituição, pétreas da, cláusulas",3,2007
39,"defender, portanto, Defendo, Constituição brasileira defender, Constituição Cidadã já",5,2007
40,"veto, as demais proposições, demais proposições até sua, até sua votação final, proposições até sua votação",2,2007
41,"Ministério Público, Ministério, Público, introduzidas, Pública para",1,2007
42,"processo legal, legal, devido processo, devido processo legal, de jurisdição para",4,2007
43,"povo que, tinha, anos aqui, aqui porque Constituição, patrão",1,2007
44,"de Roraima, Transitórias, Ato das Disposições, Constitucionais Transitórias, Disposições Constitucionais Transitórias",5,2007
45,"respeitado, CPMF, arrecadação, Governo, da CPMF",4,2007
