Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,2786,-1_Constituição_uma_não_com,"['Constituição', 'uma', 'não', 'com', 'os', 'como', 'por', 'Federal', 'emenda', 'PEC', 'nós', 'essa', 'está', 'da Constituição', 'mais', 'Senador', 'Constituição Federal', 'Presidente', 'proposta', 'eu']","['Constituição', 'emenda', 'Presidente', 'proposta', 'lei', 'República', 'Estado', 'direito', 'País', 'Congresso', 'reforma', 'direitos', 'povo', 'democracia', 'forma', 'Estados', 'anos', 'leis', 'saúde', 'pública', 'sociedade', 'projeto', 'brasileiro', 'ano', 'União', 'processo', 'legislação', 'sociais', 'Poder', 'texto']","['a PEC nº 18, de 2013, que apresentei com o apoio de mais de 27 Senadores, acrescenta os §§ 3º-A e 3º-B ao art. 55 da Constituição Federal', '...será importante para o sistema legal brasileiro a aprovação, pelo Senado Federal -- e espero também pela Câmara dos Deputados --, da proposta de emenda à Constituição, de autoria do Senador Jarbas Vasconcelos, que vem clarear a Constituição Federal para que não reste nenhuma dúvida de quais devem ser os procedimentos nesse caso.', 'O Sr. Lindbergh Farias (Bloco Parlamentar da Resistência Democrática/PT - RJ) – Porque eu estive com V. Exª, com a Senadora Fátima, com a Senadora Gleisi Hoffmann em Goiânia. Depois, V. Exª e Senadora Fátima foram no Secretário de Segurança, Balestreri, conversar sobre o tema, que foi aquela agressão, que V. Exª falou, ao jovem Mateus. Na verdade, quebraram, um policial, de forma despropositada, o cassetete na cabeça do rapaz, que teve um afundamento craniano. E a gente foi prestar uma visita de solidariedade ali... A SRª REGINA SOUSA (Bloco Parlamentar da Resistência Democrática/PT - PI) – E cassetete de madeira, diga-se de passagem, que é proibido. O Sr. Lindbergh Farias (Bloco Parlamentar da Resistência Democrática/PT - RJ) – Claro. E fomos lá, Senadora Regina. Eu achei interessante quando o irmão do Mateus, o Natan, estava lá, a sua mãe, Suzethe, o seu pai, Salatiel, teve uma hora que eu coloquei o Presidente Lula falando com eles, porque disse que o Mateus gostava muito do Presidente Lula. E o Presidente Lula fez questão de falar com a mãe dele, com o pai dele, com o irmão dele. E a gente viu como aquilo foi um conforto naquele momento. E V. Exª entrou num tema, falando da coisa da polícia. Sabe, Senadora, aqui muito rapidamente, eu sou autor de uma PEC, a PEC 51, que fala da desmilitarização da polícia, que é muito mal compreendida. O problema da nossa polícia hoje... Hoje a polícia, pelo art. 144 da Constituição, é força auxiliar reserva do Exército. E tem toda uma formação, uma herança que vem desde a ditadura, que é de você estar preparado para a guerra, para o confronto com o inimigo, e não para proteção do cidadão, para defesa da sociedade. V. Exª sabe, inclusive, que eu estou convencido de que a desmilitarização é boa para os policiais. Isso não significa dizer que o policial não está armado, não. É armado. A SWAT norte-americana não é militarizada. E, na maior parte dos países do mundo, a polícia não é militarizada. Mas hoje sabe o que acontece? Você tem códigos disciplinares draconianos, abusivos contra o soldado. O soldado, às vezes, chega com a botina suja e vai preso. Aí, o caso do Amarildo, desaparecido no Rio de Janeiro. Você vê, tinha 17 policiais envolvidos. Eu fiquei pensando: por que será que nenhum disse: parem com isso? É porque nós temos uma hierarquia completamente enlouquecida. Então, eu chamo a atenção para esse debate. A juventude está levantando muito nas passeatas pelo País afora, porque é uma polícia despreparada para o trato com os manifestantes, mas também para o trato com as pessoas. O inimigo? Quem é o inimigo em uma favela do Rio de Janeiro? É o jovem negro, morador ali da periferia. Então, a gente tem que fazer uma reforma profunda das polícias. Eu peço desculpas por pedir o aparte no começo da fala de V. Exª, mas, como estive em Goiânia com V. Exª, acho importante registrar isso. Muito obrigado. A SRª REGINA SOUSA (Bloco Parlamentar da Resistência Democrática/PT - PI) – Obrigada, Senador Lindbergh. Eu acho que é importante esse tema ser debatido. Inclusive, começamos esse debate aqui, e as pessoas não gostam muito de debate, algumas, mas nós gostamos. Eu acho que tem que se pautar esse assunto, da questão das polícias, porque nós não podemos atribuir só a elas a culpa. Como o senhor falou, elas também, às vezes, são maltratadas e querem descontar no primeiro que encontram, porque a formação está errada.']"
0,5674,0_Não se_se aplica_aplica_aplica se,"['Não se', 'se aplica', 'aplica', 'aplica se', 'se aplica se', 'aplica se aplica', 'se aplica se aplica', 'para este', 'este ano', 'isso Nós queremos', 'Tudo bem', 'Não precisa ser', 'Não precisa', 'no Orçamento', 'ano Não', 'Não tem', 'Não estamos', 'do ano que vem', 'do ano que', 'daqui para frente']","['ano', 'orçamento', 'frente', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Não se aplica', 'Não se aplica', 'Não se aplica']"
1,875,1_Constituição_emenda_emenda Constituição_de emenda,"['Constituição', 'emenda', 'emenda Constituição', 'de emenda', 'de emenda Constituição', 'proposta', 'uma', 'proposta de emenda', 'proposta de', 'proposta de emenda Constituição', 'nós', 'Constituição que', 'nossa Constituição', 'está', 'como', 'por', 'essa', 'eu', 'na Constituição', 'temos']","['Constituição', 'emenda', 'proposta', 'lei', 'Senador', 'constitucional', 'propostas', 'projeto', 'cumprimento', 'Senado', 'saúde', 'Executivo', 'medidas', 'recursos', 'regulamentação', 'momento', 'processo', 'acordo', 'dever', 'discussão', 'provisórias', 'pessoas', 'vez', 'complementar', 'princípio', 'segurança', 'população', 'situação', 'tema', 'Estados']","['Além do projeto citado por V. Exa., há uma proposta de emenda à Constituição de minha autoria e uma outra proposta de emenda à Constituição de autoria do Senador Oriovisto. São propostas diferentes, mas eu creio que todas elas devem ser reunidas para que o Relator, Rodrigo Pacheco, segundo V. Exa. anuncia, possa elaborar, quem sabe, a melhor forma de atender a essa expectativa da Nação.', 'A proposta de emenda à Constituição apenas insere isso.', 'Quando percebi essa inadmissível lacuna, já em 2001, providenciei imediatamente uma proposta de emenda à Constituição que corrigisse essa falha.']"
2,663,2_Constituição de_Constituição_da Constituição de_com,"['Constituição de', 'Constituição', 'da Constituição de', 'com', 'foi', 'na Constituição de', 'da Constituição', 'direitos', 'na Constituição', 'uma', 'Estado', 'Constituinte', 'Constituição Federal de', 'como', 'Constituição de que', 'de que', 'Brasil', 'social', 'mais', 'Federal']","['Constituição', 'direitos', 'Estado', 'social', 'promulgação', 'anos', 'direito', 'sociais', 'brasileira', 'conquistas', 'conquista', 'avanços', 'público', 'mulheres', 'cidadã', 'constitucional', 'brasileiros', 'grande', 'liberdade', 'maior', 'mesmo', 'processo', 'pacto', 'nova', 'homens', 'transformação', 'democrática', 'dia', 'Territórios', 'condição']","['no dia 5 de outubro, estaremos comemorando 23 anos da criação ou da promulgação da Constituição de 1988, que criou os Estados de Roraima e do Amapá.', 'Olha, vocês romperam o pacto da Constituição de 1988.', 'A Constituição de 1988 restaurou a democracia. A Constituição de 1988 consolidou um novo período histórico.']"
3,594,3_Presidente_Sr Presidente_Constituição_República,"['Presidente', 'Sr Presidente', 'Constituição', 'República', 'da República', 'Presidente da', 'uma', 'não', 'com', 'Presidente da República', 'mais', 'Senadores', 'os', 'por', 'Senado', 'como', 'as', 'Dilma', 'Srs Senadores', 'proposta']","['Presidente', 'Constituição', 'Senadores', 'emenda', 'Senado', 'proposta', 'Senador', 'País', 'brasileira', 'constitucional', 'lei', 'direitos', 'medida', 'sociedade', 'vez', 'povo', 'direito', 'mandato', 'Estado', 'importante', 'dia', 'processo', 'constitucionais', 'projeto', 'forma', 'política', 'poder', 'cumprimento', 'fato', 'decisão']","['""Pois adotaram, Sr. Presidente, adotaram a medida provisória. Caiu o parlamentarismo e ficou a medida provisória. Ficou aí, e nós nos humilhando, Sr. Presidente. E nós nos humilhando.""', 'Além disso, é preciso resgatar uma dívida com esses homens públicos que, corajosamente, expõem suas vidas e que, muitas vezes, Sr. Presidente e Srs. Senadores, têm remunerações aviltantes. Em nome deles, em nome desses heróis anônimos, apresentei uma proposta de emenda à Constituição que fixa, Sr. Presidente, Srs. Senadores, o piso salarial para as Polícias e para o Corpo de Bombeiros, que foi aprovada aqui, no Senado, em primeiro e em segundo turno e que está ainda tramitando na Câmara dos Deputados.', '""Que a Presidente da República, Presidente Dilma, possa levar em consideração os problemas nucleares, os perigos da energia nuclear e possa, sobretudo, Sr. Presidente, dar satisfação ao Congresso Nacional. É preciso que ela se lembre que nenhum reator pode ser operado no Território nacional sem que seja ouvido o Congresso Nacional.""']"
4,550,4_Brasil_brasileira_Constituição_Constituição brasileira,"['Brasil', 'brasileira', 'Constituição', 'Constituição brasileira', 'brasileiro', 'com', 'não', 'do Brasil', 'uma', 'os', 'brasileiros', 'mais', 'democracia', 'no Brasil', 'povo', 'como', 'tem', 'todos', 'na Constituição', 'direitos']","['brasileira', 'Constituição', 'brasileiro', 'brasileiros', 'democracia', 'povo', 'direito', 'direitos', 'Estado', 'País', 'sociedade', 'anos', 'constitucional', 'emenda', 'cidadania', 'liberdade', 'lei', 'trabalho', 'pública', 'princípios', 'social', 'brasileiras', 'leis', 'luta', 'constitucionais', 'proposta', 'acesso', 'momento', 'vida', 'política']","['No ano em que celebramos 25 anos da promulgação da Constituição da República Federativa do Brasil, da Constituição Cidadã, temos que celebrar essa data fortalecendo ainda mais a democracia brasileira.', 'Por isso, Srªs e Srs. Senadores, esta comemoração de hoje ultrapassa o mero registro do simbólico. A Constituição da República Federativa do Brasil não nos deu nada que já não fosse nosso, mas o seu surgimento foi a condição mesma para que se abrissem, ante as perspectivas de futuro do povo brasileiro, todas as oportunidades, todas as possibilidades, toda a esperança.', 'Respeite a Constituição do Brasil!']"
5,390,5_art_art da_art da Constituição_da Constituição,"['art', 'art da', 'art da Constituição', 'da Constituição', 'da Constituição Federal', 'do art', 'Constituição Federal', 'Federal', 'Constituição', 'art da Constituição Federal', 'no art', 'do art da', 'do art da Constituição', 'arts', 'art inciso', 'direito', 'no art da', 'por', 'não', 'da Constituição Federal que']","['Constituição', 'inciso', 'arts', 'direito', 'União', 'artigo', 'direitos', 'disposto', 'saúde', 'matéria', 'emenda', 'Estado', 'II', 'proposta', 'princípios', 'IX', 'IV', 'acesso', 'cultura', 'forma', 'cumprimento', 'social', 'constitucionais', 'participação', 'administração', 'Presidente', 'vida', 'maior', 'culturais', 'nova']","['Outro: “Altera o inciso I do art. 159 da Constituição Federal, destinando o percentual de cinco décimos por cento da arrecadação dos impostos sobre renda e produtos industrializados para a aplicação nas Instituições Federais de Ensino Superior na Amazônia Legal.” [...] E, por fim, outro que: “Altera o caput do art. 37 da Constituição Federal para incluir, dentre os princípios que regem a Administração Pública, o princípio da razoabilidade.”', 'Portanto, esse destaque para votação em separado seria de modificação do art. 93 da Constituição Federal, que reza sobre essa matéria, combinado, às vezes, até com o art. 96 e obedecendo também ao art. 60 da Constituição Federal.', 'Inclua-se no art. 6º da Constituição Federal, na forma do art. 1º da PEC nº 23, de 2021, o seguinte parágrafo']"
6,296,6_Federal_Constituição Federal_Constituição_na Constituição Federal,"['Federal', 'Constituição Federal', 'Constituição', 'na Constituição Federal', 'Senado Federal', 'Federal que', 'Constituição Federal que', 'Senado', 'da Constituição Federal', 'não', 'na Constituição', 'da Constituição', 'uma', 'com', 'os', 'como', 'está', 'por', 'nossa', 'direito']","['Constituição', 'Senado', 'direito', 'constitucional', 'emenda', 'respeito', 'projeto', 'responsabilidade', 'público', 'direitos', 'forma', 'processo', 'Estado', 'inclusão', 'Estados', 'administração', 'saúde', 'pessoas', 'cidadão', 'trabalho', 'sentido', 'acesso', 'compromisso', 'União', 'indígenas', 'sociedade', 'profissão', 'advogado', 'servidores', 'dever']","['comecem a respeitar a Constituição Federal, comecem a respeitar a Constituição Federal.', 'atendendo a uma determinação da Constituição Federal', '...respeito à Constituição Federal.']"
7,237,7_No_se aplica_aplica_se aplica se aplica,"['No', 'se aplica', 'aplica', 'se aplica se aplica', 'se aplica se', 'aplica se aplica', 'aplica se', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['No se aplica', 'No se aplica', 'No se aplica']"
8,225,8_Tribunal_Supremo Tribunal_Tribunal Federal_Supremo Tribunal Federal,"['Tribunal', 'Supremo Tribunal', 'Tribunal Federal', 'Supremo Tribunal Federal', 'Supremo', 'do Supremo Tribunal', 'do Supremo', 'do Supremo Tribunal Federal', 'Constituição', 'uma', 'Tribunal de', 'decisão do', 'de Contas', 'que Supremo Tribunal', 'que Supremo', 'Tribunal de Contas', 'decisão do Supremo', 'decisão do Supremo Tribunal', 'da Constituição', 'que Supremo Tribunal Federal']","['Tribunal', 'Constituição', 'decisão', 'Presidente', 'Ministro', 'proposta', 'Justiça', 'Senador', 'constitucional', 'emenda', 'matéria', 'União', 'brasileira', 'direito', 'Estado', 'processo', 'respeito', 'anos', 'constitucionalidade', 'controle', 'sentido', 'dever', 'legalidade', 'cumprimento', 'pública', 'imediata', 'ato', 'nova', 'acordo', 'apoio']","['O Supremo Tribunal Federal tem que ser guardião da Constituição brasileira. Esse é o papel, Senador Cleitinho, do Ministério da Justiça. Esse é o papel do Supremo Tribunal Federal.', 'E qualquer que seja a decisão do Pleno do Supremo Tribunal Federal - que deverá analisar esse mandado de segurança proximamente - terá que ser respeitada, porque a última palavra, em matéria constitucional, é a do Supremo Tribunal Federal.', 'O Supremo Tribunal Federal, com todo o respeito, é um intérprete da Constituição. O Supremo Tribunal Federal, em cada decisão de seu Ministro, não pode criar uma nova Constituição.']"
