Topic,Words,Frequency,Timestamp
-1,"Constituição, que, orador, Constituição de, do",111,2007
0,"Não, aplica, se aplica, aplica se, aplica se aplica",345,2007
1,"defende, orador defende, defende Constituição de, defende Constituição, orador defende Constituição de",45,2007
2,"exalta, orador exalta, exalta Constituição, exalta Constituição de, orador exalta Constituição",19,2007
3,"processo foi conduzido, impeachment, foi conduzido, mencionando que, mandato para Presidente",2,2007
4,"defende, orador defende, orador, defende que, Constituição",18,2007
5,"uma visão positiva, visão positiva, uma visão positiva sobre, positiva sobre, visão positiva sobre",20,2007
6,"No, aplica, se aplica, aplica se, aplica se aplica",18,2007
7,"Tribunal, Supremo, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal",6,2007
8,"democracia, defende Constituição de, defende Constituição, orador defende Constituição de, orador defende Constituição",10,2007
9,"exalta Constituição de, exalta Constituição, exalta, Constituição de, orador exalta Constituição de",17,2007
10,"mas não, mas não expressa, mas não expressa uma, opinião clara, uma opinião clara sobre",12,2007
11,"como Constituição, se ela como Constituição, ela como Constituição, referindo se ela como, se ela como",10,2007
12,"Constituição, critica, Constituição de, orador critica, que",12,2007
13,"CPIs, de, para, que, fiscal",11,2007
14,"educação, para educação, educacional, em educação, orador",11,2007
15,"terras, indígenas, de terras, terras indígenas, das terras",14,2007
16,"orador critica, critica, considera um crime, ele considera um crime, um crime contra",5,2007
17,"aplica se, aplica se aplica, se aplica se, se aplica se aplica, aplica se aplica se",9,2007
18,"expressa, orador expressa, Constituição, orador, importância",8,2007
20,"artigo que, Constituição, menciona Constituição de ao, expressa uma opinião clara, não expressa uma opinião",6,2007
21,"petróleo, royalties, do petróleo, ICMS sobre, Rio de Janeiro",4,2007
22,"aplica se, aplica se aplica, se aplica se, se aplica se aplica, aplica se aplica se",2,2007
23,"medidas provisórias, medidas, de medidas provisórias, de medidas, provisórias pelo",18,2007
24,"penal, para, Constituição, descentralização, crimes",8,2007
25,"orador critica, critica, critica Constituição de, critica Constituição, Brasil",8,2007
26,"sabedoria, responsabilidade social, para iniciativa, um Congresso, iniciativa privada",2,2007
28,"saúde, SUS, de Saúde SUS, Único de Saúde SUS, Saúde SUS",2,2007
29,"Municípios, autonomia política administrativa, administrativa financeira, política administrativa, responsabilidades",3,2007
30,"Ulysses, Ulysses Guimarães, Guimarães, de Ulysses, de Ulysses Guimarães",12,2007
31,"exalta Constituição, exalta, exalta Constituição de, Constituição de, Constituição",6,2007
32,"tributária, reforma tributária, de reforma tributária, que carga, que carga tributária",2,2007
33,"julgamento de parlamentares, processo de julgamento, de julgamento, presidentes, de parlamentares",1,2007
34,"orador critica, Presidente, critica, uma ameaça, presidencial",7,2007
-1,"Constituição, que, orador, Constituição de, do",143,2008
0,"Não, aplica, se aplica, aplica se, aplica se aplica",311,2008
1,"defende, orador defende, de, defende Constituição de, defende Constituição",52,2008
2,"exalta, exalta Constituição, orador exalta, exalta Constituição de, orador exalta Constituição",44,2008
4,"orador defende, defende, que, defende que, orador defende que",31,2008
5,"uma visão, visão, visão positiva, uma visão positiva, visão positiva sobre",26,2008
6,"No, aplica, se aplica, aplica se, aplica se aplica",15,2008
7,"Tribunal, Supremo Tribunal, Supremo, Tribunal Federal, Supremo Tribunal Federal",7,2008
8,"defende, democracia brasileira, Constituição de, orador defende, brasileira",5,2008
9,"exalta, exalta Constituição de, orador exalta, exalta Constituição, orador exalta Constituição de",17,2008
10,"opinião clara, opinião clara sobre, uma opinião clara sobre, uma opinião clara, uma opinião",15,2008
11,"se ela como, referindo se ela como, referindo se ela, referindo se, como Constituição",15,2008
12,"critica, Constituição, orador critica, critica Constituição, que",18,2008
13,"fiscalização, fiscalização do, CPIs, membros, CPI",6,2008
14,"educação, professores, Constituição, piso salarial, da educação",10,2008
15,"terras, indígenas, de terras, demarcação, terras indígenas",24,2008
16,"orador critica, critica, forma como, Constituição, orador critica forma como",11,2008
17,"aplica se, aplica se aplica, se aplica se, se aplica se aplica, aplica se aplica se",11,2008
18,"serviços públicos, expressa, serviços, Constituição ao, orador expressa",5,2008
19,"Tribunal, Supremo Tribunal, Supremo Tribunal Federal, Tribunal Federal, do Supremo Tribunal",3,2008
20,"Constituição, conforme, menciona Constituição, art, Constituição de",9,2008
21,"petróleo, do petróleo, Estados, royalties, exploração",12,2008
22,"aplica se, aplica se aplica, se aplica se, se aplica se aplica, aplica se aplica se",3,2008
23,"medidas provisórias, de medidas provisórias, de medidas, medidas provisórias pelo, provisórias pelo",21,2008
24,"de pena, crimes, para crimes hediondos, crimes hediondos, para crimes",5,2008
25,"critica Constituição de, orador critica, orador critica Constituição de, critica Constituição, orador critica Constituição",4,2008
26,"ambiente, ambiental, meio ambiente, proteção ambiental, futuras gerações",5,2008
27,"crianças, adolescentes, crianças adolescentes, das crianças, às crianças",8,2008
28,"SUS, Único de Saúde SUS, de Saúde SUS, Saúde SUS, Sistema Único de Saúde",8,2008
29,"critica Constituição de por, critica Constituição de, critica Constituição, orador critica Constituição de, orador critica Constituição",3,2008
30,"Ulysses, Ulysses Guimarães, Guimarães, de Ulysses, de Ulysses Guimarães",3,2008
31,"na defesa, exalta Constituição, exalta Constituição de, exalta, de destacando",3,2008
32,"de normas, sistema tributário, normas, reformas, em relação ao sistema",2,2008
33,"da República, República, governo de, Constituição de, Presidentes",4,2008
34,"sob governo de, retrocesso que, na Bolívia, descrevendo como, sob governo",1,2008
-1,"que, Constituição, orador, Constituição de, do",140,2009
0,"Não, aplica, se aplica, aplica se, aplica se aplica",368,2009
1,"defende, orador defende, Constituição de, defende Constituição de, defende Constituição",47,2009
2,"exalta, orador exalta, orador exalta Constituição, exalta Constituição, como",31,2009
3,"Serra do Sol sugerindo, Supremo Tribunal Federal foi, do Sol sugerindo, demarcação da reserva indígena, reserva indígena Raposa Serra",1,2009
4,"defende, orador defende, que, Constituição, defende que",25,2009
5,"visão positiva, uma visão positiva, positiva sobre, visão positiva sobre, uma visão positiva sobre",26,2009
6,"No, aplica, se aplica, aplica se, aplica se aplica",29,2009
7,"Tribunal, Supremo, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal",12,2009
8,"defende, orador defende, Constituição de, Constituição, no Brasil",10,2009
