Topic,Count,Name,Representation,Aspect1,Representative_Docs
-1,30881,-1_PEC_Lei de de_Lei Complementar_de dezembro,"['PEC', 'Lei de de', 'Lei Complementar', 'de dezembro', 'dezembro de', 'de dezembro de', 'de de dezembro', 'de de dezembro de', 'sobre Projeto', 'sobre Projeto de', 'sobre Projeto de Lei', 'votação', 'de que Altera', 'para votação', 'Orientação bancada', 'PL de', 'art', 'votação em', 'Projeto de Lei PL', 'de Lei PL']","['dezembro', 'votação', 'Sessão', 'bancada', 'Orientação', 'Leis', 'setembro', 'providências', 'julho', 'Dispõe', 'janeiro', 'medidas', 'âmbito', 'dispositivos', 'serviços', 'inciso', 'transporte', 'responsabilidade', 'nacional', 'eleições', 'autoria', 'uso', 'públicos', 'federal', 'primeiro', 'proposta', 'relativas', 'servidores', 'regras', 'público']","['Orientação à bancada, pelo Partido PSB, sobre o destaque para votação em separado constante do Requerimento nº 782, de 2024, (Requer, pela Liderança do União, destaque para votação em separado da Emenda nº 58 ao Projeto de Lei nº 182/2024.) ao Projeto de Lei (PL) n° 182, de 2024, que ""Institui o Sistema Brasileiro de Comércio de Emissões de Gases de Efeito Estufa (SBCE); e altera as Leis nºs 12.187, de 29 de dezembro de 2009, 12.651, de 25 de maio de 2012 (Código Florestal), 6.385, de 7 de dezembro de 1976, 11.033, de 21 de dezembro de 2004, e 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos)"".', 'Pela ordem sobre o destaque para votação em separado constante do Requerimento nº 1073, de 2023, (Requer, pela Liderança do PP, destaque para votação em separado da Emenda nº 147 ao Projeto de Lei nº 3.626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""', 'Orientação à bancada, pelo Partido NOVO, sobre o destaque para votação em separado constante do Requerimento nº 1063, de 2023, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 139 ao Projeto de Lei nº 3626/2023.) ao Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""']"
0,8543,0_edição de_de Paulo_matéria intitulada_da matéria,"['edição de', 'de Paulo', 'matéria intitulada', 'da matéria', 'da matéria intitulada', 'Registro da matéria', 'Registro da matéria intitulada', 'Homenagem', 'Paulo edição de', 'Paulo edição', 'de Paulo edição de', 'de Paulo edição', 'violência', 'publicada no jornal', 'Paulo edição de de', 'último Registro', 'Estado de Paulo', 'jornal Estado de', 'jornal Estado de Paulo', 'no jornal Estado de']","['último', 'Homenagem', 'transcurso', 'violência', 'Dia', 'corrente', 'brasileira', 'revista', 'artigo', 'brasileiro', 'crise', 'autoria', 'mulher', 'pronunciamento', 'crime', 'abril', 'jornalista', 'penal', 'Comemoração', 'mulheres', 'crescimento', 'mandato', 'junho', 'fevereiro', 'julho', 'Indignação', 'primeiro', 'centenário', 'criminalidade', 'falta']","['Registro da matéria intitulada ""Acusados permanecem impunes e ativos"", publicada no jornal Folha de S.Paulo, edição de 4 de abril último. \n\t', 'Registro da matéria intitulada “Criação de emprego desacelera 36%”, publicada no jornal O Estado de S.Paulo, edição de 17 de abril último.\n', 'Registro da matéria intitulada ""Palocci atuou em quebra de sigilo, diz procurador"", publicada no jornal O Estado de S.Paulo, edição de 27 de fevereiro último. Registro da matéria intitulada ""Ele morre de inveja de Fidel"", publicada no jornal O Estado de S.Paulo, edição de primeiro de março corrente.\n\t']"
1,3429,1_Dilma Rousseff_Presidente Lula_do Presidente_Presidente da República,"['Dilma Rousseff', 'Presidente Lula', 'do Presidente', 'Presidente da República', 'Presidente Dilma', 'Venezuela', 'Presidente Dilma Rousseff', 'Presidência', 'Presidente do Senado', 'da Presidente', 'ex Presidente', 'da Câmara', 'da Venezuela', 'da Presidente Dilma', 'governo', 'da Câmara PLC', 'Lei da Câmara PLC', 'Projeto de Lei da', 'Lei da Câmara', 'de Lei da Câmara']","['presidente', 'Presidência', 'governo', 'visita', 'eleição', 'política', 'cargo', 'apoio', 'pronunciamento', 'votação', 'eleições', 'providências', 'discurso', 'trabalhos', 'sentido', 'declarações', 'Senadores', 'Leitura', 'presença', 'federal', 'Governador', 'autoria', 'posicionamento', 'abertura', 'reforma', 'processo', 'pauta', 'afastamento', 'Repúdio', 'recente']","['Pela ordem sobre o Projeto de Lei da Câmara (PLC) n° 29, de 2017, que ""Dispõe sobre normas de seguro privado; revoga dispositivos da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); e dá outras providências.""', 'Como Relator sobre o Projeto de Lei da Câmara (PLC) n° 29, de 2017, que ""Dispõe sobre normas de seguro privado; revoga dispositivos da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); e dá outras providências.""', 'Discussão sobre o Projeto de Lei da Câmara (PLC) n° 29, de 2017, que ""Dispõe sobre normas de seguro privado; revoga dispositivos da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); e dá outras providências.""']"
2,1870,2_pesar_de pesar_pelo falecimento do_pesar pelo,"['pesar', 'de pesar', 'pelo falecimento do', 'pesar pelo', 'de pesar pelo', 'pesar pelo falecimento', 'de pesar pelo falecimento', 'pesar pelo falecimento do', 'Pesar', 'Pesar pelo', 'Pesar pelo falecimento', 'Pesar pelo falecimento do', 'Homenagem de pesar', 'Homenagem de', 'Voto de pesar', 'pelo falecimento do ex', 'Homenagem de pesar pelo', 'Voto de pesar pelo', 'voto de pesar', 'pelo falecimento de']","['falecimento', 'pesar', 'Pesar', 'Voto', 'Homenagem', 'voto', 'requerimento', 'cidade', 'presidente', 'mãe', 'escritor', 'médico', 'professor', 'aplauso', 'pai', 'Justificação', 'esposa', 'radialista', 'ilustre', 'aniversário', 'professora', 'corrente', 'transcurso', 'Justificativas', 'baiano', 'semana', 'atual', 'janeiro', 'falta', 'população']","['Voto de pesar pelo falecimento do ex-Senador Rodolpho Tourinho Neto.', 'Homenagem de pesar pelo falecimento do ex-Senador Passos Porto.', 'Voto de pesar pelo falecimento do jornalista Joelmir Beting; e outro assunto.']"
3,1604,3_Educação_educação_da Educação_da educação,"['Educação', 'educação', 'da Educação', 'da educação', 'de Educação', 'professores', 'Professor', 'do Professor', 'da Universidade', 'Dia do Professor', 'educação no', 'Ministério da Educação', 'Nacional de Educação', 'dos professores', 'da Universidade Federal', 'do Dia do Professor', 'Desenvolvimento da Educação', 'Plano Nacional de Educação', 'da educação no', 'Comissão de Educação']","['educação', 'professores', 'Professor', 'Dia', 'escolas', 'ensino', 'Homenagem', 'Comemoração', 'qualidade', 'transcurso', 'investimentos', 'área', 'desenvolvimento', 'piso', 'salarial', 'alunos', 'brasileira', 'estudantes', 'professor', 'básica', 'valorização', 'escolar', 'escola', 'audiência', 'brasileiros', 'educador', 'melhoria', 'autoria', 'sociedade', 'desempenho']","['Defesa da não aprovação do texto elaborado pela Câmara dos Deputados relativo ao Projeto de Lei nº 4.372, de 2020, que regulamenta o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb).', 'Considerações sobre a importância da educação e do caráter permanente para o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (Fundeb). Defesa da aprovação da Proposta de Emenda à Constituição (PEC) nº 15, de 2015.', 'Destaque para audiência pública com o Ministro da Educação realizada na Comissão de Educação, Cultura e Esporte, em 11/02/2020. Defesa do Fundeb (Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação) e de sua importância para o desenvolvimento da educação no Brasil.']"
4,1204,4_Tribunal_Tribunal Federal_Supremo Tribunal_Supremo Tribunal Federal,"['Tribunal', 'Tribunal Federal', 'Supremo Tribunal', 'Supremo Tribunal Federal', 'do Supremo', 'do Supremo Tribunal', 'do Supremo Tribunal Federal', 'Tribunal Federal STF', 'Supremo Tribunal Federal STF', 'Tribunal de', 'do Tribunal', 'Superior', 'Tribunal de Justiça', 'Superior Tribunal', 'Tribunal de Contas', 'Ministro do Supremo Tribunal', 'judicial', 'Ministro do Supremo', 'do Tribunal de', 'Tribunal Superior']","['judicial', 'União', 'cargo', 'indicação', 'processo', 'ministros', 'posse', 'instalação', 'Corte', 'liminar', 'fidelidade', 'declarações', 'partidária', 'favorável', 'admissão', 'Cumprimentos', 'vaga', 'Homenagem', 'mandatos', 'abertura', 'autoridades', 'Congratulações', 'requerimento', 'foro', 'Esclarecimentos', 'nome', 'Senadores', 'Voto', 'objetivo', 'novo']","['Considerações sobre a atribuição do Senado de promover o impeachment de Ministros do Supremo Tribunal Federal (STF).', 'Orientação à bancada, pelo Partido REPUBLICANOS, sobre a ***PEC*** (***PEC***) n° 32, de 2021, que ""Altera a Constituição Federal para elevar para setenta anos a idade máxima para a escolha e nomeação de membros do Supremo Tribunal Federal, do Superior Tribunal de Justiça, dos Tribunais Regionais Federais, do Tribunal Superior do Trabalho, dos Tribunais Regionais do Trabalho, do Tribunal de Contas da União e dos Ministros civis do Superior Tribunal Militar"".', 'Orientação à bancada, pelo Partido PSDB, sobre a ***PEC*** (***PEC***) n° 32, de 2021, que ""Altera a Constituição Federal para elevar para setenta anos a idade máxima para a escolha e nomeação de membros do Supremo Tribunal Federal, do Superior Tribunal de Justiça, dos Tribunais Regionais Federais, do Tribunal Superior do Trabalho, dos Tribunais Regionais do Trabalho, do Tribunal de Contas da União e dos Ministros civis do Superior Tribunal Militar"".']"
5,1197,5_PL de_de Lei PL de_Lei PL de_de Lei PL,"['PL de', 'de Lei PL de', 'Lei PL de', 'de Lei PL', 'Lei PL', 'Projeto de Lei PL', 'Lei PL de que', 'PL de que', 'sobre Projeto de Lei', 'sobre Projeto de', 'PL de que Altera', 'Lei de de', 'Altera Lei de', 'que Altera Lei de', 'Altera Lei de de', 'Discussão sobre Projeto de', 'que Altera Lei', 'Altera Lei', 'de que Altera Lei', 'para dispor']","['Discussão', 'Relator', 'parecer', 'Leis', 'providências', 'janeiro', 'julho', 'maio', 'serviços', 'disciplinar', 'públicas', 'hipóteses', 'março', 'fins', 'título', 'urgência', 'prática', 'dispositivo', 'direito', 'autoria', 'prestadoras', 'regras', 'relativas', 'medidas', 'entidades', 'arena', 'espetáculo', 'desportivo', 'lucrativos', 'prazos']","['Discussão sobre o Projeto de Lei (PL) n° 4059, de 2021, que ""Altera a Lei nº 12.232, de 29 de abril de 2010, para dispor sobre as contratações de serviços de comunicação institucional, e a Lei nº 9.504, de 30 de setembro de 1997, para dispor sobre gastos com publicidade dos órgãos públicos no primeiro semestre do ano de eleição"".', 'Discussão sobre o Projeto de Lei (PL) n° 4059, de 2021, que ""Altera a Lei nº 12.232, de 29 de abril de 2010, para dispor sobre as contratações de serviços de comunicação institucional, e a Lei nº 9.504, de 30 de setembro de 1997, para dispor sobre gastos com publicidade dos órgãos públicos no primeiro semestre do ano de eleição"".', 'Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 4059, de 2021, que ""Altera a Lei nº 12.232, de 29 de abril de 2010, para dispor sobre as contratações de serviços de comunicação institucional, e a Lei nº 9.504, de 30 de setembro de 1997, para dispor sobre gastos com publicidade dos órgãos públicos no primeiro semestre do ano de eleição"".']"
6,1137,6_Covid_coronavírus_pandemia_novo coronavírus,"['Covid', 'coronavírus', 'pandemia', 'novo coronavírus', 'coronavírus Covid', 'novo coronavírus Covid', 'pandemia do', 'do novo coronavírus', 'do novo coronavírus Covid', 'da Covid', 'pandemia do novo', 'pandemia do novo coronavírus', 'de vacinas', 'vacinação', 'da pandemia do', 'contra Covid', 'pandemia da', 'do coronavírus', 'de saúde', 'enfrentamento da pandemia']","['coronavírus', 'pandemia', 'novo coronavírus', 'novo', 'vacinas', 'enfrentamento', 'vacinação', 'medidas', 'combate', 'aquisição', 'população', 'decorrente', 'dengue', 'Elogio', 'emergência', 'Exposição', 'pessoas', 'excepcionais', 'decorrência', 'auxílio', 'forma', 'Crítica', 'contratação', 'emergencial', 'crise', 'âmbito', 'internacional', 'apresentação', 'social', 'calamidade']","['Reflexão sobre as medidas de enfrentamento da pandemia do novo coronavírus (Covid-19) para salvar vidas.', 'Considerações sobre o pedido de instalação de Comissão Parlamentar de Inquérito (CPI) destinada a apurar responsabilidades no enfrentamento da pandemia do novo coronavírus (Covid-19). Defesa da implantação imediata da Comissão Temporária destinada a acompanhar as questões de saúde pública relacionadas ao coronavírus.', 'Preocupação com os números e a proporção da pandemia do novo coronavírus (Covid-19).']"
7,981,7_Críticas ao_Críticas ao Governo_ao Governo_Críticas ao Governo Federal,"['Críticas ao', 'Críticas ao Governo', 'ao Governo', 'Críticas ao Governo Federal', 'ao Governo Federal', 'Federal Críticas', 'do Governo Federal', 'Governo Federal Críticas', 'outro assunto Críticas', 'Crítica', 'pelo Governo Federal', 'governo', 'ao Governo Federal pela', 'Governo Federal pela', 'assuntos Críticas', 'Críticas gestão', 'Governo do', 'Críticas política', 'pelo Governo Federal Críticas', 'Federal por']","['Crítica', 'gestão', 'política', 'governo', 'econômica', 'críticas', 'crise', 'medidas', 'gastos', 'proposta', 'forma', 'oposição', 'crítica', 'reforma', 'setor', 'eleitoral', 'segurança', 'inflação', 'má', 'investimentos', 'má gestão', 'aposentados', 'modelo', 'parte', 'Criticas', 'Globo', 'último', 'orçamento', 'crescimento', 'empresas']","['Críticas ao Governo Federal pela administração financeira do BNDES.', 'Críticas ao Governo Federal; e outro assunto.', 'Críticas ao Governo Federal; e outro assunto.']"
8,905,8_de autoria_autoria de_de autoria de_autoria de Exa,"['de autoria', 'autoria de', 'de autoria de', 'autoria de Exa', 'de autoria de Exa', 'autoria de Exa que', 'de lei de autoria', 'lei de autoria', 'lei de autoria de', 'projeto de lei', 'projeto de lei de', 'de autoria de que', 'autoria de que', 'do Projeto de', 'do Projeto de Lei', 'de de autoria', 'de projeto de lei', 'do Senado de', 'de Lei do Senado', 'de Lei do']","['autoria', 'projetos', 'tramitação', 'apoio', 'serviços', 'públicos', 'sentido', 'meio', 'proteção', 'regras', 'empregados', 'idade', 'trabalhadores', 'União', 'ambiente', 'valores', 'domésticos', 'interesse', 'assistência', 'inscrição', 'eleições', 'creches', 'orador', 'gratuidade', 'relatoria', 'ações', 'agilização', 'fundo', 'escolha', 'filhos']","['Defesa do Projeto de Lei do Senado 142, de 2008, de autoria de S.Exa., que trata dos Arranjos Produtivos Locais - APLs. \n\t', 'Defesa de projeto de lei, de autoria de S.Exa., que regulamenta o tratamento cirúrgico da obesidade.\n\t', 'Apresentação de projeto de lei de autoria de S.Exa.']"
